date,open,high,low,close,volume
2018-09-13,,,,10.0,0
2018-09-12,,,,10.0,0
2018-09-11,10.0,10.0,10.0,10.0,173
2018-09-10,11.0,11.0,11.0,11.0,11100
2018-09-07,10.0,10.0,10.0,10.0,100
2018-09-06,,,,11.0,0
2018-09-05,,,,11.0,0
2018-09-04,11.0,11.0,11.0,11.0,6600
2018-08-31,10.0,10.0,10.0,10.0,100
2018-08-30,,,,10.4,0
2018-08-29,,,,10.4,0
2018-08-28,,,,10.4,0
2018-08-27,10.4,10.4,10.4,10.4,100
2018-08-24,,,,9.5,0
2018-08-23,,,,9.5,0
2018-08-22,,,,9.5,0
2018-08-21,9.5,9.5,9.5,9.5,100
2018-08-20,11.0,11.0,9.5,9.5,5500
2018-08-17,,,,10.2,0
2018-08-16,11.1,11.1,10.2,10.2,1123
2018-08-15,10.1,10.1,10.1,10.1,100
2018-08-14,,,,11.0,0
2018-08-13,11.0,11.0,11.0,11.0,11800
2018-08-10,10.0,10.0,10.0,10.0,100
2018-08-09,,,,11.0,0
2018-08-08,11.0,11.0,11.0,11.0,100
2018-08-07,11.43,11.43,10.72,10.71,300
2018-08-06,10.45,10.45,10.45,10.45,100
2018-08-03,,,,11.61,0
2018-08-02,,,,11.61,0
2018-08-01,13.12,13.12,11.07,11.61,400
2018-07-31,12.23,12.23,12.23,12.23,100
2018-07-30,,,,11.25,0
2018-07-27,12.14,12.14,11.07,11.25,900
2018-07-26,,,,11.16,0
2018-07-25,11.25,11.25,11.16,11.16,3500
2018-07-24,12.14,12.14,12.14,12.14,100
2018-07-23,,,,13.48,0
2018-07-20,,,,13.48,0
2018-07-19,,,,13.48,0
2018-07-18,,,,13.48,0
2018-07-17,,,,13.48,0
2018-07-16,,,,13.48,0
2018-07-13,13.48,13.48,13.48,13.48,100
2018-07-12,,,,13.57,0
2018-07-11,,,,13.57,0
2018-07-10,,,,13.57,0
2018-07-09,13.57,13.57,13.57,13.57,100
2018-07-06,,,,12.86,0
2018-07-05,12.86,12.86,12.86,12.86,100
2018-07-04,,,,12.5,0
2018-07-03,12.5,12.5,12.5,12.5,100
2018-07-02,12.32,12.32,12.32,12.32,100
2018-06-29,,,,11.61,0
2018-06-28,,,,11.61,0
2018-06-27,,,,11.61,0
2018-06-26,11.61,11.61,11.61,11.61,50
2018-06-25,11.6,11.6,10.71,11.61,23500
2018-06-22,10.63,10.63,10.63,10.62,100
2018-06-21,,,,11.79,0
2018-06-20,,,,11.79,0
2018-06-19,,,,11.79,0
2018-06-18,,,,11.79,0
2018-06-15,,,,11.79,0
2018-06-14,,,,11.79,0
2018-06-13,,,,11.79,0
2018-06-12,,,,11.79,0
2018-06-11,11.07,11.78,11.07,11.79,14000
2018-06-08,,,,10.71,0
2018-06-07,,,,10.71,0
2018-06-06,,,,10.71,0
2018-06-05,,,,10.71,0
2018-06-04,,,,10.71,0
2018-06-01,10.71,10.71,10.71,10.71,100
2018-05-31,,,,11.16,0
2018-05-30,,,,11.16,0
2018-05-29,,,,11.16,0
2018-05-28,,,,11.16,0
2018-05-25,10.81,11.16,10.81,11.16,700
2018-05-24,,,,11.52,0
2018-05-23,,,,11.52,0
2018-05-22,11.52,11.52,11.52,11.52,1100
2018-05-21,,,,11.52,0
2018-05-18,,,,11.52,0
2018-05-17,11.52,11.52,11.52,11.52,100
2018-05-16,11.43,11.43,11.34,11.34,5400
2018-05-15,,,,11.34,0
2018-05-14,,,,11.34,0
2018-05-11,11.34,11.34,11.34,11.34,100
2018-05-10,,,,12.41,0
2018-05-09,,,,12.41,0
2018-05-08,12.41,12.41,12.41,12.41,100
2018-05-07,11.61,11.61,11.61,11.61,308
2018-05-04,,,,11.16,0
2018-05-03,,,,11.16,0
2018-05-02,11.16,11.16,11.16,11.16,100
2018-04-27,10.72,11.61,10.72,11.61,2100
2018-04-26,11.52,11.52,11.52,11.52,1000
