date,open,high,low,close,volume,adj_close
2017-11-16,,,,,6700,9.9
2017-11-15,,,,,41700,10.0
2017-11-14,,,,,400,9.2
2017-11-13,,,,,1800,8.5
2017-11-10,,,,,0,7.9
2017-11-09,,,,,0,7.9
2017-11-08,,,,,0,7.9
2017-11-07,,,,,0,7.9
2017-11-06,,,,,0,7.9
2017-11-03,,,,,0,7.9
2017-11-02,,,,,13600,7.9
2017-11-01,,,,,0,7.2
2017-10-31,,,,,0,7.2
2017-10-30,,,,,0,7.2
2017-10-27,7.2,7.2,7.2,7.2,100,7.2
2017-10-26,7.8,7.8,7.8,7.8,100,7.8
2017-10-25,8.5,8.5,8.5,8.5,300,8.5
2017-10-24,8.9,9.2,8.9,9.2,2100,9.2
2017-10-23,9.6,10.5,9.6,9.7,8100,9.7
2017-10-20,10.8,11.4,9.6,9.6,6000,9.6
2017-10-19,9.5,10.5,9.1,10.5,17600,10.5
2017-10-18,10.5,10.5,10.0,10.0,8800,10.0
2017-10-17,9.6,9.6,8.8,9.6,177400,9.6
2017-10-16,8.8,8.8,8.8,8.8,100,8.8
2017-10-13,9.6,9.6,9.6,9.6,4600,9.6
2017-10-12,8.8,9.6,8.8,9.6,41700,9.6
2017-10-11,8.8,8.8,8.8,8.8,100,8.8
2017-10-10,8.0,8.0,8.0,8.0,0,8.0
2017-10-09,8.0,8.0,8.0,8.0,0,8.0
2017-10-06,8.0,8.0,8.0,8.0,0,8.0
2017-10-05,8.0,8.0,8.0,8.0,0,8.0
2017-10-04,8.0,8.0,8.0,8.0,5100,8.0
2017-10-03,10.2,10.2,8.6,8.6,4500,8.6
2017-10-02,9.5,9.6,9.5,9.5,11600,9.5
2017-09-29,8.8,8.8,8.8,8.8,100,8.8
2017-09-28,10.2,10.5,9.4,9.6,20200,9.6
2017-09-27,8.8,9.6,8.8,9.6,75300,9.6
2017-09-26,9.3,9.3,8.8,8.8,400,8.8
2017-09-25,9.7,9.7,9.7,9.7,0,9.7
2017-09-22,9.9,9.9,8.6,9.7,32500,9.7
2017-09-21,7.9,9.5,7.9,9.5,6200,9.5
2017-09-20,8.7,8.7,8.7,8.7,100,8.7
2017-09-19,8.1,8.1,8.1,8.1,2000,8.1
2017-09-18,8.1,8.1,8.1,8.1,0,8.1
2017-09-15,8.1,8.8,8.1,8.1,3800,8.1
2017-09-14,8.1,8.1,8.1,8.1,4910,8.1
2017-09-13,8.1,8.1,8.1,8.1,10900,8.1
2017-09-12,7.4,7.4,6.9,7.4,2900,7.4
2017-09-11,6.8,6.8,6.8,6.8,300,6.8
2017-09-08,7.5,7.5,7.5,7.5,0,7.5
2017-09-07,7.5,7.5,7.5,7.5,0,7.5
2017-09-06,7.5,7.5,7.5,7.5,0,7.5
2017-09-05,7.5,7.5,7.5,7.5,0,7.5
2017-09-01,7.5,7.5,7.5,7.5,0,7.5
2017-08-31,7.5,7.5,7.5,7.5,0,7.5
2017-08-30,7.5,7.5,7.5,7.5,0,7.5
2017-08-29,7.5,7.5,7.5,7.5,30,7.5
2017-08-28,7.5,7.5,7.5,7.5,0,7.5
2017-08-25,7.5,7.5,7.5,7.5,0,7.5
2017-08-24,7.5,7.5,7.5,7.5,0,7.5
2017-08-23,7.5,7.5,7.5,7.5,0,7.5
2017-08-22,7.4,7.5,7.4,7.5,200,7.5
2017-08-21,6.9,6.9,6.9,6.9,100,6.9
2017-08-18,6.4,6.4,6.4,6.4,0,6.4
2017-08-17,6.4,6.4,6.4,6.4,0,6.4
2017-08-16,6.4,6.4,6.4,6.4,0,6.4
2017-08-15,6.4,6.4,6.4,6.4,0,6.4
2017-08-14,6.4,6.4,6.4,6.4,0,6.4
2017-08-11,6.4,6.4,6.4,6.4,70,6.4
2017-08-10,6.4,6.4,6.4,6.4,0,6.4
2017-08-09,6.4,6.4,6.4,6.4,100,6.4
2017-08-08,7.1,7.1,7.1,7.1,0,7.1
2017-08-07,7.1,7.1,7.1,7.1,0,7.1
2017-08-04,7.1,7.1,7.1,7.1,0,7.1
2017-08-03,7.1,7.1,7.1,7.1,0,7.1
2017-08-02,7.1,7.1,7.1,7.1,100,7.1
