date,open,high,low,close,volume
2018-08-10,9.09,9.09,8.99,9.03,134290
2018-08-09,9.0,9.1,9.0,9.02,247110
2018-08-08,9.0,9.02,9.0,9.0,38280
2018-08-07,9.09,9.1,8.97,8.98,59160
2018-08-06,9.0,9.07,8.98,8.99,156210
2018-08-03,9.1,9.1,8.95,8.98,247370
2018-08-02,9.0,9.05,8.91,9.05,239890
2018-08-01,9.01,9.09,8.9,8.98,751890
2018-07-31,9.1,9.1,9.04,9.05,79720
2018-07-30,9.1,9.11,9.03,9.1,54600
2018-07-27,9.05,9.05,9.0,9.05,186730
2018-07-26,9.1,9.1,8.98,9.05,286190
2018-07-25,9.17,9.17,9.03,9.1,420520
2018-07-24,9.15,9.15,9.06,9.13,257720
2018-07-23,9.14,9.18,9.0,9.14,304480
2018-07-20,9.14,9.17,9.11,9.14,127310
2018-07-19,9.2,9.2,9.14,9.17,145800
2018-07-18,9.13,9.18,9.12,9.18,74160
2018-07-17,9.14,9.14,9.12,9.13,114190
2018-07-16,9.13,9.2,9.12,9.13,300630
2018-07-13,9.05,9.25,9.05,9.13,163490
2018-07-12,9.13,9.14,9.03,9.13,108890
2018-07-11,9.13,9.13,9.0,9.09,259490
2018-07-10,9.0,9.16,9.0,9.11,41630
2018-07-09,9.13,9.13,9.05,9.1,101420
2018-07-06,9.06,9.13,8.9,9.13,222070
2018-07-05,9.1,9.2,9.04,9.06,213420
2018-07-04,9.17,9.17,9.06,9.12,151960
2018-07-03,9.25,9.26,9.0,9.17,262950
2018-07-02,9.35,9.35,9.22,9.22,103890
2018-06-29,9.3,9.39,9.3,9.35,160670
2018-06-28,9.4,9.45,9.3,9.3,45780
2018-06-27,9.45,9.45,9.37,9.41,188920
2018-06-26,9.48,9.48,9.38,9.4,58890
2018-06-25,9.49,9.49,9.4,9.42,129320
2018-06-22,9.36,9.45,9.36,9.45,204580
2018-06-21,9.42,9.45,9.4,9.45,189840
2018-06-20,9.52,9.52,9.35,9.41,539230
2018-06-19,9.59,9.59,9.3,9.4,115440
2018-06-18,9.6,9.8,9.41,9.52,279520
2018-06-15,9.35,9.4,9.3,9.31,69340
2018-06-14,9.45,9.49,9.35,9.37,76120
2018-06-13,9.21,9.39,9.2,9.36,138730
2018-06-12,9.3,9.3,9.15,9.28,61000
2018-06-11,9.4,9.4,9.15,9.31,223060
2018-06-08,9.48,9.48,9.3,9.45,39060
2018-06-07,9.4,9.5,9.35,9.48,164930
2018-06-06,9.48,9.48,9.4,9.41,62580
2018-06-05,9.5,9.5,9.31,9.49,40590
2018-06-04,9.6,9.6,9.2,9.5,181170
2018-06-01,9.7,9.75,9.6,9.6,81750
2018-05-31,9.35,9.7,9.35,9.7,83810
2018-05-30,9.05,9.5,9.05,9.35,78320
2018-05-29,9.12,9.52,9.12,9.3,193530
2018-05-28,9.3,9.48,9.12,9.12,411760
2018-05-25,9.65,9.83,9.38,9.39,287790
2018-05-24,10.1,10.1,9.61,9.65,99370
2018-05-23,9.74,9.87,9.65,9.88,77050
2018-05-22,9.92,10.01,9.65,9.83,199160
2018-05-21,9.74,10.28,9.74,9.92,482800
2018-05-18,9.69,9.83,9.61,9.7,241410
2018-05-17,9.7,9.7,9.57,9.65,209160
2018-05-16,9.65,9.65,9.47,9.61,30260
