date,open,high,low,close,volume
2018-04-27,,,,56.5,0
2018-04-26,54.1,56.8,53.3,56.5,3300
2018-04-24,57.0,57.0,54.0,57.0,4100
2018-04-23,58.5,59.9,58.5,59.9,1303
2018-04-20,61.3,61.3,59.5,61.3,1100
2018-04-19,60.6,60.6,57.0,59.7,1900
2018-04-18,60.5,60.5,59.0,59.0,3450
2018-04-17,62.4,62.4,61.7,61.7,1100
2018-04-16,61.6,61.6,61.0,61.5,3040
2018-04-13,63.0,63.0,62.0,62.0,1440
2018-04-12,62.0,63.6,62.0,63.6,200
2018-04-11,,,,63.9,0
2018-04-10,,,,63.9,0
2018-04-09,,,,63.9,0
2018-04-06,63.9,63.9,63.9,63.9,100
2018-04-05,,,,63.0,0
2018-04-04,63.0,63.0,62.0,63.0,3100
2018-04-03,66.8,66.8,63.1,64.0,500
2018-04-02,63.3,63.3,63.3,63.3,100
2018-03-30,65.0,66.0,65.0,66.0,200
2018-03-29,67.8,67.8,62.5,64.0,300
2018-03-28,63.5,63.5,63.5,63.5,200
2018-03-27,64.0,64.0,64.0,64.0,10
2018-03-26,64.0,64.0,63.0,64.0,403
2018-03-23,,,,64.0,0
2018-03-22,64.0,64.0,64.0,64.0,1560
2018-03-21,63.6,63.6,63.6,63.6,857
2018-03-20,64.57,64.57,63.6,63.6,318
2018-03-19,64.77,64.77,64.77,64.77,90
2018-03-16,62.82,64.78,62.63,64.77,1800
2018-03-15,67.03,67.03,67.03,67.03,101
2018-03-14,64.68,64.68,64.68,64.68,70
2018-03-13,67.22,67.22,63.6,64.68,400
2018-03-12,63.6,63.6,63.6,63.6,200
2018-03-09,64.48,64.48,64.48,64.48,204
2018-03-08,63.5,64.09,63.5,64.09,200
2018-03-07,63.7,63.7,63.7,63.7,101
2018-03-06,68.49,69.86,68.49,69.86,300
2018-03-05,65.07,65.07,63.6,63.6,4400
2018-03-02,64.87,64.87,64.87,64.87,50
2018-03-01,63.5,64.87,59.88,64.87,584
2018-02-28,65.26,65.26,65.26,65.26,100
2018-02-27,65.46,67.32,63.12,63.11,2900
2018-02-26,66.93,66.93,66.54,66.54,400
2018-02-23,66.44,67.71,66.44,67.71,500
2018-02-22,66.44,68.2,66.44,68.2,700
2018-02-21,,,,68.4,0
2018-02-13,62.03,68.49,61.54,68.4,2900
2018-02-12,62.82,64.97,56.95,62.62,2000
2018-02-09,62.92,62.92,62.92,62.92,101
2018-02-08,59.68,61.05,59.68,61.06,1700
2018-02-07,58.71,61.25,58.71,61.15,2500
2018-02-06,61.64,63.89,55.77,58.71,3700
2018-02-05,63.6,63.6,61.64,61.74,3112
2018-02-02,62.62,62.62,62.62,62.62,500
2018-02-01,63.79,63.79,63.6,63.6,3100
2018-01-31,64.38,64.38,63.99,63.99,800
2018-01-30,63.6,65.46,63.6,65.46,300
2018-01-29,66.93,66.93,63.6,64.38,910
2018-01-26,63.7,65.07,63.6,65.07,910
2018-01-25,65.56,66.05,64.58,64.58,400
2018-01-22,66.53,66.53,64.09,64.09,2100
2018-01-19,66.54,66.54,64.09,65.36,1701
2018-01-18,65.46,65.46,63.8,64.58,1449
2018-01-17,66.05,66.05,64.58,64.58,1869
2018-01-16,65.56,66.05,65.56,66.05,9635
2018-01-15,67.91,67.91,65.56,65.56,1300
2018-01-12,63.7,65.56,63.7,65.56,200
2018-01-11,66.54,66.54,64.58,65.85,900
2018-01-10,63.6,68.39,63.6,65.56,600
2018-01-09,63.79,65.85,63.6,65.85,5300
2018-01-08,62.14,64.0,62.14,63.89,1700
2018-01-05,63.31,63.4,62.62,63.41,5710
2018-01-04,63.99,63.99,62.62,63.6,4700
2018-01-03,64.58,64.58,64.09,64.09,7903
2018-01-02,65.07,65.56,63.6,65.56,6800
2017-12-29,66.05,66.54,66.05,66.54,400
2017-12-28,66.53,66.53,65.55,66.54,2150
2017-12-27,,,,67.51,0
2017-12-26,67.51,67.81,66.34,67.51,1484
2017-12-25,70.45,70.45,70.45,70.45,100
2017-12-22,66.64,68.2,66.54,67.51,1068
2017-12-21,68.3,68.3,68.3,68.3,400
2017-12-20,66.15,67.91,66.15,67.91,1100
2017-12-19,66.93,68.4,66.54,68.4,6000
2017-12-18,70.45,70.45,70.45,70.45,300
2017-12-15,70.84,70.84,67.03,69.37,4221
2017-12-14,71.14,71.14,67.03,68.79,11300
2017-12-13,68.49,68.49,67.41,68.4,2100
2017-12-12,69.18,69.18,67.61,67.61,300
2017-12-11,69.17,69.17,69.17,69.18,100
2017-12-08,68.49,69.37,67.51,69.37,3200
2017-12-07,68.98,68.98,68.98,68.98,1006
2017-12-06,72.11,72.11,69.37,70.35,4000
2017-12-05,72.41,74.27,69.37,69.86,2600
2017-12-04,70.25,70.45,70.06,70.45,7610
2017-12-01,72.41,76.32,72.41,76.32,500
2017-11-30,72.8,72.8,68.98,71.53,1713
2017-11-29,69.96,71.92,69.37,70.45,4806
2017-11-28,71.33,71.33,70.54,70.84,1510
2017-11-27,69.96,71.62,69.96,71.62,1100
2017-11-24,71.82,71.82,70.45,71.62,2500
2017-11-23,68.98,72.8,68.98,70.45,1400
2017-11-22,69.96,70.45,69.96,70.45,2531
2017-11-21,69.96,75.25,69.96,72.31,2100
2017-11-20,70.45,75.83,70.45,71.92,6500
2017-11-17,72.9,72.9,71.24,71.23,200
2017-11-16,70.26,71.14,70.26,71.14,1200
2017-11-15,70.54,73.28,70.45,72.9,3150
2017-11-14,70.94,75.24,70.94,75.24,1143
2017-11-13,72.41,72.41,71.43,72.21,8600
2017-11-10,,,,77.69,0
2017-11-09,74.37,78.28,74.37,77.69,2890
2017-11-08,66.53,74.75,66.43,74.27,4900
2017-11-07,65.55,68.0,65.55,68.0,2100
2017-11-06,66.05,66.63,66.05,66.63,1700
2017-11-03,64.58,66.73,64.58,66.73,900
2017-11-02,67.41,67.51,64.57,67.12,1600
2017-11-01,,,,67.51,0
2017-10-31,67.51,67.51,63.99,67.51,800
2017-10-30,67.71,67.71,67.71,67.71,100
2017-10-27,68.0,68.0,66.04,67.61,1100
2017-10-26,68.01,68.01,68.01,68.0,100
2017-10-25,68.39,68.39,68.39,68.4,800
2017-10-24,71.23,71.23,68.39,70.84,820
2017-10-23,67.52,67.52,66.54,67.51,900
2017-10-20,68.5,69.38,64.49,68.4,4641
2017-10-19,68.4,70.16,68.4,68.4,2750
2017-10-18,68.39,72.4,68.39,72.41,1300
2017-10-17,69.37,69.37,69.37,69.37,100
2017-10-16,71.43,73.29,64.58,70.35,2600
2017-10-13,66.63,69.96,66.54,69.96,600
2017-10-12,72.21,74.07,70.94,71.82,700
2017-10-11,68.49,71.33,67.51,71.33,2900
2017-10-10,72.8,72.8,70.45,70.45,1991
2017-10-09,70.35,70.35,70.35,70.35,176
2017-10-06,70.45,73.19,69.96,72.11,2380
2017-10-05,70.94,70.94,68.49,70.35,2100
2017-10-04,71.92,71.92,71.43,71.43,2158
2017-10-03,72.9,74.27,71.92,71.92,4396
2017-10-02,77.2,77.2,73.38,74.66,784
2017-09-29,74.07,74.07,73.49,73.87,600
2017-09-28,74.36,75.63,73.58,75.64,2384
2017-09-27,76.22,76.22,76.22,76.22,200
2017-09-26,75.24,77.69,75.24,77.2,2800
2017-09-25,78.18,78.18,77.2,77.2,200
2017-09-22,80.23,80.23,75.24,76.91,1250
2017-09-21,79.74,79.74,77.2,77.2,2200
2017-09-20,76.32,77.2,76.32,77.2,205
2017-09-19,75.15,79.16,75.15,77.69,1200
