date,open,high,low,close,volume
2018-04-12,,,,15.5,0
2018-04-11,15.5,15.5,15.5,15.5,500
2018-04-10,15.1,15.1,15.1,15.1,1000
2018-04-09,,,,16.7,0
2018-04-06,,,,16.7,0
2018-04-05,,,,16.7,0
2018-04-04,,,,16.7,0
2018-04-03,,,,16.7,0
2018-04-02,,,,16.7,0
2018-03-30,,,,16.7,0
2018-03-29,,,,16.7,0
2018-03-28,,,,16.7,0
2018-03-27,,,,16.7,0
2018-03-26,16.7,16.7,16.7,16.7,16
2018-03-23,,,,16.7,0
2018-03-22,,,,16.7,0
2018-03-21,,,,16.7,0
2018-03-20,16.7,16.7,16.7,16.7,900
2018-03-19,16.6,16.6,16.6,16.6,116
2018-03-16,,,,18.4,0
2018-03-15,18.4,18.4,18.4,18.4,500
2018-03-14,,,,18.3,0
2018-03-13,,,,18.3,0
2018-03-12,,,,18.3,0
2018-03-09,,,,18.3,0
2018-03-08,,,,18.3,0
2018-03-07,,,,18.3,0
2018-03-06,,,,18.3,0
2018-03-05,,,,18.3,0
2018-03-02,,,,18.3,0
2018-03-01,,,,18.3,0
2018-02-28,,,,18.3,0
2018-02-27,,,,18.3,0
2018-02-26,,,,18.3,0
2018-02-23,,,,18.3,0
2018-02-22,18.3,18.3,18.3,18.3,28
2018-02-21,,,,18.3,0
2018-02-13,,,,18.3,0
2018-02-12,,,,18.3,0
2018-02-09,,,,18.3,0
2018-02-08,,,,18.3,0
2018-02-07,,,,18.3,0
2018-02-06,,,,18.3,0
2018-02-05,18.3,18.3,18.3,18.3,100
2018-02-02,,,,18.3,0
2018-02-01,,,,18.3,0
2018-01-31,,,,18.3,0
2018-01-30,,,,18.3,0
2018-01-29,,,,18.3,0
2018-01-26,,,,18.3,0
2018-01-25,,,,18.3,0
2018-01-22,,,,18.3,0
2018-01-19,,,,18.3,0
2018-01-18,,,,18.3,0
2018-01-17,,,,18.3,0
2018-01-16,18.3,18.3,18.3,18.3,200
2018-01-15,,,,20.3,0
2018-01-12,,,,20.3,0
2018-01-11,,,,20.3,0
2018-01-10,,,,20.3,0
2018-01-09,,,,20.3,0
2018-01-08,20.3,20.3,20.3,20.3,1000
2018-01-05,,,,18.5,0
2018-01-04,,,,18.5,0
2018-01-03,,,,18.5,0
2018-01-02,,,,18.5,0
2017-12-29,,,,18.5,0
2017-12-28,18.5,18.5,18.5,18.5,2
2017-12-27,,,,18.5,0
2017-12-26,,,,18.5,0
2017-12-25,,,,18.5,0
2017-12-22,,,,18.5,0
2017-12-21,,,,18.5,0
2017-12-20,,,,18.5,0
2017-12-19,,,,18.5,0
2017-12-18,,,,18.5,0
2017-12-15,18.5,18.5,18.5,18.5,30
2017-12-14,,,,18.5,0
2017-12-13,,,,18.5,0
2017-12-12,,,,18.5,0
2017-12-11,,,,18.5,0
2017-12-08,,,,18.5,0
2017-12-07,18.5,18.5,18.5,18.5,100
2017-12-06,,,,17.0,0
2017-12-05,,,,17.0,0
2017-12-04,,,,17.0,0
2017-12-01,,,,17.0,0
2017-11-30,,,,17.0,0
2017-11-29,,,,17.0,0
2017-11-28,17.0,17.0,17.0,17.0,5200
2017-11-27,,,,17.0,0
2017-11-24,17.0,17.0,17.0,17.0,5000
2017-11-23,,,,17.0,0
2017-11-22,,,,17.0,0
2017-11-21,,,,17.0,0
2017-11-20,,,,17.0,0
2017-11-17,,,,17.0,0
2017-11-16,17.0,17.0,17.0,17.0,100
2017-11-15,,,,17.0,0
2017-11-14,,,,17.0,0
2017-11-13,,,,17.0,0
2017-11-10,,,,17.0,0
2017-11-09,,,,17.0,0
2017-11-08,,,,17.0,0
2017-11-07,17.0,17.0,17.0,17.0,15000
2017-11-06,17.0,17.0,17.0,17.0,600
2017-11-03,,,,17.0,0
2017-11-02,,,,17.0,0
2017-11-01,,,,17.0,0
2017-10-31,17.0,17.0,17.0,17.0,6500
2017-10-30,17.0,17.0,17.0,17.0,500
2017-10-27,17.2,17.2,17.2,17.2,200
2017-10-26,17.1,17.3,17.0,17.2,28200
2017-10-25,17.5,17.5,17.5,17.5,4000
2017-10-24,,,,17.0,0
2017-10-23,,,,17.0,0
2017-10-20,17.0,17.0,17.0,17.0,5000
