date,open,high,low,close,volume,adj_close
2017-11-17,,,,,22900,2.6
2017-11-16,2.5,2.6,2.5,2.5,14900,2.5
2017-11-15,2.5,2.6,2.5,2.6,11200,2.6
2017-11-14,2.5,2.6,2.5,2.6,70600,2.6
2017-11-13,2.6,2.6,2.5,2.5,50100,2.5
2017-11-10,2.5,2.6,2.5,2.5,37100,2.5
2017-11-09,2.5,2.6,2.5,2.5,8600,2.5
2017-11-08,2.5,2.6,2.5,2.6,200,2.6
2017-11-07,2.6,2.6,2.6,2.6,10100,2.6
2017-11-06,2.6,2.6,2.4,2.6,2600,2.6
2017-11-03,2.5,2.5,2.3,2.4,172400,2.4
2017-11-02,2.6,2.6,2.5,2.5,23800,2.5
2017-11-01,2.6,2.6,2.5,2.5,69400,2.5
2017-10-31,2.6,2.7,2.5,2.5,302800,2.5
2017-10-30,2.6,2.7,2.5,2.6,690500,2.6
2017-10-27,2.6,2.7,2.6,2.6,8500,2.6
2017-10-26,2.6,2.7,2.6,2.7,239800,2.7
2017-10-25,2.7,2.7,2.6,2.6,53600,2.6
2017-10-24,2.7,2.7,2.6,2.7,8900,2.7
2017-10-23,2.7,2.7,2.6,2.6,241300,2.6
2017-10-20,2.6,2.7,2.6,2.7,39100,2.7
2017-10-19,2.6,2.7,2.5,2.6,151700,2.6
2017-10-18,2.7,2.7,2.6,2.6,121300,2.6
2017-10-17,2.7,2.7,2.6,2.6,99700,2.6
2017-10-16,2.6,2.7,2.6,2.6,231100,2.6
2017-10-13,2.7,2.7,2.6,2.7,27500,2.7
2017-10-12,2.6,2.7,2.6,2.7,53800,2.7
2017-10-11,2.6,2.7,2.6,2.7,201100,2.7
2017-10-10,2.7,2.7,2.6,2.7,113800,2.7
2017-10-09,2.7,2.7,2.6,2.7,600,2.7
2017-10-06,2.6,2.7,2.6,2.7,115400,2.7
2017-10-05,2.7,2.7,2.6,2.6,254700,2.6
2017-10-04,2.6,2.7,2.6,2.7,22500,2.7
2017-10-03,2.6,2.7,2.6,2.6,141600,2.6
2017-10-02,2.6,2.7,2.6,2.6,30300,2.6
2017-09-29,2.7,2.7,2.6,2.7,185200,2.7
2017-09-28,2.6,2.7,2.6,2.6,247500,2.6
2017-09-27,2.6,2.7,2.6,2.6,34000,2.6
2017-09-26,2.6,2.7,2.6,2.7,274800,2.7
2017-09-25,2.6,2.7,2.6,2.6,107600,2.6
2017-09-22,2.7,2.7,2.6,2.7,103300,2.7
2017-09-21,2.7,2.8,2.6,2.6,258500,2.6
2017-09-20,2.7,2.8,2.6,2.8,63000,2.8
2017-09-19,2.7,2.8,2.7,2.8,92700,2.8
2017-09-18,2.6,2.7,2.5,2.7,371900,2.7
2017-09-15,2.6,2.8,2.6,2.6,126700,2.6
2017-09-14,2.9,2.9,2.6,2.8,157100,2.8
2017-09-13,2.6,2.9,2.6,2.8,112500,2.8
2017-09-12,2.7,2.9,2.6,2.7,1371800,2.7
2017-09-11,2.5,2.7,2.4,2.7,339200,2.7
2017-09-08,2.5,2.6,2.4,2.5,25000,2.5
2017-09-07,2.6,2.6,2.4,2.5,43200,2.5
2017-09-06,2.4,2.6,2.4,2.6,298100,2.6
2017-09-05,2.4,2.6,2.4,2.4,60500,2.4
2017-09-01,2.5,2.5,2.4,2.5,284600,2.5
2017-08-31,2.4,2.5,2.4,2.4,224000,2.4
2017-08-30,2.5,2.5,2.4,2.5,4300,2.5
2017-08-29,2.4,2.5,2.4,2.4,91800,2.4
2017-08-28,2.4,2.5,2.4,2.5,89000,2.5
2017-08-25,2.4,2.5,2.4,2.4,130400,2.4
2017-08-24,2.5,2.5,2.3,2.4,157870,2.4
2017-08-23,2.5,2.5,2.3,2.5,204300,2.5
2017-08-22,2.5,2.5,2.3,2.5,99300,2.5
2017-08-21,2.4,2.5,2.3,2.5,89250,2.5
2017-08-18,2.4,2.4,2.3,2.4,132300,2.4
2017-08-17,2.5,2.5,2.3,2.4,119900,2.4
2017-08-16,2.4,2.5,2.3,2.4,215000,2.4
2017-08-15,2.3,2.5,2.3,2.3,153500,2.3
2017-08-14,2.4,2.5,2.4,2.5,395400,2.5
2017-08-11,2.4,2.6,2.3,2.6,458200,2.6
2017-08-10,2.7,2.7,2.5,2.5,564700,2.5
2017-08-09,2.7,2.7,2.6,2.7,2128900,2.7
2017-08-08,2.3,2.5,2.3,2.5,681900,2.5
2017-08-07,2.3,2.3,2.2,2.3,120000,2.3
2017-08-04,2.3,2.3,2.2,2.2,33200,2.2
2017-08-03,2.2,2.4,2.2,2.3,195910,2.3
2017-08-02,2.1,2.3,2.1,2.2,37800,2.2
2017-08-01,2.2,2.3,2.1,2.3,175200,2.3
2017-07-31,2.2,2.3,2.1,2.2,314600,2.2
2017-07-28,2.2,2.2,2.1,2.1,32800,2.1
2017-07-27,2.2,2.2,2.1,2.1,45300,2.1
2017-07-26,2.1,2.2,2.1,2.2,61600,2.2
2017-07-25,2.1,2.2,2.1,2.1,26000,2.1
2017-07-24,2.1,2.2,2.1,2.1,102000,2.1
2017-07-21,2.3,2.3,2.1,2.2,83400,2.2
2017-07-20,2.3,2.3,2.1,2.3,59190,2.3
2017-07-19,2.2,2.2,2.1,2.2,142900,2.2
2017-07-18,2.1,2.2,2.1,2.2,161200,2.2
2017-07-17,2.2,2.2,2.1,2.2,322200,2.2
2017-07-14,2.1,2.2,2.1,2.1,156300,2.1
2017-07-13,2.1,2.2,2.1,2.1,85000,2.1
2017-07-12,2.1,2.2,2.1,2.1,41500,2.1
2017-07-11,2.1,2.2,2.1,2.2,135500,2.2
2017-07-10,2.2,2.2,2.1,2.2,231800,2.2
2017-07-07,2.2,2.2,2.1,2.1,210400,2.1
2017-07-06,2.3,2.3,2.1,2.2,482400,2.2
2017-07-05,2.2,2.3,2.2,2.3,248900,2.3
2017-07-04,2.1,2.4,2.1,2.3,590300,2.3
2017-07-03,2.2,2.3,2.1,2.2,266300,2.2
2017-06-30,2.2,2.2,2.1,2.1,311200,2.1
2017-06-29,2.2,2.3,2.1,2.1,152955,2.1
2017-06-28,2.2,2.2,2.0,2.2,243700,2.2
2017-06-27,2.1,2.2,2.1,2.2,51900,2.2
2017-06-26,2.3,2.3,2.1,2.2,22700,2.2
2017-06-23,2.2,2.3,2.1,2.3,134755,2.3
2017-06-22,2.2,2.3,2.2,2.2,179500,2.2
2017-06-21,2.1,2.1,2.1,2.1,175200,2.1
2017-06-20,2.1,2.2,2.1,2.1,104300,2.1
2017-06-19,2.1,2.1,2.0,2.1,91800,2.1
2017-06-16,2.2,2.2,2.1,2.1,163000,2.1
2017-06-15,2.1,2.3,2.0,2.3,99100,2.3
2017-06-14,2.3,2.4,2.1,2.1,238300,2.1
2017-06-13,2.1,2.2,2.1,2.2,577145,2.2
2017-06-12,1.9,2.0,1.9,2.0,149500,2.0
2017-06-09,1.9,1.9,1.9,1.9,145800,1.9
