date,open,high,low,close,volume
2017-10-06,16.0,16.3,16.0,16.2,72600
2017-10-05,15.8,16.1,15.7,16.1,57000
2017-10-04,15.9,16.2,15.9,15.9,90900
2017-10-03,15.9,16.1,15.5,15.9,117405
2017-10-02,16.0,16.4,15.9,15.9,121200
2017-09-29,16.0,16.2,15.7,16.0,286200
2017-09-28,16.0,16.3,15.5,15.5,106850
2017-09-27,16.2,16.2,15.9,16.0,25080
2017-09-26,15.7,16.5,15.6,16.2,198100
2017-09-25,15.7,16.0,15.1,15.6,160000
2017-09-22,15.7,16.3,15.7,15.9,81100
2017-09-21,16.0,16.5,16.0,16.2,42600
2017-09-20,16.5,16.5,15.6,16.0,104800
2017-09-19,17.8,17.8,16.3,16.4,224400
2017-09-18,16.2,17.3,16.0,17.3,266880
2017-09-15,16.2,16.2,15.8,16.2,107800
2017-09-14,14.8,16.2,14.6,16.2,383800
2017-09-13,14.1,15.0,14.1,14.8,153800
2017-09-12,14.1,14.2,14.1,14.1,67610
2017-09-11,14.4,14.5,14.1,14.1,246400
2017-09-08,14.3,14.5,14.0,14.3,164600
2017-09-07,14.4,14.5,14.0,14.3,286100
2017-09-06,13.4,14.4,13.4,14.2,604000
2017-09-05,13.2,13.5,13.1,13.4,153090
2017-09-01,12.6,13.3,12.6,13.3,195640
2017-08-31,12.8,12.8,12.4,12.5,124200
2017-08-30,12.8,13.0,12.5,12.8,42790
2017-08-29,12.9,13.0,12.9,13.0,18400
2017-08-28,13.5,13.6,13.0,13.0,77500
2017-08-25,12.8,13.5,12.6,13.3,197190
2017-08-24,12.5,12.7,12.4,12.6,62820
2017-08-23,12.4,12.6,12.4,12.5,48800
2017-08-22,12.5,12.5,12.4,12.4,61000
2017-08-21,12.3,12.5,12.2,12.5,22800
2017-08-18,12.3,12.5,12.1,12.4,17706
2017-08-17,12.6,12.6,12.3,12.3,77000
2017-08-16,12.2,12.7,12.2,12.7,57400
2017-08-15,12.5,12.5,12.2,12.4,66200
2017-08-14,12.5,12.8,12.3,12.6,134440
2017-08-11,12.5,12.5,12.2,12.4,62610
2017-08-10,12.0,12.8,12.0,12.6,10900
2017-08-09,12.7,12.8,11.9,12.5,168000
2017-08-08,13.0,13.0,12.8,12.9,101200
2017-08-07,14.0,14.0,13.0,13.0,172570
2017-08-04,12.5,13.5,12.3,13.3,198510
2017-08-03,12.6,12.8,12.4,12.5,100000
2017-08-02,12.5,13.1,12.3,12.7,178870
2017-08-01,11.8,12.7,11.8,12.5,415750
2017-07-31,11.9,11.9,11.6,11.6,30710
2017-07-28,11.6,12.2,11.6,11.8,231710
2017-07-27,11.3,11.5,11.2,11.5,39400
2017-07-26,11.4,12.0,11.2,11.3,107210
2017-07-25,11.3,11.3,11.0,11.3,138990
2017-07-24,11.8,11.8,11.3,11.5,126615
2017-07-21,12.1,12.1,11.9,11.9,115160
2017-07-20,12.1,12.5,12.0,12.0,219590
2017-07-19,12.0,12.3,11.9,12.0,71320
2017-07-18,12.4,12.4,12.0,12.0,90800
2017-07-17,12.4,12.8,12.4,12.5,116810
2017-07-14,12.8,12.8,12.4,12.4,100880
2017-07-13,11.9,12.8,11.9,12.8,392656
2017-07-12,11.6,11.8,11.6,11.7,107600
2017-07-11,11.3,11.7,11.3,11.6,54200
2017-07-10,11.0,11.3,11.0,11.3,61912
2017-07-07,11.2,11.2,11.0,11.1,120200
2017-07-06,11.1,11.2,11.0,11.2,100415
2017-07-05,11.1,11.4,11.0,11.2,104500
2017-07-04,11.2,11.2,11.0,11.1,24800
2017-07-03,11.0,11.3,10.8,11.2,53000
2017-06-30,11.3,11.3,11.0,11.0,49710
2017-06-29,11.0,11.4,10.9,11.3,101300
2017-06-28,10.8,11.0,10.8,10.8,87800
2017-06-27,10.7,11.0,10.7,10.8,77510
2017-06-26,10.9,11.0,10.7,10.8,77905
2017-06-23,10.7,11.0,10.7,10.8,23200
2017-06-22,10.7,10.9,10.5,10.5,103000
2017-06-21,11.0,11.2,10.6,10.8,125400
2017-06-20,12.0,12.0,11.0,11.3,40100
2017-06-19,11.7,11.7,11.4,11.5,32065
2017-06-16,11.1,12.0,11.1,11.7,109720
2017-06-15,11.5,11.5,11.0,11.1,80260
2017-06-14,11.0,11.0,10.9,10.9,25200
2017-06-13,10.7,11.1,10.7,11.0,91900
2017-06-12,11.2,11.4,10.7,10.7,118610
2017-06-09,12.0,12.0,11.4,11.6,93500
2017-06-08,11.4,12.5,10.4,12.0,311820
2017-06-07,10.4,11.4,10.4,11.4,313065
2017-06-06,10.5,10.5,10.4,10.4,41305
2017-06-05,10.4,10.5,10.4,10.5,7500
2017-06-02,10.4,10.6,10.4,10.5,57300
2017-06-01,10.3,10.4,10.3,10.4,31400
2017-05-31,10.3,10.3,10.3,10.3,50000
2017-05-30,10.2,10.3,10.2,10.2,66500
2017-05-29,10.2,10.3,10.2,10.3,64300
2017-05-26,10.1,10.5,10.1,10.3,98200
2017-05-25,10.3,10.3,10.2,10.3,56100
2017-05-24,10.3,10.4,10.3,10.3,31200
2017-05-23,10.5,10.5,10.3,10.3,34000
2017-05-22,10.3,10.6,10.3,10.5,99500
2017-05-19,10.1,10.3,10.1,10.3,53747
2017-05-18,10.1,10.2,10.0,10.1,43800
2017-05-17,10.4,10.4,10.0,10.1,130000
2017-05-16,10.5,10.5,10.2,10.5,26500
2017-05-15,10.3,10.5,10.3,10.5,48800
2017-05-12,10.5,10.5,10.3,10.3,28303
2017-05-11,10.2,10.5,10.1,10.5,71100
2017-05-10,10.2,10.4,10.1,10.1,87515
2017-05-09,10.2,10.2,10.1,10.2,93700
2017-05-08,10.3,10.4,10.0,10.2,96900
2017-05-05,10.4,10.4,10.2,10.3,159315
2017-05-04,10.2,10.4,10.2,10.4,89100
2017-05-03,10.2,10.3,10.2,10.2,68000
2017-04-28,10.5,10.7,10.3,10.4,143130
2017-04-27,10.1,10.9,10.1,10.5,111075
2017-04-26,10.0,10.1,9.9,10.1,50500
2017-04-25,10.0,10.0,9.0,10.0,48330
2017-04-24,9.9,10.0,9.7,10.0,167800
2017-04-21,9.9,9.9,9.8,9.9,184700
2017-04-20,10.0,10.0,9.9,9.9,158400
2017-04-19,10.0,10.1,9.9,10.0,57900
2017-04-18,10.0,10.0,10.0,10.0,62200
2017-04-17,10.0,10.1,9.9,10.0,20500
2017-04-14,10.0,10.2,10.0,10.0,5700
2017-04-13,10.2,10.2,10.0,10.0,38000
2017-04-12,10.2,10.4,10.0,10.1,36500
2017-04-11,10.1,10.2,10.0,10.1,13200
2017-04-10,10.0,10.1,10.0,10.1,40000
2017-04-07,10.1,10.1,10.0,10.1,9100
2017-04-05,10.2,10.2,10.0,10.0,30900
2017-04-04,10.0,10.2,10.0,10.0,29000
2017-04-03,10.0,10.3,10.0,10.3,16900
2017-03-31,10.0,10.1,10.0,10.0,28500
2017-03-30,10.0,10.2,9.9,10.0,46500
2017-03-29,10.5,10.5,9.9,9.9,34000
2017-03-28,10.2,10.5,10.1,10.3,24800
2017-03-27,10.4,10.4,10.0,10.0,87100
2017-03-24,10.5,10.5,10.4,10.5,37937
2017-03-23,10.5,10.6,10.5,10.6,6500
2017-03-22,10.7,10.7,10.4,10.6,113000
2017-03-21,10.7,10.8,10.7,10.7,37600
2017-03-20,10.7,10.8,10.6,10.7,51732
2017-03-17,10.7,10.8,10.6,10.7,12600
2017-03-16,10.7,10.8,10.6,10.8,28000
2017-03-15,10.8,10.8,10.7,10.7,22600
2017-03-14,10.8,11.0,10.7,11.0,45040
2017-03-13,10.7,10.8,10.7,10.7,54100
2017-03-10,10.7,11.0,10.7,10.8,28700
2017-03-09,11.5,11.5,10.7,10.7,97410
