date,open,high,low,close,volume,adj_close
2017-12-01,,,,,4100,20.0
2017-11-30,20.0,20.1,20.0,20.0,17200,20.0
2017-11-29,20.1,20.1,20.0,20.0,12000,20.0
2017-11-28,20.0,20.1,20.0,20.0,6600,20.0
2017-11-27,20.0,20.0,19.8,20.0,29500,20.0
2017-11-24,20.0,20.0,20.0,20.0,85500,20.0
2017-11-23,20.0,20.0,20.0,20.0,100,20.0
2017-11-22,20.1,20.1,19.2,19.2,30900,19.2
2017-11-21,20.0,20.0,18.5,20.0,5200,20.0
2017-11-20,20.0,20.0,20.0,20.0,7500,20.0
2017-11-17,20.0,20.1,20.0,20.0,16500,20.0
2017-11-16,20.0,20.1,20.0,20.0,33500,20.0
2017-11-15,20.0,20.0,20.0,20.0,8800,20.0
2017-11-14,20.0,20.1,20.0,20.1,37700,20.1
2017-11-13,20.8,20.8,20.0,20.0,5200,20.0
2017-11-10,20.0,20.0,20.0,20.0,1800,20.0
2017-11-09,20.9,20.9,19.9,19.9,1600,19.9
2017-11-08,20.7,20.7,20.0,20.7,11200,20.7
2017-11-07,20.3,20.3,20.0,20.0,19900,20.0
2017-11-06,21.5,21.5,21.5,21.5,100,21.5
2017-11-03,21.0,21.0,21.0,21.0,2300,21.0
2017-11-02,20.5,21.0,20.2,21.0,6200,21.0
2017-11-01,21.5,21.5,21.0,21.0,2100,21.0
2017-10-31,21.5,21.5,21.0,21.0,200,21.0
2017-10-30,22.0,22.0,20.5,21.0,20600,21.0
2017-10-27,22.3,22.3,21.5,21.5,7000,21.5
2017-10-26,21.9,22.0,21.6,21.6,5600,21.6
2017-10-25,22.2,22.3,22.0,22.0,16400,22.0
2017-10-24,22.3,22.4,21.5,22.3,12900,22.3
2017-10-23,22.9,22.9,21.5,22.5,12000,22.5
2017-10-20,22.5,22.7,22.3,22.5,3900,22.5
2017-10-19,22.5,22.5,22.5,22.5,0,22.5
2017-10-18,22.5,22.5,22.5,22.5,100,22.5
2017-10-17,22.5,22.5,22.5,22.5,100,22.5
2017-10-16,22.2,22.2,22.2,22.2,0,22.2
2017-10-13,22.2,22.2,22.2,22.2,100,22.2
2017-10-12,22.2,22.2,22.0,22.0,3000,22.0
2017-10-11,22.6,22.6,22.6,22.6,0,22.6
2017-10-10,22.6,22.6,22.6,22.6,100,22.6
2017-10-09,22.5,22.5,21.8,22.0,5600,22.0
2017-10-06,22.5,22.7,22.5,22.7,3700,22.7
2017-10-05,22.6,22.8,22.6,22.7,22600,22.7
2017-10-04,22.8,22.8,22.8,22.8,11300,22.8
2017-10-03,22.8,22.8,22.8,22.8,9200,22.8
2017-10-02,22.7,22.8,22.7,22.8,6500,22.8
2017-09-29,22.0,22.0,22.0,22.0,500,22.0
2017-09-28,21.5,22.1,21.5,22.1,1800,22.1
2017-09-27,21.7,21.7,21.7,21.7,600,21.7
2017-09-26,22.1,22.1,22.1,22.1,0,22.1
2017-09-25,22.1,22.1,22.1,22.1,700,22.1
2017-09-22,22.0,22.0,22.0,22.0,800,22.0
2017-09-21,22.0,22.0,22.0,22.0,3500,22.0
2017-09-20,22.0,22.0,22.0,22.0,100,22.0
2017-09-19,22.0,22.0,22.0,22.0,4300,22.0
2017-09-18,22.0,22.0,21.7,22.0,13900,22.0
2017-09-15,21.7,21.7,21.7,21.7,1500,21.7
2017-09-14,21.8,21.9,21.8,21.8,5600,21.8
2017-09-13,21.8,21.8,21.5,21.8,3200,21.8
2017-09-12,21.8,21.8,21.8,21.8,1500,21.8
2017-09-11,21.7,21.8,21.7,21.8,2900,21.8
2017-09-08,21.8,21.8,21.7,21.7,15200,21.7
2017-09-07,21.9,22.8,21.8,22.8,16800,22.8
2017-09-06,22.0,22.0,22.0,22.0,200,22.0
2017-09-05,22.0,22.3,22.0,22.0,2300,22.0
2017-09-01,21.3,22.0,21.3,22.0,1800,22.0
2017-08-31,22.0,22.0,21.5,21.5,6200,21.5
2017-08-30,22.8,22.8,22.5,22.5,9000,22.5
2017-08-29,23.0,23.0,23.0,23.0,0,23.0
2017-08-28,25.6,25.6,23.0,23.0,15500,23.0
2017-08-25,23.2,25.5,22.8,25.5,23700,25.5
2017-08-24,23.1,23.2,23.1,23.2,600,23.2
2017-08-23,22.3,23.5,22.3,23.1,9660,23.1
2017-08-22,22.8,22.8,22.8,22.8,0,22.8
2017-08-21,23.0,23.0,22.8,22.8,4652,22.8
2017-08-18,22.5,22.8,22.5,22.8,2500,22.8
2017-08-17,22.7,22.8,22.5,22.8,8690,22.8
2017-08-16,20.8,23.0,20.8,22.5,4200,22.5
2017-08-15,22.0,22.5,22.0,22.5,6100,22.5
2017-08-14,22.0,22.1,22.0,22.0,900,22.0
2017-08-11,22.0,22.0,22.0,22.0,0,22.0
2017-08-10,22.0,22.0,22.0,22.0,2000,22.0
2017-08-09,21.0,22.0,21.0,22.0,5400,22.0
2017-08-08,21.1,22.0,21.0,22.0,8300,22.0
2017-08-07,21.0,21.1,21.0,21.1,5300,21.1
2017-08-04,21.0,21.0,21.0,21.0,4000,21.0
2017-08-03,21.0,21.0,21.0,21.0,5300,21.0
