date,open,high,low,close,volume,adj_close
2017-12-29,,,,,100,6.0
2017-12-28,6.6,6.6,6.6,6.6,100,6.6
2017-12-27,7.3,7.3,7.3,7.3,100,7.3
2017-12-26,8.1,8.1,8.1,8.1,0,8.1
2017-12-25,8.1,8.1,8.1,8.1,0,8.1
2017-12-22,8.1,8.1,8.1,8.1,0,8.1
2017-12-21,8.1,8.1,8.1,8.1,0,8.1
2017-12-20,8.1,8.1,8.1,8.1,0,8.1
2017-12-19,8.1,8.1,8.1,8.1,0,8.1
2017-12-18,8.1,8.1,8.1,8.1,0,8.1
2017-12-15,8.1,8.1,8.1,8.1,0,8.1
2017-12-14,8.1,8.1,8.1,8.1,0,8.1
2017-12-13,8.1,8.1,8.1,8.1,0,8.1
2017-12-12,8.1,8.1,8.1,8.1,0,8.1
2017-12-11,8.1,8.1,8.1,8.1,0,8.1
2017-12-08,8.1,8.1,8.1,8.1,0,8.1
2017-12-07,8.1,8.1,8.1,8.1,0,8.1
2017-12-06,8.1,8.1,8.1,8.1,0,8.1
2017-12-05,8.1,8.1,8.1,8.1,0,8.1
2017-12-04,8.1,8.1,8.1,8.1,0,8.1
2017-12-01,8.1,8.1,8.1,8.1,0,8.1
2017-11-30,8.1,8.1,8.1,8.1,0,8.1
2017-11-29,8.1,8.1,8.1,8.1,0,8.1
2017-11-28,8.1,8.1,8.1,8.1,0,8.1
2017-11-27,8.1,8.1,8.1,8.1,0,8.1
2017-11-24,8.1,8.1,8.1,8.1,0,8.1
2017-11-23,8.1,8.1,8.1,8.1,0,8.1
2017-11-22,8.1,8.1,8.1,8.1,0,8.1
2017-11-21,8.1,8.1,8.1,8.1,0,8.1
2017-11-20,8.1,8.1,8.1,8.1,0,8.1
2017-11-17,8.1,8.1,8.1,8.1,0,8.1
2017-11-16,8.1,8.1,8.1,8.1,0,8.1
2017-11-15,8.1,8.1,8.1,8.1,0,8.1
2017-11-14,8.1,8.1,8.1,8.1,0,8.1
2017-11-13,8.1,8.1,8.1,8.1,0,8.1
2017-11-10,8.1,8.1,8.1,8.1,0,8.1
2017-11-09,8.1,8.1,8.1,8.1,0,8.1
2017-11-08,8.1,8.1,8.1,8.1,0,8.1
2017-11-07,8.1,8.1,8.1,8.1,0,8.1
2017-11-06,8.1,8.1,8.1,8.1,100,8.1
2017-11-03,8.9,8.9,8.9,8.9,0,8.9
2017-11-02,8.9,8.9,8.9,8.9,0,8.9
2017-11-01,8.9,8.9,8.9,8.9,0,8.9
2017-10-31,8.9,8.9,8.9,8.9,100,8.9
2017-10-30,9.8,9.8,9.8,9.8,0,9.8
2017-10-27,9.8,9.8,9.8,9.8,0,9.8
2017-10-26,9.8,9.8,9.8,9.8,0,9.8
2017-10-25,9.8,9.8,9.8,9.8,0,9.8
2017-10-24,9.8,9.8,9.8,9.8,0,9.8
2017-10-23,9.8,9.8,9.8,9.8,0,9.8
2017-10-20,9.8,9.8,9.8,9.8,0,9.8
2017-10-19,9.8,9.8,9.8,9.8,100,9.8
2017-10-18,9.0,9.0,9.0,9.0,0,9.0
2017-10-17,9.0,9.0,9.0,9.0,0,9.0
2017-10-16,9.0,9.0,9.0,9.0,0,9.0
2017-10-13,11.0,11.0,9.0,9.0,200,9.0
2017-10-12,10.0,10.0,10.0,10.0,0,10.0
2017-10-11,10.0,10.0,10.0,10.0,0,10.0
2017-10-10,10.0,10.0,10.0,10.0,0,10.0
2017-10-09,10.0,10.0,10.0,10.0,0,10.0
2017-10-06,10.0,10.0,10.0,10.0,0,10.0
2017-10-05,10.0,10.0,10.0,10.0,0,10.0
2017-10-04,10.0,10.0,10.0,10.0,0,10.0
2017-10-03,10.0,10.0,10.0,10.0,100,10.0
2017-10-02,9.3,9.3,9.3,9.3,0,9.3
2017-09-29,9.3,9.3,9.3,9.3,0,9.3
2017-09-28,9.3,9.3,9.3,9.3,100,9.3
2017-09-27,8.6,8.6,8.5,8.5,200,8.5
2017-09-26,9.4,9.4,9.4,9.4,200,9.4
2017-09-25,10.4,10.4,10.4,10.4,0,10.4
2017-09-22,10.4,10.4,10.4,10.4,0,10.4
2017-09-21,10.4,10.4,10.4,10.4,0,10.4
2017-09-20,10.4,10.4,10.4,10.4,0,10.4
2017-09-19,10.4,10.4,10.4,10.4,0,10.4
2017-09-18,10.4,10.4,10.4,10.4,0,10.4
2017-09-15,10.4,10.4,10.4,10.4,0,10.4
2017-09-14,10.4,10.4,10.4,10.4,0,10.4
2017-09-13,10.4,10.4,10.4,10.4,0,10.4
2017-09-12,10.4,10.4,10.4,10.4,0,10.4
2017-09-11,10.4,10.4,10.4,10.4,0,10.4
2017-09-08,10.4,10.4,10.4,10.4,0,10.4
2017-09-07,10.4,10.4,10.4,10.4,0,10.4
2017-09-06,10.4,10.4,10.4,10.4,0,10.4
2017-09-05,10.4,10.4,10.4,10.4,0,10.4
2017-09-01,10.4,10.4,10.4,10.4,0,10.4
2017-08-31,10.4,10.4,10.4,10.4,0,10.4
2017-08-30,10.4,10.4,10.4,10.4,0,10.4
2017-08-29,10.4,10.4,10.4,10.4,0,10.4
2017-08-28,10.4,10.4,10.4,10.4,0,10.4
2017-08-25,10.4,10.4,10.4,10.4,580,10.4
2017-08-24,11.0,11.0,11.0,11.0,0,11.0
2017-08-23,11.0,11.0,11.0,11.0,100,11.0
2017-08-22,11.8,11.8,11.8,11.8,0,11.8
2017-08-21,11.8,11.8,11.8,11.8,0,11.8
2017-08-18,11.8,11.8,11.8,11.8,0,11.8
2017-08-17,11.8,11.8,11.8,11.8,5,11.8
2017-08-16,11.8,11.8,11.8,11.8,0,11.8
2017-08-15,11.8,11.8,11.8,11.8,0,11.8
2017-08-14,11.8,11.8,11.8,11.8,0,11.8
2017-08-11,11.8,11.8,11.8,11.8,0,11.8
2017-08-10,11.8,11.8,11.8,11.8,0,11.8
2017-08-09,11.8,11.8,11.8,11.8,0,11.8
2017-08-08,11.8,11.8,11.8,11.8,0,11.8
2017-08-07,11.8,11.8,11.8,11.8,0,11.8
2017-08-04,11.8,11.8,11.8,11.8,0,11.8
2017-08-03,11.8,11.8,11.8,11.8,0,11.8
2017-08-02,11.8,11.8,11.8,11.8,0,11.8
2017-08-01,11.8,11.8,11.8,11.8,0,11.8
2017-07-31,11.8,11.8,11.8,11.8,0,11.8
2017-07-28,11.8,11.8,11.8,11.8,0,11.8
2017-07-27,11.8,11.8,11.8,11.8,0,11.8
2017-07-26,11.8,11.8,11.8,11.8,0,11.8
2017-07-25,11.8,11.8,11.8,11.8,0,11.8
2017-07-24,11.8,11.8,11.8,11.8,0,11.8
2017-07-21,11.8,11.8,11.8,11.8,0,11.8
2017-07-20,11.8,11.8,11.8,11.8,100,11.8
2017-07-19,13.1,13.1,13.1,13.1,0,13.1
2017-07-18,13.1,13.1,13.1,13.1,0,13.1
2017-07-17,13.1,13.1,13.1,13.1,0,13.1
2017-07-14,13.1,13.1,13.1,13.1,0,13.1
2017-07-13,13.1,13.1,13.1,13.1,0,13.1
2017-07-12,13.1,13.1,13.1,13.1,0,13.1
2017-07-11,13.1,13.1,13.1,13.1,0,13.1
2017-07-10,13.1,13.1,13.1,13.1,0,13.1
2017-07-07,13.1,13.1,13.1,13.1,0,13.1
2017-07-06,13.1,13.1,13.1,13.1,0,13.1
2017-07-05,13.1,13.1,13.1,13.1,0,13.1
2017-07-04,13.1,13.1,13.1,13.1,0,13.1
2017-07-03,13.1,13.1,13.1,13.1,0,13.1
2017-06-30,13.1,13.1,13.1,13.1,0,13.1
2017-06-29,13.1,13.1,13.1,13.1,0,13.1
2017-06-28,13.1,13.1,13.1,13.1,0,13.1
2017-06-27,13.1,13.1,13.1,13.1,0,13.1
2017-06-26,13.1,13.1,13.1,13.1,0,13.1
2017-06-23,13.1,13.1,13.1,13.1,0,13.1
2017-06-22,13.1,13.1,13.1,13.1,0,13.1
2017-06-21,13.1,13.1,13.1,13.1,0,13.1
2017-06-20,13.1,13.1,13.1,13.1,0,13.1
2017-06-19,13.1,13.1,13.1,13.1,0,13.1
2017-06-16,13.1,13.1,13.1,13.1,0,13.1
2017-06-15,13.1,13.1,13.1,13.1,0,13.1
2017-06-14,13.1,13.1,13.1,13.1,0,13.1
2017-06-13,13.1,13.1,13.1,13.1,0,13.1
2017-06-12,13.1,13.1,13.1,13.1,0,13.1
2017-06-09,13.1,13.1,13.1,13.1,0,13.1
2017-06-08,13.1,13.1,13.1,13.1,0,13.1
2017-06-07,13.1,13.1,13.1,13.1,0,13.1
2017-06-06,13.1,13.1,13.1,13.1,0,13.1
2017-06-05,13.1,13.1,13.1,13.1,0,13.1
2017-06-02,13.1,13.1,13.1,13.1,0,13.1
2017-06-01,13.1,13.1,13.1,13.1,0,13.1
2017-05-31,13.1,13.1,13.1,13.1,0,13.1
2017-05-30,13.1,13.1,13.1,13.1,0,13.1
2017-05-29,13.1,13.1,13.1,13.1,0,13.1
2017-05-26,13.1,13.1,13.1,13.1,0,13.1
2017-05-25,13.1,13.1,13.1,13.1,0,13.1
2017-05-24,13.1,13.1,13.1,13.1,0,13.1
2017-05-23,13.1,13.1,13.1,13.1,0,13.1
2017-05-22,13.1,13.1,13.1,13.1,100,13.1
2017-05-19,13.1,13.1,13.1,13.1,100,13.1
2017-05-18,14.5,14.5,14.5,14.5,0,14.5
2017-05-17,14.5,14.5,14.5,14.5,0,14.5
2017-05-16,14.5,14.5,14.5,14.5,0,14.5
2017-05-15,14.5,14.5,14.5,14.5,0,14.5
2017-05-12,14.5,14.5,14.5,14.5,0,14.5
2017-05-11,14.5,14.5,14.5,14.5,0,14.5
2017-05-10,14.5,14.5,14.5,14.5,0,14.5
2017-05-09,14.5,14.5,14.5,14.5,0,14.5
2017-05-08,14.5,14.5,14.5,14.5,0,14.5
2017-05-05,14.5,14.5,14.5,14.5,0,14.5
2017-05-04,14.5,14.5,14.5,14.5,0,14.5
2017-05-03,14.5,14.5,14.5,14.5,10,14.5
2017-04-28,14.5,14.5,14.5,14.5,100,14.5
2017-04-27,16.1,16.1,16.1,16.1,0,16.1
2017-04-26,16.1,16.1,16.1,16.1,0,16.1
2017-04-25,16.1,16.1,16.1,16.1,0,16.1
2017-04-24,16.1,16.1,16.1,16.1,0,16.1
2017-04-21,16.1,16.1,16.1,16.1,0,16.1
2017-04-20,16.1,16.1,16.1,16.1,0,16.1
2017-04-19,16.1,16.1,16.1,16.1,0,16.1
2017-04-18,16.1,16.1,16.1,16.1,0,16.1
2017-04-17,16.1,16.1,16.1,16.1,0,16.1
2017-04-14,16.1,16.1,16.1,16.1,0,16.1
2017-04-13,16.1,16.1,16.1,16.1,0,16.1
2017-04-12,16.1,16.1,16.1,16.1,0,16.1
2017-04-11,16.1,16.1,16.1,16.1,0,16.1
2017-04-10,16.1,16.1,16.1,16.1,0,16.1
