date,open,high,low,close,volume
2018-04-11,15.9,15.9,15.7,15.75,50660
2018-04-10,15.65,15.8,15.6,15.8,53560
2018-04-09,15.6,15.8,15.6,15.65,81510
2018-04-06,15.45,15.8,15.4,15.8,44180
2018-04-05,15.3,15.5,15.2,15.5,24220
2018-04-04,15.2,15.3,15.15,15.2,93880
2018-04-03,15.3,15.6,15.15,15.3,26150
2018-04-02,15.3,15.45,15.3,15.4,28050
2018-03-30,15.1,15.4,15.1,15.3,26900
2018-03-29,15.6,15.6,15.3,15.3,32070
2018-03-28,15.5,15.5,15.5,15.5,6100
2018-03-27,15.7,15.7,15.4,15.5,18120
2018-03-26,15.7,15.7,15.35,15.7,2550
2018-03-23,15.7,15.7,15.7,15.7,6750
2018-03-22,15.7,15.7,15.7,15.7,5840
2018-03-21,15.8,15.8,15.7,15.8,59220
2018-03-20,15.7,15.8,15.7,15.8,29210
2018-03-19,15.9,15.9,15.8,15.9,54230
2018-03-16,15.75,15.9,15.7,15.75,45560
2018-03-15,16.0,16.0,15.85,15.9,23170
2018-03-14,15.9,16.0,15.8,16.0,105040
2018-03-13,15.9,15.9,14.8,15.9,21350
2018-03-12,15.9,15.9,15.8,15.9,11850
2018-03-09,15.8,15.9,15.8,15.9,43740
2018-03-08,15.95,15.95,15.8,15.9,8150
2018-03-07,15.95,15.95,15.85,15.85,41740
2018-03-06,15.85,15.85,15.8,15.85,13970
2018-03-05,15.85,15.9,15.8,15.85,18860
2018-03-02,15.7,16.0,15.65,15.85,7570
2018-03-01,15.8,16.15,15.8,16.0,5140
2018-02-28,16.2,16.2,15.9,15.9,22670
2018-02-27,15.85,16.2,15.85,16.2,49440
2018-02-26,16.0,16.2,15.9,16.0,21360
2018-02-23,16.1,16.2,16.1,16.2,3480
2018-02-22,16.1,16.5,16.1,16.2,20910
2018-02-21,16.9,16.9,16.2,16.5,11120
2018-02-13,16.2,16.3,16.1,16.3,5110
2018-02-12,15.9,16.35,15.85,16.35,32670
2018-02-09,15.8,15.95,15.8,15.9,17320
2018-02-08,15.95,16.0,15.9,15.9,29930
2018-02-07,16.0,16.0,16.0,16.0,12010
2018-02-06,16.0,16.0,15.5,15.6,81810
2018-02-05,16.1,16.1,16.0,16.0,53050
2018-02-02,16.1,16.1,16.0,16.1,37330
2018-02-01,16.1,16.2,16.1,16.1,86000
2018-01-31,16.0,16.2,16.0,16.2,34620
2018-01-30,16.1,16.1,15.8,16.0,45160
2018-01-29,16.1,16.2,16.1,16.1,39750
2018-01-26,16.2,16.25,16.1,16.2,63630
2018-01-25,16.3,16.3,16.15,16.2,27730
2018-01-22,16.25,16.35,16.2,16.3,94650
2018-01-19,16.25,16.3,16.2,16.25,54880
2018-01-18,15.95,16.4,15.95,16.25,42180
2018-01-17,16.2,16.3,16.2,16.2,34710
2018-01-16,16.25,16.3,16.25,16.25,37020
2018-01-15,16.2,16.4,16.2,16.25,52560
2018-01-12,16.3,16.55,16.25,16.3,15380
2018-01-11,16.3,16.3,16.2,16.3,28390
2018-01-10,16.25,16.9,16.25,16.3,34600
2018-01-09,16.3,16.3,16.25,16.25,69100
2018-01-08,16.15,16.3,16.1,16.2,59610
2018-01-05,16.1,16.2,16.05,16.2,22890
2018-01-04,16.1,16.2,16.0,16.2,37270
2018-01-03,16.0,16.2,16.0,16.1,42760
2018-01-02,16.15,16.4,15.7,16.15,38470
2017-12-29,16.35,16.7,16.35,16.35,43010
2017-12-28,17.1,17.1,16.3,16.35,28610
2017-12-27,16.54,16.54,16.21,16.3,80340
2017-12-26,16.59,16.59,16.4,16.4,44160
2017-12-25,16.4,16.44,16.25,16.4,45640
2017-12-22,16.3,16.4,16.2,16.3,20550
2017-12-21,16.3,16.4,16.06,16.3,64750
2017-12-20,16.35,16.35,16.3,16.35,88810
2017-12-19,16.25,16.39,16.15,16.3,57860
2017-12-18,16.25,16.3,16.06,16.2,57540
2017-12-15,16.16,16.21,16.01,16.2,20720
2017-12-14,15.82,16.11,15.82,16.11,29090
2017-12-13,15.68,16.06,15.68,16.06,22040
2017-12-12,15.63,15.82,15.49,15.73,183920
2017-12-11,15.87,15.92,15.63,15.63,69220
2017-12-08,15.82,15.92,15.73,15.87,33740
2017-12-07,15.92,15.92,15.72,15.92,33910
2017-12-06,16.15,16.15,15.72,15.82,126450
2017-12-05,16.2,16.2,15.63,16.01,64770
2017-12-04,16.49,16.49,16.15,16.2,92450
2017-12-01,16.16,16.44,16.11,16.44,199010
2017-11-30,16.2,16.2,16.01,16.06,93890
2017-11-29,15.39,16.2,15.25,16.01,182160
2017-11-28,15.25,15.54,15.15,15.25,60140
2017-11-27,15.16,15.26,14.97,15.25,39420
2017-11-24,15.26,15.26,15.06,15.16,59360
2017-11-23,15.06,15.25,14.96,15.16,40570
2017-11-22,14.97,15.26,14.97,15.06,33550
2017-11-21,15.06,15.06,14.87,14.97,12750
2017-11-20,15.06,15.21,15.06,15.06,5900
2017-11-17,15.06,15.15,15.01,15.16,6030
2017-11-16,14.97,15.45,14.97,15.01,33780
2017-11-15,15.07,15.07,14.97,14.97,18110
2017-11-14,14.87,14.97,14.82,14.97,37780
2017-11-13,14.87,14.87,14.77,14.87,78330
2017-11-10,14.87,14.87,14.82,14.87,44480
2017-11-09,14.97,14.97,14.83,14.87,26910
2017-11-08,14.96,14.96,14.87,14.97,35310
2017-11-07,14.87,15.06,14.87,15.06,14960
2017-11-06,14.87,15.07,14.87,15.01,14140
2017-11-03,14.87,14.97,14.83,14.97,8030
2017-11-02,15.01,15.01,14.77,14.97,24610
2017-11-01,14.97,15.16,14.4,15.01,27650
2017-10-31,15.06,15.15,14.96,14.97,7980
2017-10-30,15.25,15.25,14.87,15.2,56090
2017-10-27,15.15,15.25,14.96,15.25,26530
2017-10-26,15.15,15.25,15.06,15.25,25140
2017-10-25,15.25,15.25,15.15,15.25,18700
2017-10-24,15.26,15.26,15.06,15.25,29750
2017-10-23,15.26,15.26,15.11,15.16,61050
2017-10-20,15.25,15.25,15.06,15.16,26580
2017-10-19,15.15,15.35,15.11,15.25,52390
2017-10-18,15.45,15.54,15.16,15.25,38150
2017-10-17,15.06,15.54,15.01,15.35,177460
2017-10-16,14.87,15.06,14.87,15.06,66500
2017-10-13,14.96,15.06,14.92,14.92,14840
2017-10-12,15.11,15.11,14.87,15.06,16290
2017-10-11,15.07,15.07,14.97,15.01,47920
