date,open,high,low,close,volume
2018-09-25,21.5,21.75,21.3,21.35,3655060
2018-09-25,,,,21.35,0
2018-09-24,21.1,21.5,20.9,21.5,3434760
2018-09-24,,,,21.5,0
2018-09-21,20.9,21.3,20.75,21.0,5440650
2018-09-21,,,,21.0,0
2018-09-20,20.6,20.95,20.6,20.95,2419170
2018-09-20,,,,20.95,0
2018-09-19,20.5,20.9,20.35,20.9,3613200
2018-09-19,,,,20.9,0
2018-09-18,20.3,20.4,20.0,20.4,3072450
2018-09-18,,,,20.4,0
2018-09-17,20.45,20.7,20.25,20.4,2182500
2018-09-17,,,,20.4,0
2018-09-14,20.3,20.5,20.0,20.5,3645840
2018-09-14,,,,20.5,0
2018-09-13,20.1,20.5,20.05,20.2,3760540
2018-09-13,,,,20.2,0
2018-09-12,19.7,19.9,19.55,19.9,3505850
2018-09-12,,,,19.9,0
2018-09-11,19.7,19.85,19.55,19.7,2095480
2018-09-11,,,,19.7,0
2018-09-10,19.9,19.9,19.55,19.75,2650620
2018-09-10,,,,19.75,0
2018-09-07,19.6,19.9,19.45,19.9,4287030
2018-09-07,,,,19.9,0
2018-09-06,18.8,19.55,18.75,19.55,5149660
2018-09-06,,,,19.55,0
2018-09-05,18.55,18.95,18.2,18.8,4857740
2018-09-05,,,,18.8,0
2018-09-04,19.15,19.15,18.4,18.7,3294210
2018-09-04,,,,18.7,0
2018-08-31,19.05,19.1,18.8,19.0,2395080
2018-08-31,,,,19.0,0
2018-08-30,19.25,19.35,19.05,19.05,2479300
2018-08-30,,,,19.05,0
2018-08-29,19.05,19.4,18.95,19.15,3107290
2018-08-29,,,,19.15,0
2018-08-28,19.4,19.4,18.95,19.0,3196490
2018-08-28,,,,19.0,0
2018-08-27,19.75,19.75,19.15,19.3,3583480
2018-08-27,,,,19.3,0
2018-08-24,18.95,19.75,18.75,19.75,5914720
2018-08-24,,,,19.75,0
2018-08-23,19.0,19.25,18.9,19.2,3037650
2018-08-23,,,,19.2,0
2018-08-22,19.3,19.7,18.95,19.2,4454000
2018-08-22,,,,19.2,0
2018-08-21,18.7,19.35,18.7,19.2,4451820
2018-08-21,,,,19.2,0
2018-08-20,18.5,18.7,18.0,18.7,8206490
2018-08-20,,,,18.7,0
2018-08-17,18.2,18.35,17.85,18.35,4953940
2018-08-17,,,,18.35,0
2018-08-16,16.8,17.6,16.75,17.6,4450570
2018-08-16,,,,17.6,0
2018-08-15,16.6,17.1,16.6,17.0,5083590
2018-08-15,,,,17.0,0
2018-08-14,16.2,16.5,16.0,16.5,2667800
2018-08-14,,,,16.5,0
2018-08-13,16.0,16.3,15.85,16.2,2128960
2018-08-13,,,,16.2,0
2018-08-10,16.0,16.2,15.8,16.2,2264420
2018-08-10,,,,16.2,0
2018-08-09,16.5,16.5,16.0,16.0,2407060
2018-08-09,,,,16.0,0
2018-08-08,16.25,16.5,16.1,16.3,1922680
2018-08-08,,,,16.3,0
2018-08-07,16.3,16.65,16.25,16.25,2208000
2018-08-07,,,,16.25,0
2018-08-06,16.3,16.45,16.2,16.3,1800380
2018-08-06,,,,16.3,0
2018-08-03,16.3,16.5,16.15,16.5,1635950
2018-08-03,,,,16.5,0
2018-08-02,16.5,16.5,16.0,16.3,1768060
2018-08-02,,,,16.3,0
2018-08-01,16.7,16.9,16.3,16.5,2061140
2018-08-01,,,,16.5,0
2018-07-31,17.05,17.2,16.7,16.7,2663150
2018-07-31,,,,16.7,0
2018-07-30,16.5,16.8,16.5,16.8,3284490
2018-07-30,,,,16.8,0
2018-07-27,16.4,16.4,16.0,16.35,2675500
2018-07-27,,,,16.35,0
2018-07-26,16.2,16.2,15.8,16.2,2517360
2018-07-26,,,,16.2,0
2018-07-25,16.5,16.5,16.1,16.2,2694850
2018-07-25,,,,16.2,0
2018-07-24,15.35,16.1,15.25,15.8,3681370
2018-07-24,,,,15.8,0
2018-07-23,15.2,15.2,14.85,15.2,2181690
2018-07-23,,,,15.2,0
2018-07-20,14.7,15.15,14.7,14.7,2103650
2018-07-20,,,,14.7,0
2018-07-19,15.0,15.2,14.9,15.1,1368820
2018-07-19,,,,15.1,0
2018-07-18,15.0,15.15,14.9,15.1,1370940
2018-07-18,,,,15.1,0
2018-07-17,15.15,15.2,15.05,15.15,994390
2018-07-17,,,,15.15,0
2018-07-16,15.15,15.25,14.95,15.25,1278020
2018-07-16,,,,15.25,0
2018-07-13,15.1,15.15,14.9,15.15,1489900
2018-07-13,,,,15.15,0
2018-07-12,15.05,15.1,14.65,15.05,937840
2018-07-12,,,,15.05,0
2018-07-11,14.8,15.2,14.7,15.0,1102900
2018-07-11,,,,15.0,0
2018-07-10,15.0,15.35,14.9,15.3,769710
2018-07-10,,,,15.3,0
2018-07-09,14.9,15.3,14.7,15.3,2488930
2018-07-09,,,,15.3,0
2018-07-06,14.5,15.0,14.4,14.9,1322480
2018-07-06,,,,14.9,0
2018-07-05,14.6,14.7,14.3,14.7,2106310
2018-07-05,,,,14.7,0
2018-07-04,14.7,14.8,14.4,14.7,1303440
2018-07-04,,,,14.7,0
2018-07-03,14.9,14.9,14.35,14.7,1810520
2018-07-03,,,,14.7,0
2018-07-02,15.5,15.7,14.45,14.45,1971760
2018-07-02,,,,14.45,0
2018-06-29,15.6,15.7,15.35,15.5,2551010
2018-06-29,,,,15.5,0
2018-06-28,15.6,16.0,15.2,16.0,2736720
2018-06-28,,,,16.0,0
2018-06-27,15.65,15.7,15.5,15.6,1977640
2018-06-27,,,,15.6,0
2018-06-26,15.3,15.65,15.2,15.65,1153440
2018-06-26,,,,15.65,0
2018-06-25,16.0,16.0,15.25,15.6,876750
2018-06-25,,,,15.6,0
2018-06-22,14.75,15.9,14.45,15.9,1900100
2018-06-22,,,,15.9,0
2018-06-21,15.2,15.2,14.8,14.9,825910
2018-06-21,,,,14.9,0
2018-06-20,15.0,15.25,14.8,15.25,1475920
2018-06-20,,,,15.25,0
2018-06-19,14.6,15.3,13.65,15.3,3678270
2018-06-19,,,,15.3,0
2018-06-18,14.75,15.0,14.5,14.65,1085860
2018-06-18,,,,14.65,0
2018-06-15,14.75,15.15,14.6,14.6,3438100
2018-06-15,,,,14.6,0
2018-06-14,14.9,15.15,14.9,15.0,1105020
2018-06-14,,,,15.0,0
2018-06-13,14.7,15.15,14.7,14.8,1197500
2018-06-13,,,,14.8,0
2018-06-12,15.6,15.6,15.0,15.1,1504530
2018-06-12,,,,15.1,0
2018-06-11,15.8,15.9,15.6,15.8,1153490
2018-06-11,,,,15.8,0
2018-06-08,15.9,15.9,15.65,15.9,1086280
2018-06-08,,,,15.9,0
2018-06-07,15.55,15.9,15.3,15.9,1814660
2018-06-07,,,,15.9,0
2018-06-06,15.75,15.75,15.55,15.6,1194890
2018-06-06,,,,15.6,0
2018-06-05,15.9,16.0,15.6,15.75,1075810
2018-06-05,,,,15.75,0
2018-06-04,15.0,15.85,14.85,15.8,1523940
2018-06-04,,,,15.8,0
2018-06-01,14.55,15.0,14.55,15.0,2110690
2018-06-01,,,,15.0,0
2018-05-31,14.2,14.85,14.05,14.75,1914880
2018-05-31,,,,14.75,0
2018-05-30,14.0,14.35,13.6,14.35,2217630
2018-05-30,,,,14.35,0
2018-05-29,13.3,14.55,13.3,14.3,6162290
2018-05-29,,,,14.3,0
2018-05-28,15.0,15.0,14.25,14.25,3185750
2018-05-28,,,,14.25,0
2018-05-25,16.5,16.5,15.3,15.3,4287770
2018-05-25,,,,15.3,0
2018-05-24,17.0,17.1,16.4,16.4,4575600
2018-05-24,,,,16.4,0
2018-05-23,16.8,17.2,16.35,17.0,2743310
2018-05-23,,,,17.0,0
2018-05-22,17.3,17.45,16.6,16.9,4233640
2018-05-22,,,,16.9,0
2018-05-21,17.4,17.5,17.25,17.35,2532550
2018-05-21,,,,17.35,0
2018-05-18,17.3,17.5,17.05,17.45,4234830
2018-05-18,,,,17.45,0
2018-05-17,17.2,17.8,17.2,17.2,4403700
2018-05-17,,,,17.2,0
2018-05-16,17.7,17.7,17.2,17.2,3769380
2018-05-16,,,,17.2,0
2018-05-15,17.9,18.05,17.6,17.6,5945780
2018-05-15,,,,17.6,0
2018-05-14,17.9,18.0,17.5,18.0,10041750
2018-05-14,,,,18.0,0
2018-05-11,17.2,17.9,16.95,17.9,11247240
2018-05-11,,,,17.9,0
2018-05-10,17.45,17.6,17.25,17.25,9908000
2018-05-10,,,,17.25,0
2018-05-09,17.5,17.7,17.4,17.5,3802610
2018-05-09,,,,17.5,0
2018-05-08,18.1,18.2,17.5,17.5,6158850
2018-05-08,,,,17.5,0
2018-05-07,18.2,18.4,18.0,18.15,8592790
2018-05-07,,,,18.15,0
2018-05-04,18.45,18.5,18.25,18.25,7872870
2018-05-04,,,,18.25,0
2018-05-03,18.35,18.5,18.2,18.45,5845270
2018-05-03,,,,18.45,0
2018-05-02,18.1,18.55,18.0,18.4,7962800
2018-05-02,,,,18.4,0
2018-04-27,17.45,18.1,17.3,18.1,12169700
2018-04-27,,,,18.1,0
2018-04-26,17.7,17.8,17.35,17.45,7854910
2018-04-26,,,,17.45,0
