date,open,high,low,close,volume
2018-05-21,,,,7.2,0
2018-05-18,7.1,7.2,7.1,7.2,1600
2018-05-17,7.3,7.3,7.2,7.3,9400
2018-05-16,7.2,7.2,7.2,7.2,1000
2018-05-15,7.3,7.3,7.3,7.3,100
2018-05-14,7.2,7.2,7.2,7.2,1074
2018-05-11,7.1,7.3,7.1,7.3,1500
2018-05-10,7.4,7.4,7.4,7.4,48
2018-05-09,7.4,7.4,7.4,7.4,100
2018-05-08,7.5,7.5,7.5,7.5,100
2018-05-07,7.5,7.5,7.1,7.1,200
2018-05-04,7.0,7.5,7.0,7.5,4300
2018-05-03,7.1,7.1,7.0,7.0,3000
2018-05-02,7.3,7.6,7.1,7.6,460
2018-04-27,7.7,7.7,7.7,7.7,300
2018-04-26,7.3,7.6,7.3,7.6,3100
2018-04-24,7.5,7.7,7.5,7.7,3200
2018-04-23,,,,7.7,0
2018-04-20,7.7,7.7,7.7,7.7,1000
2018-04-19,7.3,7.4,7.1,7.4,9400
2018-04-18,7.4,7.4,7.2,7.3,2300
2018-04-17,7.3,7.3,7.3,7.3,200
2018-04-16,,,,7.5,0
2018-04-13,7.5,7.5,7.5,7.5,100
2018-04-12,,,,7.7,0
2018-04-11,,,,7.7,0
2018-04-10,7.7,7.7,7.7,7.7,100
2018-04-09,7.2,7.2,7.2,7.2,288
2018-04-06,7.6,7.9,7.1,7.6,56110
2018-04-05,7.2,7.4,7.2,7.2,4200
2018-04-04,7.6,7.6,7.2,7.2,10100
2018-04-03,7.5,7.7,7.1,7.1,21200
2018-04-02,7.5,7.7,7.5,7.5,3700
2018-03-30,7.6,7.7,7.5,7.7,1800
2018-03-29,7.9,7.9,7.6,7.6,12700
2018-03-28,7.5,7.5,7.5,7.5,482
2018-03-27,7.6,7.6,7.6,7.6,1000
2018-03-26,7.8,7.8,7.5,7.6,21100
2018-03-23,7.8,7.8,7.8,7.8,34
2018-03-22,7.4,7.8,7.2,7.8,18300
2018-03-21,7.8,7.8,7.6,7.8,28200
2018-03-20,7.6,7.8,7.6,7.8,21940
2018-03-19,7.6,7.9,7.6,7.6,7972
2018-03-16,7.6,7.6,7.5,7.6,18900
2018-03-15,7.6,7.6,7.6,7.6,3588
2018-03-14,7.5,7.7,7.5,7.6,3954
2018-03-13,7.5,7.5,7.5,7.5,52324
2018-03-12,7.5,7.5,7.5,7.5,5700
2018-03-09,7.3,7.5,7.3,7.5,1100
2018-03-08,7.5,7.5,7.5,7.5,99800
2018-03-07,7.5,7.6,7.4,7.5,45200
2018-03-06,7.2,7.6,7.2,7.6,45400
2018-03-05,7.4,7.5,7.4,7.5,30268
2018-03-02,7.4,7.6,7.4,7.5,44500
2018-03-01,7.5,7.5,7.5,7.5,20
2018-02-28,7.1,7.5,7.1,7.5,53268
2018-02-27,7.1,7.2,6.9,7.2,30714
2018-02-26,7.5,7.6,7.5,7.5,7900
2018-02-23,7.4,7.5,7.4,7.5,11920
2018-02-22,7.2,7.2,7.2,7.2,30
2018-02-21,7.6,7.6,7.0,7.2,12100
2018-02-13,7.5,7.6,7.5,7.5,9000
2018-02-12,7.5,7.5,7.5,7.5,100
2018-02-09,7.2,7.6,7.2,7.5,894
2018-02-08,7.5,7.7,7.5,7.7,1050
2018-02-07,7.2,7.5,7.1,7.5,19700
2018-02-06,7.6,7.6,7.1,7.1,30600
2018-02-05,7.9,7.9,7.8,7.8,470
2018-02-02,7.6,7.9,7.6,7.9,3200
2018-02-01,7.8,8.0,7.8,8.0,4800
2018-01-31,7.9,8.0,7.9,8.0,26400
2018-01-30,8.0,8.0,7.8,8.0,17624
2018-01-29,8.0,8.1,8.0,8.1,6100
2018-01-26,7.8,7.8,7.8,7.8,5000
2018-01-25,8.1,8.2,8.1,8.1,51195
2018-01-22,8.2,8.2,8.0,8.2,7424
2018-01-19,8.0,8.3,7.9,8.3,33273
2018-01-18,8.2,8.3,8.2,8.2,53600
2018-01-17,8.3,8.5,8.1,8.2,88907
2018-01-16,8.9,8.99,8.81,8.9,131701
2018-01-15,8.81,9.0,8.72,8.9,58825
2018-01-12,8.72,8.81,8.53,8.81,49110
2018-01-11,8.62,8.81,8.62,8.81,103000
2018-01-10,8.53,8.72,8.53,8.53,90000
2018-01-09,8.43,8.52,8.43,8.53,30750
2018-01-08,8.25,8.62,8.25,8.43,124950
2018-01-05,8.43,8.43,8.34,8.34,9224
2018-01-04,8.05,8.62,8.05,8.43,171125
2018-01-03,7.87,7.96,7.87,7.96,21670
2018-01-02,7.96,8.06,7.87,7.96,23800
2017-12-29,7.87,7.96,7.87,7.87,18100
2017-12-28,7.87,7.87,7.87,7.87,1062
2017-12-27,7.87,7.96,7.87,7.87,15200
2017-12-26,7.96,7.96,7.87,7.96,4100
2017-12-25,7.87,7.87,7.87,7.87,1000
2017-12-22,7.96,7.96,7.96,7.96,6700
2017-12-21,7.87,7.96,7.87,7.96,16400
2017-12-20,7.87,7.87,7.87,7.87,8400
2017-12-19,7.68,7.87,7.68,7.87,4500
2017-12-18,7.96,8.05,7.87,7.96,47600
2017-12-15,7.87,7.96,7.87,7.96,4000
2017-12-14,7.96,7.96,7.96,7.96,1000
2017-12-13,7.96,8.06,7.96,7.96,21000
2017-12-12,7.96,7.96,7.77,7.87,11400
2017-12-11,7.97,8.06,7.87,7.96,17100
2017-12-08,8.06,8.06,8.06,8.06,4378
2017-12-07,8.06,8.06,8.06,8.06,4300
2017-12-06,8.25,8.25,8.06,8.06,8300
2017-12-05,8.24,8.34,8.15,8.34,26180
2017-12-04,8.06,8.15,7.87,8.15,20109
2017-12-01,8.15,8.15,7.87,8.06,27110
2017-11-30,8.06,8.06,8.06,8.06,6069
2017-11-29,8.15,8.15,8.15,8.15,5000
2017-11-28,7.96,7.96,7.96,7.96,2036
2017-11-27,7.87,7.96,7.87,7.96,22000
2017-11-24,7.87,7.96,7.87,7.87,4410
2017-11-23,7.87,7.87,7.68,7.87,8006
2017-11-22,7.87,7.87,7.59,7.59,27604
2017-11-21,7.78,7.97,7.59,7.87,21114
2017-11-20,7.87,8.06,7.87,8.06,4460
2017-11-17,8.15,8.15,7.77,7.87,12500
2017-11-16,7.97,7.97,7.97,7.96,4000
2017-11-15,7.87,8.06,7.87,8.06,2000
2017-11-14,7.87,8.06,7.68,8.06,14600
2017-11-13,7.87,7.87,7.87,7.87,101200
2017-11-10,7.97,8.06,7.87,8.06,2300
