date,open,high,low,close,volume
2018-04-04,,,,89.0,0
2018-04-03,89.0,89.0,89.0,89.0,3300
2018-04-02,95.5,95.5,95.5,95.5,14
2018-03-30,,,,95.5,0
2018-03-29,,,,95.5,0
2018-03-28,,,,95.5,0
2018-03-27,95.5,95.5,95.5,95.5,100
2018-03-26,86.9,86.9,86.9,86.9,100
2018-03-23,86.2,86.2,79.0,79.0,2100
2018-03-22,78.4,78.4,78.4,78.4,300
2018-03-21,71.3,71.3,71.3,71.3,200
2018-03-20,,,,64.9,0
2018-03-19,64.9,64.9,64.9,64.9,100
2018-03-16,,,,59.0,0
2018-03-15,,,,59.0,0
2018-03-14,59.0,59.0,59.0,59.0,17
2018-03-13,,,,59.0,0
2018-03-12,,,,59.0,0
2018-03-09,,,,59.0,0
2018-03-08,59.0,59.0,59.0,59.0,32
2018-03-07,,,,59.0,0
2018-03-06,,,,59.0,0
2018-03-05,,,,59.0,0
2018-03-02,,,,59.0,0
2018-03-01,,,,59.0,0
2018-02-28,,,,59.0,0
2018-02-27,,,,59.0,0
2018-02-26,,,,59.0,0
2018-02-23,,,,59.0,0
2018-02-22,,,,59.0,0
2018-02-21,,,,59.0,0
2018-02-13,71.0,71.0,59.0,59.0,200
2018-02-12,,,,64.6,0
2018-02-09,71.3,71.3,64.6,64.6,300
2018-02-08,64.9,64.9,64.9,64.9,100
2018-02-07,,,,59.0,0
2018-02-06,59.0,59.0,59.0,59.0,70
2018-02-05,59.0,59.0,59.0,59.0,20
2018-02-02,,,,59.0,0
2018-02-01,,,,59.0,0
2018-01-31,,,,59.0,0
2018-01-30,,,,59.0,0
2018-01-29,,,,59.0,0
2018-01-26,66.1,66.1,59.0,59.0,260
2018-01-25,,,,60.1,0
2018-01-22,,,,60.1,0
2018-01-19,,,,60.1,0
2018-01-18,60.1,60.1,60.1,60.1,7
2018-01-17,66.0,66.0,60.1,60.1,400
2018-01-16,71.6,71.6,60.0,60.0,412
2018-01-15,69.9,69.9,65.1,65.1,400
2018-01-12,71.0,72.7,63.6,63.6,500
2018-01-11,66.1,66.1,60.1,66.1,1114
2018-01-10,60.6,60.6,60.1,60.1,218
2018-01-09,55.1,55.1,55.1,55.1,100
2018-01-08,,,,50.1,0
2018-01-05,54.8,54.8,50.1,50.1,400
2018-01-04,,,,47.9,0
2018-01-03,47.9,47.9,47.9,47.9,58
2018-01-02,,,,47.9,0
2017-12-29,,,,47.9,0
2017-12-28,,,,47.9,0
2017-12-27,47.9,47.9,47.9,47.9,73
2017-12-26,47.9,47.9,47.9,47.9,2
2017-12-25,58.42,58.42,47.9,47.9,410
2017-12-22,53.16,53.16,53.16,53.16,200
2017-12-21,,,,48.36,0
2017-12-20,53.16,53.16,48.36,48.36,200
2017-12-19,59.06,59.06,48.36,48.36,1400
2017-12-18,,,,53.71,0
2017-12-15,53.71,53.71,53.71,53.71,50
2017-12-14,53.71,53.71,53.71,53.71,100
2017-12-13,59.16,59.16,59.16,59.16,67
2017-12-12,65.07,65.07,59.16,59.16,200
2017-12-11,,,,59.16,0
2017-12-08,64.04,64.04,59.15,59.16,507
2017-12-07,59.07,65.07,58.24,58.23,400
2017-12-06,62.02,62.02,59.16,59.16,300
2017-12-05,60.35,60.35,56.39,56.39,502
2017-12-04,54.91,54.91,54.91,54.91,100
2017-12-01,51.31,51.31,49.93,49.93,2100
2017-11-30,,,,46.7,0
2017-11-29,46.7,46.7,46.7,46.7,400
2017-11-28,42.46,42.46,42.46,42.45,198
2017-11-27,,,,47.07,0
2017-11-24,,,,47.07,0
2017-11-23,,,,47.07,0
2017-11-22,,,,47.07,0
2017-11-21,,,,47.07,0
2017-11-20,,,,47.07,0
2017-11-17,,,,47.07,0
2017-11-16,,,,47.07,0
2017-11-15,,,,47.07,0
2017-11-14,47.07,47.07,47.07,47.07,100
2017-11-13,,,,47.53,0
2017-11-10,,,,47.53,0
2017-11-09,,,,47.53,0
2017-11-08,,,,47.53,0
2017-11-07,,,,47.53,0
2017-11-06,,,,47.53,0
2017-11-03,,,,47.53,0
2017-11-02,,,,47.53,0
2017-11-01,,,,47.53,0
2017-10-31,,,,47.53,0
2017-10-30,47.53,47.53,47.53,47.53,30
2017-10-27,,,,47.53,0
2017-10-26,,,,47.53,0
2017-10-25,,,,47.53,0
2017-10-24,47.53,47.53,47.53,47.53,16
2017-10-23,,,,47.53,0
2017-10-20,,,,47.53,0
2017-10-19,,,,47.53,0
2017-10-18,47.53,47.53,47.53,47.53,6
2017-10-17,,,,47.53,0
2017-10-16,,,,47.53,0
2017-10-13,,,,47.53,0
2017-10-12,47.53,47.53,47.53,47.53,30
2017-10-11,,,,47.53,0
2017-10-10,,,,47.53,0
2017-10-09,47.53,47.53,47.53,47.53,800
2017-10-06,,,,47.53,0
2017-10-05,52.24,52.24,47.53,47.53,900
2017-10-04,47.53,47.53,47.53,47.53,1000
