date,open,high,low,close,volume
2017-09-07,8.2,8.25,8.1,8.2,451950
2017-09-06,8.3,8.3,8.19,8.2,226600
2017-09-05,8.14,8.3,8.08,8.3,324270
2017-09-01,8.15,8.2,8.05,8.14,492480
2017-08-31,8.28,8.29,8.15,8.16,568020
2017-08-30,8.31,8.31,8.25,8.29,227600
2017-08-29,8.3,8.39,8.26,8.31,398210
2017-08-28,8.37,8.37,8.27,8.3,184330
2017-08-25,8.4,8.4,8.32,8.34,159390
2017-08-24,8.24,8.5,8.23,8.4,387540
2017-08-23,8.31,8.35,8.2,8.29,163270
2017-08-22,8.25,8.37,8.24,8.3,364460
2017-08-21,8.35,8.4,8.2,8.25,360910
2017-08-18,8.31,8.31,8.0,8.2,598810
2017-08-17,8.66,8.66,8.31,8.31,742810
2017-08-16,8.66,8.7,8.56,8.66,229080
2017-08-15,8.74,8.75,8.66,8.66,357700
2017-08-14,8.6,8.74,8.5,8.67,719880
2017-08-11,8.57,8.59,8.46,8.55,1745670
2017-08-10,8.64,8.66,8.57,8.57,365720
2017-08-09,8.8,8.8,8.58,8.64,560710
2017-08-08,8.85,8.85,8.68,8.7,552130
2017-08-07,8.93,8.93,8.8,8.8,484340
2017-08-04,8.71,8.89,8.7,8.8,426590
2017-08-03,8.8,8.83,8.69,8.71,642390
2017-08-02,8.83,8.88,8.7,8.81,783060
2017-08-01,9.0,9.05,8.8,8.83,1337910
2017-07-31,9.14,9.14,8.97,9.0,846340
2017-07-28,9.14,9.22,9.05,9.14,1154420
2017-07-27,9.25,9.28,9.12,9.12,1489480
2017-07-26,9.18,9.25,9.11,9.24,558930
2017-07-25,8.93,9.2,8.93,9.18,449010
2017-07-24,9.07,9.1,8.9,9.0,662280
2017-07-21,9.13,9.2,9.07,9.07,1361410
2017-07-20,9.16,9.2,9.02,9.13,731120
2017-07-19,9.3,9.38,9.24,9.24,706780
2017-07-18,9.45,9.45,9.25,9.3,524680
2017-07-17,9.36,9.69,9.3,9.45,3400040
2017-07-14,9.28,9.38,9.24,9.33,1861570
2017-07-13,9.28,9.28,9.13,9.21,835520
2017-07-12,9.03,9.25,9.0,9.23,779480
2017-07-11,8.86,9.06,8.83,9.06,837720
2017-07-10,9.09,9.1,8.86,8.9,1122730
2017-07-07,9.4,9.4,9.0,9.09,1228610
2017-07-06,9.28,9.51,9.21,9.42,2210430
2017-07-05,8.72,9.3,8.72,9.28,2444040
2017-07-04,8.7,8.72,8.64,8.72,805010
2017-07-03,8.71,8.76,8.6,8.6,639710
2017-06-30,8.72,8.84,8.72,8.72,500460
2017-06-29,8.6,8.84,8.6,8.72,904570
2017-06-28,8.62,8.65,8.57,8.58,494950
2017-06-27,8.73,8.76,8.62,8.63,735900
2017-06-26,8.8,8.8,8.7,8.7,681280
2017-06-23,8.72,8.87,8.71,8.8,652370
2017-06-22,8.82,8.83,8.72,8.72,570900
2017-06-21,8.97,8.97,8.81,8.83,694710
2017-06-20,9.05,9.08,8.95,8.97,490190
2017-06-19,8.86,9.14,8.86,9.05,851960
2017-06-16,8.85,8.93,8.81,8.86,267460
2017-06-15,8.87,8.89,8.78,8.81,400370
2017-06-14,8.88,8.94,8.76,8.86,729550
2017-06-13,8.77,8.88,8.69,8.75,583730
2017-06-12,8.88,8.95,8.6,8.79,737620
2017-06-09,8.94,8.95,8.83,8.88,619660
2017-06-08,9.06,9.09,8.85,8.94,805340
2017-06-07,9.07,9.14,9.03,9.06,908480
2017-06-06,9.05,9.19,9.03,9.04,490130
2017-06-05,9.0,9.19,8.9,9.04,590420
2017-06-02,9.0,9.04,8.89,9.0,624510
2017-06-01,8.85,9.05,8.85,8.89,673420
2017-05-31,9.05,9.13,8.8,8.85,651840
2017-05-30,9.5,9.5,9.0,9.05,1369500
2017-05-29,8.6,9.19,8.6,9.19,1992640
2017-05-26,8.61,8.7,8.55,8.59,687800
2017-05-25,8.61,8.7,8.51,8.61,903350
2017-05-24,8.55,8.8,8.55,8.66,673750
2017-05-23,8.6,8.85,8.51,8.55,1437640
2017-05-22,9.2,9.4,8.6,8.6,1673630
2017-05-19,9.2,9.39,9.12,9.22,976910
2017-05-18,9.55,9.75,9.2,9.2,1460080
2017-05-17,9.3,9.65,9.05,9.6,1756420
2017-05-16,9.18,9.59,9.18,9.3,2534790
2017-05-15,8.55,9.11,8.55,9.11,4102370
2017-05-12,8.17,8.6,8.16,8.52,2081010
2017-05-11,8.3,8.3,8.19,8.2,388230
2017-05-10,8.15,8.36,8.15,8.25,691130
2017-05-09,8.02,8.2,8.0,8.15,462780
2017-05-08,8.11,8.15,8.0,8.08,520340
2017-05-05,8.25,8.39,8.15,8.15,412810
2017-05-04,8.2,8.38,8.2,8.29,529480
2017-05-03,7.94,8.18,7.87,8.15,666770
2017-04-28,7.99,7.99,7.84,7.9,201940
2017-04-27,8.0,8.0,7.89,7.9,234020
2017-04-26,7.9,7.93,7.81,7.89,480490
2017-04-25,7.89,7.95,7.83,7.89,410440
2017-04-24,7.92,8.05,7.89,7.89,479790
2017-04-21,8.0,8.0,7.88,7.92,278770
2017-04-20,7.9,7.97,7.87,7.95,510490
2017-04-19,7.8,7.85,7.78,7.85,313770
2017-04-18,7.7,7.8,7.68,7.8,704740
2017-04-17,7.75,7.9,7.68,7.7,825260
2017-04-14,7.94,8.09,7.8,7.84,480850
2017-04-13,8.29,8.29,7.99,7.99,802140
2017-04-12,8.32,8.41,8.28,8.29,461240
2017-04-11,8.41,8.42,8.31,8.32,197790
2017-04-10,8.47,8.5,8.41,8.46,122060
2017-04-07,8.28,8.58,8.28,8.47,267950
2017-04-05,8.35,8.39,8.28,8.3,212640
2017-04-04,8.5,8.5,8.25,8.3,952420
2017-04-03,8.4,8.49,8.38,8.43,488140
2017-03-31,8.45,8.46,8.36,8.4,569950
2017-03-30,8.55,8.55,8.47,8.47,359380
2017-03-29,8.49,8.69,8.49,8.54,822920
2017-03-28,8.29,8.39,8.24,8.3,403450
2017-03-27,8.23,8.4,8.23,8.23,169150
2017-03-24,8.3,8.38,8.22,8.22,264560
2017-03-23,8.36,8.36,8.15,8.3,277370
2017-03-22,8.44,8.47,8.3,8.3,658230
2017-03-21,8.6,8.61,8.46,8.47,461880
2017-03-20,8.5,8.58,8.49,8.53,464110
2017-03-17,8.45,8.58,8.3,8.41,547950
2017-03-16,8.26,8.47,8.26,8.42,581950
2017-03-15,8.17,8.21,8.16,8.17,201160
2017-03-14,8.12,8.23,8.11,8.2,225060
2017-03-13,8.21,8.21,8.16,8.16,478020
2017-03-10,8.24,8.31,8.21,8.21,523200
2017-03-09,8.4,8.45,8.24,8.24,710620
2017-03-08,8.54,8.55,8.4,8.44,732900
2017-03-07,8.21,8.55,8.21,8.54,586550
2017-03-06,8.21,8.31,8.19,8.21,320280
2017-03-03,8.23,8.28,8.21,8.21,511810
2017-03-02,8.3,8.35,8.2,8.23,442720
2017-03-01,8.33,8.34,8.21,8.26,679180
2017-02-28,8.44,8.58,8.22,8.22,1008380
2017-02-27,8.33,8.49,8.33,8.42,396160
2017-02-24,8.51,8.58,8.32,8.31,673350
2017-02-23,8.26,8.74,8.26,8.51,2140360
2017-02-22,8.11,8.25,8.06,8.2,1058680
2017-02-21,7.93,8.07,7.93,8.06,611140
2017-02-20,7.92,7.97,7.9,7.93,377390
2017-02-17,7.99,8.0,7.91,7.98,279760
2017-02-16,8.01,8.2,8.01,8.01,811150
2017-02-15,7.89,8.1,7.89,8.01,862470
2017-02-14,7.87,7.89,7.84,7.89,387830
2017-02-13,7.89,7.89,7.8,7.87,569460
2017-02-10,7.89,7.9,7.85,7.87,338800
2017-02-09,7.85,7.92,7.84,7.89,335380
2017-02-08,7.88,7.94,7.84,7.87,382740
2017-02-07,8.01,8.06,7.87,7.91,634060
2017-02-06,8.07,8.07,7.99,7.99,337610
2017-02-03,8.01,8.11,7.99,8.04,478050
2017-02-02,7.9,7.92,7.88,7.9,154730
2017-01-25,7.9,7.92,7.82,7.9,408110
2017-01-24,7.9,7.94,7.8,7.9,352230
2017-01-23,8.04,8.11,7.89,7.9,441700
2017-01-20,8.16,8.17,8.02,8.04,390560
2017-01-19,8.18,8.21,8.09,8.16,302160
2017-01-18,8.16,8.26,8.16,8.19,533280
2017-01-17,8.09,8.21,8.03,8.16,671470
