date,open,high,low,close,volume,adj_close
2018-03-22,,,,,16400,13.2
2018-03-21,13.5,13.5,13.3,13.3,6000,13.3
2018-03-20,13.6,13.7,13.4,13.5,15300,13.5
2018-03-19,14.9,14.9,13.6,13.7,10400,13.7
2018-03-16,13.5,13.6,13.5,13.6,11700,13.6
2018-03-15,13.5,13.5,13.4,13.5,4400,13.5
2018-03-14,13.8,13.8,13.2,13.4,25900,13.4
2018-03-13,13.8,13.9,13.8,13.8,14100,13.8
2018-03-12,14.0,14.0,13.8,13.8,4200,13.8
2018-03-09,13.8,14.0,13.5,14.0,15100,14.0
2018-03-08,14.0,14.2,13.8,13.8,15000,13.8
2018-03-07,14.3,14.4,14.0,14.3,3400,14.3
2018-03-06,13.8,14.5,13.8,14.3,15000,14.3
2018-03-05,14.7,14.7,13.8,13.8,24300,13.8
2018-03-02,14.0,14.6,14.0,14.3,10000,14.3
2018-03-01,14.8,15.0,14.0,14.2,24400,14.2
2018-02-28,14.4,15.1,14.3,14.8,34700,14.8
2018-02-27,15.0,15.4,14.5,14.6,18510,14.6
2018-02-26,15.9,15.9,15.3,15.4,83900,15.4
2018-02-23,14.5,15.4,14.5,15.2,23400,15.2
2018-02-22,13.7,14.5,13.5,14.5,40307,14.5
2018-02-21,13.5,14.0,13.5,13.8,10900,13.8
2018-02-13,13.6,13.6,13.3,13.6,6100,13.6
2018-02-12,12.9,13.6,12.8,13.5,14400,13.5
2018-02-09,12.5,13.0,12.5,13.0,15300,13.0
2018-02-08,12.7,13.0,12.7,13.0,6600,13.0
2018-02-07,13.1,13.1,12.3,12.9,1800,12.9
2018-02-06,12.5,12.8,11.7,12.8,65100,12.8
2018-02-05,13.1,13.2,12.7,12.9,42100,12.9
2018-02-02,13.0,13.4,12.9,13.1,19600,13.1
2018-02-01,12.8,13.1,12.7,13.0,22200,13.0
2018-01-31,12.6,12.8,12.4,12.8,27900,12.8
2018-01-30,12.3,12.8,12.3,12.4,38200,12.4
2018-01-29,12.4,12.4,11.5,12.4,19000,12.4
2018-01-26,12.2,12.3,11.7,12.3,48900,12.3
2018-01-25,11.7,12.4,11.7,12.2,33300,12.2
2018-01-24,12.5,12.8,11.7,12.0,24253,12.0
2018-01-23,13.1,13.1,12.8,12.8,11300,12.8
2018-01-22,13.6,13.6,13.0,13.4,17800,13.4
2018-01-19,13.5,13.8,13.4,13.5,36500,13.5
2018-01-18,13.5,13.5,13.0,13.5,18000,13.5
2018-01-17,13.7,13.7,13.2,13.5,32900,13.5
2018-01-16,12.9,13.7,12.8,13.5,61500,13.5
2018-01-15,12.1,12.9,11.4,12.7,29900,12.7
2018-01-12,12.7,12.7,12.1,12.6,11800,12.6
2018-01-11,12.6,12.6,12.2,12.6,5800,12.6
2018-01-10,12.4,13.0,12.1,12.7,14100,12.7
2018-01-09,12.0,12.6,11.8,12.6,30500,12.6
2018-01-08,11.5,11.8,11.0,11.8,31000,11.8
2018-01-05,11.6,12.0,10.8,11.7,17800,11.7
2018-01-04,12.0,12.0,11.0,11.6,26800,11.6
2018-01-03,12.3,12.3,11.8,12.0,15400,12.0
2018-01-02,12.3,13.3,12.0,12.0,21409,12.0
2017-12-29,12.0,12.3,12.0,12.1,17100,12.1
2017-12-28,12.0,12.5,12.0,12.2,6200,12.2
2017-12-27,11.8,12.5,11.5,12.5,14200,12.5
2017-12-26,12.2,12.3,11.9,12.0,17300,12.0
2017-12-25,12.0,12.4,12.0,12.1,9000,12.1
2017-12-22,12.4,12.4,11.8,12.0,25500,12.0
2017-12-21,12.0,12.4,12.0,12.4,3000,12.4
2017-12-20,12.0,12.7,12.0,12.5,21000,12.5
2017-12-19,12.8,12.9,11.9,12.5,28600,13.0
2017-12-18,12.8,13.3,12.0,13.0,5800,13.1
2017-12-15,13.0,13.3,13.0,13.1,20400,13.1
2017-12-14,12.3,13.2,12.3,13.2,29500,13.2
2017-12-13,12.3,12.4,11.9,12.4,6300,12.4
2017-12-12,12.5,12.5,12.0,12.4,15900,12.4
2017-12-11,12.2,12.8,12.0,12.5,26000,12.7
2017-12-08,12.5,12.7,12.4,12.7,12200,12.7
2017-12-07,13.0,13.0,12.8,12.8,600,12.8
2017-12-06,13.2,13.3,12.5,12.8,33900,12.8
2017-12-05,13.4,13.4,12.9,13.3,18900,13.3
