date,open,high,low,close,volume
2018-06-12,11.6,11.6,10.85,11.2,39130
2018-06-11,12.2,12.2,11.35,11.4,65220
2018-06-08,12.1,12.4,11.5,12.2,43650
2018-06-07,12.3,12.5,12.0,12.3,117590
2018-06-06,11.95,12.35,11.95,12.0,6740
2018-06-05,12.1,12.45,12.05,12.45,26640
2018-06-04,12.3,12.75,12.0,12.45,55810
2018-06-01,12.05,12.25,12.0,12.25,170
2018-05-31,12.4,12.4,12.1,12.1,7550
2018-05-30,12.05,12.4,11.7,12.35,1700
2018-05-29,12.4,12.55,11.8,12.45,15640
2018-05-28,12.0,12.45,11.75,11.75,12900
2018-05-25,12.2,12.6,12.1,12.5,13980
2018-05-24,12.5,12.5,12.1,12.5,11360
2018-05-23,12.3,12.9,12.2,12.9,26360
2018-05-22,12.6,12.6,12.05,12.5,13110
2018-05-21,13.35,13.35,12.35,12.9,30
2018-05-18,12.8,12.8,11.85,12.5,9670
2018-05-17,12.55,12.55,12.4,12.5,13790
2018-05-16,12.5,12.6,12.4,12.5,14310
2018-05-15,12.65,12.8,12.5,12.5,17040
2018-05-14,12.65,13.0,12.3,13.0,21730
2018-05-11,13.0,13.0,12.65,12.65,980
2018-05-10,13.35,13.35,13.35,13.35,340
2018-05-09,13.0,13.1,13.0,13.1,10760
2018-05-08,12.6,13.0,12.6,13.0,17340
2018-05-07,13.4,13.4,12.65,12.9,21760
2018-05-04,13.85,13.85,13.4,13.5,1530
2018-05-03,13.0,13.2,13.0,13.2,17850
2018-05-02,13.5,13.5,13.45,13.5,8300
2018-04-27,13.75,13.9,13.3,13.9,7270
2018-04-26,13.85,13.85,13.75,13.8,13680
2018-04-24,13.75,14.0,13.75,13.8,3820
2018-04-23,14.0,14.5,13.95,14.5,19840
2018-04-20,14.6,14.6,13.9,14.5,2130
2018-04-19,14.35,14.4,13.9,14.4,12110
2018-04-18,14.55,14.6,14.35,14.6,20470
2018-04-17,14.6,14.6,14.25,14.55,7070
2018-04-16,14.4,14.6,14.4,14.6,4920
2018-04-13,14.35,14.4,14.35,14.4,10290
2018-04-12,14.5,14.5,14.4,14.5,12500
2018-04-11,14.6,14.8,14.5,14.6,28050
2018-04-10,14.8,14.8,14.7,14.8,3830
2018-04-09,14.6,14.9,14.6,14.8,5920
2018-04-06,14.8,14.8,14.55,14.6,39070
2018-04-05,14.7,14.8,14.6,14.8,79320
2018-04-04,14.65,14.85,14.65,14.85,13750
2018-04-03,14.7,14.8,14.65,14.65,21880
2018-04-02,14.75,14.9,14.7,14.75,65430
2018-03-30,14.9,14.9,14.75,14.75,15530
2018-03-29,14.6,14.9,14.5,14.8,33850
2018-03-28,15.0,15.6,14.65,14.65,435200
2018-03-27,14.8,15.2,14.7,15.1,265630
2018-03-26,14.8,15.25,14.7,15.15,92420
2018-03-23,14.75,15.6,14.6,14.8,317890
2018-03-22,14.6,14.9,14.55,14.75,47460
2018-03-21,14.7,14.8,14.5,14.55,46670
2018-03-20,14.9,14.9,14.8,14.9,21190
2018-03-19,14.9,14.95,14.6,14.9,18300
2018-03-16,14.9,15.0,14.6,14.6,29280
2018-03-15,14.8,14.9,14.7,14.9,13400
2018-03-14,14.75,14.85,14.7,14.8,20840
2018-03-13,14.9,14.9,14.4,14.8,8180
2018-03-12,14.95,15.0,14.65,14.65,73240
2018-03-09,14.9,15.1,14.7,15.1,98270
2018-03-08,15.4,15.4,14.7,15.1,167970
2018-03-07,15.0,15.55,14.8,15.1,207820
2018-03-06,15.0,15.6,14.65,14.7,258500
2018-03-05,14.8,15.1,14.7,15.0,199340
2018-03-02,15.0,15.0,14.75,15.0,12950
2018-03-01,15.0,15.05,14.8,14.95,93150
2018-02-28,15.3,15.3,14.85,14.95,54100
2018-02-27,15.0,15.2,14.9,15.2,45200
2018-02-26,15.05,15.6,14.8,15.0,214740
2018-02-23,15.0,15.1,14.3,15.05,569080
2018-02-22,14.8,15.0,14.8,14.85,12760
2018-02-21,15.1,15.15,14.9,15.0,240150
2018-02-13,15.3,15.6,15.0,15.1,272240
2018-02-12,15.1,15.3,14.7,15.3,280850
2018-02-09,14.8,15.2,14.8,15.2,70150
2018-02-08,14.8,15.2,14.8,15.2,41630
2018-02-07,14.9,15.6,14.7,15.2,258250
2018-02-06,14.3,15.2,14.3,15.2,316900
2018-02-05,15.2,15.5,15.0,15.2,140920
2018-02-02,15.5,15.5,15.2,15.25,108870
2018-02-01,15.2,15.6,15.2,15.2,119620
2018-01-31,15.35,15.45,15.2,15.2,131960
2018-01-30,15.0,15.4,15.0,15.35,64730
2018-01-29,15.0,15.4,15.0,15.2,146990
2018-01-26,14.95,15.45,14.6,15.0,118190
2018-01-25,15.0,15.1,14.3,15.0,202740
