date,open,high,low,close,volume
2018-07-03,16.8,17.25,16.8,16.85,26720
2018-07-02,16.0,17.95,16.0,16.15,7970
2018-06-29,17.5,17.5,16.8,16.8,8270
2018-06-28,17.25,17.25,17.25,17.25,10
2018-06-27,18.5,18.5,18.5,18.5,12480
2018-06-26,16.8,17.75,16.8,17.75,23390
2018-06-25,17.7,18.5,16.6,16.6,5350
2018-06-22,16.0,17.65,16.0,17.65,7600
2018-06-21,15.6,17.2,15.6,16.5,8580
2018-06-20,16.9,17.3,16.1,16.1,230
2018-06-19,16.2,16.7,16.15,16.2,8970
2018-06-18,16.2,16.2,15.65,15.65,13180
2018-06-15,16.7,17.2,15.15,15.15,3580
2018-06-14,16.25,16.3,16.1,16.1,90
2018-06-13,17.4,17.4,16.25,16.25,140
2018-06-12,17.4,17.4,17.4,17.4,10
2018-06-11,17.25,17.3,17.25,17.3,1040
2018-06-08,17.2,17.2,17.2,17.2,10
2018-06-07,16.1,17.3,15.9,17.2,27430
2018-06-06,16.3,16.9,16.1,16.2,28290
2018-06-05,16.5,16.6,16.4,16.4,25140
2018-06-04,16.25,16.9,16.25,16.4,8020
2018-06-01,,,,16.4,0
2018-05-31,16.45,16.75,16.4,16.4,2560
2018-05-30,16.8,16.8,16.8,16.8,50
2018-05-29,16.8,16.95,16.7,16.95,6020
2018-05-28,16.85,17.05,16.65,17.0,5850
2018-05-25,17.3,17.3,17.3,17.3,2400
2018-05-24,17.2,17.3,17.0,17.3,4170
2018-05-23,17.2,17.2,17.2,17.2,30
2018-05-22,17.05,17.05,16.65,17.0,7050
2018-05-21,17.65,17.75,17.3,17.3,120
2018-05-18,,,,17.25,0
2018-05-17,17.8,17.9,17.25,17.25,6520
2018-05-16,18.1,18.1,17.5,17.65,5090
2018-05-15,,,,17.2,0
2018-05-14,17.65,17.85,17.2,17.2,15780
2018-05-11,17.55,18.5,17.55,17.55,21010
2018-05-10,17.0,17.35,16.4,17.35,2820
2018-05-09,17.0,17.0,17.0,17.0,100
2018-05-08,17.2,17.2,17.0,17.0,1160
2018-05-07,17.55,17.55,17.55,17.55,10
2018-05-04,17.8,18.0,16.75,18.0,5800
2018-05-03,18.2,18.2,17.7,18.0,1020
2018-05-02,18.0,18.0,17.95,17.95,1500
2018-04-27,17.75,17.95,17.75,17.95,30
2018-04-26,18.0,18.0,17.4,17.4,30
2018-04-24,17.7,17.7,17.7,17.7,100
2018-04-23,17.7,17.7,17.7,17.7,20
2018-04-20,18.1,18.1,18.1,18.1,40
2018-04-19,18.1,18.1,18.1,18.1,5000
2018-04-18,18.3,18.3,17.8,18.1,50
2018-04-17,18.9,18.9,17.8,18.2,3100
2018-04-16,16.9,17.95,16.9,17.8,30
2018-04-13,16.1,18.0,16.1,18.0,30
2018-04-12,17.5,17.5,17.2,17.2,40
2018-04-11,16.9,17.95,16.9,17.2,50
2018-04-10,,,,18.0,0
2018-04-09,17.9,18.0,17.5,18.0,2070
2018-04-06,17.9,17.9,17.9,17.9,50
2018-04-05,17.6,18.0,17.6,18.0,11520
2018-04-04,17.7,17.7,17.7,17.7,10
2018-04-03,17.8,18.15,17.8,18.15,20
2018-04-02,17.5,18.6,17.5,18.0,6020
2018-03-30,17.1,18.65,17.1,18.2,110
2018-03-29,17.7,18.8,17.7,18.0,10570
2018-03-28,16.75,18.65,16.75,18.65,160
2018-03-27,18.0,18.05,17.85,17.85,220
2018-03-26,18.9,18.9,18.9,18.9,2930
2018-03-23,18.0,19.0,18.0,19.0,4980
2018-03-22,19.0,19.3,19.0,19.3,2910
2018-03-21,19.0,19.4,18.25,18.5,47980
2018-03-20,19.25,19.5,18.2,18.2,19090
2018-03-19,19.25,19.25,19.25,19.25,3530
2018-03-16,18.9,19.3,18.9,19.25,36990
2018-03-15,19.0,19.2,19.0,19.0,28500
2018-03-14,19.0,19.7,19.0,19.0,8940
2018-03-13,18.8,19.0,18.8,19.0,10220
2018-03-12,18.6,19.0,18.25,19.0,19660
2018-03-09,18.25,18.6,18.25,18.6,12020
2018-03-08,18.6,18.65,18.6,18.6,21010
2018-03-07,18.7,18.75,18.7,18.7,6290
2018-03-06,18.7,19.0,18.6,18.9,8320
2018-03-05,18.7,18.7,18.6,18.6,5670
2018-03-02,18.7,19.0,18.5,18.7,5310
2018-03-01,18.1,19.0,18.0,19.0,3490
2018-02-28,18.2,18.7,17.9,18.7,1060
2018-02-27,18.4,18.6,18.2,18.6,1790
2018-02-26,18.5,18.6,18.5,18.6,110
2018-02-23,18.8,18.8,18.8,18.8,170
2018-02-22,18.6,18.6,18.6,18.6,500
2018-02-21,18.6,19.0,18.6,18.8,120
