date,open,high,low,close,volume,adj_close
2017-11-10,42.0,42.0,42.0,42.0,0,
2017-11-09,42.0,42.1,42.0,42.1,0,
2017-11-08,41.6,41.6,41.6,41.6,0,
2017-11-07,41.6,41.6,41.6,41.6,0,
2017-11-06,43.5,43.5,41.6,41.6,0,
2017-11-03,41.0,41.0,41.0,41.0,0,
2017-11-02,41.0,41.0,41.0,41.0,0,
2017-11-01,41.0,41.0,41.0,41.0,0,
2017-10-31,41.6,41.6,41.6,41.6,0,
2017-10-30,42.1,42.1,42.1,42.1,0,
2017-10-27,43.5,43.5,43.5,43.5,0,
2017-10-26,42.5,42.5,42.5,42.5,0,
2017-10-25,45.8,45.8,42.5,42.5,0,
2017-10-24,45.0,45.5,42.0,45.5,0,
2017-10-23,43.0,45.0,43.0,44.0,0,
2017-10-20,43.0,44.9,43.0,43.0,0,
2017-10-19,42.0,42.0,42.0,42.0,0,
2017-10-18,41.5,43.9,41.5,42.0,0,
2017-10-17,42.0,42.0,42.0,42.0,0,
2017-10-16,42.0,42.0,42.0,42.0,0,
2017-10-13,42.0,42.0,42.0,42.0,0,
2017-10-12,42.0,42.0,42.0,42.0,0,
2017-10-11,42.0,42.0,42.0,42.0,0,
2017-10-10,42.0,42.0,42.0,42.0,0,
2017-10-09,42.5,42.5,42.0,42.0,3500,42.0
2017-10-06,43.0,45.0,42.0,42.0,3100,42.0
2017-10-05,45.0,46.0,44.0,44.0,1100,44.0
2017-10-04,46.0,47.0,45.0,45.0,11250,45.0
2017-10-03,47.0,47.5,47.0,47.0,16000,47.0
2017-10-02,46.0,46.0,46.0,46.0,1000,46.0
2017-09-29,47.0,47.0,46.0,47.0,34500,47.0
2017-09-28,44.0,47.0,44.0,47.0,9180,47.0
2017-09-27,47.25,47.25,47.25,47.25,1480,47.25
2017-09-26,45.6,46.0,44.2,44.2,22220,44.2
2017-09-25,43.0,44.9,42.0,43.0,35760,43.0
2017-09-22,41.05,43.9,41.05,42.0,44450,42.0
2017-09-21,42.2,42.5,41.05,41.05,5970,41.05
2017-09-20,40.6,41.05,38.5,41.05,28410,41.05
2017-09-19,40.5,40.9,38.35,38.4,6780,38.4
2017-09-18,38.3,38.3,38.3,38.3,0,
2017-09-15,40.4,40.8,38.3,38.3,6010,38.3
2017-09-14,38.3,38.3,38.3,38.3,0,
2017-09-13,40.3,40.65,38.3,38.3,11020,38.3
2017-09-12,36.8,38.0,36.8,38.0,820,38.0
2017-09-11,38.7,38.7,38.0,38.0,40,38.0
2017-09-08,38.5,38.5,38.5,38.5,90,38.5
2017-09-07,38.0,38.0,38.0,38.0,0,
2017-09-06,38.0,38.0,38.0,38.0,0,
2017-09-05,40.0,40.0,38.0,38.0,2350,38.0
2017-09-01,40.0,40.0,37.7,37.7,870,37.7
2017-08-31,40.0,40.2,37.6,37.6,15520,37.6
2017-08-30,39.8,39.8,37.6,37.6,1210,37.6
2017-08-29,37.6,37.6,37.6,37.6,0,
2017-08-28,37.6,37.6,37.6,37.6,0,
2017-08-25,40.0,40.0,37.6,37.6,4130,37.6
2017-08-24,39.0,39.0,38.0,38.0,7340,38.0
2017-08-23,39.5,39.5,39.5,39.5,1000,39.5
2017-08-22,39.0,39.0,39.0,39.0,1700,39.0
2017-08-21,38.5,38.5,38.0,38.0,5100,38.0
2017-08-18,38.5,38.5,38.5,38.5,0,
2017-08-17,38.5,38.5,38.5,38.5,20,38.5
2017-08-16,37.5,37.5,37.2,37.2,600,37.2
2017-08-15,39.65,39.65,38.0,38.0,44210,38.0
2017-08-14,37.1,37.1,37.1,37.1,30,37.1
2017-08-11,39.0,39.0,39.0,39.0,0,
2017-08-10,39.0,39.0,39.0,39.0,0,
2017-08-09,39.5,39.5,37.0,39.0,620,38.0
2017-08-08,39.6,39.6,39.6,39.6,100,38.59
2017-08-07,39.8,39.8,39.8,39.8,20,38.78
2017-08-04,39.9,40.0,39.6,39.6,130,38.59
2017-08-03,40.0,40.0,39.6,39.6,730,38.59
2017-08-02,40.0,40.0,40.0,40.0,20,38.97
2017-08-01,40.5,40.5,40.5,40.5,0,
2017-07-31,40.5,40.5,40.5,40.5,200,39.46
2017-07-28,39.0,39.9,39.0,39.9,210,38.88
2017-07-27,39.9,39.9,37.2,37.5,50060,36.54
2017-07-26,40.0,40.0,37.3,37.3,2070,36.34
2017-07-25,40.0,40.0,40.0,40.0,2370,38.97
2017-07-24,40.0,40.0,40.0,40.0,100,38.97
2017-07-21,40.0,40.0,40.0,40.0,640,38.97
2017-07-20,40.0,40.0,39.6,40.0,21680,38.97
2017-07-19,40.0,40.0,39.5,40.0,20110,38.97
2017-07-18,40.0,40.0,39.5,40.0,57850,38.97
2017-07-17,40.0,40.0,40.0,40.0,0,
2017-07-14,40.0,40.0,40.0,40.0,20,38.97
2017-07-13,40.5,40.5,40.4,40.4,490,39.36
2017-07-12,40.0,40.0,39.6,40.0,2090,38.97
2017-07-11,40.0,40.0,40.0,40.0,0,
2017-07-10,40.0,40.0,40.0,40.0,500,38.97
2017-07-07,41.0,41.0,41.0,41.0,10,39.95
2017-07-06,40.2,40.2,40.2,40.2,1500,39.17
2017-07-05,40.2,40.2,40.2,40.2,80,39.17
2017-07-04,40.1,40.1,40.1,40.1,0,
2017-07-03,40.1,40.1,40.1,40.1,1840,39.07
2017-06-30,39.0,39.0,39.0,39.0,0,
2017-06-29,39.0,39.0,39.0,39.0,0,
2017-06-28,37.05,39.0,37.05,39.0,90,38.0
