date,open,high,low,close,volume
2018-07-17,44.0,44.0,40.0,42.7,6080
2018-07-16,40.55,43.7,40.55,42.8,17900
2018-07-13,43.5,43.7,43.5,43.6,5260
2018-07-12,42.7,43.0,42.65,42.7,260
2018-07-11,,,,44.0,0
2018-07-10,44.0,44.0,44.0,44.0,10
2018-07-09,,,,44.0,0
2018-07-06,44.9,44.9,42.8,44.0,10680
2018-07-05,48.0,48.0,46.0,46.0,230
2018-07-04,44.9,44.9,44.9,44.9,10
2018-07-03,44.2,44.2,43.95,44.2,480
2018-07-02,45.6,45.7,45.6,45.7,400
2018-06-29,,,,45.9,0
2018-06-28,43.0,46.4,43.0,45.9,5330
2018-06-27,44.5,45.0,43.35,45.0,720
2018-06-26,,,,46.45,0
2018-06-25,46.45,46.45,46.45,46.45,10
2018-06-22,45.0,46.4,44.5,46.4,290
2018-06-21,46.0,46.0,43.2,44.75,7410
2018-06-20,46.4,46.4,46.4,46.4,20
2018-06-19,46.8,46.8,44.0,46.0,1540
2018-06-18,46.9,46.9,44.5,46.8,11930
2018-06-15,,,,47.8,0
2018-06-14,47.9,47.9,47.8,47.8,110
2018-06-13,,,,47.0,0
2018-06-12,47.0,47.0,47.0,47.0,100
2018-06-11,45.0,46.8,45.0,45.0,160
2018-06-08,46.5,46.5,46.5,46.5,10
2018-06-07,45.1,49.0,45.1,49.0,650
2018-06-06,45.1,48.8,45.05,47.6,90
2018-06-05,46.5,47.45,46.05,47.45,5140
2018-06-04,,,,49.5,0
2018-06-01,47.0,49.5,47.0,49.5,40
2018-05-31,47.0,47.0,45.2,47.0,4830
2018-05-30,50.8,50.8,45.0,45.0,870
2018-05-29,44.5,47.9,44.5,47.9,16790
2018-05-28,46.5,47.7,46.5,47.7,3880
2018-05-25,49.95,49.95,49.95,49.95,10
2018-05-24,47.95,47.95,44.8,47.85,230
2018-05-23,46.7,48.85,46.5,46.5,45150
2018-05-22,49.45,49.8,47.6,49.65,140
2018-05-21,50.0,51.0,47.5,47.5,110
2018-05-18,48.6,52.0,48.6,50.5,880
2018-05-17,50.8,51.7,50.8,51.5,7920
2018-05-16,48.3,53.3,48.3,51.0,180
2018-05-15,50.15,51.3,50.15,51.3,2010
2018-05-14,51.01,51.58,49.67,51.49,4250
2018-05-11,48.15,51.59,48.15,51.01,4690
2018-05-10,48.72,51.69,48.06,50.44,15490
2018-05-09,52.34,52.34,51.49,51.59,730
2018-05-08,48.72,50.63,48.72,50.53,1070
2018-05-07,48.72,53.11,48.62,48.62,41510
2018-05-04,47.96,52.25,47.96,52.25,160
2018-05-03,51.49,51.49,51.49,51.49,20
2018-05-02,49.67,51.58,49.67,51.49,2310
2018-04-27,56.08,56.08,51.39,51.39,6590
2018-04-26,55.89,55.89,51.88,55.12,950
2018-04-24,52.54,56.37,52.45,55.41,70
2018-04-23,57.32,57.32,53.6,56.27,1420
2018-04-20,57.22,57.22,54.45,57.13,910
2018-04-19,57.03,57.32,55.41,56.36,7260
