date,open,high,low,close,volume
2018-04-27,9.1,9.1,8.7,9.0,293310
2018-04-26,9.19,9.19,8.92,9.01,186270
2018-04-24,9.0,9.2,9.0,9.1,245020
2018-04-23,9.0,9.24,8.98,9.0,660610
2018-04-20,9.04,9.04,8.9,9.0,194020
2018-04-19,9.19,9.19,8.95,9.04,186510
2018-04-18,9.1,9.14,9.0,9.04,217020
2018-04-17,8.98,9.14,8.87,9.0,139290
2018-04-16,8.85,8.99,8.8,8.98,59330
2018-04-13,9.1,9.1,8.89,8.89,77280
2018-04-12,8.7,9.0,8.7,9.0,103240
2018-04-11,9.2,9.2,8.8,8.88,376730
2018-04-10,9.19,9.24,9.0,9.11,221880
2018-04-09,9.2,9.27,9.17,9.19,178570
2018-04-06,9.2,9.3,9.11,9.2,213910
2018-04-05,9.3,9.35,9.2,9.22,174180
2018-04-04,9.18,9.35,9.17,9.3,350190
2018-04-03,9.05,9.25,8.91,9.17,480400
2018-04-02,8.95,9.15,8.9,8.91,207400
2018-03-30,9.2,9.3,8.9,8.95,422540
2018-03-29,9.25,9.3,9.16,9.17,381750
2018-03-28,9.21,9.42,9.2,9.2,460380
2018-03-27,9.25,9.42,9.25,9.28,807870
2018-03-26,9.19,9.35,9.16,9.25,288070
2018-03-23,9.0,9.3,8.98,9.12,448780
2018-03-22,8.86,9.18,8.76,9.06,591160
2018-03-21,8.8,8.9,8.72,8.8,137170
2018-03-20,8.75,8.8,8.7,8.77,128820
2018-03-19,8.75,8.8,8.66,8.75,300240
2018-03-16,8.71,8.86,8.7,8.71,291700
2018-03-15,8.7,8.86,8.66,8.86,241980
2018-03-14,8.74,8.85,8.7,8.83,269810
2018-03-13,8.5,8.8,8.43,8.65,269100
2018-03-12,8.42,8.6,8.38,8.42,252270
2018-03-09,8.45,8.59,8.0,8.48,325690
2018-03-08,8.51,8.8,8.51,8.51,262730
2018-03-07,9.0,9.0,8.5,8.77,593450
2018-03-06,8.51,9.1,8.51,9.0,988090
2018-03-05,8.31,8.7,8.31,8.51,422960
2018-03-02,8.11,8.4,8.11,8.25,233840
2018-03-01,8.18,8.26,8.08,8.11,311110
2018-02-28,7.89,8.19,7.89,8.08,327540
2018-02-27,7.88,7.93,7.87,7.9,157780
2018-02-26,8.06,8.06,7.85,7.88,251210
2018-02-23,7.81,7.94,7.81,7.9,111660
2018-02-22,7.9,7.95,7.81,7.81,149670
2018-02-21,8.0,8.0,7.86,7.9,185700
2018-02-13,7.9,8.0,7.8,7.93,55930
2018-02-12,8.05,8.1,7.7,7.73,144690
2018-02-09,7.5,7.79,7.49,7.79,95150
2018-02-08,7.8,8.0,7.8,7.8,112810
2018-02-07,8.1,8.1,7.7,7.8,185640
2018-02-06,7.66,8.0,7.65,7.66,729800
2018-02-05,8.22,8.55,8.2,8.22,380750
2018-02-02,8.4,8.6,8.4,8.55,152550
2018-02-01,8.57,8.57,8.35,8.4,234550
2018-01-31,8.82,8.83,8.45,8.45,236180
2018-01-30,8.5,8.82,8.4,8.82,248790
2018-01-29,8.6,8.8,8.4,8.5,235130
2018-01-26,9.09,9.09,8.6,8.6,366680
2018-01-25,9.29,9.29,8.8,8.97,478540
2018-01-22,9.39,9.39,8.85,9.1,385270
2018-01-19,9.2,9.25,8.93,9.0,531340
2018-01-18,8.2,8.77,8.2,8.77,1003370
2018-01-17,8.42,8.58,8.2,8.2,303210
2018-01-16,8.6,8.64,8.39,8.47,440460
2018-01-15,8.54,8.9,8.54,8.64,563160
2018-01-12,8.5,8.59,8.5,8.5,988480
2018-01-11,7.52,8.03,7.52,8.03,938750
2018-01-10,7.4,7.56,7.38,7.51,230110
2018-01-09,7.39,7.5,7.37,7.4,261700
2018-01-08,7.4,7.45,7.39,7.39,168240
2018-01-05,7.42,7.49,7.37,7.4,131400
2018-01-04,7.5,7.5,7.37,7.37,127680
2018-01-03,7.5,7.6,7.46,7.46,157000
2018-01-02,7.48,7.55,7.4,7.48,176210
2017-12-29,7.38,7.45,7.38,7.38,89340
2017-12-28,7.4,7.41,7.36,7.38,50020
2017-12-27,7.26,7.45,7.26,7.39,78330
2017-12-26,7.5,7.5,7.26,7.4,121710
2017-12-25,7.3,7.5,7.3,7.38,244680
2017-12-22,7.37,7.45,7.2,7.32,119850
2017-12-21,7.47,7.55,7.35,7.37,132080
2017-12-20,7.45,7.5,7.44,7.47,257350
2017-12-19,7.28,7.6,7.21,7.48,368260
2017-12-18,7.14,7.3,7.14,7.25,196240
2017-12-15,7.17,7.18,7.06,7.06,270490
2017-12-14,7.06,7.14,7.02,7.1,57240
2017-12-13,7.35,7.35,7.01,7.01,81600
2017-12-12,7.22,7.3,6.91,7.0,157500
2017-12-11,7.37,7.37,7.2,7.23,71450
2017-12-08,6.94,7.42,6.94,7.37,524640
2017-12-07,6.83,6.98,6.83,6.94,195980
2017-12-06,6.95,6.95,6.81,6.83,109970
2017-12-05,7.0,7.0,6.81,6.87,118070
2017-12-04,6.67,7.0,6.67,7.0,264080
2017-12-01,6.75,6.9,6.68,6.68,441000
2017-11-30,7.14,7.14,6.76,6.76,652690
2017-11-29,7.6,7.6,7.0,7.12,181810
2017-11-28,7.54,7.59,7.41,7.47,545940
2017-11-27,7.54,7.61,7.45,7.54,877400
2017-11-24,7.63,7.63,7.54,7.54,308350
2017-11-23,7.63,7.76,7.54,7.61,349990
2017-11-22,7.39,7.75,7.39,7.63,511910
2017-11-21,7.36,7.45,7.36,7.38,159860
2017-11-20,7.49,7.54,7.36,7.44,307940
2017-11-17,7.45,7.45,7.36,7.36,71520
2017-11-16,7.4,7.46,7.37,7.44,232530
2017-11-15,7.23,7.54,7.23,7.36,102060
2017-11-14,7.23,7.23,7.15,7.19,24940
2017-11-13,7.23,7.28,7.1,7.19,24440
2017-11-10,7.19,7.28,7.1,7.1,49790
2017-11-09,7.09,7.19,7.09,7.1,66210
2017-11-08,6.99,7.1,6.99,7.1,35690
2017-11-07,7.19,7.19,7.01,7.1,21550
2017-11-06,6.97,7.1,6.97,7.1,30690
2017-11-03,7.14,7.18,6.89,7.1,18200
2017-11-02,7.18,7.18,6.93,7.14,6880
2017-11-01,7.18,7.19,7.02,7.15,7140
2017-10-31,7.1,7.21,6.92,7.01,22100
2017-10-30,7.31,7.31,7.01,7.23,25050
2017-10-27,7.33,7.33,7.01,7.32,13760
2017-10-26,7.36,7.36,6.85,7.32,54100
2017-10-25,7.38,7.42,7.35,7.36,78010
2017-10-24,7.26,7.44,7.23,7.38,86680
2017-10-23,7.06,7.45,7.06,7.26,207100
2017-10-20,7.01,7.01,6.97,7.01,56530
2017-10-19,6.94,7.02,6.93,7.01,44680
2017-10-18,7.01,7.02,6.93,7.01,30900
2017-10-17,6.93,7.01,6.93,7.01,18620
2017-10-16,7.01,7.01,6.93,7.01,55480
2017-10-13,7.01,7.01,6.93,6.97,15800
2017-10-12,6.97,6.98,6.93,6.97,103740
2017-10-11,7.01,7.01,6.97,6.97,23890
2017-10-10,7.02,7.02,6.96,7.01,92130
2017-10-09,6.97,7.01,6.94,7.01,34620
2017-10-06,6.88,6.99,6.88,6.97,43250
2017-10-05,6.91,7.0,6.9,6.97,19000
2017-10-04,7.02,7.02,7.01,7.01,260
2017-10-03,7.01,7.05,6.97,7.01,64870
2017-10-02,7.0,7.0,6.96,7.01,34390
2017-09-29,7.01,7.02,6.94,6.95,26210
2017-09-28,6.92,7.01,6.92,6.99,34540
2017-09-27,6.91,7.01,6.9,6.98,47660
2017-09-26,7.02,7.02,6.91,6.92,39050
2017-09-25,7.19,7.19,6.88,6.93,6140
2017-09-22,6.88,6.93,6.88,6.89,33220
2017-09-21,7.02,7.02,6.84,6.89,37560
2017-09-20,7.02,7.02,6.9,6.93,20340
2017-09-19,7.06,7.06,6.99,7.01,12000
2017-09-18,7.19,7.19,6.85,7.01,45620
2017-09-15,6.92,6.92,6.86,6.87,26990
2017-09-14,6.84,6.88,6.84,6.86,13470
2017-09-13,6.93,6.93,6.86,6.88,58200
2017-09-12,7.01,7.01,6.92,6.93,40790
2017-09-11,7.02,7.02,6.96,6.95,36880
2017-09-08,6.97,7.0,6.94,7.01,25910
2017-09-07,7.02,7.1,6.95,6.96,27060
2017-09-06,6.98,7.19,6.97,6.98,115220
2017-09-05,7.02,7.11,6.98,6.98,97870
2017-09-01,7.1,7.1,6.93,6.93,43110
2017-08-31,7.1,7.1,6.9,6.9,7530
2017-08-30,7.1,7.1,7.0,7.1,33440
2017-08-29,6.99,7.12,6.94,7.12,27700
2017-08-28,6.88,7.12,6.88,7.12,39030
2017-08-25,7.01,7.13,7.01,7.01,82430
2017-08-24,7.14,7.14,6.97,6.97,153510
2017-08-23,7.18,7.18,7.01,7.02,217430
2017-08-22,7.01,7.17,6.94,7.16,47440
2017-08-21,7.03,7.19,7.02,7.18,149310
2017-08-18,7.03,7.28,7.03,7.28,227620
2017-08-17,7.05,7.32,7.05,7.28,220200
2017-08-16,7.15,7.36,6.85,7.15,58860
2017-08-15,7.5,7.52,7.19,7.36,279840
2017-08-14,7.19,7.48,7.1,7.45,992940
2017-08-11,7.05,7.36,6.92,7.19,709020
2017-08-10,6.84,7.06,6.84,7.01,485630
2017-08-09,6.84,6.85,6.75,6.84,202280
2017-08-08,6.71,6.86,6.71,6.83,403830
2017-08-07,6.58,6.74,6.49,6.71,255890
2017-08-04,6.53,6.66,6.4,6.58,156440
2017-08-03,6.56,6.65,6.49,6.57,200340
2017-08-02,6.22,6.43,6.15,6.39,105430
2017-08-01,6.25,6.67,6.25,6.29,52170
2017-07-31,6.53,6.66,6.33,6.35,31830
2017-07-28,6.23,6.75,6.23,6.69,226270
2017-07-27,6.09,6.32,6.08,6.31,160200
2017-07-26,6.19,6.19,6.05,6.12,241330
2017-07-25,6.18,6.26,6.18,6.2,187350
2017-07-24,6.31,6.44,6.29,6.31,297100
2017-07-21,6.66,6.7,6.57,6.66,224340
2017-07-20,6.77,6.77,6.65,6.73,195850
2017-07-19,6.84,6.84,6.73,6.8,234920
2017-07-18,6.91,6.91,6.82,6.84,81630
2017-07-17,7.0,7.0,6.85,6.86,43840
2017-07-14,6.93,6.98,6.86,6.93,84510
2017-07-13,6.99,7.02,6.84,6.93,32640
2017-07-12,6.87,7.01,6.87,6.99,100570
2017-07-11,6.93,6.97,6.84,6.87,151350
2017-07-10,6.97,6.97,6.71,6.93,15870
2017-07-07,6.93,6.97,6.88,6.93,77370
2017-07-06,6.98,6.98,6.92,6.93,45370
2017-07-05,6.89,6.97,6.88,6.92,85200
2017-07-04,6.88,7.01,6.86,6.92,90920
2017-07-03,6.86,7.0,6.86,6.89,111520
2017-06-30,7.01,7.07,6.79,7.01,303010
2017-06-29,7.1,7.11,7.02,7.03,185590
2017-06-28,7.1,7.14,7.01,7.08,71690
2017-06-27,7.1,7.18,7.02,7.1,184420
2017-06-26,7.15,7.15,7.1,7.1,133730
2017-06-23,7.18,7.18,7.1,7.16,88330
2017-06-22,7.14,7.23,7.1,7.15,109470
2017-06-21,7.14,7.18,7.02,7.1,64730
2017-06-20,7.15,7.2,7.12,7.13,89650
2017-06-19,7.15,7.26,7.11,7.18,79170
2017-06-16,7.14,7.19,7.12,7.15,41250
2017-06-15,7.15,7.2,7.11,7.18,166760
2017-06-14,7.21,7.21,7.15,7.15,142460
2017-06-13,7.28,7.28,7.19,7.21,130260
2017-06-12,7.24,7.32,7.23,7.24,130280
2017-06-09,7.34,7.41,7.23,7.24,96130
2017-06-08,7.41,7.41,7.23,7.34,210040
2017-06-07,7.14,7.45,7.09,7.31,397750
2017-06-06,7.1,7.13,7.08,7.1,144560
2017-06-05,7.18,7.19,7.09,7.1,163930
2017-06-02,7.17,7.17,7.09,7.1,71810
2017-06-01,7.03,7.13,7.03,7.09,85930
2017-05-31,7.05,7.15,7.03,7.03,242960
2017-05-30,7.17,7.17,7.12,7.13,96940
2017-05-29,7.17,7.27,7.17,7.17,180870
2017-05-26,7.15,7.19,7.1,7.17,183550
2017-05-25,7.07,7.24,7.06,7.15,146480
2017-05-24,7.1,7.11,7.06,7.07,251150
