date,open,high,low,close,volume
2018-07-19,7.98,7.98,7.68,7.76,193500
2018-07-18,7.6,7.78,7.6,7.72,205990
2018-07-17,7.62,7.7,7.6,7.6,134460
2018-07-16,7.76,7.76,7.6,7.7,101850
2018-07-13,7.85,7.85,7.56,7.69,177120
2018-07-12,7.6,7.7,7.54,7.6,149020
2018-07-11,7.76,7.88,7.63,7.7,192200
2018-07-10,7.99,7.99,7.8,7.9,37380
2018-07-09,8.0,8.05,7.74,7.97,227570
2018-07-06,7.84,8.09,7.8,8.0,104170
2018-07-05,8.17,8.2,7.9,8.09,51260
2018-07-04,8.01,8.58,8.01,8.17,53320
2018-07-03,8.6,8.6,8.14,8.14,40670
2018-07-02,8.66,8.67,8.4,8.5,66740
2018-06-29,8.65,8.89,8.65,8.67,43930
2018-06-28,8.35,8.7,8.35,8.66,47860
2018-06-27,8.75,8.79,8.64,8.65,169270
2018-06-26,8.64,8.75,8.64,8.75,149350
2018-06-25,8.73,8.78,8.64,8.72,83160
2018-06-22,8.54,8.72,8.47,8.73,64620
2018-06-21,8.69,8.69,8.54,8.65,72760
2018-06-20,8.78,8.91,8.55,8.71,172150
2018-06-19,8.86,8.86,8.51,8.73,98360
2018-06-18,8.84,9.0,8.83,8.86,57270
2018-06-15,8.91,9.09,8.82,9.09,60540
2018-06-14,8.91,9.0,8.82,9.0,76840
2018-06-13,9.0,9.0,8.82,8.91,59720
2018-06-12,9.04,9.04,8.82,8.91,93570
2018-06-11,9.09,9.09,9.0,9.09,54070
2018-06-08,9.28,9.28,9.01,9.09,91180
2018-06-07,9.18,9.36,9.09,9.23,112370
2018-06-06,9.09,9.23,9.08,9.18,94600
2018-06-05,8.82,9.23,8.64,9.02,324200
2018-06-04,8.58,8.72,8.46,8.64,328540
2018-06-01,8.54,8.64,8.54,8.59,62510
2018-05-31,8.6,8.6,8.37,8.59,66870
2018-05-30,8.71,8.71,8.36,8.55,71260
2018-05-29,8.19,8.72,8.19,8.5,174100
2018-05-28,8.99,8.99,8.36,8.36,475590
2018-05-25,9.05,9.05,8.97,8.99,147030
2018-05-24,9.14,9.14,9.0,9.05,22860
2018-05-23,9.23,9.23,9.0,9.09,88610
2018-05-22,9.28,9.28,9.05,9.09,314220
2018-05-21,9.27,9.36,9.22,9.23,31150
2018-05-18,9.32,9.32,9.22,9.27,48950
2018-05-17,9.32,9.32,9.22,9.27,60800
2018-05-16,9.41,9.41,9.27,9.27,121400
2018-05-15,9.55,9.64,9.27,9.36,403280
2018-05-14,9.68,9.68,9.27,9.41,160150
2018-05-11,9.54,9.54,9.4,9.45,50410
2018-05-10,9.59,9.82,9.45,9.45,178010
2018-05-09,9.55,9.82,9.46,9.59,396360
2018-05-08,9.13,9.54,9.13,9.55,411140
2018-05-07,9.27,9.32,9.18,9.27,274810
2018-05-04,9.32,9.32,9.22,9.27,66790
2018-05-03,9.22,9.32,9.09,9.27,399480
2018-05-02,9.46,9.46,9.27,9.27,330640
2018-04-27,9.28,9.37,9.23,9.32,244830
2018-04-26,9.45,9.68,9.22,9.23,336420
2018-04-24,9.36,9.41,9.27,9.27,344240
2018-04-23,9.6,9.6,9.37,9.36,252660
2018-04-20,9.4,9.68,9.36,9.55,358100
2018-04-19,9.78,9.78,9.46,9.45,416250
2018-04-18,9.73,9.82,9.59,9.73,203840
2018-04-17,9.78,9.87,9.68,9.73,240980
2018-04-16,9.82,9.96,9.73,9.73,299480
2018-04-13,9.91,9.91,9.72,9.91,241850
2018-04-12,9.77,10.0,9.77,9.86,161330
2018-04-11,10.14,10.14,9.68,9.91,489660
2018-04-10,10.0,10.14,9.82,10.0,1603340
2018-04-09,10.09,10.18,10.04,10.09,311400
2018-04-06,10.18,10.18,10.09,10.09,332190
2018-04-05,10.1,10.23,10.05,10.18,285640
2018-04-04,10.13,10.45,10.0,10.05,1033210
2018-04-03,10.32,10.32,10.14,10.18,217650
2018-04-02,10.73,10.73,10.27,10.32,145390
2018-03-30,10.32,10.55,10.28,10.5,214420
2018-03-29,10.23,10.28,10.18,10.23,66760
2018-03-28,10.14,10.28,10.14,10.23,319230
2018-03-27,10.36,10.36,10.09,10.14,373870
2018-03-26,10.36,10.45,10.18,10.36,348090
2018-03-23,10.28,10.46,10.19,10.27,385670
