date,open,high,low,close,volume,adj_close
2017-11-15,,,,,1070,34.0
2017-11-14,33.0,33.0,33.0,33.0,8410,33.0
2017-11-13,33.0,33.0,32.0,32.0,6490,32.0
2017-11-10,33.0,33.0,33.0,33.0,20,33.0
2017-11-09,33.0,33.0,33.0,33.0,4990,33.0
2017-11-08,33.0,33.0,33.0,33.0,0,33.0
2017-11-07,33.0,33.0,33.0,33.0,2000,33.0
2017-11-06,33.0,33.0,32.0,33.0,10510,33.0
2017-11-03,34.0,34.0,33.0,33.0,1440,33.0
2017-11-02,33.0,33.0,33.0,33.0,10540,33.0
2017-11-01,33.0,33.0,33.0,33.0,2400,33.0
2017-10-31,31.3,33.0,31.0,33.0,10040,33.0
2017-10-30,31.3,31.3,31.3,31.3,660,31.3
2017-10-27,33.3,33.3,33.3,33.3,0,33.3
2017-10-26,33.3,33.3,33.3,33.3,0,33.3
2017-10-25,32.95,33.3,32.95,33.3,6210,33.3
2017-10-24,32.95,32.95,32.95,32.95,0,32.95
2017-10-23,32.0,32.95,32.0,32.95,1870,32.95
2017-10-20,31.5,31.5,31.5,31.5,0,31.5
2017-10-19,31.5,31.5,31.5,31.5,210,31.5
2017-10-18,31.2,31.2,31.0,31.05,1060,31.05
2017-10-17,32.0,32.0,31.9,31.9,3180,31.9
2017-10-16,31.5,31.8,31.5,31.8,5010,31.8
2017-10-13,31.45,31.5,31.45,31.5,90,31.5
2017-10-12,30.7,31.05,30.6,31.0,1450,31.0
2017-10-11,31.0,31.5,31.0,31.5,4240,31.5
2017-10-10,31.5,31.6,31.5,31.5,4140,31.5
2017-10-09,31.05,31.6,31.0,31.6,5910,31.6
2017-10-06,31.5,32.45,31.15,32.2,10530,32.2
2017-10-05,31.3,31.3,31.0,31.0,110,31.0
2017-10-04,31.1,31.3,31.1,31.3,2030,31.3
2017-10-03,33.0,33.0,33.0,33.0,0,33.0
2017-10-02,31.2,33.0,31.2,33.0,4110,33.0
2017-09-29,31.7,31.7,31.7,31.7,50,31.7
2017-09-28,33.9,33.9,33.9,33.9,0,33.9
2017-09-27,33.9,33.9,33.9,33.9,0,33.9
2017-09-26,33.85,33.9,33.85,33.9,100,33.9
2017-09-25,33.9,33.9,33.9,33.9,0,33.9
2017-09-22,33.9,33.9,33.9,33.9,500,33.9
2017-09-21,34.4,34.4,34.4,34.4,0,34.4
2017-09-20,34.4,34.4,34.4,34.4,0,34.4
2017-09-19,32.6,34.4,32.6,34.4,640,34.4
2017-09-18,33.0,33.0,33.0,33.0,1000,33.0
2017-09-15,31.95,31.95,31.95,31.95,30,31.95
2017-09-14,32.65,32.65,32.65,32.65,0,32.65
2017-09-13,32.65,32.65,32.65,32.65,10,32.65
2017-09-12,32.9,32.9,32.9,32.9,0,32.9
2017-09-11,32.9,32.9,32.9,32.9,0,32.9
2017-09-08,31.0,32.9,31.0,32.9,2400,32.9
2017-09-07,32.9,32.9,31.05,32.9,1070,32.9
2017-09-06,32.9,32.9,32.9,32.9,0,32.9
2017-09-05,31.0,32.9,31.0,32.9,860,32.9
2017-09-01,30.75,30.75,30.75,30.75,0,30.75
2017-08-31,32.5,33.5,30.75,30.75,1320,30.75
2017-08-30,33.9,33.9,31.6,31.6,3030,31.6
2017-08-29,34.0,34.0,33.9,33.9,20,33.9
2017-08-28,32.5,32.5,32.5,32.5,10,32.5
2017-08-25,34.7,34.7,34.7,34.7,10,34.7
2017-08-24,34.5,34.5,34.5,34.5,0,34.5
2017-08-23,34.5,34.5,34.5,34.5,2800,34.5
2017-08-22,35.0,35.0,35.0,35.0,0,35.0
2017-08-21,35.0,35.0,35.0,35.0,90,35.0
2017-08-18,33.0,34.5,32.7,34.5,2780,34.5
2017-08-17,34.0,35.0,34.0,35.0,1710,35.0
2017-08-16,36.0,36.0,32.8,32.8,20,32.8
2017-08-15,34.0,34.0,34.0,34.0,10,34.0
2017-08-14,33.0,33.0,33.0,33.0,0,33.0
2017-08-11,33.0,33.0,33.0,33.0,120,33.0
2017-08-10,33.0,33.0,33.0,33.0,10,33.0
2017-08-09,35.0,35.0,35.0,35.0,0,35.0
2017-08-08,35.0,35.0,35.0,35.0,50,35.0
2017-08-07,32.65,34.9,32.6,34.85,2050,34.85
2017-08-04,35.0,35.0,35.0,35.0,0,35.0
2017-08-03,34.0,35.0,34.0,35.0,1030,35.0
2017-08-02,36.0,36.0,36.0,36.0,10,36.0
2017-08-01,36.0,36.0,36.0,36.0,0,36.0
2017-07-31,36.0,36.0,36.0,36.0,640,36.0
2017-07-28,32.6,35.0,32.6,35.0,20,35.0
2017-07-27,35.0,35.0,35.0,35.0,0,35.0
2017-07-26,35.3,35.5,35.0,35.0,2000,35.0
2017-07-25,35.3,35.3,35.3,35.3,0,35.3
2017-07-24,33.5,35.3,33.1,35.3,2110,35.3
2017-07-21,35.4,35.4,35.4,35.4,7520,35.4
2017-07-20,34.0,34.0,33.2,33.2,1010,33.2
2017-07-19,31.2,35.6,31.2,35.6,60,35.6
2017-07-18,33.3,33.3,33.3,33.3,260,33.3
2017-07-17,35.6,35.6,35.5,35.5,1070,35.5
2017-07-14,38.0,38.0,38.0,38.0,100,38.0
2017-07-13,40.0,40.0,38.0,38.0,1110,38.0
2017-07-12,40.0,40.0,38.0,39.0,180,39.0
2017-07-11,38.0,38.0,38.0,38.0,100,38.0
2017-07-10,38.0,38.0,38.0,38.0,10,38.0
2017-07-07,36.0,36.9,35.0,36.5,1900,36.5
2017-07-06,32.0,35.3,32.0,35.0,1210,35.0
2017-07-05,33.0,33.0,33.0,33.0,0,33.0
2017-07-04,30.0,33.0,30.0,33.0,11400,33.0
2017-07-03,31.0,31.0,31.0,31.0,0,31.0
2017-06-30,31.0,31.0,31.0,31.0,0,31.0
2017-06-29,31.0,31.0,31.0,31.0,0,31.0
2017-06-28,31.0,31.0,31.0,31.0,140,31.0
2017-06-27,30.0,30.0,30.0,30.0,10400,30.0
2017-06-26,28.9,28.9,28.9,28.9,0,28.9
2017-06-23,28.9,28.9,28.9,28.9,0,28.9
2017-06-22,30.0,30.0,28.9,28.9,2200,28.9
2017-06-21,30.0,30.0,30.0,30.0,920,30.0
2017-06-20,30.0,30.0,30.0,30.0,390,30.0
2017-06-19,30.5,30.5,30.5,30.5,0,30.5
2017-06-16,29.9,30.5,29.9,30.5,2910,30.5
2017-06-15,30.0,30.0,30.0,30.0,0,30.0
2017-06-14,30.0,30.0,30.0,30.0,0,30.0
2017-06-13,30.0,30.0,30.0,30.0,4500,30.0
2017-06-12,31.0,31.0,31.0,31.0,0,31.0
2017-06-09,30.5,31.0,30.5,31.0,2800,31.0
2017-06-08,30.5,30.5,30.0,30.0,2490,30.0
2017-06-07,28.6,28.6,28.6,28.6,0,28.6
2017-06-06,28.6,28.6,28.6,28.6,0,28.6
