date,open,high,low,close,volume
2018-04-20,,,,37.8,0
2018-04-19,37.9,37.9,37.2,37.8,220
2018-04-18,37.0,37.95,37.0,37.5,5090
2018-04-17,38.0,38.1,37.2,37.9,7410
2018-04-16,37.7,37.9,37.2,37.9,6710
2018-04-13,38.0,38.0,36.7,37.95,22160
2018-04-12,37.5,38.0,37.5,37.6,7670
2018-04-11,38.2,38.5,37.8,38.0,17790
2018-04-10,38.2,38.7,38.2,38.5,16600
2018-04-09,39.4,39.4,38.3,38.5,23590
2018-04-06,39.5,39.5,38.0,39.05,11710
2018-04-05,39.0,40.1,38.8,39.0,19400
2018-04-04,39.5,40.5,39.4,39.4,22820
2018-04-03,40.0,40.0,39.2,39.5,9770
2018-04-02,40.0,40.65,39.2,40.0,15960
2018-03-30,38.7,40.0,38.6,40.0,16320
2018-03-29,38.8,41.4,38.6,38.8,13460
2018-03-28,40.7,40.7,39.1,39.7,8700
2018-03-27,40.4,41.0,38.9,40.0,32330
2018-03-26,40.5,41.9,40.35,40.45,8810
2018-03-23,41.9,41.9,39.9,40.5,47330
2018-03-22,41.8,43.0,41.8,41.9,40490
2018-03-21,42.9,43.3,41.2,41.6,56050
2018-03-20,46.1,46.1,41.0,41.1,159550
2018-03-19,43.35,43.45,40.65,43.35,185150
2018-03-16,40.65,40.65,37.7,40.65,57110
2018-03-15,38.4,38.4,37.9,38.0,4690
2018-03-14,38.3,38.5,38.0,38.05,8900
2018-03-13,38.5,38.5,37.9,38.0,7100
2018-03-12,38.0,38.3,37.2,38.0,19330
2018-03-09,38.1,38.1,37.3,37.9,3040
2018-03-08,38.0,38.3,37.8,37.9,8900
2018-03-07,37.5,37.9,37.4,37.8,5250
2018-03-06,37.9,37.9,36.5,37.5,16740
2018-03-05,38.5,38.5,37.0,37.5,4010
2018-03-02,37.6,38.8,37.5,37.95,7520
2018-03-01,38.2,39.4,38.2,38.9,690
2018-02-28,38.9,39.5,37.6,39.35,7160
2018-02-27,39.1,39.1,37.5,38.9,3230
2018-02-26,38.95,38.95,37.6,37.6,52400
2018-02-23,38.27,38.94,37.98,38.85,50370
2018-02-22,37.5,38.27,37.02,38.27,25920
2018-02-21,37.31,37.5,36.54,37.5,13570
2018-02-13,37.02,37.4,35.86,36.06,12170
2018-02-12,34.52,36.06,34.52,35.96,21760
2018-02-09,34.33,34.33,33.18,33.75,11680
2018-02-08,35.39,35.39,34.62,34.81,3000
2018-02-07,34.19,35.58,34.19,34.91,26680
2018-02-06,34.14,34.62,32.41,34.14,32790
2018-02-05,34.62,35.29,33.66,34.62,22890
2018-02-02,35.58,35.58,34.14,34.81,7660
2018-02-01,36.06,36.06,33.65,34.62,19940
2018-01-31,35.05,35.44,34.81,35.0,16650
2018-01-30,34.38,35.1,34.04,34.81,19250
2018-01-29,34.52,34.52,33.9,33.9,13370
2018-01-26,34.71,34.71,33.89,34.04,6320
2018-01-25,34.43,34.62,33.76,34.52,12450
2018-01-22,34.61,34.61,34.42,34.43,3020
2018-01-19,34.43,34.81,34.24,34.71,9590
2018-01-18,34.61,34.61,33.85,34.43,4270
2018-01-17,34.57,34.57,34.23,34.23,20420
2018-01-16,34.33,34.57,34.13,34.57,11760
2018-01-15,34.62,34.62,34.04,34.47,15690
2018-01-12,34.52,34.71,33.84,34.52,17370
2018-01-11,34.71,34.9,34.33,34.71,17310
2018-01-10,34.04,35.0,33.94,34.76,52560
2018-01-09,34.23,34.91,34.14,34.81,20660
2018-01-08,33.85,35.1,33.85,35.1,10070
2018-01-05,35.3,35.39,33.95,35.1,17660
2018-01-04,35.49,35.49,34.91,35.2,6370
2018-01-03,34.71,35.48,34.13,34.91,20540
2018-01-02,34.72,35.58,33.95,34.71,15210
2017-12-29,33.65,36.54,33.65,33.95,13630
2017-12-28,,,,34.23,0
2017-12-27,34.62,35.1,33.76,34.23,8920
2017-12-26,35.43,35.43,33.65,34.43,2640
2017-12-25,34.14,35.01,33.76,35.0,4450
2017-12-22,35.29,35.48,34.62,35.2,2510
2017-12-21,34.62,35.39,34.62,35.29,37330
