date,open,high,low,close,volume,adj_close
2018-02-26,16.8,16.8,16.8,16.8,100,16.8
2018-02-23,16.0,16.0,16.0,16.0,100,16.0
2018-02-22,15.0,15.0,15.0,15.0,0,15.0
2018-02-21,15.0,15.0,15.0,15.0,0,15.0
2018-02-13,15.0,15.0,15.0,15.0,0,15.0
2018-02-12,15.0,15.0,15.0,15.0,0,15.0
2018-02-09,15.0,15.0,15.0,15.0,0,15.0
2018-02-08,15.0,15.0,15.0,15.0,0,15.0
2018-02-07,15.0,15.0,15.0,15.0,0,15.0
2018-02-06,15.0,15.0,15.0,15.0,0,15.0
2018-02-05,15.0,15.0,15.0,15.0,0,15.0
2018-02-02,14.0,15.0,14.0,15.0,600,15.0
2018-02-01,14.0,14.0,14.0,14.0,100,14.0
2018-01-31,12.9,12.9,12.9,12.9,0,12.9
2018-01-30,12.9,12.9,12.9,12.9,0,12.9
2018-01-29,12.9,12.9,12.9,12.9,0,12.9
2018-01-26,12.9,12.9,12.9,12.9,100,12.9
2018-01-25,13.7,13.7,13.7,13.7,0,13.7
2018-01-24,13.7,13.7,13.7,13.7,0,13.7
2018-01-23,13.7,13.7,13.7,13.7,0,13.7
2018-01-22,13.7,13.7,13.7,13.7,0,13.7
2018-01-19,13.7,13.7,13.7,13.7,0,13.7
2018-01-18,12.6,13.7,12.6,13.7,300,13.7
2018-01-17,14.0,14.0,14.0,14.0,0,14.0
2018-01-16,14.0,14.0,14.0,14.0,0,14.0
2018-01-15,14.0,14.0,14.0,14.0,0,14.0
2018-01-12,14.0,14.0,14.0,14.0,0,14.0
2018-01-11,14.0,14.0,14.0,14.0,0,14.0
2018-01-10,14.0,14.0,14.0,14.0,0,14.0
2018-01-09,14.0,14.0,14.0,14.0,0,14.0
2018-01-08,14.0,14.0,14.0,14.0,0,14.0
2018-01-05,14.0,14.0,14.0,14.0,0,14.0
2018-01-04,14.0,14.0,14.0,14.0,0,14.0
2018-01-03,14.0,14.0,14.0,14.0,0,14.0
2018-01-02,14.0,14.0,14.0,14.0,8000,14.0
2017-12-29,13.8,13.8,13.8,13.8,0,13.8
2017-12-28,13.8,13.8,13.8,13.8,0,13.8
2017-12-27,13.8,13.8,13.8,13.8,0,13.8
2017-12-26,13.8,13.8,13.8,13.8,0,13.8
2017-12-25,13.8,13.8,13.8,13.8,0,13.8
2017-12-22,13.8,13.8,13.8,13.8,0,13.8
2017-12-21,13.9,13.9,13.8,13.8,1700,13.8
2017-12-20,14.0,14.0,14.0,14.0,0,14.0
2017-12-19,14.0,14.0,14.0,14.0,0,14.0
2017-12-18,14.0,14.0,14.0,14.0,0,14.0
2017-12-15,14.0,14.0,14.0,14.0,0,14.0
2017-12-14,14.0,14.0,14.0,14.0,0,14.0
2017-12-13,14.0,14.0,14.0,14.0,0,14.0
2017-12-12,14.0,14.0,14.0,14.0,0,14.0
2017-12-11,14.0,14.0,14.0,14.0,0,14.0
2017-12-08,14.0,14.0,14.0,14.0,0,14.0
2017-12-07,14.0,14.0,14.0,14.0,0,14.0
2017-12-06,14.0,14.0,14.0,14.0,0,14.0
2017-12-05,14.0,14.0,14.0,14.0,100,14.5
2017-12-04,14.5,14.5,14.5,14.5,0,14.5
2017-12-01,14.5,14.5,14.5,14.5,0,14.5
2017-11-30,14.5,14.5,14.5,14.5,0,14.5
2017-11-29,14.5,14.5,14.5,14.5,0,14.5
2017-11-28,14.5,14.5,14.5,14.5,0,14.5
2017-11-27,14.5,14.5,14.5,14.5,0,14.5
2017-11-24,14.5,14.5,14.5,14.5,0,14.5
2017-11-23,14.5,14.5,14.5,14.5,0,14.5
2017-11-22,14.5,14.5,14.5,14.5,0,14.5
2017-11-21,14.5,14.5,14.5,14.5,0,14.5
2017-11-20,14.5,14.5,14.5,14.5,0,14.5
2017-11-17,14.5,14.5,14.5,14.5,0,14.5
2017-11-16,14.5,14.5,14.5,14.5,0,14.5
2017-11-15,14.5,14.5,14.5,14.5,0,14.5
2017-11-14,14.5,14.5,14.5,14.5,0,14.5
2017-11-13,14.5,14.5,14.5,14.5,0,14.5
2017-11-10,14.5,14.5,14.5,14.5,0,14.5
2017-11-09,14.5,14.5,14.5,14.5,0,14.5
2017-11-08,14.5,14.5,14.5,14.5,0,14.5
2017-11-07,14.5,14.5,14.5,14.5,0,14.5
2017-11-06,14.5,14.5,14.5,14.5,0,14.5
2017-11-03,14.5,14.5,14.5,14.5,100,14.5
2017-11-02,15.7,15.7,15.7,15.7,0,15.7
2017-11-01,15.7,15.7,15.7,15.7,0,15.7
2017-10-31,15.7,15.7,15.7,15.7,0,15.7
2017-10-30,15.7,15.7,15.7,15.7,0,15.7
2017-10-27,15.7,15.7,15.7,15.7,0,15.7
2017-10-26,15.7,15.7,15.7,15.7,0,15.7
2017-10-25,14.3,15.7,14.3,15.7,200,15.7
2017-10-24,14.3,14.3,14.3,14.3,100,14.3
2017-10-23,13.3,13.3,13.3,13.3,100,13.3
2017-10-20,12.2,12.2,12.2,12.2,0,12.2
2017-10-19,11.5,12.2,11.5,12.2,400,12.2
2017-10-18,11.7,11.7,11.7,11.7,0,11.7
2017-10-17,11.7,11.7,11.7,11.7,100,11.7
2017-10-16,11.0,12.0,11.0,12.0,300,12.0
