date,open,high,low,close,volume,adj_close
2018-01-19,,,,,9200,220.0
2018-01-18,,,,,1740,208.0
2018-01-17,,,,,3350,210.0
2018-01-16,,,,,6110,224.7
2018-01-15,,,,,2080,210.0
2018-01-12,,,,,5370,200.0
2018-01-11,,,,,2990,193.0
2018-01-10,,,,,11340,204.6
2018-01-09,,,,,12000,220.0
2018-01-08,,,,,9590,235.0
2018-01-05,,,,,13160,305.0
2018-01-04,,,,,11560,310.3
2018-01-03,,,,,28890,290.0
2018-01-02,,,,,13620,274.0
2017-12-29,,,,,10220,265.0
2017-12-28,,,,,6810,265.0
2017-12-27,,,,,870,254.0
2017-12-26,,,,,50,258.0
2017-12-25,,,,,1110,253.0
2017-12-22,,,,,0,254.0
2017-12-21,,,,,290,254.0
2017-12-20,,,,,620,252.0
2017-12-19,,,,,270,258.8
2017-12-18,,,,,110,256.0
2017-12-15,,,,,220,245.0
2017-12-14,,,,,160,250.0
2017-12-13,,,,,640,251.2
2017-12-12,,,,,480,260.0
2017-12-11,,,,,860,255.5
2017-12-08,,,,,1290,260.0
2017-12-07,,,,,1290,246.1
2017-12-06,,,,,350,230.0
2017-12-05,,,,,1110,215.0
2017-12-04,,,,,10,201.0
2017-12-01,,,,,0,205.0
2017-11-30,,,,,2540,205.0
2017-11-29,,,,,290,220.0
2017-11-28,,,,,10,210.0
2017-11-27,,,,,360,214.0
2017-11-24,,,,,0,200.0
2017-11-23,,,,,0,200.0
2017-11-22,,,,,10,200.0
2017-11-21,,,,,3900,210.0
2017-11-20,,,,,130,205.0
2017-11-17,,,,,0,210.0
2017-11-16,,,,,2460,210.0
2017-11-15,,,,,0,209.0
2017-11-14,,,,,870,209.0
2017-11-13,,,,,0,200.0
2017-11-10,,,,,0,200.0
2017-11-09,,,,,1550,200.0
2017-11-08,,,,,2230,202.0
2017-11-07,201.0,205.0,201.0,205.0,2160,205.0
2017-11-06,200.0,201.0,186.0,201.0,1150,201.0
2017-11-03,200.0,200.0,200.0,200.0,280,200.0
2017-11-02,200.0,202.0,200.0,202.0,400,202.0
2017-11-01,202.0,202.0,202.0,202.0,0,202.0
2017-10-31,187.0,202.0,187.0,202.0,310,202.0
2017-10-30,200.0,200.0,200.0,200.0,350,200.0
2017-10-27,200.0,200.0,200.0,200.0,0,200.0
2017-10-26,200.0,200.0,200.0,200.0,0,200.0
2017-10-25,200.0,200.0,200.0,200.0,0,200.0
2017-10-24,200.0,200.0,200.0,200.0,0,200.0
2017-10-23,200.0,200.0,200.0,200.0,0,200.0
2017-10-20,200.0,200.0,200.0,200.0,380,200.0
2017-10-19,200.0,200.0,200.0,200.0,1130,200.0
2017-10-18,200.0,200.0,200.0,200.0,0,200.0
2017-10-17,200.0,200.0,200.0,200.0,0,200.0
2017-10-16,200.0,200.0,200.0,200.0,200,200.0
2017-10-13,200.0,200.0,200.0,200.0,0,200.0
2017-10-12,200.0,200.0,200.0,200.0,6180,200.0
2017-10-11,200.0,200.0,200.0,200.0,150,200.0
2017-10-10,200.0,200.0,200.0,200.0,0,200.0
2017-10-09,200.0,200.0,200.0,200.0,0,200.0
2017-10-06,200.0,200.0,200.0,200.0,0,200.0
2017-10-05,195.0,200.0,195.0,200.0,3510,200.0
2017-10-04,198.0,198.0,198.0,198.0,310,198.0
2017-10-03,199.0,199.0,199.0,199.0,0,199.0
2017-10-02,196.0,199.0,196.0,199.0,830,199.0
2017-09-29,195.0,198.0,195.0,198.0,1180,198.0
2017-09-28,190.0,199.0,190.0,199.0,1220,199.0
2017-09-27,199.0,199.9,187.9,187.9,330,187.9
2017-09-26,188.9,188.9,188.9,188.9,10,188.9
2017-09-25,189.9,189.9,189.9,189.9,80,189.9
2017-09-22,189.9,189.9,189.9,189.9,10,189.9
2017-09-21,198.8,198.8,198.8,198.8,0,198.8
2017-09-20,198.8,198.8,198.8,198.8,0,198.8
