date,open,high,low,close,volume
2018-07-27,18.5,18.5,16.1,16.1,1800
2018-07-26,,,,17.8,0
2018-07-25,17.8,17.8,17.8,17.8,200
2018-07-24,,,,16.2,0
2018-07-23,,,,16.2,0
2018-07-20,16.2,16.2,16.2,16.2,10
2018-07-19,,,,16.2,0
2018-07-18,,,,16.2,0
2018-07-17,,,,16.2,0
2018-07-16,,,,16.2,0
2018-07-13,,,,16.2,0
2018-07-12,,,,16.2,0
2018-07-11,,,,16.2,0
2018-07-10,,,,16.2,0
2018-07-09,,,,16.2,0
2018-07-06,,,,16.2,0
2018-07-05,16.2,16.2,16.2,16.2,60
2018-07-04,,,,16.2,0
2018-07-03,,,,16.2,0
2018-07-02,,,,16.2,0
2018-06-29,16.2,16.2,16.2,16.2,3100
2018-06-28,,,,15.7,0
2018-06-27,,,,15.7,0
2018-06-26,15.7,15.7,15.7,15.7,100
2018-06-25,,,,14.3,0
2018-06-22,,,,14.3,0
2018-06-21,,,,14.3,0
2018-06-20,,,,14.3,0
2018-06-19,,,,14.3,0
2018-06-18,,,,14.3,0
2018-06-15,,,,14.3,0
2018-06-14,,,,14.3,0
2018-06-13,,,,14.3,0
2018-06-12,14.3,14.3,14.3,14.3,100
2018-06-11,15.22,15.22,15.22,15.22,122
2018-06-08,,,,15.97,0
2018-06-07,,,,15.97,0
2018-06-06,15.97,15.97,15.97,15.97,100
2018-06-05,15.22,15.22,15.22,15.22,50
2018-06-04,15.22,15.22,15.22,15.22,100
2018-06-01,,,,14.89,0
2018-05-31,,,,14.89,0
2018-05-30,,,,14.89,0
2018-05-29,14.89,14.89,14.89,14.89,2400
2018-05-28,13.55,13.55,13.55,13.55,100
2018-05-25,,,,14.72,0
2018-05-24,,,,14.72,0
2018-05-23,14.72,14.72,14.72,14.72,100
2018-05-22,,,,13.38,0
2018-05-21,,,,13.38,0
2018-05-18,13.38,13.38,13.38,13.38,1000
2018-05-17,,,,12.21,0
2018-05-16,,,,12.21,0
2018-05-15,,,,12.21,0
2018-05-14,,,,12.21,0
2018-05-11,,,,12.21,0
2018-05-10,,,,12.21,0
2018-05-09,,,,12.21,0
2018-05-08,,,,12.21,0
2018-05-07,,,,12.21,0
2018-05-04,,,,12.21,0
2018-05-03,,,,12.21,0
2018-05-02,,,,12.21,0
2018-04-27,,,,12.21,0
2018-04-26,12.21,12.21,12.21,12.21,100
2018-04-24,,,,13.05,0
2018-04-23,,,,13.05,0
2018-04-20,13.05,13.05,13.05,13.05,100
2018-04-19,14.46,14.46,14.46,14.47,252
2018-04-18,13.21,13.21,13.21,13.21,200
2018-04-17,,,,12.04,0
2018-04-16,,,,12.04,0
2018-04-13,,,,12.04,0
2018-04-12,,,,12.04,0
2018-04-11,,,,12.04,0
2018-04-10,13.21,13.21,12.04,12.04,4638
2018-04-09,,,,12.04,0
2018-04-06,,,,12.04,0
2018-04-05,,,,12.04,0
2018-04-04,,,,12.04,0
2018-04-03,,,,12.04,0
2018-04-02,,,,12.04,0
2018-03-30,,,,12.04,0
2018-03-29,12.05,12.05,12.05,12.04,400
2018-03-28,,,,13.3,0
2018-03-27,,,,13.3,0
2018-03-26,,,,13.3,0
2018-03-23,,,,13.3,0
2018-03-22,,,,13.3,0
2018-03-21,13.3,13.3,13.3,13.3,3400
2018-03-20,,,,12.13,0
2018-03-19,,,,12.13,0
2018-03-16,,,,12.13,0
2018-03-15,,,,12.13,0
2018-03-14,,,,12.13,0
2018-03-13,12.12,12.12,12.12,12.13,100
2018-03-12,,,,13.46,0
2018-03-09,,,,13.46,0
2018-03-08,,,,13.46,0
2018-03-07,,,,13.46,0
2018-03-06,,,,13.46,0
2018-03-05,,,,13.46,0
2018-03-02,,,,13.46,0
2018-03-01,,,,13.46,0
2018-02-28,,,,13.46,0
2018-02-27,,,,13.46,0
2018-02-26,13.46,13.46,13.46,13.46,20
2018-02-23,,,,13.46,0
2018-02-22,,,,13.46,0
2018-02-21,13.47,13.47,13.47,13.46,100
2018-02-13,14.47,14.47,14.47,14.47,200
2018-02-12,,,,16.06,0
2018-02-09,15.81,19.15,15.81,16.06,4600
2018-02-08,17.48,17.48,17.48,17.48,1400
2018-02-07,15.89,15.89,15.89,15.89,1012
2018-02-06,14.47,17.65,14.47,17.65,400
2018-02-05,,,,16.06,0
2018-02-02,,,,16.06,0
2018-02-01,16.05,16.05,16.05,16.06,100
2018-01-31,,,,14.63,0
2018-01-30,,,,14.63,0
2018-01-29,,,,14.63,0
2018-01-26,14.63,14.63,14.63,14.63,3212
2018-01-25,,,,14.38,0
2018-01-22,,,,14.38,0
2018-01-19,,,,14.38,0
2018-01-18,14.38,14.38,14.38,14.38,100
2018-01-17,15.89,17.48,15.89,15.97,2000
2018-01-16,15.89,15.89,15.89,15.89,30
2018-01-15,15.88,15.88,15.88,15.89,500
2018-01-12,,,,14.63,0
2018-01-11,,,,14.63,0
2018-01-10,,,,14.63,0
2018-01-09,,,,14.63,0
2018-01-08,14.64,14.64,14.64,14.63,300
2018-01-05,,,,14.05,0
2018-01-04,15.22,15.22,14.05,14.05,700
2018-01-03,,,,15.22,0
2018-01-02,,,,15.22,0
2017-12-29,,,,15.22,0
2017-12-28,,,,15.22,0
2017-12-27,15.22,15.22,15.22,15.22,100
2017-12-26,,,,15.14,0
2017-12-25,16.55,16.55,15.13,15.14,700
2017-12-22,,,,15.05,0
2017-12-21,15.05,15.05,15.05,15.05,500
2017-12-20,15.05,15.05,15.05,15.05,500
2017-12-19,,,,14.63,0
2017-12-18,,,,14.63,0
2017-12-15,,,,14.63,0
2017-12-14,,,,14.63,0
2017-12-13,14.63,14.63,14.63,14.63,100
2017-12-12,,,,14.63,0
2017-12-11,14.63,14.63,14.63,14.63,3200
2017-12-08,14.3,14.3,14.3,14.3,20
2017-12-07,14.64,14.64,14.3,14.3,1000
2017-12-06,15.05,15.05,14.22,14.22,4100
2017-12-05,,,,14.3,0
2017-12-04,15.39,15.39,14.05,14.3,7300
2017-12-01,,,,14.05,0
2017-11-30,14.89,14.89,14.05,14.05,3100
2017-11-29,,,,13.55,0
2017-11-28,15.56,15.56,13.55,13.55,5900
2017-11-27,14.21,14.21,14.21,14.22,6000
2017-11-24,,,,12.96,0
2017-11-23,,,,12.96,0
2017-11-22,13.54,13.54,12.96,12.96,3900
2017-11-21,12.79,12.79,12.79,12.79,100
2017-11-20,12.79,12.79,12.79,12.79,1002
2017-11-17,13.38,13.38,12.55,12.54,1000
2017-11-16,,,,13.55,0
2017-11-15,,,,13.55,0
2017-11-14,,,,13.55,0
2017-11-13,12.21,13.55,12.21,13.55,700
2017-11-10,,,,13.55,0
2017-11-09,,,,13.55,0
2017-11-08,,,,13.55,0
2017-11-07,,,,13.55,0
2017-11-06,,,,13.55,0
2017-11-03,,,,13.55,0
2017-11-02,,,,13.55,0
2017-11-01,,,,13.55,0
2017-10-31,,,,13.55,0
2017-10-30,,,,13.55,0
2017-10-27,,,,13.55,0
2017-10-26,,,,13.55,0
2017-10-25,,,,13.55,0
2017-10-24,13.55,13.55,13.55,13.55,200
2017-10-23,,,,14.3,0
2017-10-20,,,,14.3,0
2017-10-19,,,,14.3,0
2017-10-18,,,,14.3,0
2017-10-17,,,,14.3,0
2017-10-16,,,,14.3,0
2017-10-13,16.31,16.31,14.3,14.3,400
2017-10-12,14.89,14.89,14.89,14.89,110
2017-10-11,,,,13.55,0
2017-10-10,,,,13.55,0
2017-10-09,13.55,13.55,13.55,13.55,72
2017-10-06,,,,13.55,0
2017-10-05,13.55,13.55,13.55,13.55,100
2017-10-04,,,,14.3,0
2017-10-03,14.3,14.3,14.3,14.3,40
2017-10-02,14.3,14.3,14.3,14.3,200
2017-09-29,,,,15.39,0
2017-09-28,,,,15.39,0
2017-09-27,15.39,15.39,15.39,15.39,100
2017-09-26,,,,14.05,0
2017-09-25,,,,14.05,0
2017-09-22,,,,14.05,0
2017-09-21,,,,14.05,0
2017-09-20,,,,14.05,0
2017-09-19,,,,14.05,0
2017-09-18,,,,14.05,0
2017-09-15,,,,14.05,0
2017-09-14,,,,14.05,0
2017-09-13,,,,14.05,0
2017-09-12,,,,14.05,0
2017-09-11,14.05,14.05,14.05,14.05,100
2017-09-08,,,,15.47,0
2017-09-07,,,,15.47,0
2017-09-06,15.47,15.47,15.47,15.47,20
2017-09-05,,,,15.47,0
2017-09-01,15.47,15.47,15.47,15.47,400
2017-08-31,14.13,14.13,14.13,14.13,700
2017-08-30,,,,13.88,0
2017-08-29,13.88,13.88,13.88,13.88,100
2017-08-28,,,,12.63,0
2017-08-25,,,,12.63,0
2017-08-24,12.63,12.63,12.63,12.63,190
2017-08-23,,,,13.55,0
2017-08-22,,,,13.55,0
