date,open,high,low,close,volume,adj_close
2018-01-12,,,,,0,11.6
2018-01-11,,,,,0,11.6
2018-01-10,,,,,0,11.6
2018-01-09,,,,,0,11.6
2018-01-08,,,,,0,11.6
2018-01-05,,,,,0,11.6
2018-01-04,,,,,5700,11.6
2018-01-03,,,,,0,11.6
2018-01-02,,,,,0,11.6
2017-12-29,,,,,0,11.6
2017-12-28,,,,,0,11.6
2017-12-27,,,,,2000,11.6
2017-12-26,,,,,0,11.3
2017-12-25,,,,,0,11.3
2017-12-22,,,,,0,11.3
2017-12-21,,,,,1000,11.3
2017-12-20,,,,,0,11.2
2017-12-19,,,,,0,11.2
2017-12-18,,,,,0,11.2
2017-12-15,,,,,0,11.2
2017-12-14,,,,,0,11.2
2017-12-13,,,,,0,11.2
2017-12-12,,,,,1000,11.2
2017-12-11,,,,,0,11.2
2017-12-08,,,,,0,11.2
2017-12-07,,,,,0,11.2
2017-12-06,,,,,0,11.2
2017-12-05,,,,,0,11.2
2017-12-04,,,,,0,11.2
2017-12-01,,,,,100,11.2
2017-11-30,,,,,0,11.0
2017-11-29,,,,,0,11.0
2017-11-28,,,,,0,11.0
2017-11-27,,,,,0,11.0
2017-11-24,,,,,0,11.0
2017-11-23,,,,,0,11.0
2017-11-22,,,,,100,11.0
2017-11-21,,,,,0,11.0
2017-11-20,,,,,300,11.0
2017-11-17,,,,,0,12.0
2017-11-16,,,,,200,12.0
2017-11-15,,,,,0,11.0
2017-11-14,,,,,0,11.0
2017-11-13,,,,,0,11.0
2017-11-10,,,,,0,11.0
2017-11-09,,,,,0,11.0
2017-11-08,,,,,0,11.0
2017-11-07,11.0,11.0,11.0,11.0,100,11.0
2017-11-06,11.2,11.2,11.2,11.2,0,11.2
2017-11-03,11.2,11.2,11.2,11.2,0,11.2
2017-11-02,11.2,11.2,11.2,11.2,0,11.2
2017-11-01,11.2,11.2,11.2,11.2,100,11.2
2017-10-31,11.8,11.8,11.8,11.8,300,11.8
2017-10-30,12.0,12.0,12.0,12.0,0,12.0
2017-10-27,12.0,12.0,12.0,12.0,0,12.0
2017-10-26,12.0,12.0,12.0,12.0,0,12.0
2017-10-25,12.0,12.0,12.0,12.0,0,12.0
2017-10-24,12.0,12.0,12.0,12.0,0,12.0
2017-10-23,12.0,12.0,12.0,12.0,0,12.0
2017-10-20,12.0,12.0,12.0,12.0,0,12.0
2017-10-19,12.0,12.0,12.0,12.0,3100,12.0
2017-10-18,12.1,12.1,12.1,12.1,0,12.1
2017-10-17,12.1,12.1,12.1,12.1,0,12.1
2017-10-16,12.1,12.1,12.1,12.1,100,12.1
2017-10-13,12.1,12.1,12.1,12.1,0,12.1
2017-10-12,12.1,12.1,12.1,12.1,300,12.1
2017-10-11,12.2,12.2,12.2,12.2,0,12.2
2017-10-10,12.2,12.2,12.2,12.2,0,12.2
2017-10-09,12.2,12.2,12.2,12.2,0,12.2
2017-10-06,12.2,12.2,12.2,12.2,0,12.2
2017-10-05,12.2,12.2,12.2,12.2,0,12.2
2017-10-04,12.2,12.2,12.2,12.2,0,12.2
2017-10-03,12.2,12.2,12.2,12.2,0,12.2
2017-10-02,12.2,12.2,12.2,12.2,0,12.2
2017-09-29,12.2,12.2,12.2,12.2,800,12.2
2017-09-28,12.4,12.4,12.4,12.4,100,12.4
2017-09-27,12.4,12.4,12.4,12.4,700,12.4
2017-09-26,11.9,11.9,11.9,11.9,0,11.9
2017-09-25,11.9,11.9,11.9,11.9,0,11.9
2017-09-22,11.9,11.9,11.9,11.9,3100,11.9
2017-09-21,11.6,11.6,11.6,11.6,2300,11.6
2017-09-20,11.5,11.5,11.5,11.5,0,11.5
2017-09-19,11.5,11.5,11.5,11.5,0,11.5
2017-09-18,11.5,11.5,11.5,11.5,0,11.5
2017-09-15,11.5,11.5,11.5,11.5,0,11.5
2017-09-14,11.5,11.5,11.5,11.5,0,11.5
2017-09-13,11.5,11.5,11.5,11.5,0,11.5
2017-09-12,11.5,11.5,11.5,11.5,0,11.5
2017-09-11,11.5,11.5,11.5,11.5,0,11.5
2017-09-08,11.5,11.5,11.5,11.5,0,11.5
2017-09-07,11.5,11.5,11.5,11.5,0,11.5
2017-09-06,11.5,11.5,11.5,11.5,0,11.5
2017-09-05,11.5,11.5,11.5,11.5,500,11.5
2017-09-01,11.3,11.3,11.3,11.3,0,11.3
2017-08-31,11.3,11.3,11.3,11.3,0,11.3
2017-08-30,11.3,11.3,11.3,11.3,0,11.3
2017-08-29,11.3,11.3,11.3,11.3,85,11.3
2017-08-28,12.1,12.1,11.3,11.3,1000,11.3
2017-08-25,11.0,11.0,11.0,11.0,4600,11.0
2017-08-24,12.2,12.2,12.2,12.2,0,12.2
2017-08-23,12.2,12.2,12.2,12.2,0,12.2
2017-08-22,12.2,12.2,12.2,12.2,0,12.2
2017-08-21,12.2,12.2,12.2,12.2,0,12.2
2017-08-18,12.2,12.2,12.2,12.2,0,12.2
2017-08-17,12.2,12.2,12.2,12.2,0,12.2
2017-08-16,12.2,12.2,12.2,12.2,4600,12.2
2017-08-15,12.4,12.4,12.4,12.4,0,12.4
2017-08-14,12.4,12.4,12.4,12.4,0,12.4
2017-08-11,12.4,12.4,12.4,12.4,0,12.4
2017-08-10,12.4,12.4,12.4,12.4,1000,12.4
2017-08-09,12.4,12.4,12.4,12.4,0,12.4
2017-08-08,12.4,12.4,12.4,12.4,3400,12.4
2017-08-07,12.4,12.4,12.4,12.4,0,12.4
2017-08-04,12.4,12.4,12.4,12.4,1000,12.4
2017-08-03,12.0,12.0,12.0,12.0,0,12.0
2017-08-02,12.0,12.0,12.0,12.0,0,12.0
2017-08-01,12.0,12.0,12.0,12.0,0,12.0
2017-07-31,12.0,12.0,12.0,12.0,2500,12.0
2017-07-28,12.0,12.0,12.0,12.0,0,12.0
2017-07-27,12.0,12.0,12.0,12.0,0,12.0
2017-07-26,12.0,12.0,12.0,12.0,0,12.0
2017-07-25,12.0,12.0,12.0,12.0,0,12.0
2017-07-24,12.6,12.6,12.0,12.0,4800,12.0
2017-07-21,12.6,12.6,12.6,12.6,0,12.6
2017-07-20,12.6,12.6,12.6,12.6,0,12.6
2017-07-19,12.6,12.6,12.6,12.6,0,12.6
2017-07-18,12.6,12.6,12.6,12.6,500,12.6
2017-07-17,12.4,12.4,12.4,12.4,0,12.4
2017-07-14,12.4,12.4,12.4,12.4,0,12.4
2017-07-13,12.4,12.4,12.4,12.4,0,12.4
2017-07-12,12.4,12.4,12.4,12.4,0,12.4
2017-07-11,12.4,12.4,12.4,12.4,0,12.4
