date,open,high,low,close,volume
2017-09-28,51.1,52.0,51.1,51.7,59500
2017-09-27,50.1,51.4,50.1,51.3,135830
2017-09-26,50.4,50.6,49.6,50.6,145230
2017-09-25,49.5,50.4,49.5,50.0,127350
2017-09-22,50.5,50.5,48.95,50.0,212300
2017-09-21,50.9,50.9,50.0,50.5,148720
2017-09-20,45.2,48.35,45.2,48.35,410990
2017-09-19,46.0,46.1,45.2,45.2,177730
2017-09-18,46.5,46.5,45.95,46.0,98760
2017-09-15,45.8,46.0,45.7,45.95,48320
2017-09-14,46.0,46.7,45.8,45.8,78110
2017-09-13,46.7,46.7,45.6,46.0,80350
2017-09-12,45.2,45.5,45.0,45.0,93020
2017-09-11,45.5,45.5,44.6,45.0,23590
2017-09-08,46.8,46.8,45.1,45.2,103560
2017-09-07,49.0,49.0,46.8,46.8,29370
2017-09-06,49.0,49.0,48.0,48.5,6450
2017-09-05,48.5,48.7,48.0,48.6,20270
2017-09-01,49.2,49.2,48.5,48.7,12460
2017-08-31,49.9,50.0,48.8,49.0,17330
2017-08-30,49.2,49.9,49.0,49.9,14760
2017-08-29,51.0,51.0,49.0,49.2,2760
2017-08-28,49.7,50.5,49.5,50.4,31430
2017-08-25,49.0,49.5,48.8,49.5,4790
2017-08-24,49.5,49.5,48.8,49.0,9330
2017-08-23,49.2,49.2,48.8,48.8,12900
2017-08-22,50.0,50.0,49.1,49.2,10000
2017-08-21,49.5,50.0,49.3,49.8,5650
2017-08-18,49.0,50.0,49.0,49.2,79290
2017-08-17,50.8,50.8,49.5,50.0,86950
2017-08-16,51.3,51.3,50.5,50.8,45800
2017-08-15,51.0,51.0,50.0,50.0,21000
2017-08-14,50.0,51.0,50.0,51.0,90260
2017-08-11,49.7,49.8,49.7,49.8,2660
2017-08-10,49.6,50.5,49.6,50.5,42470
2017-08-09,50.1,50.1,49.6,49.6,25480
2017-08-08,50.1,50.2,50.1,50.1,62110
2017-08-07,51.0,51.7,50.0,51.4,12280
2017-08-04,51.5,51.5,51.0,51.4,57290
2017-08-03,50.4,51.2,50.4,51.2,16290
2017-08-02,50.0,51.0,50.0,50.4,7550
2017-08-01,51.9,51.9,51.0,51.0,29120
2017-07-31,51.6,51.8,50.1,51.8,31510
2017-07-28,51.1,51.8,51.0,51.8,14320
2017-07-27,52.5,52.8,51.1,51.1,30680
2017-07-26,51.8,53.0,51.8,52.5,33300
2017-07-25,51.5,52.0,51.5,51.5,9310
2017-07-24,50.6,52.0,50.5,52.0,12000
2017-07-21,54.0,54.0,51.7,52.5,174250
2017-07-20,55.0,55.0,54.1,55.0,29420
2017-07-19,54.5,55.2,54.0,55.0,51210
2017-07-18,56.0,56.0,54.5,55.0,69790
2017-07-17,57.5,57.5,55.0,56.0,125820
2017-07-14,58.0,58.0,57.3,57.3,6320
2017-07-13,58.0,58.0,57.3,58.0,17630
2017-07-12,57.0,57.3,56.5,57.3,29000
2017-07-11,57.5,58.0,56.3,57.0,46530
2017-07-10,58.0,58.0,56.5,57.8,6330
2017-07-07,58.1,58.6,57.5,58.0,15840
2017-07-06,58.2,58.8,58.0,58.7,57200
2017-07-05,58.4,59.1,58.3,58.8,137770
2017-07-04,59.9,60.7,58.4,58.4,34160
2017-07-03,59.2,59.9,59.1,59.9,36220
2017-06-30,60.8,60.8,59.0,59.0,24800
2017-06-29,58.1,60.2,58.1,60.1,102500
2017-06-28,59.0,59.0,58.0,58.7,26570
2017-06-27,58.5,59.2,58.0,59.0,107900
2017-06-26,58.5,58.8,58.2,58.8,22520
2017-06-23,58.8,59.7,58.4,58.5,125280
2017-06-22,56.5,58.6,56.4,58.4,343970
2017-06-21,55.3,56.5,55.3,56.5,38100
2017-06-20,56.9,57.0,56.0,56.5,25040
2017-06-19,56.9,57.0,56.0,56.9,61050
2017-06-16,54.3,56.7,54.0,55.0,53560
2017-06-15,55.0,55.0,53.5,54.8,23110
2017-06-14,55.0,55.0,53.5,54.7,10920
2017-06-13,53.0,54.5,53.0,54.5,108610
2017-06-12,54.5,54.7,53.7,54.0,37700
