date,open,high,low,close,volume,adj_close
2018-03-09,,,,,655700,3.4
2018-03-08,3.0,3.1,3.0,3.1,607300,3.1
2018-03-07,3.1,3.2,2.9,2.9,238200,2.9
2018-03-06,2.8,3.1,2.8,3.1,320200,3.1
2018-03-05,3.0,3.0,2.9,2.9,33800,2.9
2018-03-02,2.9,3.1,2.9,2.9,338400,2.9
2018-03-01,2.8,3.1,2.8,2.9,177600,2.9
2018-02-28,3.0,3.0,2.9,2.9,304400,2.9
2018-02-27,3.1,3.3,2.9,3.1,191111,3.1
2018-02-26,2.8,3.1,2.8,3.1,891700,3.1
2018-02-23,2.9,2.9,2.8,2.9,17000,2.9
2018-02-22,2.9,2.9,2.8,2.8,17500,2.8
2018-02-21,2.7,2.9,2.7,2.9,159100,2.9
2018-02-13,2.6,2.7,2.6,2.7,76650,2.7
2018-02-12,2.7,2.8,2.6,2.6,132900,2.6
2018-02-09,2.7,2.9,2.6,2.7,286100,2.7
2018-02-08,2.9,3.0,2.7,2.7,108200,2.7
2018-02-07,2.8,2.9,2.8,2.9,353500,2.9
2018-02-06,2.5,2.8,2.5,2.8,209200,2.8
2018-02-05,2.8,2.8,2.7,2.7,93000,2.7
2018-02-02,2.8,3.0,2.7,2.9,246300,2.9
2018-02-01,2.9,2.9,2.7,2.9,132100,2.9
2018-01-31,2.9,3.1,2.7,2.9,228700,2.9
2018-01-30,2.8,2.9,2.8,2.9,30900,2.9
2018-01-29,2.9,3.0,2.9,2.9,35200,2.9
2018-01-26,2.9,3.0,2.9,3.0,41400,3.0
2018-01-25,3.0,3.0,2.9,3.0,20400,3.0
2018-01-24,3.1,3.1,2.9,2.9,84900,2.9
2018-01-23,3.0,3.0,3.0,3.0,62400,3.0
2018-01-22,3.0,3.0,2.9,3.0,122200,3.0
2018-01-19,3.0,3.1,3.0,3.1,51900,3.1
2018-01-18,3.1,3.1,3.0,3.0,135800,3.0
2018-01-17,3.0,3.1,2.9,3.1,56800,3.1
2018-01-16,3.2,3.2,2.9,3.0,104200,3.0
2018-01-15,3.0,3.2,3.0,3.2,25300,3.2
2018-01-12,2.7,3.0,2.7,3.0,138700,3.0
2018-01-11,3.0,3.0,2.8,2.8,209000,2.8
2018-01-10,3.0,3.1,2.9,3.0,113700,3.0
2018-01-09,3.0,3.1,2.9,3.1,98100,3.1
2018-01-08,3.1,3.2,3.1,3.1,87500,3.1
2018-01-05,3.2,3.2,3.1,3.2,47900,3.2
2018-01-04,3.3,3.3,3.0,3.2,87100,3.2
2018-01-03,3.3,3.3,3.3,3.3,20400,3.3
2018-01-02,3.5,3.5,3.3,3.3,61700,3.3
2017-12-29,3.5,3.5,3.3,3.4,115400,3.4
2017-12-28,3.1,3.5,3.1,3.3,428200,3.3
2017-12-27,3.4,3.5,3.2,3.2,128100,3.2
2017-12-26,3.5,3.6,3.3,3.4,26700,3.4
2017-12-25,3.3,3.6,3.3,3.4,302900,3.4
2017-12-22,3.5,3.5,3.3,3.3,65200,3.3
2017-12-21,3.3,3.6,3.3,3.5,475200,3.5
2017-12-20,3.1,3.4,3.0,3.3,304300,3.3
2017-12-19,3.0,3.4,2.9,3.1,537300,3.1
2017-12-18,3.2,3.2,2.8,3.1,319500,3.1
2017-12-15,2.9,3.0,2.9,3.0,90500,2.8
2017-12-14,2.8,3.0,2.7,2.8,328300,2.8
2017-12-13,3.0,3.2,2.9,2.9,508200,2.9
2017-12-12,3.3,3.4,3.2,3.2,240500,3.2
2017-12-11,3.6,3.6,3.3,3.5,352700,3.5
2017-12-08,3.3,3.4,3.3,3.4,533100,3.1
2017-12-07,2.9,3.1,2.9,3.1,319800,2.9
2017-12-06,3.1,3.1,2.9,2.9,1026000,2.9
2017-12-05,3.4,3.4,3.1,3.1,2106000,3.1
2017-12-04,3.0,3.1,3.0,3.1,572300,3.1
2017-12-01,2.8,2.9,2.8,2.9,659200,2.9
2017-11-30,2.6,2.7,2.6,2.7,1195800,2.7
2017-11-29,2.4,2.5,2.4,2.5,714400,2.5
2017-11-28,2.5,2.6,2.3,2.3,1342400,2.3
2017-11-27,2.3,2.4,2.3,2.4,723500,2.4
2017-11-24,2.3,2.3,2.1,2.2,402900,2.2
2017-11-23,2.1,2.3,2.1,2.3,956500,2.3
2017-11-22,2.3,2.4,2.1,2.1,932400,2.1
2017-11-21,2.2,2.2,2.1,2.2,798500,2.2
2017-11-20,2.0,2.0,2.0,2.0,570600,2.0
2017-11-17,1.9,1.9,1.9,1.9,740700,1.9
2017-11-16,1.8,1.8,1.8,1.8,225100,1.8
2017-11-15,1.7,1.7,1.7,1.7,32200,1.7
2017-11-14,1.9,1.9,1.8,1.8,82300,1.8
2017-11-13,1.9,1.9,1.8,1.9,95500,1.9
2017-11-10,1.8,1.8,1.7,1.8,258300,1.8
2017-11-09,1.8,1.8,1.7,1.8,33300,1.8
2017-11-08,1.7,1.9,1.7,1.8,30100,1.8
2017-11-07,1.8,1.9,1.7,1.8,219600,1.8
2017-11-06,1.9,1.9,1.7,1.8,95900,1.8
2017-11-03,1.7,1.8,1.6,1.8,389500,1.8
2017-11-02,1.8,1.8,1.7,1.7,176600,1.7
2017-11-01,1.7,1.9,1.7,1.8,276100,1.8
2017-10-31,1.7,1.8,1.7,1.8,110500,1.8
2017-10-30,1.9,1.9,1.7,1.7,21300,1.7
2017-10-27,1.8,1.9,1.7,1.8,83100,1.8
2017-10-26,1.9,2.0,1.8,1.8,182500,1.8
2017-10-25,1.9,1.9,1.7,1.9,353500,1.9
2017-10-24,1.7,1.8,1.6,1.8,446700,1.8
2017-10-23,1.8,1.8,1.6,1.7,339700,1.7
2017-10-20,1.8,1.8,1.7,1.7,315100,1.7
2017-10-19,1.8,1.8,1.7,1.8,71800,1.8
2017-10-18,1.8,1.8,1.7,1.7,26100,1.7
2017-10-17,1.8,1.8,1.7,1.8,74200,1.8
2017-10-16,1.7,1.8,1.7,1.7,30000,1.7
2017-10-13,1.8,1.8,1.7,1.8,17100,1.8
2017-10-12,1.8,1.8,1.7,1.8,44000,1.8
2017-10-11,1.8,1.8,1.7,1.8,54800,1.8
2017-10-10,1.7,1.8,1.7,1.8,55800,1.8
2017-10-09,1.7,1.8,1.7,1.8,53900,1.8
2017-10-06,1.8,1.8,1.7,1.8,34200,1.8
2017-10-05,1.8,1.8,1.8,1.8,267100,1.8
2017-10-04,1.8,1.8,1.7,1.7,199200,1.7
2017-10-03,1.8,1.8,1.7,1.7,58400,1.7
2017-10-02,1.9,1.9,1.7,1.7,101200,1.7
2017-09-29,1.8,1.9,1.7,1.8,105300,1.8
2017-09-28,1.7,1.8,1.7,1.8,140400,1.8
2017-09-27,1.8,1.9,1.7,1.7,204600,1.7
2017-09-26,1.8,1.9,1.8,1.8,287700,1.8
2017-09-25,2.0,2.0,1.8,1.9,144900,1.9
2017-09-22,1.8,1.9,1.8,1.9,537500,1.9
2017-09-21,1.8,1.9,1.8,1.8,140800,1.8
2017-09-20,1.9,1.9,1.8,1.9,111800,1.9
2017-09-19,1.8,1.9,1.7,1.8,232500,1.8
2017-09-18,1.7,1.8,1.7,1.8,127900,1.8
2017-09-15,1.7,1.8,1.7,1.7,67900,1.7
2017-09-14,1.7,1.8,1.7,1.8,57500,1.8
2017-09-13,1.6,1.8,1.6,1.7,77000,1.7
2017-09-12,1.8,1.8,1.7,1.7,434400,1.7
2017-09-11,1.9,1.9,1.8,1.8,228300,1.8
2017-09-08,1.9,1.9,1.8,1.9,93600,1.9
2017-09-07,1.9,1.9,1.8,1.9,128200,1.9
2017-09-06,1.9,1.9,1.8,1.8,165000,1.8
2017-09-05,1.9,1.9,1.8,1.8,24300,1.8
2017-09-01,1.8,1.9,1.8,1.8,58000,1.8
2017-08-31,2.0,2.0,1.8,1.9,41700,1.9
2017-08-30,2.0,2.0,1.9,1.9,138800,1.9
2017-08-29,1.9,2.0,1.9,2.0,45807,2.0
2017-08-28,1.9,2.0,1.8,2.0,180500,2.0
2017-08-25,1.8,2.0,1.8,2.0,335800,2.0
2017-08-24,2.0,2.0,1.8,1.9,317900,1.9
2017-08-23,1.9,2.0,1.8,2.0,311070,2.0
2017-08-22,2.0,2.0,1.8,1.9,271600,1.9
2017-08-21,1.9,2.0,1.9,1.9,40650,1.9
2017-08-18,2.1,2.1,1.8,2.0,551090,2.0
2017-08-17,2.2,2.2,2.0,2.0,465000,2.0
2017-08-16,2.1,2.2,2.1,2.2,112300,2.2
2017-08-15,2.4,2.4,2.1,2.2,346800,2.2
2017-08-14,2.2,2.3,2.1,2.2,628800,2.2
2017-08-11,2.2,2.3,2.1,2.2,295500,2.2
2017-08-10,2.2,2.4,2.1,2.2,428200,2.2
2017-08-09,2.3,2.4,2.1,2.2,1078900,2.2
2017-08-08,2.4,2.5,2.2,2.2,1104400,2.2
2017-08-07,2.3,2.4,2.2,2.4,1244700,2.4
2017-08-04,2.4,2.4,2.2,2.2,488700,2.2
