date,open,high,low,close,volume,adj_close
2017-12-27,,,,,169950,7.48
2017-12-26,7.65,7.69,7.49,7.49,309850,7.49
2017-12-25,7.88,7.9,7.84,7.89,258610,7.39
2017-12-22,7.92,7.92,7.82,7.87,125950,7.87
2017-12-21,7.96,7.96,7.8,7.94,167290,7.94
2017-12-20,7.8,8.1,7.8,7.96,360120,7.96
2017-12-19,8.04,8.08,7.7,7.8,582980,7.8
2017-12-18,8.1,8.16,8.07,8.07,474640,8.07
2017-12-15,8.2,8.2,8.03,8.1,251390,8.1
2017-12-14,7.75,8.23,7.75,8.2,1454670,8.2
2017-12-13,7.7,7.73,7.68,7.7,177720,7.7
2017-12-12,7.7,7.88,7.6,7.69,301840,7.69
2017-12-11,7.8,7.94,7.68,7.68,485460,7.68
2017-12-08,7.88,7.91,7.8,7.8,148250,7.8
2017-12-07,7.96,8.1,7.85,7.88,616550,7.88
2017-12-06,8.01,8.05,7.96,7.96,287750,7.96
2017-12-05,8.15,8.15,8.01,8.01,293530,8.01
2017-12-04,8.16,8.25,8.1,8.11,343960,8.11
2017-12-01,8.09,8.3,8.08,8.16,250220,8.16
2017-11-30,8.12,8.12,8.01,8.09,736000,8.09
2017-11-29,8.25,8.27,8.11,8.12,849510,8.12
2017-11-28,8.35,8.35,8.22,8.25,364720,8.25
2017-11-27,8.38,8.38,8.3,8.31,370720,8.31
2017-11-24,8.33,8.42,8.3,8.38,572080,8.38
2017-11-23,8.16,8.39,8.11,8.32,549860,8.32
2017-11-22,8.3,8.4,8.1,8.2,703930,8.2
2017-11-21,8.56,8.56,8.3,8.3,799090,8.3
2017-11-20,8.41,8.58,8.4,8.58,513950,8.58
2017-11-17,8.5,8.55,8.35,8.41,302460,8.41
2017-11-16,8.4,8.49,8.3,8.4,779770,8.4
2017-11-15,8.25,8.4,8.2,8.3,92920,8.3
2017-11-14,8.3,8.3,8.1,8.1,50900,8.1
2017-11-13,8.3,8.3,8.15,8.26,62070,8.26
2017-11-10,8.2,8.33,8.2,8.3,117820,8.3
