date,open,high,low,close,volume,adj_close
2017-12-04,,,,,0,26.8
2017-12-01,26.8,26.8,26.8,26.8,0,26.8
2017-11-30,26.8,26.8,26.8,26.8,0,26.8
2017-11-29,29.1,29.1,26.8,26.8,300,26.8
2017-11-28,31.9,31.9,26.3,26.5,40800,26.5
2017-11-27,29.0,29.0,29.0,29.0,0,29.0
2017-11-24,29.0,29.0,29.0,29.0,0,29.0
2017-11-23,29.0,29.0,29.0,29.0,0,29.0
2017-11-22,29.0,29.0,29.0,29.0,0,29.0
2017-11-21,29.0,29.0,29.0,29.0,0,29.0
2017-11-20,29.0,29.0,29.0,29.0,0,29.0
2017-11-17,29.0,29.0,29.0,29.0,0,29.0
2017-11-16,29.0,29.0,29.0,29.0,0,29.0
2017-11-15,26.3,31.0,26.3,29.0,20200,29.0
2017-11-14,31.0,31.0,26.1,29.0,22300,29.0
2017-11-13,29.0,29.0,29.0,29.0,1300,29.0
2017-11-10,26.4,26.4,26.4,26.4,7000,26.4
2017-11-09,24.0,24.0,24.0,24.0,0,24.0
2017-11-08,24.0,24.0,24.0,24.0,0,24.0
2017-11-07,24.0,24.0,24.0,24.0,0,24.0
2017-11-06,24.0,24.0,24.0,24.0,0,24.0
2017-11-03,24.0,24.0,24.0,24.0,0,24.0
2017-11-02,24.0,24.0,24.0,24.0,0,24.0
2017-11-01,24.0,24.0,24.0,24.0,0,24.0
2017-10-31,26.0,26.7,24.0,24.0,5600,24.0
2017-10-30,24.3,24.3,24.3,24.3,0,24.3
2017-10-27,24.3,24.3,24.3,24.3,0,24.3
2017-10-26,24.3,24.3,24.3,24.3,0,24.3
2017-10-25,24.3,24.3,24.3,24.3,0,24.3
2017-10-24,24.3,24.3,24.3,24.3,0,24.3
2017-10-23,28.8,28.8,24.3,24.3,300,24.3
2017-10-20,26.2,26.2,26.2,26.2,0,26.2
2017-10-19,28.7,28.7,26.2,26.2,300,26.2
2017-10-18,26.1,26.1,26.1,26.1,100,26.1
2017-10-17,28.6,28.6,28.6,28.6,200,28.6
2017-10-16,28.9,28.9,26.0,26.0,300,26.0
2017-10-13,26.3,26.3,26.3,26.3,0,26.3
2017-10-12,26.3,26.3,26.3,26.3,0,26.3
2017-10-11,26.3,26.3,26.3,26.3,0,26.3
2017-10-10,26.3,26.3,26.3,26.3,0,26.3
2017-10-09,26.3,26.3,26.3,26.3,0,26.3
2017-10-06,30.0,30.1,26.3,26.3,400,26.3
2017-10-05,30.0,30.0,27.4,27.4,1000,27.4
2017-10-04,27.3,27.3,27.3,27.3,100,27.3
2017-10-03,29.0,29.0,29.0,29.0,0,29.0
2017-10-02,29.0,29.0,29.0,29.0,200,29.0
2017-09-29,26.7,26.7,26.7,26.7,0,26.7
2017-09-28,26.7,26.7,26.7,26.7,0,26.7
2017-09-27,26.7,26.7,26.7,26.7,0,26.7
2017-09-26,26.7,26.7,26.7,26.7,100,26.7
2017-09-25,27.9,28.3,27.9,28.3,600,28.3
2017-09-22,29.2,29.2,29.2,29.2,9100,29.2
2017-09-21,26.6,26.6,26.6,26.6,0,26.6
2017-09-20,26.6,26.6,26.6,26.6,0,26.6
2017-09-19,26.6,26.6,26.6,26.6,100,26.6
2017-09-18,28.4,28.4,28.4,28.4,0,28.4
2017-09-15,32.9,33.0,27.3,28.4,14500,28.4
2017-09-14,30.0,30.0,30.0,30.0,2600,30.0
2017-09-13,27.7,27.7,27.7,27.7,100,27.7
2017-09-12,30.3,30.3,25.2,25.2,5200,25.2
2017-09-11,27.6,27.6,27.6,27.6,0,27.6
2017-09-08,27.6,27.6,27.6,27.6,100,27.6
2017-09-07,28.1,28.1,28.1,28.1,0,28.1
2017-09-06,28.1,28.1,28.1,28.1,0,28.1
2017-09-05,28.1,28.1,28.1,28.1,0,28.1
2017-09-01,28.1,28.1,28.1,28.1,100,28.1
2017-08-31,30.7,30.7,30.7,30.7,0,30.7
2017-08-30,30.7,30.7,30.7,30.7,0,30.7
2017-08-29,30.7,30.7,30.7,30.7,0,30.7
2017-08-28,30.7,30.7,30.7,30.7,0,30.7
2017-08-25,30.7,30.7,30.7,30.7,0,30.7
2017-08-24,34.0,36.0,30.7,30.7,2600,30.7
2017-08-23,33.5,33.5,33.3,33.3,1000,33.3
2017-08-22,34.0,34.0,33.5,33.5,6100,33.5
2017-08-21,34.0,34.0,32.0,32.0,10800,32.0
2017-08-18,34.0,34.5,34.0,34.0,15000,34.0
2017-08-17,33.0,33.0,33.0,33.0,1000,33.0
2017-08-16,30.1,30.1,30.1,30.1,0,30.1
2017-08-15,30.1,30.1,30.1,30.1,0,30.1
2017-08-14,30.1,30.1,30.1,30.1,600,30.1
2017-08-11,30.1,30.1,30.1,30.1,0,30.1
2017-08-10,30.1,30.1,30.1,30.1,0,30.1
2017-08-09,30.1,30.1,30.1,30.1,0,30.1
2017-08-08,30.1,30.1,30.1,30.1,0,30.1
2017-08-07,30.1,30.1,30.1,30.1,0,30.1
2017-08-04,30.1,30.1,30.1,30.1,100,30.1
2017-08-03,33.4,33.5,33.3,33.3,11000,33.3
