date,open,high,low,close,volume,adj_close
2017-12-13,,,,,704370,2.76
2017-12-12,2.9,2.9,2.7,2.72,1743040,2.72
2017-12-11,3.0,3.12,2.72,2.9,1763910,2.9
2017-12-08,2.75,2.92,2.75,2.92,2529910,2.92
2017-12-07,2.56,2.73,2.41,2.73,1357890,2.73
2017-12-06,2.65,2.65,2.51,2.56,1493380,2.56
2017-12-05,2.51,2.51,2.41,2.51,2237390,2.51
2017-12-04,2.3,2.35,2.22,2.35,1362380,2.35
2017-12-01,2.18,2.29,2.18,2.2,239580,2.2
2017-11-30,2.23,2.25,2.18,2.18,413350,2.18
2017-11-29,2.19,2.21,2.17,2.18,347320,2.18
2017-11-28,2.19,2.25,2.16,2.21,321660,2.21
2017-11-27,2.3,2.3,2.16,2.21,311700,2.21
2017-11-24,2.31,2.32,2.22,2.3,946840,2.3
2017-11-23,2.17,2.17,2.12,2.17,420450,2.17
2017-11-22,2.1,2.13,2.0,2.03,476310,2.03
2017-11-21,2.07,2.13,2.03,2.07,441840,2.07
2017-11-20,2.06,2.13,2.06,2.06,388460,2.06
2017-11-17,2.1,2.15,2.03,2.06,156080,2.06
2017-11-16,2.12,2.22,2.06,2.06,757040,2.06
2017-11-15,2.21,2.21,2.12,2.12,358260,2.12
2017-11-14,2.28,2.28,2.16,2.21,243330,2.21
2017-11-13,2.17,2.3,2.17,2.19,436760,2.19
2017-11-10,2.16,2.29,2.16,2.2,479100,2.2
2017-11-09,2.33,2.33,2.15,2.16,697470,2.16
2017-11-08,2.34,2.38,2.2,2.31,433030,2.31
2017-11-07,2.4,2.4,2.27,2.34,306400,2.34
2017-11-06,2.25,2.4,2.25,2.3,1011220,2.3
2017-11-03,2.26,2.31,2.17,2.25,889570,2.25
2017-11-02,1.99,2.16,1.99,2.16,485080,2.16
2017-11-01,2.0,2.04,1.98,2.02,234590,2.02
2017-10-31,2.11,2.11,1.98,2.04,469270,2.04
2017-10-30,2.14,2.22,2.1,2.12,394360,2.12
2017-10-27,2.0,2.12,2.0,2.12,516800,2.12
2017-10-26,2.05,2.14,1.99,1.99,883690,1.99
2017-10-25,2.29,2.33,2.13,2.13,334720,2.13
2017-10-24,2.39,2.4,2.26,2.26,938180,2.26
2017-10-23,2.39,2.54,2.39,2.39,2148260,2.39
2017-10-20,2.12,2.39,2.12,2.39,1258650,2.39
2017-10-19,2.3,2.39,2.22,2.24,1238740,2.24
2017-10-18,2.52,2.52,2.2,2.38,5537950,2.38
2017-10-17,2.36,2.36,2.36,2.36,573710,2.36
2017-10-16,2.21,2.21,2.21,2.21,826570,2.21
2017-10-13,2.07,2.07,2.03,2.07,2999830,2.07
2017-10-12,1.82,1.94,1.81,1.94,699510,1.94
2017-10-11,1.79,1.82,1.77,1.82,693660,1.82
2017-10-10,1.8,1.82,1.77,1.8,837730,1.8
2017-10-09,1.82,1.82,1.76,1.79,275880,1.79
2017-10-06,1.78,1.84,1.78,1.83,149050,1.83
2017-10-05,1.84,1.84,1.77,1.77,196130,1.77
2017-10-04,1.78,1.81,1.78,1.8,224930,1.8
2017-10-03,1.8,1.85,1.78,1.79,242790,1.79
2017-10-02,1.8,1.83,1.78,1.78,120860,1.78
2017-09-29,1.82,1.86,1.78,1.8,261010,1.8
2017-09-28,1.78,1.8,1.77,1.8,81120,1.8
2017-09-27,1.8,1.8,1.75,1.78,409600,1.78
2017-09-26,1.85,1.85,1.8,1.8,275710,1.8
2017-09-25,1.8,1.87,1.8,1.85,307260,1.85
2017-09-22,1.88,1.88,1.81,1.85,301830,1.85
2017-09-21,1.83,1.89,1.83,1.88,166170,1.88
2017-09-20,1.92,1.92,1.81,1.83,466480,1.83
2017-09-19,1.9,1.9,1.85,1.85,250580,1.85
2017-09-18,1.85,1.93,1.81,1.9,274160,1.9
2017-09-15,1.93,1.94,1.89,1.9,588250,1.9
2017-09-14,1.95,1.95,1.91,1.93,280990,1.93
2017-09-13,1.95,2.03,1.92,1.95,593060,1.95
2017-09-12,1.8,1.92,1.8,1.92,781150,1.92
2017-09-11,1.8,1.82,1.79,1.8,185890,1.8
2017-09-08,1.78,1.8,1.76,1.79,473530,1.79
2017-09-07,1.83,1.83,1.78,1.8,357560,1.8
2017-09-06,1.86,1.86,1.79,1.83,362560,1.83
2017-09-05,1.8,1.88,1.76,1.84,661680,1.84
2017-09-01,1.82,1.88,1.75,1.88,272530,1.88
2017-08-31,1.93,1.93,1.77,1.81,344110,1.81
2017-08-30,1.95,1.99,1.89,1.89,579780,1.89
2017-08-29,2.03,2.03,2.0,2.03,948380,2.03
2017-08-28,1.8,1.9,1.75,1.9,1069830,1.9
2017-08-25,1.72,1.78,1.69,1.78,655190,1.78
2017-08-24,1.89,1.89,1.68,1.72,620720,1.72
2017-08-23,1.93,1.93,1.8,1.8,547820,1.8
2017-08-22,1.96,1.96,1.92,1.93,45460,1.93
2017-08-21,1.91,2.0,1.91,1.96,51670,1.96
2017-08-18,2.0,2.0,1.95,2.0,53490,2.0
2017-08-17,2.09,2.09,1.96,1.98,179850,1.98
2017-08-16,1.94,2.1,1.94,2.06,200140,2.06
2017-08-15,2.02,2.08,1.96,2.06,124580,2.06
2017-08-14,2.02,2.1,1.91,2.04,229030,2.04
2017-08-11,2.05,2.15,2.0,2.02,265790,2.02
2017-08-10,2.01,2.18,2.01,2.15,264270,2.15
2017-08-09,2.3,2.3,2.02,2.15,1283290,2.15
2017-08-08,2.15,2.15,2.1,2.15,645110,2.15
2017-08-07,1.99,2.01,1.99,2.01,880660,2.01
2017-08-04,1.76,1.88,1.76,1.88,388680,1.88
