date,open,high,low,close,volume,adj_close
2018-03-14,,,,,3550,24.7
2018-03-13,26.6,27.0,25.0,26.5,2450,26.5
2018-03-12,26.8,28.6,24.95,26.65,8230,26.65
2018-03-09,26.8,26.8,25.95,26.8,21620,26.8
2018-03-08,25.0,25.05,25.0,25.05,4180,25.05
2018-03-07,23.45,23.45,23.45,23.45,1010,23.45
2018-03-06,21.95,21.95,21.7,21.95,14940,21.95
2018-03-05,20.55,20.55,20.55,20.55,4080,20.55
2018-03-02,18.0,19.25,18.0,19.25,2300,19.25
2018-03-01,18.0,18.0,18.0,18.0,10,18.0
2018-02-28,17.2,17.2,17.2,17.2,10,17.2
2018-02-27,18.1,18.15,18.1,18.15,2310,18.15
2018-02-26,18.0,18.15,17.0,17.0,1610,17.0
2018-02-23,18.8,18.8,17.0,17.0,20,17.0
2018-02-22,17.5,17.7,17.5,17.7,1620,17.7
2018-02-21,16.55,16.55,16.55,16.55,1500,16.55
2018-02-13,15.5,15.5,15.5,15.5,0,15.5
2018-02-12,15.5,15.5,15.5,15.5,10,15.5
2018-02-09,16.25,16.25,16.25,16.25,500,16.25
2018-02-08,15.5,15.5,15.5,15.5,8000,15.5
2018-02-07,15.6,15.6,15.0,15.0,2210,15.0
2018-02-06,15.1,16.25,15.1,15.5,12100,15.5
2018-02-05,16.0,16.2,16.0,16.2,1890,16.2
2018-02-02,15.5,16.25,15.5,15.5,6050,15.5
2018-02-01,15.5,15.5,15.5,15.5,540,15.5
2018-01-31,15.95,16.05,15.95,16.05,33750,16.05
2018-01-30,15.5,15.95,15.0,15.0,8440,15.0
2018-01-29,16.05,16.05,15.0,15.0,10220,15.0
2018-01-26,14.6,15.5,14.6,15.0,4920,15.0
2018-01-25,15.5,16.0,14.0,14.5,3780,14.5
2018-01-24,,,,,0,15.0
2018-01-23,,,,,0,15.0
2018-01-22,14.0,15.0,14.0,15.0,1020,15.0
2018-01-19,15.0,15.55,15.0,15.0,6330,15.0
2018-01-18,14.55,14.55,14.55,14.55,0,14.55
2018-01-17,14.55,14.55,14.55,14.55,9150,14.55
2018-01-16,13.6,13.6,13.6,13.6,20,13.6
2018-01-15,14.5,14.6,14.5,14.6,2960,14.6
2018-01-12,14.45,14.45,14.45,14.45,0,14.45
2018-01-11,14.45,14.45,14.45,14.45,63030,14.45
2018-01-10,14.45,14.45,14.45,14.45,135000,14.45
2018-01-09,14.45,14.6,14.45,14.45,84420,14.45
2018-01-08,14.5,14.5,14.4,14.45,3850,14.45
2018-01-05,14.5,14.5,14.5,14.5,21400,14.5
2018-01-04,14.5,14.6,14.3,14.5,70810,14.5
2018-01-03,14.5,14.5,14.0,14.5,26860,14.5
2018-01-02,14.6,14.6,14.6,14.6,10,14.6
2017-12-29,14.6,14.6,14.6,14.6,3900,14.6
2017-12-28,14.5,14.6,14.5,14.6,3310,14.6
2017-12-27,14.6,14.6,14.5,14.5,2750,14.5
2017-12-26,14.0,14.6,14.0,14.5,6910,14.5
2017-12-25,14.5,14.5,14.5,14.5,0,14.5
2017-12-22,14.6,14.6,14.5,14.5,6890,14.5
2017-12-21,14.5,14.6,14.5,14.6,3870,14.6
2017-12-20,14.6,14.6,14.6,14.6,2000,14.6
2017-12-19,14.3,14.6,14.3,14.6,4510,14.6
2017-12-18,14.5,14.5,14.5,14.5,1500,14.5
2017-12-15,14.55,14.55,14.55,14.55,0,14.55
2017-12-14,14.55,14.55,14.5,14.55,2200,14.55
2017-12-13,14.6,14.6,13.6,13.6,3100,13.6
2017-12-12,14.6,14.6,14.6,14.6,4100,14.6
2017-12-11,14.9,15.0,14.6,14.6,1510,14.6
2017-12-08,14.3,14.3,14.3,14.3,0,14.3
2017-12-07,14.3,14.3,14.3,14.3,0,14.3
2017-12-06,14.3,14.3,14.3,14.3,50,14.3
2017-12-05,13.9,13.9,13.9,13.9,0,13.9
2017-12-04,13.8,13.9,13.8,13.9,1010,13.9
2017-12-01,13.0,13.0,13.0,13.0,7700,13.0
2017-11-30,13.0,13.0,12.7,12.7,9950,12.7
2017-11-29,13.55,13.55,13.55,13.55,10,13.55
2017-11-28,13.0,14.0,13.0,14.0,520,14.0
2017-11-27,13.5,13.5,13.5,13.5,0,13.5
2017-11-24,13.15,13.5,13.15,13.5,20,13.5
2017-11-23,14.1,14.1,14.1,14.1,0,14.1
2017-11-22,14.1,14.1,14.1,14.1,2100,14.1
2017-11-21,14.1,14.1,14.1,14.1,0,14.1
2017-11-20,13.65,14.1,13.65,14.1,30,14.1
2017-11-17,14.2,14.2,14.2,14.2,50,14.2
2017-11-16,14.8,14.8,14.8,14.8,0,14.8
2017-11-15,14.8,14.8,14.8,14.8,0,14.8
2017-11-14,14.8,14.8,14.8,14.8,0,14.8
2017-11-13,14.8,14.8,14.8,14.8,0,14.8
2017-11-10,14.8,14.8,14.8,14.8,0,14.8
2017-11-09,14.8,14.8,14.8,14.8,0,14.8
2017-11-08,14.8,14.8,14.8,14.8,0,14.8
2017-11-07,14.8,14.8,14.8,14.8,0,14.8
2017-11-06,14.8,14.8,14.8,14.8,0,14.8
2017-11-03,14.8,14.8,14.8,14.8,0,14.8
2017-11-02,14.8,14.8,14.8,14.8,0,14.8
2017-11-01,14.8,14.8,14.8,14.8,0,14.8
2017-10-31,14.8,14.8,14.8,14.8,0,14.8
2017-10-30,14.8,14.8,14.8,14.8,0,14.8
2017-10-27,14.8,14.8,14.8,14.8,0,14.8
2017-10-26,14.8,14.8,14.8,14.8,0,14.8
2017-10-25,14.8,14.8,14.8,14.8,0,14.8
2017-10-24,14.8,14.8,14.8,14.8,0,14.8
2017-10-23,14.8,14.8,14.8,14.8,100,14.8
2017-10-20,14.8,14.8,14.8,14.8,800,14.8
2017-10-19,15.6,15.6,15.5,15.5,14990,15.5
2017-10-18,15.5,15.8,15.5,15.8,4500,15.8
2017-10-17,15.4,15.9,15.4,15.9,610,15.9
2017-10-16,15.4,15.4,15.4,15.4,2990,15.4
2017-10-13,15.0,15.0,15.0,15.0,0,15.0
2017-10-12,15.0,15.0,15.0,15.0,2000,15.0
2017-10-11,15.0,15.0,15.0,15.0,0,15.0
2017-10-10,15.0,15.0,15.0,15.0,1500,15.0
2017-10-09,15.1,15.1,15.1,15.1,0,15.1
2017-10-06,15.1,15.1,15.1,15.1,1720,15.1
2017-10-05,14.9,15.5,14.9,15.5,4010,15.5
2017-10-04,15.0,15.0,15.0,15.0,1000,15.0
2017-10-03,15.1,15.1,15.1,15.1,0,15.1
2017-10-02,15.1,15.1,15.1,15.1,90,15.1
2017-09-29,15.5,15.5,15.5,15.5,0,15.5
2017-09-28,15.5,15.5,15.5,15.5,0,15.5
2017-09-27,16.0,16.0,15.5,15.5,670,15.5
2017-09-26,15.8,15.8,15.8,15.8,10,15.8
2017-09-25,15.4,15.4,15.4,15.4,0,15.4
2017-09-22,15.4,15.4,15.4,15.4,10,15.4
2017-09-21,16.4,16.4,16.4,16.4,2000,16.4
2017-09-20,14.7,16.4,14.7,16.4,870,16.4
2017-09-19,15.45,15.45,15.45,15.45,0,15.45
2017-09-18,15.45,15.45,15.45,15.45,0,15.45
2017-09-15,15.45,15.45,15.45,15.45,0,15.45
2017-09-14,15.45,15.45,15.45,15.45,430,15.45
2017-09-13,15.45,15.45,15.45,15.45,0,15.45
2017-09-12,15.45,15.45,15.45,15.45,2270,15.45
2017-09-11,15.45,15.45,15.45,15.45,9650,15.45
2017-09-08,15.45,15.45,15.45,15.45,20410,15.45
2017-09-07,17.0,17.0,15.45,15.45,22830,15.45
2017-09-06,16.6,16.6,16.6,16.6,10,16.6
2017-09-05,15.7,15.7,15.7,15.7,0,15.7
2017-09-01,15.3,15.7,15.3,15.7,20,15.7
2017-08-31,15.0,15.25,14.5,14.7,4200,14.7
2017-08-30,14.7,14.7,14.7,14.7,0,14.7
2017-08-29,14.5,14.7,14.5,14.7,6410,14.7
2017-08-28,15.0,15.0,15.0,15.0,0,15.0
2017-08-25,14.5,15.0,14.5,15.0,700,15.0
2017-08-24,14.5,14.5,14.5,14.5,30,14.5
2017-08-23,15.0,15.0,15.0,15.0,0,15.0
2017-08-22,15.0,15.0,15.0,15.0,0,15.0
2017-08-21,15.0,15.0,15.0,15.0,0,15.0
2017-08-18,14.5,15.0,14.5,15.0,70,15.0
2017-08-17,15.0,15.0,15.0,15.0,0,15.0
2017-08-16,15.0,15.0,15.0,15.0,0,15.0
2017-08-15,15.0,15.0,15.0,15.0,0,15.0
2017-08-14,15.0,15.0,15.0,15.0,2000,15.0
2017-08-11,15.5,15.5,15.5,15.5,0,15.5
2017-08-10,15.5,15.5,15.5,15.5,10,15.5
2017-08-09,15.0,15.0,15.0,15.0,0,15.0
2017-08-08,15.0,15.0,15.0,15.0,1800,15.0
2017-08-07,15.4,15.4,15.4,15.4,0,15.4
2017-08-04,15.4,15.4,15.4,15.4,0,15.4
