date,open,high,low,close,volume
2018-06-25,12.8,12.8,12.8,12.8,100
2018-06-22,11.8,12.8,11.8,12.8,1100
2018-06-21,12.1,13.0,12.1,13.0,1100
2018-06-20,,,,13.0,0
2018-06-19,,,,13.0,0
2018-06-18,12.8,13.0,12.8,13.0,1200
2018-06-15,12.0,13.0,12.0,13.0,2700
2018-06-14,12.1,12.8,12.1,12.8,300
2018-06-13,11.5,13.0,11.5,13.0,500
2018-06-12,11.8,12.7,11.8,12.7,410
2018-06-11,11.0,12.7,11.0,12.7,2200
2018-06-08,11.7,11.7,11.7,11.7,100
2018-06-07,11.7,13.0,11.7,13.0,200
2018-06-06,11.3,13.0,11.3,13.0,200
2018-06-05,12.1,12.1,12.1,12.1,100
2018-06-04,13.3,13.3,13.3,13.3,100
2018-06-01,11.7,13.0,11.7,13.0,400
2018-05-31,12.6,12.6,12.6,12.6,100
2018-05-30,11.3,12.6,11.3,12.6,200
2018-05-29,11.0,12.5,11.0,12.5,200
2018-05-28,11.5,11.5,11.5,11.5,100
2018-05-25,,,,12.0,0
2018-05-24,12.0,12.0,12.0,12.0,100
2018-05-23,11.4,13.0,11.4,13.0,500
2018-05-22,12.6,12.6,12.6,12.6,10
2018-05-21,10.6,12.6,10.6,12.6,300
2018-05-18,,,,11.6,0
2018-05-17,11.6,11.6,11.6,11.6,100
2018-05-16,12.7,12.7,12.7,12.7,100
2018-05-15,13.1,13.1,13.1,13.1,100
2018-05-14,13.1,13.1,13.1,13.1,100
2018-05-11,13.7,13.7,13.7,13.7,100
2018-05-10,,,,13.1,0
2018-05-09,13.1,13.1,13.1,13.1,100
2018-05-08,,,,14.0,0
2018-05-07,,,,14.0,0
2018-05-04,13.0,14.0,13.0,14.0,200
2018-05-03,12.8,14.0,12.8,14.0,3300
2018-05-02,12.8,12.8,12.8,12.8,100
2018-04-27,12.3,13.8,12.3,13.8,300
2018-04-26,13.2,13.2,13.2,13.2,100
2018-04-24,13.2,14.4,13.1,14.4,900
2018-04-23,13.0,14.4,13.0,14.4,200
2018-04-20,11.7,14.3,11.7,14.3,200
2018-04-19,13.0,13.0,13.0,13.0,100
2018-04-18,12.9,14.0,12.9,14.0,200
2018-04-17,12.8,14.0,12.8,14.0,400
2018-04-16,12.7,14.0,12.7,14.0,200
2018-04-13,12.6,14.0,12.6,14.0,200
2018-04-12,,,,13.9,0
2018-04-11,,,,13.9,0
2018-04-10,,,,13.9,0
2018-04-09,13.9,13.9,13.9,13.9,3100
2018-04-06,12.7,12.7,12.7,12.7,100
2018-04-05,,,,14.0,0
2018-04-04,13.1,14.0,13.1,14.0,4000
2018-04-03,,,,14.4,0
2018-04-02,12.0,14.4,12.0,14.4,1300
2018-03-30,13.1,13.1,13.1,13.1,100
2018-03-29,13.1,14.4,13.1,14.4,2200
2018-03-28,12.9,14.4,12.9,14.4,200
2018-03-27,14.3,14.3,14.3,14.3,100
2018-03-26,13.1,13.1,13.1,13.1,100
2018-03-23,13.0,14.4,13.0,14.4,200
