date,open,high,low,close,volume
2017-03-24,18.68,18.68,18.68,18.68,100
2017-03-27,20.54,20.54,20.54,20.54,100
2017-03-28,22.57,22.57,18.76,18.76,13800
2017-03-29,18.76,20.2,16.9,20.2,1200
2017-03-30,18.34,18.34,18.34,18.34,100
2017-03-31,16.57,16.57,16.57,16.56,2300
2017-04-04,18.17,18.17,16.05,16.06,8800
2017-04-05,14.45,16.06,14.45,16.06,1500
2017-04-07,16.06,17.33,16.06,17.32,8400
2017-04-10,17.74,19.01,17.74,19.02,1400
2017-04-11,19.7,19.7,19.7,19.69,100
2017-04-12,19.01,19.01,19.01,19.02,3000
2017-04-13,17.16,17.16,17.16,17.16,300
2017-04-14,17.16,17.16,15.47,15.47,200
2017-04-17,16.91,16.91,16.91,16.9,300
2017-04-21,16.14,16.14,16.14,16.14,100
2017-04-24,15.55,15.55,15.55,15.55,100
2017-04-25,16.23,16.23,16.23,16.23,100
2017-04-27,16.65,17.84,16.65,17.83,800
2017-05-09,16.56,16.56,16.56,16.56,100
2017-05-11,16.9,16.9,16.9,16.9,6300
2017-05-12,16.9,16.9,16.9,16.9,200
2017-05-15,16.9,16.9,16.9,16.9,100
2017-05-17,18.42,18.42,18.42,18.42,100
2017-05-22,18.42,19.01,18.42,19.02,500
2017-05-30,20.21,20.21,20.21,20.2,100
2017-06-07,20.37,20.37,20.37,20.37,1500
2017-06-09,20.37,20.37,20.37,20.37,100
2017-06-20,19.95,19.95,19.95,19.95,1000
2017-06-29,18.08,18.08,18.08,18.08,100
2017-06-30,18.08,18.08,18.08,18.08,3500
2017-07-03,18.84,19.78,18.84,19.78,8400
2017-07-12,17.83,17.83,17.83,17.83,1000
2017-07-13,17.83,17.83,17.83,17.83,4000
2017-07-14,17.83,17.83,17.83,17.83,1500
2017-07-17,16.98,16.98,16.98,16.98,4100
2017-07-18,16.13,16.13,16.13,16.13,1000
2017-07-19,16.98,16.98,16.98,16.98,4000
2017-08-14,16.98,16.98,16.98,16.98,400
2017-08-21,15.28,16.98,15.28,16.98,1600
2017-08-25,16.98,16.98,16.98,16.98,400
2017-08-28,16.98,16.98,16.98,16.98,100
2017-08-29,16.81,16.81,16.81,16.81,100
2017-08-30,16.98,17.4,15.28,15.28,4300
2017-09-01,16.81,16.81,16.81,16.81,100
2017-09-05,16.98,16.98,16.98,16.98,200
2017-09-06,16.98,16.98,16.98,16.98,100
2017-09-07,16.98,16.98,16.98,16.98,700
2017-09-08,16.98,16.98,16.98,16.98,800
2017-09-20,16.98,16.98,16.98,16.98,400
2017-09-25,16.56,16.56,16.56,16.55,100
2017-10-02,17.82,17.82,17.82,17.83,100
2017-10-03,18.68,18.68,18.68,18.68,100
2017-10-12,17.83,17.83,16.98,16.98,600
2017-10-13,16.98,16.98,16.98,16.98,4300
2017-10-16,18.25,18.25,18.25,18.25,400
2017-10-18,19.95,19.95,19.95,19.95,200
2017-10-26,18.25,18.25,18.25,18.25,300
2017-11-01,19.95,19.95,19.95,19.95,300
2017-11-07,18.08,18.08,18.08,18.08,100
2017-11-09,16.98,16.98,16.98,16.98,100
2017-11-10,18.68,18.68,16.64,16.64,2900
2017-11-13,15.28,15.28,15.28,15.28,100
2017-11-15,16.81,16.81,16.81,16.81,600
2017-11-16,18.34,18.34,18.34,18.34,1300
2017-11-24,17.07,17.07,17.07,17.06,100
2017-11-27,17.82,17.82,17.82,17.83,4000
2017-11-28,17.83,17.83,17.83,17.83,1000
2017-11-29,17.83,17.83,17.83,17.83,400
2017-11-30,16.98,16.98,16.98,16.98,3600
2017-12-01,17.83,17.83,16.98,16.98,14900
2017-12-05,16.98,16.98,16.98,16.98,5000
2017-12-06,16.98,16.98,16.98,16.98,400
2017-12-07,16.98,16.98,16.98,16.98,5000
2017-12-18,16.98,16.98,16.98,16.98,7400
2017-12-19,16.98,17.15,16.98,17.15,4100
2017-12-21,16.13,16.13,16.13,16.13,300
2017-12-22,16.98,16.98,16.98,16.98,1000
2017-12-25,17.4,17.4,17.4,17.4,100
2018-01-03,18.25,18.25,18.25,18.25,1900
2018-01-09,19.52,19.52,16.98,16.98,5100
2018-01-11,17.83,17.83,17.83,17.83,100
2018-01-18,19.02,19.1,19.02,19.1,7000
2018-01-19,19.1,19.1,19.1,19.1,1800
2018-01-22,19.1,19.1,19.1,19.1,1000
2018-01-24,19.1,19.1,19.1,19.1,500
2018-01-25,19.1,19.1,19.1,19.1,800
2018-01-29,19.52,19.52,19.52,19.53,900
2018-01-31,19.53,19.53,19.53,19.53,4300
2018-02-01,20.8,20.8,20.8,20.8,100
2018-02-06,19.53,19.53,19.53,19.53,2600
