date,open,high,low,close,volume
2005-12-28,3.19,3.22,3.19,3.19,2500
2005-12-30,3.19,3.19,3.19,3.19,500
2006-01-20,3.19,3.19,3.19,3.19,10000
2006-01-23,3.16,3.19,3.16,3.19,4900
2006-02-06,3.19,3.32,3.19,3.3,2500
2006-02-22,3.11,3.11,3.11,3.11,800
2006-02-24,2.92,2.92,2.92,2.92,5000
2006-02-27,3.06,3.06,3.06,3.06,1300
2006-03-01,3.14,3.14,3.14,3.14,5000
2006-03-03,3.14,3.2,3.14,3.17,6100
2006-03-10,3.06,3.28,3.06,3.28,17300
2006-03-13,3.0,3.09,3.0,3.03,1600
2006-03-15,3.31,3.31,3.28,3.31,10000
2006-03-17,3.34,3.34,3.06,3.25,13900
2006-03-20,3.56,3.56,3.56,3.56,200
2006-03-22,3.25,3.89,3.25,3.72,6500
2006-03-24,3.36,3.89,3.36,3.75,20000
2006-03-27,4.11,4.11,3.89,3.95,12900
2006-03-29,4.03,4.06,3.89,4.03,15600
2006-03-31,4.03,4.42,4.03,4.33,17100
2006-04-03,4.75,4.75,4.75,4.75,6000
2006-04-05,4.75,5.22,4.75,5.2,51500
2006-04-07,5.7,5.7,5.26,5.53,43600
2006-04-10,5.67,5.67,5.14,5.53,16200
2006-04-12,5.0,5.06,5.0,5.0,29800
2006-04-14,5.0,5.08,4.72,4.92,13300
2006-04-17,5.14,5.39,5.14,5.31,14600
2006-04-19,5.42,5.56,5.25,5.5,23500
2006-04-21,5.5,5.83,5.5,5.7,64700
2006-04-24,5.84,6.26,5.84,6.14,57500
2006-04-26,6.75,6.75,6.56,6.72,20000
2006-04-28,7.39,7.39,6.39,6.67,72100
2006-05-03,6.64,6.95,6.64,6.89,19600
2006-05-05,6.95,7.08,6.81,6.95,21500
2006-05-08,7.23,7.23,6.67,6.83,18800
2006-05-10,6.77,6.77,6.16,6.47,11600
2006-05-12,6.39,6.53,5.97,6.33,19400
2006-05-15,6.66,6.66,6.22,6.36,37800
2006-05-17,6.36,6.36,6.11,6.2,9400
2006-05-19,6.12,6.14,5.7,5.86,14700
2006-05-22,5.55,5.58,5.28,5.45,12200
2006-05-24,5.28,5.48,5.01,5.31,12500
2006-05-26,4.78,5.31,4.78,5.14,9100
2006-05-29,4.86,4.86,4.78,4.83,3800
2006-05-31,4.58,4.72,4.44,4.61,16000
2006-06-01,4.67,5.0,4.58,4.75,6300
2006-06-02,5.0,5.22,5.0,5.14,10700
2006-06-05,5.28,5.42,5.28,5.36,3700
