date,open,high,low,close,volume
2010-06-28,6.74,7.3,6.74,6.74,267360
2010-06-29,6.43,6.74,6.43,6.6,218580
2010-06-30,6.32,6.88,6.32,6.51,50850
2010-07-01,6.59,6.59,6.45,6.51,42290
2010-07-02,6.79,6.79,6.45,6.48,75300
2010-07-05,6.48,6.48,6.31,6.32,146120
2010-07-06,6.12,6.32,6.12,6.23,205610
2010-07-07,6.37,6.54,6.37,6.54,270100
2010-07-08,6.46,6.71,6.46,6.46,92340
2010-07-09,6.46,6.68,6.46,6.46,55680
2010-07-12,6.43,6.6,6.38,6.46,34180
2010-07-13,6.54,6.57,6.4,6.48,75450
2010-07-14,6.48,6.68,6.45,6.46,215360
2010-07-15,6.46,6.57,6.38,6.37,67810
2010-07-16,6.37,6.45,6.31,6.37,68940
2010-07-19,6.45,6.45,6.17,6.17,133750
2010-07-20,6.17,6.31,6.17,6.2,307260
2010-07-21,6.51,6.51,6.45,6.51,194100
2010-07-22,6.82,6.82,6.59,6.62,303780
2010-07-23,6.62,6.62,6.45,6.48,88960
2010-07-26,6.31,6.48,6.28,6.29,41650
2010-07-27,6.43,6.43,6.23,6.29,81520
2010-07-28,6.26,6.29,5.98,5.98,181470
2010-07-29,5.92,5.98,5.78,5.98,116100
2010-07-30,6.15,6.26,5.98,6.01,46130
2010-08-02,6.12,6.12,5.93,5.92,19310
2010-08-03,5.92,6.03,5.89,5.89,43080
2010-08-04,5.83,5.83,5.72,5.78,47020
2010-08-05,5.75,5.86,5.72,5.75,43000
2010-08-06,5.75,5.78,5.61,5.61,55420
2010-08-09,5.58,5.61,5.39,5.42,48850
2010-08-10,5.34,5.34,5.17,5.16,91510
2010-08-11,5.05,5.3,5.05,5.3,39330
2010-08-12,5.1,5.27,5.05,5.05,74160
2010-08-13,4.91,5.19,4.91,5.05,38500
2010-08-16,5.22,5.3,5.19,5.3,47320
2010-08-17,5.3,5.33,5.1,5.3,75650
2010-08-18,5.33,5.33,5.13,5.14,8210
2010-08-19,5.11,5.17,5.03,5.05,17250
2010-08-20,5.05,5.05,4.85,4.91,15110
2010-08-23,5.02,5.02,4.71,4.83,35210
2010-08-24,4.63,4.69,4.61,4.6,53060
2010-08-25,4.4,4.4,4.38,4.41,66290
2010-08-26,4.49,4.52,4.38,4.52,56060
2010-08-27,4.52,4.6,4.38,4.6,83470
2010-08-30,4.82,4.82,4.82,4.83,70180
2010-08-31,4.89,5.0,4.8,4.97,34010
2010-09-01,5.11,5.11,4.8,4.91,44910
2010-09-06,5.05,5.13,5.02,5.14,82290
2010-09-07,5.06,5.34,5.0,5.22,48820
2010-09-08,5.05,5.33,4.97,4.97,31710
2010-09-09,5.17,5.17,5.0,5.05,93720
2010-09-10,5.05,5.11,4.83,4.83,56040
2010-09-13,4.83,5.03,4.61,4.91,40290
2010-09-14,5.08,5.08,4.88,4.88,21280
2010-09-15,5.05,5.05,4.8,4.91,12810
2010-09-16,4.69,5.05,4.69,4.91,11870
2010-09-17,5.05,5.05,4.88,4.91,39520
2010-09-20,5.05,5.05,4.85,5.05,87710
2010-09-21,5.05,5.05,4.94,5.0,22740
2010-09-22,4.86,5.06,4.86,5.0,6680
2010-09-23,4.97,5.0,4.83,4.94,28110
2010-09-24,4.91,4.94,4.86,4.88,13040
2010-09-27,4.88,4.88,4.82,4.83,14500
2010-09-28,5.03,5.03,4.86,4.86,21510
2010-09-29,4.86,4.86,4.78,4.77,4120
2010-09-30,4.77,4.85,4.77,4.77,28230
2010-10-01,4.77,4.77,4.71,4.72,45610
2010-10-04,4.72,4.72,4.5,4.52,9730
2010-10-05,4.55,4.6,4.49,4.6,15010
2010-10-06,4.6,4.71,4.6,4.72,13550
2010-10-07,4.75,4.75,4.69,4.69,13030
2010-10-08,4.49,4.75,4.47,4.66,5220
2010-10-11,4.44,4.66,4.44,4.52,11320
2010-10-12,4.74,4.74,4.44,4.49,12420
2010-10-13,4.6,4.6,4.49,4.57,17030
2010-10-14,4.71,4.71,4.49,4.57,9600
2010-10-15,4.49,4.49,4.43,4.43,36870
2010-10-18,4.6,4.6,4.46,4.46,2030
2010-10-19,4.57,4.57,4.4,4.43,54800
2010-10-20,4.35,4.35,4.23,4.27,19780
2010-10-21,4.44,4.44,4.24,4.24,33920
2010-10-22,4.35,4.35,4.24,4.27,13490
2010-10-25,4.24,4.47,4.21,4.46,7390
2010-10-26,4.57,4.63,4.57,4.57,10210
2010-10-27,4.57,4.57,4.4,4.41,18250
2010-10-28,4.38,4.38,4.35,4.35,7440
2010-10-29,4.38,4.38,4.32,4.38,18010
2010-11-01,4.35,4.35,4.32,4.35,9120
2010-11-02,4.32,4.35,4.32,4.35,10820
2010-11-03,4.32,4.35,4.21,4.32,30880
2010-11-04,4.35,4.49,4.32,4.35,59180
2010-11-05,4.41,4.49,4.35,4.49,3690
2010-11-08,4.49,4.49,4.35,4.49,14960
2010-11-09,4.35,4.35,4.29,4.32,11160
2010-11-10,4.29,4.32,4.26,4.32,16040
2010-11-11,4.32,4.32,4.21,4.21,22210
2010-11-12,4.07,4.21,4.04,4.21,5670
2010-11-15,4.21,4.21,4.18,4.18,4610
2010-11-16,4.01,4.01,3.98,3.99,4450
2010-11-17,3.99,4.07,3.99,4.07,22520
2010-11-18,4.27,4.27,4.27,4.27,18740
2010-11-19,4.47,4.47,4.21,4.21,5480
2010-11-22,4.35,4.35,4.01,4.27,790
2010-11-23,4.16,4.44,4.16,4.27,16150
2010-11-24,4.41,4.44,4.19,4.27,25480
2010-11-25,4.35,4.44,4.21,4.41,15650
2010-11-26,4.55,4.55,4.38,4.41,15200
2010-11-29,4.55,4.55,4.44,4.55,43630
2010-11-30,4.77,4.77,4.77,4.77,61820
2010-12-01,4.99,4.99,4.71,4.86,29530
2010-12-02,4.86,4.86,4.66,4.77,41890
2010-12-03,4.77,4.91,4.71,4.77,87820
2010-12-06,4.77,4.77,4.69,4.77,121260
2010-12-07,4.91,4.91,4.69,4.74,215980
2010-12-08,4.95,4.95,4.6,4.61,31820
2010-12-09,4.4,4.78,4.4,4.79,20730
2010-12-10,4.89,4.89,4.58,4.79,37100
2010-12-13,4.93,4.93,4.82,4.86,57840
2010-12-14,4.79,4.83,4.72,4.79,39900
2010-12-15,4.93,4.93,4.62,4.61,15130
2010-12-16,4.68,4.68,4.47,4.61,16850
2010-12-17,4.44,4.68,4.44,4.54,6070
2010-12-20,4.47,4.54,4.44,4.44,12630
2010-12-21,4.58,4.61,4.47,4.61,48440
2010-12-22,4.75,4.75,4.68,4.75,17270
2010-12-23,4.89,4.89,4.58,4.58,41000
