date,open,high,low,close,volume
2018-11-05,,,,6.8,0
2018-11-02,,,,6.8,0
2018-11-01,,,,6.8,0
2018-10-31,,,,6.8,0
2018-10-30,,,,6.8,0
2018-10-29,,,,6.8,0
2018-10-26,,,,6.8,0
2018-10-25,,,,6.8,0
2018-10-24,,,,6.8,0
2018-10-23,,,,6.8,0
2018-10-22,,,,6.8,0
2018-10-19,,,,6.8,0
2018-10-18,,,,6.8,0
2018-10-17,,,,6.8,0
2018-10-16,,,,6.8,0
2018-10-15,,,,6.8,0
2018-10-12,,,,6.8,0
2018-10-11,,,,6.8,0
2018-10-10,,,,6.8,0
2018-10-09,,,,6.8,0
2018-10-08,,,,6.8,0
2018-10-05,,,,6.8,0
2018-10-04,,,,6.8,0
2018-10-03,,,,6.8,0
2018-10-02,,,,6.8,0
2018-10-01,,,,6.8,0
2018-09-28,,,,6.8,0
2018-09-27,,,,6.8,0
2018-09-26,,,,6.8,0
2018-09-25,,,,6.8,0
2018-09-12,6.8,6.8,6.8,6.8,100
2018-08-30,6.2,6.2,6.2,6.2,200
2018-08-20,5.7,5.7,5.7,5.7,100
2018-08-09,5.2,5.2,5.2,5.2,100
2018-08-02,4.8,4.8,4.8,4.8,100
2018-07-25,4.4,4.4,4.4,4.4,100
2018-07-05,4.0,4.0,4.0,4.0,100
2018-07-02,4.1,4.1,4.1,4.1,100
2018-06-28,4.3,4.3,4.3,4.3,100
2018-06-27,4.7,4.7,4.7,4.7,100
2018-06-21,5.2,5.2,5.2,5.2,100
2018-06-20,5.7,5.7,5.7,5.7,100
2018-06-19,5.2,5.2,5.2,5.2,100
2018-06-18,5.8,5.8,4.8,4.8,200
2018-06-14,5.3,5.3,5.3,5.3,100
2018-06-13,4.9,4.9,4.9,4.9,100
2018-06-12,4.5,4.5,4.5,4.5,100
2018-06-11,4.1,4.1,4.1,4.1,100
2018-06-05,3.8,3.8,3.8,3.8,100
2018-02-22,3.5,3.5,3.5,3.5,100
2018-02-12,3.75,3.75,3.75,3.75,100
2018-02-09,4.09,4.09,4.09,4.08,100
2018-02-08,4.42,4.42,4.42,4.42,100
2018-02-07,4.75,4.75,4.75,4.75,100
2018-02-06,5.17,5.17,5.17,5.17,100
2018-02-05,5.67,5.67,5.67,5.67,100
2018-02-02,6.25,6.25,6.25,6.25,100
2018-02-01,6.83,6.83,6.83,6.83,100
2018-01-31,7.58,7.58,7.58,7.58,100
2018-01-26,8.33,8.33,8.33,8.33,3300
2017-10-03,8.33,8.33,8.33,8.33,1600
2017-10-02,8.33,8.33,8.33,8.33,7500
2017-07-26,8.25,8.25,8.25,8.25,600
2017-06-22,7.5,7.5,7.5,7.5,100
2017-04-11,8.33,8.33,8.33,8.33,500
2017-04-03,8.33,8.33,8.33,8.33,1000
2017-03-14,8.58,8.58,8.58,8.58,1100
2017-03-03,8.25,8.25,8.25,8.25,300
2017-03-02,8.42,8.42,8.42,8.42,100
2017-02-21,7.67,7.67,7.67,7.67,800
2017-02-17,7.67,7.67,7.67,7.67,200
2016-12-15,7.9,7.9,7.9,7.9,3800
2016-12-14,7.89,7.89,7.89,7.9,500
2016-12-12,7.29,7.29,7.29,7.28,300
2016-12-09,6.59,6.75,6.59,6.75,800
2016-11-04,6.21,6.21,6.21,6.21,200
2016-11-03,5.67,5.67,5.67,5.67,200
2016-09-23,5.21,5.21,5.21,5.21,1000
2016-05-26,4.76,4.76,4.76,4.75,900
2016-05-25,4.44,4.44,4.44,4.45,200
2016-05-18,4.07,4.07,4.07,4.06,200
2016-03-21,3.76,3.76,3.76,3.76,100
2015-11-16,4.14,4.14,4.14,4.14,100
2015-11-04,3.79,3.79,3.79,3.79,100
2015-09-15,4.07,4.07,4.07,4.07,100
2015-05-18,4.0,4.0,4.0,4.0,300
