date,open,high,low,close,volume
2018-11-15,,,,15.5,0
2018-11-14,,,,15.5,0
2018-11-13,,,,15.5,0
2018-11-12,,,,15.5,0
2018-11-09,,,,15.5,0
2018-11-08,,,,15.5,0
2018-11-07,,,,15.5,0
2018-11-06,,,,15.5,0
2018-11-05,,,,15.5,0
2018-11-02,,,,15.5,0
2018-11-01,,,,15.5,0
2018-10-31,,,,15.5,0
2018-10-30,,,,15.5,0
2018-10-29,,,,15.5,0
2018-10-26,,,,15.5,0
2018-10-25,,,,15.5,0
2018-10-24,,,,15.5,0
2018-10-23,,,,15.5,0
2018-10-22,,,,15.5,0
2018-10-19,,,,15.5,0
2018-10-18,,,,15.5,0
2018-10-17,,,,15.5,0
2018-10-16,,,,15.5,0
2018-10-15,,,,15.5,0
2018-10-12,,,,15.5,0
2018-10-11,,,,15.5,0
2018-10-10,,,,15.5,0
2018-10-09,,,,15.5,0
2018-10-08,,,,15.5,0
2018-10-05,,,,15.5,0
2018-08-20,14.5,15.5,12.8,15.5,397323
2018-03-12,14.2,14.2,14.2,14.2,8
2018-03-07,14.2,14.2,14.2,14.2,8
2017-09-28,14.2,14.2,14.2,14.2,100
2017-09-27,15.78,15.78,15.78,15.78,50
2017-09-25,15.78,15.78,15.78,15.78,10
2017-09-21,15.78,15.78,15.78,15.78,50
2017-08-07,15.78,15.78,15.78,15.78,10
2017-08-01,15.78,15.78,15.78,15.78,1800
2017-07-28,14.79,14.79,14.79,14.79,50
2017-07-27,14.79,14.79,14.79,14.79,40
2017-07-26,14.79,14.79,14.79,14.79,100
2017-07-25,14.79,14.79,14.79,14.79,50
2017-07-24,14.79,14.79,14.79,14.79,100
2017-07-21,14.79,14.79,14.79,14.79,50
2017-07-18,14.79,14.79,14.79,14.79,100
2017-07-17,16.27,16.27,16.27,16.27,100
2017-07-13,15.19,15.19,15.19,15.19,10
2017-06-28,15.19,15.19,15.19,15.19,10
2017-06-02,15.19,15.19,15.19,15.19,10
2017-05-29,15.19,15.19,15.19,15.19,10
2017-05-10,15.19,15.19,15.19,15.19,1
2017-05-05,15.19,15.19,15.19,15.19,10
2017-04-27,15.19,15.19,15.19,15.19,30
2017-04-25,15.19,15.19,15.19,15.19,100
2017-04-24,15.19,15.19,12.43,15.19,500
2017-04-20,13.31,13.8,13.31,13.81,200
2017-04-19,14.69,14.69,14.69,14.69,100
2017-04-18,16.37,16.37,13.41,13.41,1200
2017-04-17,14.89,14.89,14.89,14.89,100
2017-04-14,13.6,13.6,13.6,13.61,100
2017-04-11,12.42,12.42,12.42,12.42,500
2017-04-04,12.42,12.42,12.42,12.42,21
2017-03-29,12.43,12.43,12.43,12.42,100
2017-03-27,13.71,13.71,13.71,13.71,100
2017-03-22,15.18,15.18,15.18,15.19,100
2017-03-20,16.86,16.86,16.86,16.86,100
2017-03-17,18.64,18.64,18.64,18.64,100
2017-03-16,20.71,20.71,20.71,20.71,100
2017-03-15,22.97,22.97,22.97,22.98,100
2017-03-14,25.44,25.44,25.44,25.44,100
2017-03-13,28.2,28.2,28.2,28.2,100
2017-03-10,31.26,31.26,31.26,31.26,100
2017-02-23,34.71,34.71,34.71,34.71,900
2017-02-22,34.71,34.71,34.71,34.71,200
2017-01-20,34.72,34.72,34.72,34.71,100
2017-01-19,31.56,31.56,31.56,31.56,100
2017-01-18,30.57,30.57,30.57,30.57,100
2016-12-06,29.68,29.68,29.68,29.68,100
2016-12-02,29.68,29.68,29.68,29.68,200
2016-11-30,29.68,29.68,29.68,29.68,200
2016-11-29,29.69,29.69,29.69,29.68,700
2016-10-19,32.94,32.94,32.94,32.94,3
2016-10-14,32.94,32.94,32.94,32.94,10
2016-09-05,32.94,32.94,32.94,32.94,1000
2016-08-29,32.94,32.94,32.94,32.94,4000
2016-08-22,32.94,32.94,32.94,32.94,1000
2016-08-18,33.23,33.23,29.98,29.98,1100
2016-08-16,33.23,33.23,33.23,33.23,2700
2016-08-15,33.63,36.98,30.28,30.27,6500
2016-08-12,33.63,33.63,33.63,33.63,4800
2016-08-11,30.57,30.57,30.57,30.57,2000
2016-08-10,27.8,27.8,27.8,27.81,100
2016-08-09,25.34,25.34,25.34,25.34,100
2016-08-08,23.07,23.07,23.07,23.07,100
2016-08-02,21.0,21.0,21.0,21.0,500
