date,open,high,low,close,volume
2008-01-04,23.84,23.84,18.96,19.53,19200
2008-01-08,21.66,21.66,18.09,19.53,6400
2008-01-09,20.28,20.28,18.67,18.66,1600
2008-01-10,17.22,17.22,17.22,17.23,3700
2008-01-11,18.95,18.95,16.08,16.6,10700
2008-01-14,18.21,18.21,15.22,15.22,900
2008-01-15,14.65,16.08,14.59,14.59,5400
2008-01-16,15.97,16.08,15.97,15.97,3800
2008-01-17,17.58,17.58,14.71,14.7,4400
2008-01-18,16.08,16.08,14.36,14.76,13500
2008-01-21,16.02,16.2,16.02,16.2,4500
2008-01-23,14.71,14.71,14.65,14.64,900
2008-01-24,14.87,14.87,14.35,14.36,6300
2008-01-25,14.02,14.47,14.02,14.36,500
2008-01-28,13.9,14.36,13.9,14.36,7800
2008-01-29,14.93,14.93,14.07,14.36,14000
2008-01-30,15.51,15.57,15.51,15.56,10500
2008-01-31,17.11,17.11,15.5,15.79,4000
2008-02-01,17.28,17.28,15.62,15.62,3600
2008-02-12,15.73,15.73,15.73,15.74,100
2008-02-13,14.3,16.16,14.3,16.16,1400
2008-02-14,14.72,14.84,14.54,14.65,3000
2008-02-15,14.65,15.61,14.41,15.62,4200
2008-02-18,14.42,15.62,14.12,15.62,6700
2008-02-19,14.48,15.92,14.48,15.92,8600
2008-02-20,17.3,17.3,15.02,15.02,3100
2008-02-21,13.7,13.7,13.64,13.63,6900
2008-02-22,12.61,13.63,12.61,13.51,5400
2008-02-25,11.83,14.35,11.83,14.35,4300
2008-02-26,14.41,14.41,14.05,14.05,15300
2008-02-27,13.21,14.41,13.21,13.51,9700
2008-02-29,14.11,14.11,13.81,13.81,5000
2008-03-03,13.93,13.93,13.21,13.21,900
2008-03-04,12.31,12.31,12.19,12.19,1400
2008-03-05,11.11,11.65,11.11,11.65,9900
2008-03-06,12.37,12.37,12.37,12.37,100
2008-03-07,13.57,13.57,13.57,13.57,13900
2008-03-10,14.89,14.89,14.41,14.41,4700
2008-03-11,13.81,13.81,13.81,13.81,1500
2008-03-12,13.75,13.81,13.33,13.81,2900
2008-03-13,12.91,12.91,12.61,12.61,700
2008-03-14,12.79,13.21,12.79,13.21,1000
2008-03-17,13.21,13.21,12.01,12.01,4000
2008-03-18,11.65,11.65,11.65,11.65,1200
2008-03-19,12.31,12.31,11.41,11.41,2700
2008-03-20,11.71,12.01,11.71,12.01,3000
2008-03-21,11.41,11.41,11.41,11.41,2500
2008-03-24,10.27,12.01,10.27,11.89,4300
2008-03-25,9.91,9.91,9.91,9.91,6100
2008-03-26,8.95,9.91,8.95,9.73,6900
2008-03-27,9.31,9.31,9.31,9.31,100
2008-03-28,9.49,9.49,9.49,9.49,100
2008-03-31,9.67,9.67,9.67,9.67,100
2008-04-01,9.85,9.85,9.85,9.85,100
2008-04-02,10.03,10.03,10.03,10.03,300
2008-04-03,10.21,10.21,10.21,10.21,200
2008-04-04,10.39,10.39,10.39,10.39,100
2008-04-07,10.69,10.69,10.69,10.69,100
2008-04-08,10.99,10.99,10.93,10.93,12900
2008-04-10,10.69,10.69,10.69,10.69,100
2008-04-16,10.39,10.39,10.39,10.39,600
2008-04-17,10.69,10.69,10.63,10.69,2000
2008-04-21,10.39,10.39,10.39,10.39,1100
2008-04-22,10.21,10.21,10.09,10.09,1500
2008-04-23,9.79,9.79,9.79,9.79,1000
2008-04-24,9.55,9.61,9.55,9.61,3500
2008-04-25,9.61,9.61,9.61,9.61,1700
2008-04-28,9.61,9.61,9.61,9.61,3500
2008-04-29,9.79,9.79,9.61,9.61,2200
2008-05-06,9.49,9.49,9.49,9.49,500
2008-05-07,9.25,9.25,9.25,9.25,500
2008-05-08,9.25,9.25,9.01,9.01,2200
2008-05-09,8.83,8.83,8.83,8.83,600
2008-05-12,8.59,8.59,8.59,8.59,700
2008-05-13,8.35,8.35,8.35,8.35,1000
2008-05-14,8.11,8.11,8.11,8.11,1100
2008-05-15,7.87,7.87,7.87,7.87,1100
2008-05-16,7.69,7.75,7.69,7.75,2400
2008-05-19,7.81,7.81,7.69,7.69,5800
2008-05-20,7.69,7.69,7.69,7.69,5200
2008-05-21,7.81,7.81,7.81,7.81,500
2008-05-22,7.81,7.81,7.69,7.69,800
2008-05-23,7.63,7.63,7.57,7.57,1700
2008-05-26,7.69,7.69,7.69,7.69,200
2008-05-27,7.81,7.81,7.51,7.51,1800
