date,open,high,low,close,volume
2009-06-25,35.12,35.12,34.21,35.12,1542160
2009-06-26,36.87,36.87,36.49,36.87,841370
2009-06-29,38.39,38.39,38.39,38.39,257150
2009-06-30,40.29,40.29,40.29,40.29,274410
2009-07-01,38.39,39.15,38.39,38.39,1754070
2009-07-02,36.87,37.63,36.49,36.49,1917580
2009-07-03,34.67,36.49,34.67,36.49,914150
2009-07-06,36.49,38.01,36.11,38.01,315150
2009-07-07,36.34,37.25,36.11,36.11,456250
2009-07-08,34.97,36.11,34.67,35.27,212950
2009-07-09,37.02,37.02,34.59,35.27,341400
2009-07-10,34.74,34.97,33.52,33.52,313630
2009-07-13,32.15,32.3,31.85,31.85,178050
2009-07-14,30.41,30.41,30.33,30.33,294920
2009-07-15,30.33,31.17,29.65,30.03,389850
2009-07-16,31.4,31.4,30.03,30.48,481640
2009-07-17,30.78,30.78,29.49,30.18,183290
2009-07-20,28.89,28.89,28.74,28.73,222380
2009-07-21,28.12,28.73,27.82,28.13,359190
2009-07-22,28.13,28.51,27.9,27.97,241660
2009-07-23,27.21,29.34,27.13,29.34,313860
2009-07-24,30.78,30.78,30.78,30.79,417250
2009-07-27,31.93,32.31,29.27,32.15,555230
2009-07-28,30.78,31.85,30.63,30.79,359000
2009-07-29,30.79,31.02,30.41,30.41,254170
2009-07-30,29.57,30.41,29.42,30.03,235080
2009-07-31,31.4,31.47,30.94,31.47,417340
2009-08-03,31.93,32.31,31.17,31.47,182570
2009-08-04,32.61,32.69,32.0,32.69,323950
2009-08-05,32.08,33.3,31.93,33.29,305330
2009-08-06,32.68,33.44,31.92,31.93,446560
2009-08-07,31.93,31.93,30.41,31.17,347350
2009-08-10,31.55,31.93,31.17,31.62,113330
2009-08-11,31.54,31.62,30.4,31.24,409350
2009-08-12,31.62,31.62,30.71,31.32,380250
2009-08-13,32.61,32.61,30.79,31.77,597270
2009-08-14,31.62,31.92,31.01,31.32,147140
2009-08-17,30.94,31.17,30.79,30.79,152850
2009-08-18,30.03,30.56,30.03,30.56,130530
2009-08-19,30.56,30.71,29.65,30.56,559420
2009-08-20,30.56,30.56,30.03,30.03,108680
2009-08-21,30.03,31.09,29.42,29.49,675640
2009-08-24,30.02,30.93,29.72,30.94,222890
2009-08-25,32.46,32.46,32.31,32.46,930330
2009-08-26,32.54,32.69,31.17,31.39,344830
2009-08-27,30.55,31.16,30.4,30.41,637930
2009-08-28,30.79,31.02,30.56,30.86,354410
2009-08-31,31.16,31.54,30.56,31.09,322850
2009-09-01,30.79,30.94,30.63,30.94,279830
