date,open,high,low,close,volume
2011-07-15,14.46,14.46,14.46,14.46,5530
2011-07-18,13.74,13.74,13.74,13.74,1
2011-07-19,13.07,13.07,13.07,13.07,20
2011-07-20,12.45,12.45,12.45,12.45,170
2011-07-21,11.83,11.83,11.83,11.83,230
2011-07-22,11.26,11.26,11.26,11.26,1200
2011-07-25,10.74,10.74,10.74,10.74,310
2011-07-26,10.22,10.22,10.22,10.23,640
2011-07-27,9.77,9.77,9.77,9.76,5010
2011-07-28,9.3,9.3,9.3,9.3,10
2011-07-29,8.84,8.84,8.84,8.83,140
2011-08-01,8.42,9.04,8.42,8.78,55960
2011-08-02,8.37,8.47,8.37,8.42,19340
2011-08-03,8.11,8.73,8.11,8.57,46000
2011-08-04,8.72,8.83,8.47,8.83,3895
2011-08-05,8.83,9.24,8.47,9.25,34270
2011-08-08,9.2,9.2,8.94,8.94,1000
2011-08-09,8.58,8.78,8.58,8.78,750
2011-08-10,8.78,9.04,8.78,9.04,3420
2011-08-11,9.25,9.25,9.04,9.25,2020
2011-08-12,8.94,9.3,8.89,8.88,37470
2011-08-15,8.52,8.67,8.52,8.68,4180
2011-08-16,8.68,8.68,8.68,8.68,1550
2011-08-17,8.84,8.84,8.68,8.78,11920
2011-08-18,8.68,8.93,8.68,8.94,18320
2011-08-19,8.94,8.94,8.94,8.94,10700
2011-08-22,8.94,8.94,8.89,8.88,20850
2011-08-23,8.93,8.93,8.88,8.88,11850
2011-08-24,8.78,8.88,8.78,8.88,18100
2011-08-25,8.88,8.98,8.88,8.99,27100
2011-08-26,8.89,9.04,8.84,8.83,36030
2011-08-29,8.98,8.98,8.98,8.99,3200
2011-08-30,8.99,9.2,8.99,9.19,16620
2011-08-31,9.14,9.29,9.14,9.25,17580
2011-09-01,9.3,9.3,9.25,9.3,1580
2011-09-05,9.3,9.3,9.09,9.19,6910
2011-09-06,9.14,9.14,8.93,9.09,54660
2011-09-07,9.09,9.3,9.09,9.3,36460
2011-09-08,9.3,9.46,9.3,9.4,41610
2011-09-09,9.4,9.4,9.14,9.25,12480
2011-09-12,9.25,9.25,9.25,9.25,2500
2011-09-13,9.3,9.35,9.2,9.19,40800
2011-09-14,9.29,9.6,9.19,9.61,42210
2011-09-15,9.35,9.35,9.2,9.35,28300
2011-09-16,9.35,9.35,9.09,9.25,3760
2011-09-19,9.25,9.35,9.25,9.25,10010
2011-09-20,9.2,9.35,9.2,9.19,30820
2011-09-21,9.09,9.19,9.09,9.09,29820
2011-09-22,8.83,9.04,8.78,9.04,12000
2011-09-23,9.14,9.14,9.04,9.04,7710
2011-09-26,9.3,9.3,9.04,9.3,24500
2011-09-27,9.25,9.3,9.2,9.25,16280
2011-09-28,9.25,9.25,9.2,9.19,13410
2011-09-29,9.04,9.14,9.04,9.04,11980
2011-09-30,9.04,9.09,9.04,9.09,4500
2011-10-03,9.09,9.24,9.09,9.09,23560
2011-10-04,9.09,9.24,9.09,9.19,17330
2011-10-05,9.24,9.24,9.19,9.25,26010
2011-10-06,9.25,9.3,9.25,9.3,42150
2011-10-07,9.25,9.35,9.25,9.3,27560
2011-10-10,9.3,9.35,9.2,9.3,27890
2011-10-11,9.3,9.35,9.3,9.35,20410
2011-10-12,9.35,9.35,9.25,9.35,26120
2011-10-13,9.35,9.4,9.3,9.4,90610
2011-10-14,9.4,9.86,9.4,9.66,62750
2011-10-17,9.81,9.87,9.56,9.56,6600
2011-10-18,9.46,9.82,9.46,9.61,15720
2011-10-19,10.07,10.07,9.61,9.66,14600
2011-10-20,9.66,9.87,9.66,9.87,25710
2011-10-21,9.87,10.23,9.87,10.12,42830
2011-10-24,10.12,10.58,10.12,10.33,15700
2011-10-25,10.18,10.43,10.18,10.18,49050
2011-10-26,10.39,10.44,10.18,10.33,13600
2011-10-27,10.33,10.43,10.33,10.38,34230
2011-10-28,10.38,10.53,10.38,10.43,42310
2011-10-31,9.91,10.48,9.91,10.49,102090
2011-11-01,10.33,10.54,10.33,10.49,84410
2011-11-02,10.76,10.76,10.01,10.48,18890
2011-11-03,10.27,10.37,10.27,10.38,2400
2011-11-04,10.38,10.49,10.38,10.48,32710
2011-11-07,10.48,10.53,10.48,10.54,41870
2011-11-08,10.43,10.54,10.43,10.48,45300
2011-11-09,10.48,10.53,10.21,10.22,47480
2011-11-10,10.33,10.33,10.11,10.11,54300
2011-11-11,10.11,10.11,9.63,9.62,62460
2011-11-14,9.57,9.57,9.24,9.25,8960
2011-11-15,8.93,9.25,8.93,9.25,4370
2011-11-16,8.82,9.25,8.82,9.25,3250
2011-11-17,9.68,9.68,9.68,9.68,220
2011-11-18,9.2,9.95,9.2,9.95,6370
2011-11-21,10.43,10.43,9.47,9.46,1570
2011-11-22,9.03,9.57,9.03,9.57,150
2011-11-23,9.57,9.57,9.57,9.57,200
2011-11-24,9.95,9.95,9.89,9.95,1160
2011-11-25,9.95,10.27,9.95,10.27,3910
2011-11-28,10.27,10.43,9.95,10.43,11210
2011-11-29,10.43,10.43,10.43,10.43,160
2011-11-30,10.21,10.38,10.11,10.38,2620
2011-12-01,10.22,10.22,10.16,10.22,8860
2011-12-02,10.11,10.22,9.79,10.05,4670
2011-12-05,10.05,10.05,10.05,10.05,4130
2011-12-06,10.0,10.0,9.78,9.79,12590
2011-12-07,9.79,9.95,9.79,9.89,4900
2011-12-08,9.89,10.11,9.78,10.11,4800
2011-12-09,9.73,9.73,9.73,9.73,1400
2011-12-12,10.11,10.11,10.11,10.11,50
2011-12-13,10.11,10.11,10.11,10.11,100
2011-12-14,9.79,10.0,9.68,10.0,1220
2011-12-15,10.0,10.0,10.0,10.0,100
2011-12-16,9.68,9.89,9.68,9.89,900
2011-12-20,9.68,9.68,9.68,9.68,300
2011-12-21,9.68,9.68,9.68,9.68,1700
2011-12-22,9.68,9.68,9.68,9.68,50
2011-12-23,9.2,9.63,9.2,9.62,1410
2011-12-26,9.24,9.51,9.19,9.52,1520
2011-12-27,9.41,9.41,9.41,9.41,400
2011-12-28,8.98,8.98,8.98,8.98,1000
2011-12-29,9.36,9.36,9.36,9.36,2000
2011-12-30,9.52,9.52,8.93,8.93,430
2012-01-03,9.25,9.31,9.25,9.3,2250
2012-01-04,9.73,9.73,9.62,9.62,610
2012-01-05,9.62,9.62,9.62,9.62,100
2012-01-06,9.41,9.41,9.19,9.19,210
2012-01-09,9.19,9.24,9.03,9.25,2500
2012-01-10,9.25,9.36,9.25,9.36,23250
2012-01-11,9.47,9.52,9.36,9.36,1420
2012-01-12,9.58,9.58,9.58,9.57,70
2012-01-13,9.62,9.62,9.62,9.62,10
2012-01-16,9.41,9.46,9.19,9.46,3220
2012-01-17,9.41,9.84,9.41,9.46,16940
2012-01-18,9.46,9.46,9.46,9.46,950
2012-01-19,9.41,9.41,9.41,9.41,360
2012-01-20,9.68,9.68,9.63,9.62,1860
2012-01-30,10.05,10.05,10.05,10.05,800
2012-01-31,9.57,9.94,9.57,9.57,1640
2012-02-01,9.14,9.62,9.14,9.57,3860
2012-02-02,9.14,9.57,9.14,9.19,18770
2012-02-03,9.4,9.4,9.4,9.41,70
2012-02-06,9.41,9.41,9.14,9.14,3230
2012-02-07,9.14,9.25,9.14,9.25,18280
2012-02-08,9.25,9.25,9.14,9.25,620
2012-02-09,9.25,9.25,8.82,9.14,1920
2012-02-10,9.09,9.14,9.09,9.14,2040
2012-02-13,9.14,9.19,9.14,9.19,5080
2012-02-14,9.19,9.19,8.98,9.14,120
2012-02-15,9.14,9.14,8.87,9.14,1270
2012-02-16,9.14,9.14,9.14,9.14,15520
2012-02-17,9.14,9.14,9.14,9.14,10
2012-02-20,9.25,9.57,9.03,9.57,9920
2012-02-21,9.84,9.84,9.84,9.84,10
2012-02-22,9.73,9.73,9.57,9.62,10160
2012-02-23,9.73,9.73,9.3,9.57,5260
2012-02-24,9.57,9.62,9.41,9.62,11490
2012-02-27,9.62,9.62,9.41,9.57,1740
2012-02-28,9.62,9.62,9.41,9.41,14910
2012-02-29,9.52,9.57,9.52,9.57,150
2012-03-01,9.57,9.57,9.57,9.57,560
2012-03-02,9.57,9.57,9.46,9.52,12240
2012-03-05,9.47,9.95,9.47,9.84,34200
2012-03-06,9.95,10.0,9.41,9.89,19950
2012-03-07,9.68,9.89,9.41,9.89,520
2012-03-08,9.62,9.89,9.62,9.89,10020
2012-03-09,9.89,9.89,9.89,9.89,10
2012-03-12,9.51,9.84,9.41,9.68,3360
2012-03-13,9.3,9.63,9.25,9.46,7190
2012-03-14,9.19,9.68,9.19,9.41,27350
2012-03-15,9.68,9.68,9.14,9.68,2070
2012-03-16,9.68,9.84,9.46,9.68,1570
2012-03-19,9.68,9.68,9.52,9.62,430
2012-03-20,9.57,9.67,9.51,9.68,3400
2012-03-21,9.68,9.73,9.57,9.73,10
2012-03-22,9.25,9.62,9.25,9.62,890
2012-03-23,9.67,10.0,9.62,9.68,2460
