date,open,high,low,close,volume
2008-01-09,2.38,4.76,2.38,3.35,11800
2008-01-10,3.33,3.33,3.14,3.16,1200
2008-01-11,3.17,3.17,3.17,3.17,1300
2008-01-14,3.16,3.16,3.16,3.16,200
2008-01-15,3.17,3.17,3.17,3.17,100
2008-01-16,2.85,3.33,2.85,3.33,9500
2008-01-17,2.77,2.85,2.77,2.78,3100
2008-01-18,2.78,2.78,2.78,2.78,3000
2008-01-21,2.78,2.78,2.5,2.54,1700
2008-01-22,2.62,2.78,2.5,2.74,2900
2008-01-23,2.55,2.86,2.54,2.85,3200
2008-01-24,2.69,2.77,2.69,2.78,600
2008-01-25,2.72,2.78,2.71,2.7,2300
2008-01-28,2.53,2.53,2.46,2.5,900
2008-01-29,2.55,2.55,2.54,2.54,1200
2008-01-30,2.79,2.79,2.7,2.78,2200
2008-01-31,2.78,2.78,2.78,2.78,100
2008-02-01,2.9,2.9,2.9,2.89,100
2008-02-12,2.65,2.65,2.65,2.66,1000
2008-02-13,2.42,2.47,2.42,2.46,2600
2008-02-14,2.68,2.68,2.68,2.68,1800
2008-02-15,2.93,2.93,2.62,2.62,1000
2008-02-18,2.62,2.73,2.46,2.73,1200
2008-02-19,2.62,2.62,2.62,2.62,100
2008-02-20,2.78,2.78,2.54,2.54,600
2008-02-21,2.46,2.46,2.46,2.46,100
2008-02-22,2.46,2.46,2.46,2.46,100
2008-02-25,2.7,2.7,2.54,2.54,200
2008-02-29,2.38,2.38,2.38,2.38,100
2008-03-03,2.38,2.38,2.38,2.38,1000
2008-03-04,2.3,2.3,2.3,2.3,100
2008-03-06,2.49,2.53,2.49,2.53,6800
2008-03-07,2.78,2.78,2.77,2.78,9300
2008-03-10,3.06,3.06,3.02,3.02,2800
2008-03-12,2.78,2.78,2.73,2.73,1400
2008-03-13,2.69,2.69,2.47,2.47,200
2008-03-14,2.84,2.84,2.33,2.33,2600
2008-03-17,2.13,2.13,2.13,2.14,1200
2008-03-18,1.93,1.93,1.93,1.93,2500
2008-03-19,1.96,1.96,1.74,1.74,1600
2008-03-20,1.88,1.88,1.72,1.84,1400
2008-03-21,1.88,1.88,1.64,1.64,2000
2008-03-24,1.53,1.53,1.53,1.53,1200
2008-03-25,1.39,1.39,1.38,1.38,2200
2008-03-26,1.3,1.3,1.3,1.3,200
