date,open,high,low,close,volume
2011-03-03,23.5,23.5,23.5,23.5,7720
2011-03-07,23.5,23.5,22.39,22.9,2110
2011-03-08,21.79,21.79,21.79,21.79,30
2011-03-09,20.76,20.76,20.76,20.77,10
2011-03-10,19.74,19.74,19.74,19.74,10
2011-03-11,18.8,18.8,18.8,18.8,120
2011-03-14,17.86,17.86,17.86,17.86,10
2011-03-15,17.01,17.01,17.01,17.01,130
2011-03-17,15.47,15.47,15.47,15.47,10
2011-03-18,14.7,14.7,14.7,14.7,180
2011-03-21,14.02,14.02,14.02,14.02,610
2011-03-22,13.34,13.34,13.34,13.33,10
2011-03-23,13.33,13.33,13.33,13.33,6720
2011-03-24,12.13,12.73,12.13,12.14,6540
2011-03-25,11.54,12.4,11.54,12.39,15260
2011-03-28,12.39,12.48,12.39,12.48,7840
2011-03-29,11.88,13.08,11.88,11.88,2320
2011-03-30,11.45,12.39,11.45,12.22,640
2011-03-31,11.96,12.56,11.96,12.39,1220
2011-04-01,12.39,12.39,11.79,11.79,1240
2011-04-05,12.13,12.13,11.36,11.37,2180
2011-04-06,11.54,11.54,10.86,11.45,860
2011-04-07,10.94,10.94,10.94,10.94,1230
2011-04-08,10.43,10.94,10.43,10.43,960
2011-04-13,10.26,10.34,10.26,10.34,1700
2011-04-14,10.08,10.34,10.08,10.34,270
2011-04-15,10.68,10.68,10.0,10.68,1730
2011-04-18,10.68,10.85,10.68,10.85,18
2011-04-19,10.85,10.85,10.85,10.85,10
2011-04-20,10.94,10.94,10.94,10.94,10
2011-04-25,10.68,11.28,10.68,11.28,1320
2011-04-28,11.37,11.37,11.28,11.37,580
2011-04-29,11.37,11.37,11.37,11.37,100
2011-05-04,10.94,10.94,10.94,10.94,20
2011-05-05,11.45,11.45,11.11,11.11,110
2011-05-09,10.6,11.28,10.6,11.28,20
2011-05-10,10.85,10.85,10.77,10.77,2040
2011-05-11,10.26,10.26,10.26,10.26,800
2011-05-13,10.26,10.26,10.26,10.26,20
2011-05-19,10.77,10.77,10.77,10.77,10
2011-05-20,11.28,11.28,11.28,11.28,10
2011-05-23,11.45,11.45,11.45,11.45,10
2011-05-24,11.88,11.88,11.88,11.88,10
2011-05-25,12.31,12.31,12.31,12.31,300
2011-05-26,11.88,11.88,11.88,11.88,200
2011-05-27,11.33,11.33,11.33,11.33,190
2011-05-30,11.42,11.42,11.42,11.42,100
2011-05-31,11.42,11.42,11.42,11.42,100
2011-06-01,11.42,11.42,11.05,11.05,210
2011-06-02,11.51,11.6,10.59,11.05,45610
2011-06-03,11.6,11.6,11.51,11.51,200
2011-06-06,11.97,11.97,11.97,11.97,100
2011-06-07,12.43,12.43,11.42,11.42,68310
2011-06-08,11.7,11.7,11.33,11.51,66400
2011-06-09,11.51,11.51,11.05,11.05,68200
2011-06-10,11.33,11.33,10.59,10.59,290
2011-06-13,11.05,11.05,10.13,10.13,4810
2011-06-14,10.59,10.59,9.67,10.31,5600
2011-06-15,10.59,10.77,9.85,10.31,1590
2011-06-16,10.59,10.59,9.85,10.59,280
2011-06-17,10.13,10.13,10.13,10.13,110
2011-06-20,10.5,10.5,10.31,10.5,320
2011-06-21,10.32,10.68,10.04,10.5,4100
2011-06-22,10.68,10.68,10.5,10.5,40
2011-06-23,10.5,10.5,10.5,10.5,180
2011-06-24,10.5,10.5,10.04,10.04,50
2011-06-27,10.41,10.41,9.58,9.67,1260
2011-06-28,10.04,10.04,10.04,10.04,40
2011-06-29,10.41,10.41,10.41,10.41,150
2011-06-30,10.41,10.5,10.13,10.13,400
2011-07-01,10.41,10.41,10.41,10.41,100
2011-07-04,10.41,10.41,10.41,10.41,100
2011-07-05,10.41,10.41,10.41,10.41,100
2011-07-06,10.41,10.41,10.41,10.41,100
2011-07-07,10.41,10.41,10.13,10.41,400
2011-07-08,10.41,10.41,10.41,10.41,100
2011-07-11,10.41,10.41,10.13,10.41,240
2011-07-12,10.41,10.41,10.41,10.41,30
2011-07-13,10.41,10.41,10.41,10.41,50
2011-07-14,10.41,10.41,10.41,10.41,50
2011-07-15,9.95,9.95,9.95,9.95,600
2011-07-18,10.13,10.13,10.13,10.13,40
2011-07-19,10.22,10.22,10.13,10.22,300
2011-07-20,10.22,10.22,10.22,10.22,100
2011-07-21,9.94,10.22,9.76,9.95,1700
2011-07-22,10.41,10.41,9.58,10.41,1390
2011-07-25,10.41,10.41,9.95,9.95,300
2011-07-26,10.13,10.13,10.13,10.13,120
2011-07-27,9.67,9.67,9.67,9.67,110
2011-07-28,9.21,9.21,9.21,9.21,110
2011-07-29,9.21,9.39,9.21,9.39,110
2011-08-02,9.02,9.02,9.02,9.02,40
2011-08-03,9.3,9.3,9.3,9.3,20
2011-08-05,9.48,9.48,9.48,9.49,10
2011-08-12,9.77,9.77,9.77,9.76,10
2011-08-17,9.85,9.85,9.39,9.85,4690
2011-08-18,10.03,10.03,9.39,9.39,20
2011-08-19,9.85,9.85,9.85,9.85,10
2011-08-22,9.67,9.67,9.67,9.67,10
2011-08-23,9.67,9.67,9.21,9.39,30
