date,open,high,low,close,volume
2019-02-22,1.0,1.1,0.9,1.0,102300
2019-02-21,1.1,1.1,1.0,1.0,120700
2019-02-20,1.1,1.1,1.0,1.1,114900
2019-02-19,1.0,1.1,1.0,1.1,9885
2019-02-18,1.0,1.1,1.0,1.1,11750
2019-02-15,1.0,1.1,1.0,1.1,61500
2019-02-14,1.1,1.1,1.0,1.1,115510
2019-02-13,1.0,1.1,0.9,1.1,169030
2019-02-12,1.1,1.1,0.9,1.0,106410
2019-02-11,1.1,1.1,0.9,1.0,61800
2019-02-01,1.0,1.1,1.0,1.1,102100
2019-01-31,1.0,1.0,1.0,1.0,96000
2019-01-30,0.9,1.0,0.9,1.0,111142
2019-01-29,1.0,1.0,0.9,0.9,163281
2019-01-28,1.0,1.0,1.0,1.0,50141
2019-01-25,1.0,1.0,0.9,0.9,28100
2019-01-24,1.0,1.0,0.9,1.0,98990
2019-01-23,1.0,1.0,0.9,0.9,99700
2019-01-22,0.9,1.0,0.9,1.0,91300
2019-01-21,0.9,1.0,0.9,1.0,97053
2019-01-18,1.0,1.0,0.9,1.0,141900
2019-01-17,1.0,1.0,0.9,1.0,103600
2019-01-16,1.0,1.0,1.0,1.0,83855
2019-01-15,1.0,1.0,1.0,1.0,62843
2019-01-14,1.0,1.0,1.0,1.0,20200
2019-01-11,1.0,1.0,1.0,1.0,100
2019-01-10,0.9,1.0,0.9,1.0,0
2019-01-09,0.9,1.0,0.9,1.0,0
2019-01-08,0.9,1.0,0.9,1.0,3100
2019-01-07,1.0,1.0,0.9,0.9,69860
2019-01-04,1.0,1.0,0.9,0.9,0
2019-01-03,1.0,1.0,0.9,0.9,445700
2019-01-02,1.0,1.0,0.9,1.0,44000
2018-12-28,1.0,1.0,1.0,1.0,67900
2018-12-27,1.0,1.0,0.9,0.9,63900
2018-12-26,1.0,1.0,1.0,1.0,30590
2018-12-25,0.9,1.0,0.9,1.0,22630
2018-12-24,0.9,1.0,0.9,1.0,162060
2018-12-21,1.0,1.0,0.9,1.0,75210
2018-12-20,1.0,1.0,0.9,1.0,78970
2018-12-19,1.0,1.1,1.0,1.0,179220
2018-12-18,0.9,1.0,0.9,1.0,184140
2018-12-17,1.0,1.0,0.9,1.0,245790
2018-12-14,1.0,1.1,1.0,1.0,106020
2018-12-13,1.0,1.1,1.0,1.1,19740
2018-12-12,1.0,1.1,1.0,1.1,24508
2018-12-11,1.0,1.1,1.0,1.1,35022
2018-12-10,1.0,1.1,1.0,1.1,146150
2018-12-07,1.0,1.1,1.0,1.0,34318
2018-12-06,1.1,1.1,1.0,1.1,158100
2018-12-05,1.1,1.1,1.1,1.1,34730
2018-12-04,1.0,1.1,1.0,1.1,119730
2018-12-03,1.1,1.1,1.0,1.0,90400
2018-11-30,1.1,1.1,1.0,1.1,16300
2018-11-29,1.1,1.1,1.1,1.1,32140
2018-11-28,1.1,1.1,1.0,1.1,73122
2018-11-27,1.1,1.1,1.1,1.1,33220
2018-11-26,1.1,1.1,1.0,1.1,104710
2018-11-23,1.1,1.2,1.1,1.2,14510
2018-11-22,1.1,1.1,1.1,1.1,5302
2018-11-21,1.1,1.1,1.1,1.1,33276
2018-11-20,1.0,1.1,1.0,1.0,68360
2018-11-19,1.1,1.1,1.0,1.1,65094
2018-11-16,1.1,1.1,1.0,1.1,48560
2018-11-15,1.1,1.1,1.0,1.0,72040
2018-11-14,1.1,1.1,1.0,1.1,130340
2018-11-13,1.1,1.2,1.1,1.1,110080
2018-11-12,1.1,1.2,1.1,1.2,33598
2018-11-09,1.1,1.2,1.1,1.2,53300
2018-11-08,1.2,1.2,1.1,1.2,132110
2018-11-07,1.2,1.2,1.1,1.2,30730
2018-11-06,1.2,1.2,1.1,1.2,56490
2018-11-05,1.2,1.2,1.1,1.2,57690
2018-11-02,1.1,1.1,1.0,1.1,81450
2018-11-01,1.1,1.2,1.1,1.1,90500
2018-10-31,1.1,1.2,1.1,1.2,105290
2018-10-30,1.1,1.2,1.1,1.2,20330
2018-10-29,1.1,1.2,1.1,1.1,73610
2018-10-26,1.1,1.2,1.1,1.1,106660
2018-10-25,1.2,1.2,1.1,1.2,185800
2018-10-24,1.2,1.2,1.2,1.2,76300
2018-10-23,1.3,1.4,1.2,1.3,285660
2018-10-22,1.3,1.4,1.3,1.4,89901
2018-10-19,1.4,1.5,1.3,1.3,185440
2018-10-18,1.4,1.5,1.4,1.5,214750
2018-10-17,1.5,1.6,1.4,1.5,262940
2018-10-16,1.5,1.6,1.4,1.5,206900
2018-10-15,1.7,1.7,1.5,1.6,173211
2018-10-12,1.5,1.6,1.5,1.6,305300
2018-10-11,1.6,1.7,1.4,1.5,541720
2018-10-10,1.6,1.6,1.5,1.6,1884162
2018-10-09,1.4,1.4,1.4,1.4,28400
2018-10-08,1.3,1.3,1.3,1.3,17040
2018-10-05,,,,,0
2018-08-06,,,,,0
2018-08-03,,,,,0
2018-08-02,,,,,0
2018-08-01,,,,,0
2018-07-31,,,,,0
2018-07-30,,,,,0
2018-07-27,,,,,0
2018-07-26,,,,,0
2018-07-25,,,,,0
2018-07-24,,,,,0
2018-07-23,,,,,0
2018-07-20,,,,,0
2018-07-19,,,,,0
2018-07-18,,,,,0
2018-07-17,,,,,0
2018-07-16,,,,,0
2018-07-13,,,,,0
2018-07-12,,,,,0
2018-07-11,,,,,0
2018-07-10,,,,,0
2018-07-09,,,,,0
2018-07-06,,,,,0
2018-07-05,,,,,0
2018-07-04,,,,,0
2018-07-03,,,,,0
2018-07-02,,,,,0
2018-06-29,,,,,0
2018-06-28,,,,,0
2018-06-27,,,,,0
2018-06-26,,,,,0
2018-06-25,,,,,0
2018-06-22,,,,,0
2018-06-21,,,,,0
2018-06-20,,,,,0
2018-06-19,,,,,0
2018-06-18,,,,,0
2018-06-15,,,,,0
2018-06-14,,,,,0
2018-06-13,,,,,0
2018-06-12,,,,,0
2018-06-11,,,,,0
2018-06-08,,,,,0
2018-06-07,,,,,0
2018-06-06,,,,,0
2018-06-05,,,,,0
2018-06-04,,,,,0
2018-06-01,0.89,1.0,0.89,1.0,1197670
2018-05-31,0.95,0.95,0.95,0.95,290780
2018-05-30,1.02,1.02,1.02,1.02,243240
2018-05-29,1.09,1.09,1.09,1.09,131500
2018-05-28,1.2,1.2,1.12,1.17,24220
2018-05-25,1.2,1.2,1.2,1.2,2260
2018-05-24,1.2,1.2,1.2,1.2,6960
2018-05-23,1.2,1.2,1.15,1.2,8480
2018-05-22,1.2,1.24,1.15,1.22,58260
2018-05-21,1.18,1.25,1.18,1.22,19130
2018-05-18,1.23,1.23,1.18,1.18,17350
2018-05-17,1.24,1.26,1.23,1.23,16430
