date,open,high,low,close,volume
2011-01-11,5.06,5.06,5.06,5.06,20120
2011-01-12,4.81,4.81,4.81,4.8,2460
2011-01-13,4.6,4.6,4.6,4.6,2420
2011-01-14,4.4,4.4,4.4,4.4,1820
2011-01-17,4.3,4.4,4.2,4.4,9370
2011-01-18,4.3,4.3,4.2,4.2,36000
2011-01-19,4.05,4.2,4.05,4.2,16720
2011-01-20,4.3,4.3,4.0,4.15,22590
2011-01-21,4.2,4.2,4.05,4.15,6700
2011-01-24,4.05,4.05,3.95,3.94,6450
2011-01-25,4.04,4.04,3.84,3.84,2180
2011-01-26,3.94,3.99,3.94,3.99,6920
2011-01-27,4.14,4.14,4.04,4.04,3590
2011-01-28,4.04,4.19,4.04,4.2,770
2011-02-08,4.0,4.2,4.0,4.2,2990
2011-02-09,4.05,4.3,4.05,4.2,1120
2011-02-10,4.0,4.05,4.0,3.99,3670
2011-02-11,3.94,3.99,3.84,3.99,22600
2011-02-14,3.89,3.89,3.89,3.89,30
2011-02-15,3.74,3.89,3.74,3.89,6870
2011-02-16,3.79,3.79,3.74,3.74,2360
2011-02-17,3.74,3.74,3.64,3.74,1590
2011-02-18,3.74,3.74,3.69,3.74,8130
2011-02-21,3.69,3.69,3.59,3.69,4900
2011-02-22,3.54,3.54,3.54,3.54,4000
2011-02-23,3.64,3.69,3.49,3.64,10660
2011-02-24,3.54,3.64,3.49,3.64,520
2011-02-25,3.64,3.74,3.64,3.74,3020
2011-02-28,3.74,3.74,3.59,3.74,1110
2011-03-01,3.74,3.74,3.59,3.64,4110
2011-03-02,3.64,3.64,3.49,3.49,2600
2011-03-03,3.39,3.49,3.34,3.49,2110
2011-03-04,3.34,3.44,3.34,3.44,1600
2011-03-07,3.34,3.54,3.29,3.29,22150
2011-03-08,3.19,3.29,3.14,3.29,11570
2011-03-09,3.19,3.24,3.19,3.19,6690
2011-03-10,3.24,3.34,3.24,3.34,1270
2011-03-11,3.39,3.49,3.39,3.49,21510
2011-03-14,3.49,3.49,3.34,3.34,3010
2011-03-15,3.49,3.49,3.49,3.49,210
2011-03-16,3.49,3.59,3.49,3.49,30
2011-03-17,3.54,3.64,3.54,3.64,250
2011-03-18,3.64,3.64,3.64,3.64,40
2011-03-21,3.59,3.64,3.49,3.49,6430
2011-03-22,3.49,3.49,3.44,3.44,2150
2011-03-23,3.49,3.49,3.44,3.49,12280
2011-03-24,3.54,3.54,3.49,3.54,4330
2011-03-25,3.64,3.64,3.64,3.64,100
2011-03-28,3.64,3.64,3.49,3.64,1070
2011-03-29,3.49,3.49,3.49,3.49,8160
2011-03-30,3.44,3.49,3.39,3.49,4860
2011-03-31,3.49,3.49,3.44,3.49,3470
2011-04-01,3.49,3.49,3.34,3.34,17210
2011-04-04,3.49,3.49,3.49,3.49,7320
2011-04-05,3.49,3.54,3.49,3.49,2890
2011-04-06,3.59,3.59,3.59,3.59,1300
2011-04-07,3.59,3.59,3.54,3.59,9730
2011-04-08,3.59,3.59,3.59,3.59,5520
2011-04-13,3.54,3.54,3.54,3.54,7490
2011-04-14,3.54,3.64,3.54,3.64,1110
2011-04-15,3.64,3.64,3.64,3.64,10
2011-04-18,3.54,3.64,3.54,3.64,100
2011-04-21,3.54,3.64,3.54,3.64,160
2011-04-22,3.64,3.64,3.54,3.54,1870
2011-04-25,3.69,3.69,3.54,3.64,30
2011-04-26,3.59,3.64,3.59,3.64,20
2011-04-27,3.64,3.64,3.59,3.59,5260
2011-04-28,3.64,3.64,3.64,3.64,200
2011-04-29,3.64,3.64,3.54,3.64,5520
2011-05-04,3.54,3.54,3.54,3.54,2000
2011-05-05,3.59,3.59,3.59,3.59,2040
2011-05-06,3.54,3.64,3.54,3.64,7940
2011-05-09,3.64,3.79,3.64,3.79,1720
2011-05-10,3.79,3.79,3.79,3.79,14660
2011-05-11,4.04,4.04,3.94,4.04,15340
2011-05-12,4.04,4.04,4.04,4.04,11350
2011-05-13,4.04,4.04,3.99,4.04,4680
2011-05-16,4.14,4.14,4.04,4.04,18050
2011-05-17,4.04,4.04,3.84,3.84,4090
2011-05-18,3.99,3.99,3.94,3.99,17830
2011-05-19,4.09,4.09,3.94,3.94,9320
2011-05-20,3.82,4.0,3.82,3.89,2970
2011-05-23,3.83,4.06,3.83,4.0,4490
2011-05-24,3.83,3.94,3.83,3.83,13620
2011-05-25,3.66,3.66,3.66,3.65,5650
2011-05-26,3.48,3.82,3.48,3.83,910
2011-05-27,4.0,4.0,3.89,3.94,11120
2011-05-30,4.0,4.0,3.88,3.89,4140
2011-05-31,3.72,3.89,3.72,3.89,15150
2011-06-01,3.77,3.95,3.77,3.94,2470
2011-06-02,3.94,3.94,3.94,3.94,1670
2011-06-03,4.06,4.06,3.77,3.94,18320
2011-06-06,4.0,4.0,3.94,4.0,3640
