date,open,high,low,close,volume
2010-01-22,23.6,23.6,19.22,23.6,117370
2010-01-25,22.45,22.45,22.45,22.45,5280
2010-01-26,21.37,21.37,21.37,21.37,32860
2010-01-27,20.36,20.36,20.36,20.36,7740
2010-01-28,19.35,19.35,19.35,19.35,2490
2010-01-29,18.41,18.41,18.41,18.41,30530
2010-02-01,18.21,18.88,18.21,18.41,112910
2010-02-02,18.21,18.34,17.67,17.67,46370
2010-02-03,17.74,18.55,17.67,18.54,40270
2010-02-04,19.21,19.21,18.61,18.61,24700
2010-02-05,17.94,18.21,17.8,17.8,26520
2010-02-08,17.8,17.87,17.53,17.53,30380
2010-02-09,17.53,17.53,16.92,16.92,24180
2010-02-10,17.05,17.53,16.99,17.53,19310
2010-02-11,17.53,17.8,17.4,17.8,7710
2010-02-12,18.14,18.14,17.53,17.53,5570
2010-02-22,18.2,18.2,17.66,18.14,950
2010-02-23,17.51,18.63,17.44,18.21,7420
2010-02-24,18.21,18.63,17.58,18.63,21160
2010-02-25,17.93,18.63,17.86,17.86,5840
2010-02-26,17.86,18.21,17.02,17.16,24740
2010-03-01,17.16,17.65,17.16,17.23,11060
2010-03-02,17.51,17.51,16.95,17.51,25780
2010-03-03,17.51,17.51,17.16,17.51,18140
2010-03-04,17.79,17.79,16.81,17.51,13450
2010-03-05,17.44,17.44,17.02,17.23,36370
2010-03-08,17.23,17.37,17.16,17.3,66150
2010-03-09,17.37,17.79,17.16,17.37,49710
2010-03-10,17.37,17.37,16.67,17.23,43890
2010-03-11,17.02,17.23,16.88,16.88,32100
2010-03-12,17.3,17.3,16.81,16.95,25050
2010-03-15,16.95,17.44,16.95,16.95,30480
2010-03-16,16.88,16.95,16.46,16.74,39430
2010-03-17,16.74,16.74,16.32,16.32,45610
2010-03-18,16.32,17.09,16.32,17.09,93120
2010-03-19,17.09,17.16,16.95,16.95,94770
2010-03-22,16.81,16.95,16.46,16.46,28960
2010-03-23,16.11,16.46,15.83,15.83,45050
2010-03-24,15.83,16.11,15.41,15.41,80470
2010-03-25,15.41,15.55,15.34,15.41,67070
2010-03-26,15.41,15.48,15.27,15.41,41230
2010-03-29,15.41,15.62,15.41,15.41,56500
2010-03-30,15.13,15.41,14.71,14.71,48430
2010-03-31,14.71,15.41,14.71,15.41,88480
2010-04-01,15.76,16.18,15.69,16.18,157200
2010-04-02,16.95,16.95,16.95,16.95,74940
2010-04-05,17.79,17.79,17.79,17.79,191930
2010-04-06,18.63,18.63,18.21,18.21,343680
2010-04-07,18.21,18.98,17.93,18.56,152330
2010-04-08,18.42,18.77,18.35,18.77,144790
2010-04-09,18.98,19.61,18.7,19.61,254550
2010-04-12,19.61,20.31,19.47,20.31,182780
2010-04-13,20.31,21.29,20.31,21.29,220630
2010-04-14,22.06,22.34,21.71,22.34,251400
2010-04-15,23.11,23.39,22.76,23.39,307030
2010-04-16,24.16,24.16,22.27,22.27,191940
2010-04-19,22.13,22.76,21.22,21.36,177990
2010-04-20,21.36,22.41,21.36,22.41,269350
2010-04-21,23.11,23.11,21.71,22.41,75680
2010-04-22,22.06,22.34,21.43,21.71,179680
2010-04-26,21.71,22.06,21.57,21.57,138830
2010-04-27,21.36,21.71,21.01,21.01,83610
2010-04-28,21.01,21.99,20.03,20.31,128180
2010-04-29,20.31,21.01,20.24,20.31,144790
2010-05-04,20.31,20.94,20.17,20.24,84680
2010-05-05,19.61,20.24,19.61,19.61,101450
2010-05-06,19.4,20.59,19.4,20.59,301310
2010-05-07,21.57,21.57,19.75,19.75,335050
2010-05-10,19.61,20.73,19.33,20.59,58130
2010-05-11,21.01,21.01,20.03,20.03,38580
2010-05-12,19.61,19.61,19.05,19.05,167440
2010-05-13,18.49,19.61,18.21,19.12,293650
2010-05-14,19.61,20.03,19.12,19.61,249050
2010-05-17,19.61,19.61,18.63,18.63,62760
2010-05-18,18.21,18.63,18.07,18.07,58310
2010-05-19,18.07,18.07,17.23,17.23,78260
2010-05-20,16.46,17.16,16.39,16.81,131870
2010-05-21,15.97,16.6,15.97,15.97,226200
2010-05-24,15.97,16.74,15.97,16.74,51720
2010-05-25,17.51,17.51,17.16,17.51,64290
2010-05-26,18.35,18.35,18.21,18.35,48770
2010-05-27,17.86,18.21,17.58,18.0,12470
2010-05-28,18.84,18.84,18.35,18.56,45170
2010-05-31,17.77,18.7,17.77,18.7,34260
2010-06-01,18.7,18.92,18.56,18.7,28930
2010-06-02,18.84,18.84,18.41,18.49,34520
2010-06-03,18.06,18.56,18.06,18.41,68100
2010-06-04,17.62,18.41,17.62,17.62,79820
2010-06-07,17.26,17.62,16.97,16.97,66660
2010-06-08,17.62,17.76,17.26,17.26,91920
2010-06-09,18.12,18.12,17.91,17.91,15340
2010-06-10,17.77,17.91,17.62,17.62,12030
2010-06-11,17.98,18.12,17.98,17.98,24050
2010-06-14,17.98,18.56,17.98,18.34,41560
2010-06-15,17.76,18.34,17.76,18.34,17800
2010-06-16,18.7,18.7,18.27,18.41,34240
2010-06-17,18.34,18.55,17.98,18.49,6630
2010-06-18,18.63,18.63,18.13,18.49,30800
2010-06-21,18.71,18.71,17.99,18.05,4280
2010-06-22,18.05,18.05,17.69,17.84,14320
2010-06-23,17.91,18.49,17.84,17.98,6900
2010-06-24,17.69,18.34,17.69,17.69,17430
2010-06-25,17.33,17.91,17.33,17.48,42800
2010-06-28,17.98,17.98,17.62,17.91,2100
2010-06-29,17.41,18.56,17.41,18.56,30400
2010-06-30,17.98,17.98,17.7,17.98,19160
2010-07-01,17.91,18.34,17.62,18.34,43400
2010-07-02,18.34,18.41,17.62,18.27,19550
2010-07-05,18.49,18.49,17.69,18.34,21260
2010-07-06,17.84,18.34,17.48,17.98,57730
2010-07-07,17.62,18.34,17.62,18.05,70360
2010-07-08,17.98,18.27,17.98,18.27,40500
2010-07-09,18.49,18.7,17.62,17.62,20220
2010-07-12,17.62,17.98,17.62,17.98,21100
2010-07-13,18.12,18.2,17.98,18.13,23790
2010-07-14,18.2,18.2,18.13,18.13,18900
2010-07-15,18.35,18.35,17.84,17.91,27670
2010-07-16,17.98,18.13,17.91,18.13,9730
2010-07-19,17.63,18.13,17.63,17.98,4500
2010-07-20,17.55,17.91,17.55,17.62,14840
2010-07-21,17.76,17.84,17.62,17.62,22780
2010-07-22,17.62,17.62,17.48,17.48,14410
2010-07-23,17.98,17.98,17.48,17.62,10140
2010-07-26,17.62,17.69,17.19,17.19,19950
2010-07-27,17.26,17.41,17.19,17.19,17840
2010-07-28,17.19,17.26,16.54,16.54,4610
2010-07-29,15.89,16.9,15.89,16.61,26870
2010-07-30,16.9,17.11,16.9,17.12,13150
2010-08-02,17.26,17.26,17.12,17.12,38500
2010-08-03,17.26,17.26,17.12,17.12,11090
2010-08-04,17.12,17.19,16.62,16.61,48560
2010-08-05,16.18,16.83,16.18,16.33,31000
2010-08-06,16.55,17.05,16.4,17.05,43640
2010-08-09,17.12,17.84,16.91,17.05,66890
2010-08-10,17.05,17.05,16.55,16.61,18720
2010-08-11,16.61,16.9,16.61,16.69,10770
2010-08-12,16.62,16.62,15.9,15.9,22580
2010-08-13,15.68,16.55,15.68,16.4,11140
2010-08-16,17.12,17.19,16.4,17.19,18830
2010-08-17,17.19,17.19,16.54,16.54,15200
2010-08-18,16.83,16.9,15.96,16.18,33080
2010-08-19,16.25,16.54,16.11,16.18,12030
2010-08-20,16.54,16.54,16.18,16.18,19920
2010-08-23,16.83,16.83,15.96,15.97,14680
2010-08-24,16.19,16.55,15.68,16.11,15140
2010-08-25,15.82,15.82,15.32,15.32,11220
2010-08-26,15.1,15.97,14.67,14.67,43850
2010-08-27,14.02,14.6,13.95,14.39,49880
2010-08-30,15.11,15.11,15.11,15.1,23730
2010-08-31,15.1,15.75,15.1,15.75,21000
2010-09-01,16.11,16.11,15.68,15.82,9310
2010-09-06,16.54,16.54,16.11,16.18,22200
2010-09-07,15.6,16.11,15.53,16.11,49260
2010-09-08,16.11,16.11,15.61,15.82,11320
2010-09-09,15.53,15.82,15.32,15.82,36150
2010-09-10,16.25,16.25,15.46,15.46,17200
2010-09-13,14.81,15.68,14.81,14.82,8900
