date,open,high,low,close,volume
2010-06-21,11.45,11.45,11.45,11.45,16000
2010-06-22,12.02,12.02,11.99,12.03,47650
2010-06-23,12.6,12.6,12.6,12.6,19410
2010-06-24,12.98,12.98,12.73,12.95,4000
2010-06-25,12.31,12.31,12.31,12.31,1010
2010-06-28,12.31,12.31,11.71,11.71,520
2010-06-29,11.14,11.14,11.14,11.14,6790
2010-06-30,10.6,11.14,10.6,10.6,19780
2010-07-01,11.05,11.11,10.82,11.1,29740
2010-07-02,11.1,11.26,10.97,11.26,8770
2010-07-05,11.45,11.71,10.81,11.39,3500
2010-07-06,10.85,11.14,10.85,11.14,12560
2010-07-07,11.24,11.24,11.01,11.01,130
2010-07-08,11.14,11.14,11.01,11.01,10600
2010-07-09,11.01,11.01,10.5,10.5,1150
2010-07-12,9.99,10.75,9.99,9.99,1750
2010-07-13,10.31,10.31,10.02,10.05,8460
2010-07-14,10.11,10.18,10.11,10.18,19100
2010-07-15,10.18,10.34,10.18,10.31,8810
2010-07-16,9.8,10.28,9.8,10.25,6370
2010-07-19,10.28,10.5,10.19,10.5,13250
2010-07-20,10.37,10.37,10.34,10.34,1000
2010-07-21,10.37,10.44,10.34,10.44,4060
2010-07-22,10.44,10.44,10.15,10.31,9210
2010-07-23,10.31,10.31,10.18,10.25,7860
2010-07-26,10.06,10.25,10.06,10.25,7000
2010-07-27,10.19,10.28,10.19,10.28,6480
2010-07-28,10.34,10.34,10.31,10.34,6630
2010-07-29,10.34,10.34,10.24,10.28,6220
2010-07-30,10.31,10.34,10.31,10.34,3370
2010-08-02,10.34,10.5,10.34,10.5,19080
2010-08-03,10.53,10.63,10.53,10.63,2430
2010-08-04,10.69,10.88,10.66,10.88,11010
2010-08-05,10.82,10.88,10.75,10.88,2200
2010-08-06,10.75,10.82,10.75,10.82,10010
2010-08-09,10.82,10.82,10.82,10.82,450
2010-08-10,10.66,10.66,10.66,10.66,100
2010-08-11,10.15,10.15,10.15,10.15,250
2010-08-12,10.02,10.02,9.99,9.99,10500
2010-08-13,9.86,9.99,9.86,9.99,10850
2010-08-16,9.86,10.18,9.86,10.18,5290
2010-08-17,10.18,10.21,10.18,10.18,8990
2010-08-18,10.18,10.21,10.18,10.21,2050
2010-08-19,10.24,10.34,10.24,10.34,1600
2010-08-20,10.37,10.37,10.37,10.37,2100
2010-08-23,10.88,10.88,10.88,10.88,22840
2010-08-24,11.42,11.42,10.98,11.14,17840
2010-08-25,11.52,11.52,11.17,11.45,6410
2010-08-26,10.88,11.42,10.88,11.42,14140
2010-08-27,11.42,11.42,11.1,11.3,9510
2010-08-30,11.46,11.49,11.46,11.45,21210
2010-08-31,11.68,11.68,11.68,11.68,200
2010-09-01,11.68,11.68,11.1,11.1,3970
2010-09-06,11.57,11.57,11.14,11.45,570
2010-09-07,11.18,11.29,11.18,11.29,400
2010-09-08,11.29,11.29,11.29,11.29,1510
2010-09-09,10.82,11.21,10.82,11.22,10210
2010-09-10,11.3,11.3,10.67,10.67,1740
2010-09-13,10.67,10.67,10.2,10.2,4030
2010-09-14,10.71,10.71,10.71,10.71,10
2010-09-15,10.28,11.1,10.28,11.1,500
2010-09-16,11.1,11.1,11.1,11.1,610
2010-09-17,11.1,11.1,10.71,10.71,640
2010-09-20,10.28,11.1,10.28,10.75,1100
2010-09-21,10.91,10.91,10.75,10.9,2320
2010-09-22,11.06,11.09,11.06,11.1,50
2010-09-23,10.55,11.29,10.55,11.29,2060
2010-09-24,11.1,11.1,10.74,10.75,2870
2010-09-27,10.87,10.87,10.87,10.87,10
2010-09-28,10.87,10.91,10.71,10.9,3010
2010-09-29,10.71,10.74,10.71,10.71,5170
2010-09-30,10.24,10.71,10.2,10.71,570
2010-10-01,11.1,11.1,11.1,11.1,10
2010-10-04,11.06,11.1,10.71,11.06,3340
2010-10-05,10.51,10.55,10.51,10.52,7520
2010-10-06,10.52,10.6,10.09,10.59,1880
2010-10-07,10.59,10.86,10.59,10.87,1350
2010-10-08,10.71,10.71,10.36,10.63,7720
2010-10-11,10.47,10.47,10.47,10.48,120
2010-10-12,10.52,10.52,10.13,10.48,1170
2010-10-13,9.97,10.52,9.97,10.52,40
2010-10-14,10.4,10.44,10.4,10.44,260
2010-10-15,10.48,10.48,10.48,10.48,10
2010-10-18,10.05,10.52,10.01,10.52,1110
2010-10-19,10.09,10.09,10.05,10.05,1100
2010-10-20,10.13,10.13,9.89,10.13,3630
2010-10-21,10.13,10.13,10.13,10.13,10
2010-10-22,10.64,10.64,10.13,10.13,2760
2010-10-25,10.44,10.64,10.36,10.63,1860
2010-10-26,11.1,11.1,10.63,10.83,440
2010-10-27,10.83,10.83,10.44,10.83,140
2010-10-28,10.36,10.79,10.36,10.36,3610
2010-10-29,10.36,10.4,10.36,10.4,1510
2010-11-01,10.44,10.44,10.44,10.44,1590
2010-11-02,10.44,10.44,10.36,10.36,2730
2010-11-03,10.32,10.32,10.32,10.32,5500
2010-11-04,10.32,10.32,10.32,10.32,3790
2010-11-05,10.2,10.32,10.2,10.32,6120
2010-11-08,10.2,10.32,10.2,10.32,330
2010-11-09,10.51,10.51,10.36,10.44,160
2010-11-10,10.48,10.48,10.36,10.36,1540
2010-11-11,10.36,10.36,10.32,10.32,540
2010-11-12,10.32,10.32,10.2,10.2,1260
2010-11-15,10.2,10.28,10.2,10.28,350
2010-11-16,10.12,10.12,10.12,10.13,200
2010-11-17,10.13,10.21,10.13,10.2,790
2010-11-18,10.2,10.2,10.2,10.2,3150
2010-11-19,10.2,10.2,10.2,10.2,1100
2010-11-22,10.2,10.2,10.2,10.2,1000
2010-11-23,10.24,10.24,10.24,10.24,220
2010-11-24,10.24,10.28,10.24,10.28,1220
2010-11-25,10.28,10.28,10.28,10.28,3000
2010-11-26,10.32,10.32,10.28,10.28,3730
2010-11-29,10.2,10.2,10.2,10.2,90
2010-11-30,10.28,10.28,10.28,10.28,1640
2010-12-01,10.28,10.28,10.28,10.28,1000
2010-12-02,10.28,10.28,10.28,10.28,1050
2010-12-03,10.12,10.32,10.12,10.32,3270
2010-12-06,9.81,10.32,9.81,10.32,2170
2010-12-07,10.28,10.32,9.81,10.32,990
2010-12-08,10.28,10.32,10.13,10.32,250
2010-12-09,10.28,10.28,10.13,10.13,1870
2010-12-10,9.78,10.29,9.74,10.28,2670
2010-12-13,10.28,10.32,10.28,10.28,1560
2010-12-14,10.28,10.32,9.77,10.32,4530
2010-12-15,10.32,10.32,10.32,10.32,10
2010-12-16,10.05,10.2,10.05,10.2,6510
2010-12-17,10.2,10.2,10.2,10.2,3100
2010-12-20,10.16,10.16,10.12,10.13,70
2010-12-21,10.13,10.52,10.13,10.48,7600
2010-12-22,10.32,10.32,10.29,10.28,910
2010-12-23,10.28,10.28,9.81,9.81,2140
2010-12-24,9.93,10.28,9.93,10.28,600
2010-12-27,10.28,10.28,10.28,10.28,550
2010-12-28,10.28,10.44,10.28,10.44,2620
2010-12-30,10.44,10.44,10.44,10.44,1380
2010-12-31,10.44,10.44,10.44,10.44,30
2011-01-04,10.48,10.48,10.48,10.48,1450
2011-01-05,10.32,10.52,10.32,10.52,970
2011-01-06,10.36,10.52,10.36,10.52,1020
2011-01-07,10.4,10.52,10.4,10.52,1370
2011-01-10,10.52,10.52,10.52,10.52,270
2011-01-12,10.44,10.44,10.44,10.44,1000
2011-01-13,10.32,10.48,10.32,10.48,1600
2011-01-17,10.13,10.13,10.13,10.13,900
2011-01-18,10.13,10.13,10.13,10.13,10
2011-01-19,10.17,10.17,10.17,10.16,70
2011-01-20,9.65,10.08,9.65,9.93,1710
2011-01-21,9.93,9.93,9.46,9.46,2230
2011-01-24,9.46,9.46,9.46,9.46,910
2011-01-25,9.34,9.34,9.15,9.15,2370
2011-01-26,9.58,9.58,9.27,9.27,1130
2011-01-27,9.15,9.15,9.15,9.15,10
2011-01-28,9.19,9.19,9.19,9.19,10
2011-02-08,9.23,9.23,9.23,9.23,70
2011-02-09,9.23,9.23,9.23,9.23,970
2011-02-10,8.84,8.84,8.84,8.84,10
2011-02-11,9.27,9.27,9.27,9.27,100
2011-02-14,9.04,9.04,9.04,9.04,10
2011-02-15,9.47,9.47,9.47,9.46,1070
2011-02-16,9.34,9.46,9.34,9.46,170
2011-02-18,9.69,9.69,9.34,9.35,210
2011-02-22,8.96,8.96,8.96,8.96,50
2011-02-23,8.96,9.15,8.96,9.15,2650
2011-02-24,8.96,8.96,8.96,8.96,270
2011-02-25,9.15,9.15,9.15,9.15,1500
2011-02-28,9.23,9.23,9.23,9.23,20
2011-03-01,9.27,9.27,9.27,9.27,500
2011-03-02,9.15,9.23,9.15,9.23,1010
2011-03-03,9.27,9.27,9.19,9.19,1010
2011-03-04,9.19,9.35,9.19,9.35,1010
2011-03-08,9.35,9.35,9.35,9.35,1000
2011-03-10,9.39,9.39,9.39,9.39,10
2011-03-11,9.74,9.74,9.74,9.74,10
2011-03-15,9.35,9.35,9.35,9.35,1500
2011-03-16,9.35,9.35,9.35,9.35,650
2011-03-17,9.35,9.35,9.31,9.31,220
2011-03-18,9.31,9.31,9.31,9.31,100
2011-03-21,9.31,9.31,9.31,9.31,400
2011-03-23,9.27,9.31,9.27,9.31,110
2011-03-24,9.27,9.31,9.27,9.31,30
2011-03-28,9.27,9.27,9.27,9.27,50
2011-03-29,8.84,8.84,8.84,8.84,100
2011-03-30,8.92,8.92,8.92,8.92,10
2011-03-31,9.15,9.15,9.15,9.15,10
2011-04-04,8.72,8.76,8.72,8.76,510
2011-04-05,8.57,8.57,8.57,8.57,220
2011-04-06,8.57,8.57,8.57,8.57,530
2011-04-08,9.0,9.0,9.0,9.0,100
2011-04-13,8.57,8.57,8.57,8.57,200
2011-04-15,8.22,8.22,8.22,8.22,150
2011-04-18,8.57,8.57,8.38,8.37,398
2011-04-19,8.18,8.18,8.18,8.18,6320
2011-04-22,8.43,8.43,8.43,8.42,1150
2011-04-25,8.42,8.42,8.42,8.42,20
2011-04-26,8.42,8.42,8.42,8.42,10
2011-04-27,8.26,8.26,8.26,8.26,700
2011-04-28,8.38,8.38,8.18,8.18,20
2011-04-29,8.18,8.18,8.18,8.18,300
2011-05-04,8.18,8.18,8.18,8.18,70
2011-05-05,8.26,8.26,8.22,8.22,200
2011-05-06,8.22,8.3,8.22,8.3,150
2011-05-10,8.34,8.34,8.34,8.34,1190
2011-05-12,8.38,8.38,8.38,8.38,10
