date,open,high,low,close,volume
2018-12-11,,,,30.6,0
2018-12-10,30.5,30.7,30.3,30.6,25680
2018-12-07,30.0,30.95,30.0,30.45,18210
2018-12-06,30.2,30.5,29.7,30.2,46950
2018-12-05,31.0,31.0,30.0,29.5,51910
2018-12-04,30.55,31.5,30.3,29.98,75250
2018-12-03,29.9,30.8,29.9,29.55,29540
2018-11-30,30.3,30.3,29.85,28.87,8200
2018-11-29,30.0,30.6,29.95,29.11,17330
2018-11-28,30.35,30.35,29.85,29.11,13250
2018-11-27,29.7,30.2,29.7,29.21,35720
2018-11-26,29.2,29.65,29.1,28.34,26580
2018-11-23,29.6,29.7,29.2,28.24,18120
2018-11-22,28.8,29.75,28.8,28.73,17940
2018-11-21,29.05,29.5,28.8,27.86,65480
2018-11-20,29.7,29.8,29.0,28.53,23730
2018-11-19,29.6,30.3,29.5,28.92,19970
2018-11-16,30.35,30.35,29.45,29.02,13740
2018-11-15,30.0,30.0,29.2,28.82,11750
2018-11-14,30.2,30.2,29.4,29.21,50850
2018-11-13,29.5,30.2,29.0,29.11,17480
2018-11-12,29.6,30.8,28.3,29.79,173060
2018-11-09,30.15,30.25,30.0,29.02,20690
2018-11-08,30.6,31.0,30.25,29.74,56380
2018-11-07,30.9,30.9,30.6,29.79,60310
2018-11-06,31.9,31.95,31.1,30.71,57870
2018-11-05,30.8,32.4,30.8,30.08,12220
2018-11-02,30.9,32.5,30.8,31.43,21580
2018-11-01,32.0,32.5,30.6,31.43,11120
2018-10-31,31.0,32.4,29.5,30.95,34640
2018-10-30,31.2,31.2,29.8,29.98,157800
2018-10-29,32.75,32.75,32.0,30.95,5390
2018-10-26,32.0,32.8,31.5,31.72,23260
2018-10-25,32.0,33.0,31.7,31.92,72620
2018-10-24,34.7,34.75,33.5,32.89,2200
2018-10-23,34.5,34.5,34.0,33.08,4850
2018-10-22,36.0,36.0,34.3,33.37,19060
2018-10-19,33.1,36.0,32.9,34.82,42440
2018-10-18,33.9,34.7,32.5,33.56,13980
2018-10-17,34.85,34.85,33.9,32.79,19800
2018-10-16,34.05,34.85,33.5,33.71,20660
2018-10-15,34.85,34.85,33.7,33.71,23530
2018-10-12,31.0,34.85,30.9,33.71,52510
2018-10-11,32.6,33.8,31.65,31.53,68500
2018-10-10,34.05,34.2,34.0,32.89,37460
2018-10-09,34.9,35.2,34.05,32.93,47740
2018-10-08,34.6,35.9,34.6,33.76,32660
2018-10-05,36.0,36.0,35.25,34.63,16490
2018-10-04,35.95,36.5,35.5,34.82,26090
2018-10-03,35.2,36.0,34.85,34.82,59450
2018-10-02,36.75,36.75,35.2,34.05,103320
2018-10-01,36.75,36.75,36.05,35.55,61370
2018-09-28,37.1,37.1,36.05,35.55,26780
2018-09-27,37.5,37.5,36.5,35.59,23370
2018-09-26,36.8,37.45,36.5,35.64,64630
2018-09-25,36.85,37.0,36.4,35.64,96600
