date,open,high,low,close,volume
2019-03-13,24.0,24.0,23.5,24.0,18120
2019-03-12,24.45,25.0,23.2,24.0,30020
2019-03-11,23.25,24.8,23.25,24.8,22020
2019-03-08,24.5,25.0,23.25,25.0,0
2019-03-07,24.5,25.0,23.25,25.0,32310
2019-03-06,24.0,25.0,23.25,25.0,32300
2019-03-05,24.5,25.0,24.5,25.0,25050
2019-03-04,25.5,26.0,25.5,26.0,26010
2019-03-01,26.0,27.0,26.0,26.0,0
2019-02-28,26.0,27.0,26.0,26.0,25020
2019-02-27,25.9,26.0,25.9,26.0,0
2019-02-26,25.9,26.0,25.9,26.0,20020
2019-02-25,25.4,26.0,25.4,26.0,25010
2019-02-22,25.4,26.0,25.4,26.0,0
2019-02-21,25.4,26.0,25.4,26.0,22010
2019-02-20,25.0,26.0,25.0,26.0,33120
2019-02-19,25.0,26.0,25.0,26.0,40010
2019-02-18,26.0,27.0,26.0,26.0,370
2019-02-15,26.0,26.0,26.0,26.0,100
2019-02-14,25.15,26.0,25.15,26.0,40190
2019-02-13,25.9,27.0,25.0,27.0,26260
2019-02-12,23.8,25.55,23.8,25.55,27900
2019-02-11,23.5,24.0,23.5,23.9,35030
2019-02-01,22.5,23.0,22.5,23.0,0
2019-01-31,22.5,23.0,22.5,23.0,0
2019-01-30,22.5,23.0,22.5,23.0,0
2019-01-29,22.5,23.0,22.5,23.0,0
2019-01-28,22.5,23.0,22.5,23.0,0
2019-01-25,22.5,23.0,22.5,23.0,31400
2019-01-24,22.9,23.0,21.5,21.5,25100
2019-01-23,21.4,23.0,21.4,23.0,42220
2019-01-22,22.9,23.0,22.9,23.0,42100
2019-01-21,23.0,23.0,23.0,23.0,100
2019-01-18,22.9,22.95,22.9,22.95,20000
2019-01-17,22.9,23.0,22.9,23.0,26030
2019-01-16,22.5,22.8,22.8,22.8,300
2019-01-15,22.85,23.0,22.0,22.5,34090
2019-01-14,22.5,23.0,22.0,23.0,36660
2019-01-11,22.9,23.0,22.9,23.0,32900
2019-01-10,22.5,23.0,22.0,22.9,39250
2019-01-09,22.9,23.0,22.9,23.0,34100
2019-01-08,23.5,23.9,21.5,23.0,40110
2019-01-07,23.3,23.3,22.5,23.0,1690
2019-01-04,23.0,24.7,22.9,22.9,28120
2019-01-03,23.0,23.1,23.0,23.1,38100
2019-01-02,23.5,23.5,23.5,23.5,0
2018-12-28,23.5,23.5,23.5,23.5,1000
2018-12-27,23.5,23.5,23.5,23.5,100
2018-12-26,21.9,23.5,21.9,23.5,36210
2018-12-25,21.9,23.5,21.9,23.5,110
2018-12-24,23.5,23.5,23.5,23.5,12000
2018-12-21,23.0,23.85,23.0,23.85,20100
2018-12-20,24.5,24.5,23.9,24.0,20120
2018-12-19,22.55,23.3,22.55,23.3,4080
2018-12-18,22.5,22.55,22.5,22.55,31330
2018-12-17,23.1,23.1,21.3,22.7,40200
2018-12-14,23.0,23.0,21.9,22.9,42240
2018-12-13,21.15,23.5,21.15,23.5,15250
2018-12-12,22.0,22.7,22.0,22.7,31000
2018-12-11,21.0,22.45,21.0,22.45,25580
2018-12-10,20.5,21.3,20.5,21.0,22470
2018-12-07,20.0,20.5,20.0,20.5,27300
2018-12-06,20.0,20.0,19.6,19.8,29530
2018-12-05,19.5,19.8,19.0,19.5,61810
2018-12-04,18.55,18.55,18.55,18.55,20000
2018-12-03,17.35,17.35,17.35,17.35,20000
2018-11-30,16.23,16.23,15.06,16.23,360
2018-11-29,16.09,16.09,16.09,16.09,190
2018-11-28,16.09,16.44,16.02,16.43,34140
2018-11-27,15.95,16.43,15.95,16.23,26300
2018-11-26,16.43,16.98,16.09,16.09,18220
2018-11-23,17.12,17.12,16.77,17.01,20160
2018-11-22,16.77,17.12,15.75,16.98,23730
2018-11-21,16.77,17.46,16.09,16.09,18110
2018-11-20,16.29,16.43,16.29,16.43,25700
2018-11-19,16.78,16.78,16.37,16.43,0
2018-11-16,16.78,16.78,16.37,16.43,17500
2018-11-15,16.23,16.3,16.23,16.3,0
2018-11-14,16.23,16.3,16.23,16.3,25500
2018-11-13,15.33,16.29,15.33,16.3,7560
2018-11-12,15.95,16.43,15.95,16.43,22030
2018-11-09,17.46,17.46,15.96,15.95,40
2018-11-08,15.92,17.11,15.92,17.12,46500
2018-11-07,16.36,16.36,16.36,16.36,27000
2018-11-06,16.36,16.57,16.36,16.57,50000
2018-11-05,16.06,16.37,16.06,16.36,0
2018-11-02,16.06,16.37,16.06,16.36,20000
2018-11-01,16.03,16.06,16.03,16.06,21000
2018-10-31,15.26,16.05,15.26,16.06,130
2018-10-30,16.36,16.36,16.36,16.36,0
2018-10-29,16.36,16.36,16.36,16.36,22030
2018-10-26,15.33,16.43,15.33,16.43,510
2018-10-25,16.09,16.43,16.09,16.43,0
2018-10-24,16.09,16.43,16.09,16.43,20000
2018-10-23,16.29,16.39,15.44,16.4,15680
2018-10-22,16.16,16.37,16.13,16.36,26100
2018-10-19,15.75,16.4,15.75,16.4,21100
2018-10-18,16.43,16.43,15.4,15.41,7010
2018-10-17,16.29,16.39,15.3,16.36,22120
2018-10-16,16.36,16.36,16.29,16.36,25650
2018-10-15,16.09,16.36,16.09,16.36,25000
2018-10-12,16.12,16.12,16.12,16.12,10
2018-10-11,16.12,16.43,15.33,16.12,14110
2018-10-10,16.29,16.43,16.29,16.43,41100
2018-10-09,15.41,16.36,15.41,16.36,1710
2018-10-08,16.33,16.33,14.42,16.33,19080
2018-10-05,16.29,16.36,15.33,15.34,20210
2018-10-04,16.4,16.43,15.4,16.36,15660
2018-10-03,15.65,16.44,15.62,16.43,7030
2018-10-02,15.65,17.09,15.62,16.78,10650
2018-10-01,16.78,16.78,16.78,16.78,1000
2018-09-28,16.3,16.77,14.99,16.78,14510
2018-09-27,14.89,16.09,14.89,16.09,1080
2018-09-26,16.77,16.77,15.3,15.95,20350
2018-09-25,16.44,16.44,15.55,16.43,16260
2018-09-24,17.12,18.55,16.19,16.71,17660
2018-09-21,16.29,17.39,16.29,17.39,10510
2018-09-20,15.95,16.43,14.85,16.43,43700
2018-09-19,15.34,15.96,15.34,15.95,36100
2018-09-18,15.34,15.41,15.27,15.34,26100
2018-09-17,14.93,15.34,14.93,15.34,21000
2018-09-14,15.41,15.41,14.65,15.34,16210
2018-09-13,15.06,15.74,15.06,15.75,10200
2018-09-12,14.92,15.06,14.92,15.06,31000
2018-09-11,15.06,15.06,15.06,15.06,8100
2018-09-10,15.2,15.26,15.2,15.27,14000
2018-09-07,15.06,15.75,15.06,15.47,18100
2018-09-06,14.72,15.41,14.72,15.13,21030
2018-09-05,15.81,15.81,15.81,15.82,100
2018-09-04,15.41,16.16,15.41,16.02,13120
2018-08-31,15.41,15.41,15.41,15.41,100
2018-08-30,15.07,15.41,15.07,15.41,18000
2018-08-29,15.4,15.74,15.33,15.41,14200
2018-08-28,14.93,15.06,14.93,15.06,13240
2018-08-27,13.95,15.72,13.95,15.39,11330
2018-08-24,15.72,15.72,14.93,14.93,15110
2018-08-23,14.87,14.94,14.87,14.93,15100
2018-08-22,13.89,15.89,13.89,14.87,15900
2018-08-21,13.63,14.87,12.97,14.87,26070
2018-08-20,13.92,13.92,13.92,13.92,10
2018-08-17,15.06,15.06,13.92,13.92,40
2018-08-16,14.93,14.93,14.93,14.93,0
2018-08-15,14.93,14.93,14.93,14.93,100
2018-08-14,15.06,15.06,14.01,14.01,40
2018-08-13,15.07,15.07,15.07,15.06,10
