date,open,high,low,close,volume
2016-10-10,10.67,10.67,10.67,10.67,4408940
2016-10-11,10.82,11.4,10.67,11.41,4161520
2016-10-12,11.6,12.18,11.41,12.18,5403810
2016-10-13,11.33,11.33,11.33,11.33,261250
2016-10-14,10.56,10.56,10.56,10.56,7650
2016-10-17,9.83,9.83,9.83,9.82,21280
2016-10-18,9.16,9.16,9.16,9.17,6710
2016-10-19,8.55,8.55,8.55,8.55,2641130
2016-10-20,7.97,7.97,7.97,7.97,3387140
2016-10-21,7.41,7.97,7.41,7.73,7545240
2016-10-24,7.58,7.77,7.19,7.19,3508570
2016-10-25,6.69,6.76,6.69,6.69,373200
2016-10-26,6.23,6.23,6.23,6.23,5830
2016-10-27,5.8,5.8,5.8,5.79,2447490
2016-10-28,5.39,5.39,5.39,5.39,2208660
2016-10-31,5.02,5.02,5.02,5.02,52380
2016-11-01,4.67,4.67,4.67,4.67,4910
2016-11-02,4.35,4.35,4.35,4.35,20490
2016-11-03,4.05,4.33,4.05,4.05,1429710
2016-11-04,4.03,4.33,4.03,4.33,61410
2016-11-07,4.63,4.63,4.63,4.63,19800
2016-11-08,4.95,4.95,4.95,4.95,77500
2016-11-09,5.1,5.29,4.63,5.29,665740
2016-11-10,5.65,5.65,5.41,5.61,497830
2016-11-11,5.27,5.8,5.26,5.8,318350
2016-11-14,5.41,5.72,5.4,5.57,355490
2016-11-15,5.34,5.65,5.34,5.57,174470
2016-11-16,5.52,5.84,5.35,5.5,297580
2016-11-17,5.5,5.8,5.43,5.8,151350
2016-11-18,5.41,5.84,5.41,5.79,206160
2016-11-21,5.73,5.79,5.57,5.57,853320
2016-11-22,5.59,5.79,5.57,5.65,126990
2016-11-23,5.58,5.68,5.58,5.63,347240
2016-11-24,5.58,5.7,5.5,5.58,524590
2016-11-25,5.61,5.61,5.49,5.52,391270
2016-11-28,5.41,5.53,5.35,5.35,225520
2016-11-29,5.35,5.61,5.33,5.57,809070
2016-11-30,5.53,5.88,5.42,5.61,861460
2016-12-01,5.57,5.82,5.5,5.8,688230
2016-12-02,5.72,5.85,5.68,5.8,760740
2016-12-05,5.72,5.87,5.65,5.8,650580
2016-12-06,5.8,5.84,5.72,5.8,511240
2016-12-07,5.72,5.83,5.65,5.8,887650
2016-12-08,5.72,5.84,5.65,5.8,544030
2016-12-09,5.72,5.82,5.65,5.8,425380
2016-12-12,5.76,5.8,5.65,5.8,412040
2016-12-13,5.83,5.83,5.72,5.78,326290
2016-12-14,5.77,6.18,5.76,6.18,3316310
2016-12-15,6.19,6.61,5.96,6.61,7027170
2016-12-16,6.62,7.07,6.5,7.06,5656640
2016-12-19,7.06,7.06,6.57,6.57,1850830
2016-12-20,6.11,6.11,6.11,6.12,79670
2016-12-21,5.69,5.69,5.69,5.69,114710
2016-12-22,5.3,5.79,5.3,5.41,743870
2016-12-23,5.49,5.64,5.14,5.41,433200
2016-12-26,5.41,5.49,5.27,5.35,486050
2016-12-27,5.35,5.72,5.35,5.55,949550
2016-12-28,5.55,5.64,5.43,5.45,415220
2016-12-29,5.45,5.54,5.26,5.41,484290
2016-12-30,5.41,5.46,5.29,5.41,345510
2017-01-03,5.41,5.41,5.26,5.3,611360
2017-01-04,5.3,5.56,5.3,5.41,561330
2017-01-05,5.41,5.45,5.31,5.45,650220
2017-01-06,5.45,5.57,5.33,5.45,373160
2017-01-09,5.48,5.48,5.3,5.41,239690
2017-01-10,5.41,5.79,5.33,5.79,693900
2017-01-11,5.81,6.19,5.8,6.2,7154920
2017-01-12,6.23,6.62,6.11,6.59,2738990
2017-01-13,6.54,6.61,6.18,6.19,655450
2017-01-16,5.8,6.19,5.79,5.8,1629660
2017-01-17,5.79,5.88,5.74,5.74,536030
2017-01-18,5.74,6.13,5.69,5.92,2694390
2017-01-19,5.92,5.92,5.8,5.88,248860
2017-01-20,5.88,5.96,5.8,5.87,707750
2017-01-23,5.87,5.92,5.8,5.8,1161350
2017-01-24,5.8,5.84,5.71,5.8,386820
2017-01-25,5.8,5.8,5.69,5.8,220340
2017-02-02,5.72,5.8,5.41,5.41,300910
2017-02-03,5.39,5.63,5.26,5.41,386120
2017-02-06,5.56,5.56,5.36,5.41,322940
2017-02-07,5.41,5.47,5.34,5.41,247590
2017-02-08,5.39,5.78,5.38,5.78,4400710
2017-02-09,5.79,5.8,5.57,5.75,1593040
2017-02-10,5.75,5.76,5.62,5.62,789530
2017-02-13,5.53,5.8,5.45,5.65,1860150
2017-02-14,5.65,5.65,5.53,5.57,633750
2017-02-15,5.57,5.62,5.18,5.57,1896640
2017-02-16,5.57,5.57,5.38,5.54,281160
2017-02-17,5.54,5.54,5.38,5.52,228880
2017-02-20,5.47,5.48,5.39,5.41,497320
2017-02-21,5.41,5.46,5.38,5.41,302940
2017-02-22,5.41,5.48,5.39,5.43,551480
2017-02-23,5.48,5.48,5.39,5.45,382370
2017-02-24,5.45,5.45,5.38,5.43,316920
2017-02-27,5.43,5.43,5.38,5.43,235430
2017-02-28,5.43,5.48,5.38,5.43,347620
2017-03-01,5.43,5.43,5.34,5.42,245210
2017-03-02,5.42,5.74,5.37,5.48,3028310
2017-03-03,5.48,5.54,5.37,5.5,808910
2017-03-06,5.5,5.52,5.41,5.48,268240
2017-03-07,5.42,5.49,5.26,5.45,721500
2017-03-08,5.45,5.45,5.34,5.41,701640
2017-03-09,5.41,5.41,5.37,5.38,647400
2017-03-10,5.38,5.41,5.37,5.41,485840
2017-03-13,5.41,5.44,5.37,5.39,624030
2017-03-14,5.39,5.44,5.3,5.45,281790
2017-03-15,5.45,5.45,5.35,5.43,696840
2017-03-16,5.43,5.54,5.34,5.44,883580
2017-03-17,5.46,5.46,5.42,5.44,214620
2017-03-20,5.42,5.49,5.38,5.41,200490
