date,open,high,low,close,volume
2017-01-16,31.56,31.56,31.56,31.56,100
2017-01-17,36.25,36.25,35.17,36.25,207498
2017-01-18,37.87,37.87,36.16,36.52,67500
2017-01-19,36.7,36.7,35.17,35.17,19500
2017-01-20,34.27,36.07,33.37,35.17,18305
2017-01-23,35.08,35.17,33.37,34.99,21920
2017-01-24,34.36,35.17,33.46,35.17,39950
2017-01-25,36.07,36.07,35.62,36.07,34000
2017-02-02,36.07,39.5,36.07,36.61,45210
2017-02-03,37.51,39.68,37.51,37.87,9924
2017-02-06,38.05,39.49,36.97,37.42,18316
2017-02-07,37.06,37.87,37.06,37.87,2600
2017-02-08,36.97,38.41,36.97,37.15,15260
2017-02-09,37.6,37.6,37.15,37.15,13700
2017-02-10,36.97,36.97,35.17,35.26,25200
2017-02-13,37.42,37.42,35.17,35.62,12320
2017-02-14,35.26,35.35,35.26,35.35,1500
2017-02-15,36.97,36.97,35.26,35.44,14484
2017-02-16,35.53,36.16,35.53,36.16,6435
2017-02-17,35.71,35.8,35.71,35.8,1200
2017-02-21,34.36,35.62,34.36,35.17,6400
2017-02-22,34.72,34.81,34.63,34.81,8600
2017-02-23,35.17,35.17,34.81,34.81,9220
2017-02-24,34.99,35.35,34.99,35.17,13820
2017-02-27,35.17,36.58,35.17,35.17,3700
2017-02-28,35.17,36.48,35.17,36.1,8500
2017-03-01,32.82,35.63,32.82,35.64,18120
2017-03-02,34.98,35.55,34.89,35.54,11000
2017-03-03,35.26,35.54,35.26,35.54,31400
2017-03-06,35.63,35.63,35.26,35.26,800
2017-03-07,35.54,35.54,35.17,35.35,3500
2017-03-08,34.69,34.69,33.76,33.95,15100
2017-03-09,33.76,34.42,33.76,34.32,10400
2017-03-10,34.13,34.13,34.13,34.13,11
2017-03-13,34.32,34.51,34.22,34.23,8864
2017-03-14,34.23,34.79,34.04,34.79,33150
2017-03-15,34.7,35.17,34.7,34.79,7030
2017-03-16,35.17,35.17,35.17,35.17,19518
2017-03-17,35.17,35.17,35.08,35.07,1500
2017-03-20,34.69,35.16,34.69,34.7,7670
2017-03-21,35.08,35.08,34.79,34.88,900
2017-03-22,35.63,35.63,34.97,34.98,8600
2017-03-23,35.54,35.54,34.98,35.07,8900
2017-03-24,34.98,34.98,30.01,33.1,12900
2017-03-27,36.48,36.48,34.69,35.35,27200
2017-03-28,34.97,34.97,34.88,34.98,6400
2017-03-29,34.32,34.89,34.32,34.7,13500
2017-03-30,35.54,35.54,34.79,35.26,40800
2017-03-31,34.98,34.98,34.42,34.7,7000
2017-04-03,34.79,35.26,34.7,34.79,18700
2017-04-04,34.79,35.26,34.7,35.26,17172
2017-04-05,35.07,35.07,35.07,35.07,2800
2017-04-07,34.79,35.16,34.79,35.17,23400
2017-04-10,35.17,35.17,35.08,35.17,8150
2017-04-11,35.17,35.26,35.08,35.07,16100
2017-04-12,35.07,35.26,35.07,35.26,25728
2017-04-13,35.35,35.35,35.17,35.26,30420
2017-04-14,35.45,35.45,35.17,35.26,24900
2017-04-17,35.26,35.26,35.07,35.07,17200
2017-04-18,34.88,35.16,34.88,35.17,19064
2017-04-19,35.26,35.26,35.26,35.26,500
2017-04-20,35.17,35.26,35.17,35.26,7600
2017-04-21,35.17,35.17,35.17,35.17,6214
2017-04-24,35.08,35.08,35.08,35.07,14800
2017-04-25,35.07,35.35,35.07,35.26,22814
2017-04-26,35.35,35.35,35.26,35.26,12800
2017-04-27,35.26,35.26,35.26,35.26,9000
2017-04-28,35.17,35.26,35.17,35.17,14500
2017-05-03,35.17,35.17,35.08,35.17,19800
2017-05-04,35.08,35.17,35.08,35.07,7700
2017-05-05,35.07,35.16,35.07,35.07,10800
2017-05-08,35.07,35.07,34.98,34.98,7700
2017-05-09,34.98,35.07,34.98,34.98,7100
2017-05-10,34.98,35.07,34.98,34.98,12100
2017-05-11,34.98,35.07,34.98,35.07,5800
2017-05-12,34.98,35.07,34.88,34.98,4200
2017-05-15,34.89,34.98,34.89,34.98,13200
2017-05-16,35.07,35.07,34.89,34.88,12600
2017-05-17,34.79,34.79,34.69,34.79,21200
2017-05-18,34.88,34.88,34.7,34.7,11300
2017-05-19,34.7,34.7,34.7,34.7,5400
2017-05-22,34.7,34.7,34.51,34.51,7100
2017-05-23,34.6,34.6,34.23,34.23,7000
2017-05-24,34.32,34.32,34.23,34.23,2500
2017-05-25,34.23,35.17,34.23,35.07,34100
2017-05-26,34.98,36.29,34.98,36.1,57759
2017-05-29,37.04,37.04,36.48,36.57,9605
2017-05-30,36.29,36.29,35.63,35.64,14300
2017-05-31,35.64,35.64,35.26,35.54,16256
2017-06-01,35.92,36.57,35.73,35.73,8890
2017-06-02,36.01,36.11,35.64,36.1,14000
2017-06-05,35.63,35.82,35.63,35.64,30477
2017-06-06,35.26,35.64,35.26,35.54,9104
2017-06-07,35.35,35.73,35.35,35.64,17706
2017-06-08,35.73,35.73,35.45,35.54,13119
2017-06-09,35.63,35.63,35.26,35.64,11800
2017-06-12,35.36,35.36,34.8,35.35,26401
2017-06-13,35.16,35.54,34.97,35.54,33400
2017-06-14,35.35,35.73,35.26,35.73,64900
2017-06-15,35.73,36.11,35.64,35.64,54800
2017-06-16,35.73,35.83,35.64,35.73,7000
2017-06-19,35.64,35.73,35.35,35.64,45441
2017-06-20,35.55,35.83,35.55,35.73,19100
2017-06-21,35.35,35.73,35.35,35.73,21600
2017-06-22,34.89,35.92,34.89,35.82,36800
2017-06-23,35.54,35.91,35.54,35.82,35100
2017-06-26,35.82,36.85,35.82,36.85,83400
2017-06-27,36.94,37.04,36.38,36.57,21515
2017-06-28,37.51,38.91,37.51,37.6,59800
2017-06-29,37.98,38.07,37.6,38.07,34220
2017-06-30,37.88,39.66,37.88,39.57,106900
2017-07-03,40.32,41.26,39.38,41.17,37900
2017-07-04,40.79,40.79,39.29,39.86,21400
2017-07-05,38.17,39.39,38.08,38.92,19000
2017-07-06,38.64,39.95,38.64,39.86,18000
2017-07-07,40.24,41.27,39.86,39.86,45900
2017-07-10,40.24,40.24,39.86,39.86,22000
2017-07-11,40.33,40.61,39.39,39.39,32320
2017-07-12,39.86,40.14,39.39,39.39,4100
2017-07-13,39.77,39.77,39.39,39.39,18100
2017-07-14,39.48,41.27,39.48,40.61,48100
2017-07-17,40.33,40.33,39.58,40.32,26100
2017-07-18,39.66,41.54,39.57,41.54,74940
2017-07-19,41.26,42.2,41.26,42.2,54467
2017-07-20,44.54,44.54,43.61,43.61,38920
2017-07-21,43.61,43.61,42.77,42.76,29730
2017-07-24,42.76,43.14,42.1,42.2,46040
2017-07-25,41.45,42.39,41.45,42.11,37300
2017-07-26,42.2,44.08,42.2,44.08,148137
2017-07-27,44.27,45.02,44.08,44.08,29700
2017-07-28,44.46,44.46,44.08,44.45,7810
2017-07-31,44.07,44.92,44.07,44.17,16041
2017-08-01,44.08,44.36,43.79,43.98,22700
2017-08-02,43.79,44.07,43.79,43.98,8300
2017-08-03,43.89,44.17,43.6,44.17,28920
2017-08-04,44.08,45.2,43.98,44.92,92300
2017-08-07,44.92,45.39,44.92,44.92,28007
2017-08-08,44.73,44.92,44.64,44.73,12000
2017-08-09,44.82,44.82,44.07,44.45,22100
2017-08-10,44.07,44.36,43.61,44.36,13802
2017-08-11,44.08,44.08,43.89,44.08,6000
2017-08-14,44.08,44.08,43.61,43.89,9400
2017-08-15,43.61,44.45,37.33,44.45,143600
2017-08-16,43.14,43.98,38.07,42.2,115900
2017-08-17,42.39,42.76,42.29,42.67,62400
2017-08-18,42.67,43.14,36.39,41.82,160100
2017-08-21,40.32,43.13,39.38,42.2,48600
2017-08-22,40.32,42.67,38.92,42.67,104310
2017-08-23,42.2,43.14,42.2,43.14,51012
2017-08-24,43.14,48.77,43.14,44.83,314190
2017-08-25,44.55,54.21,44.55,46.89,378671
2017-08-28,48.77,56.27,46.89,47.83,98427
2017-08-29,49.61,51.11,47.45,47.45,29455
2017-08-30,47.07,47.83,46.89,47.83,30600
2017-08-31,48.3,48.3,47.36,47.45,18000
2017-09-01,47.45,48.29,47.45,47.83,34447
2017-09-05,47.83,48.21,47.83,47.83,77209
2017-09-06,47.83,47.92,47.45,47.92,27101
2017-09-07,47.83,47.92,47.83,47.83,24312
2017-09-08,47.83,47.83,47.74,47.83,21001
2017-09-11,47.83,47.83,46.89,46.89,25451
2017-09-12,46.51,46.51,45.95,45.95,32800
2017-09-13,46.89,46.89,45.29,45.58,19408
2017-09-14,45.2,45.39,45.11,45.11,18917
2017-09-15,45.39,45.86,45.3,45.86,10600
2017-09-18,46.89,46.89,45.48,46.51,4200
2017-09-19,45.95,45.95,45.95,45.95,7450
2017-09-20,45.57,46.14,45.57,45.95,19200
2017-09-21,45.57,46.33,45.57,46.33,7900
2017-09-22,46.42,46.71,46.24,46.51,30180
2017-09-25,46.42,46.7,46.42,46.51,12302
2017-09-26,46.42,46.89,46.42,46.89,25800
2017-09-27,46.61,47.17,46.61,46.89,9000
2017-09-28,47.83,47.83,46.61,46.89,11300
2017-09-29,46.42,46.89,46.42,46.79,11500
2017-10-02,46.7,46.7,46.51,46.7,34100
2017-10-03,46.61,46.7,46.42,46.42,15500
