date,open,high,low,close,volume
2015-03-31,9.76,10.05,9.33,9.76,3855500
2015-04-01,9.47,9.69,9.11,9.11,2209490
2015-04-02,9.11,9.47,9.11,9.47,935310
2015-04-03,9.47,9.61,9.4,9.61,569350
2015-04-06,9.54,9.97,9.47,9.9,2636480
2015-04-07,9.97,10.04,9.83,9.9,1453580
2015-04-08,9.97,10.04,9.83,9.9,1311780
2015-04-09,9.9,9.97,9.76,9.97,1637810
2015-04-10,9.97,10.04,9.9,9.9,1644610
2015-04-13,9.9,9.97,9.83,9.83,682090
2015-04-14,9.83,9.83,9.69,9.69,865310
2015-04-15,9.69,9.83,9.62,9.76,641430
2015-04-16,9.83,9.83,9.69,9.69,910930
2015-04-17,9.76,9.76,9.69,9.76,539770
2015-04-20,9.76,9.83,9.69,9.76,683100
2015-04-21,9.62,9.83,9.62,9.69,659760
2015-04-22,9.62,9.76,9.62,9.69,681400
2015-04-23,9.69,9.76,9.62,9.69,238820
2015-04-24,9.62,9.69,9.55,9.61,265140
2015-04-27,9.68,9.68,9.47,9.61,215330
2015-05-04,9.54,9.54,9.25,9.26,678920
2015-05-05,9.19,9.4,9.04,9.26,244100
2015-05-06,9.26,9.33,9.19,9.26,356100
2015-05-07,9.26,9.33,9.19,9.26,463020
2015-05-08,9.19,9.33,9.19,9.33,273760
2015-05-11,9.33,9.33,9.26,9.26,162530
2015-05-12,9.26,9.33,9.19,9.26,870250
2015-05-13,9.33,9.4,9.19,9.33,531500
2015-05-14,9.33,9.33,9.26,9.26,287330
2015-05-15,9.33,9.33,9.26,9.26,435650
2015-05-18,9.19,9.26,9.12,9.26,733610
2015-05-19,9.26,9.26,9.19,9.26,782140
2015-05-20,9.26,9.4,9.26,9.4,759920
2015-05-21,9.4,9.4,9.26,9.33,696260
2015-05-22,9.33,9.4,9.26,9.33,1130330
2015-05-25,9.33,9.33,9.26,9.33,456140
2015-05-26,9.33,9.33,9.26,9.26,519830
2015-05-27,9.26,9.33,9.19,9.26,677060
2015-05-28,9.26,9.33,9.26,9.26,678810
2015-05-29,9.19,9.4,9.19,9.26,753100
2015-06-01,9.19,9.33,9.19,9.26,296930
2015-06-02,9.26,9.33,9.19,9.26,467000
2015-06-03,9.26,9.33,9.19,9.26,519090
2015-06-04,9.26,9.33,9.19,9.26,415990
2015-06-05,9.26,9.33,9.19,9.26,443250
2015-06-08,9.33,9.91,9.33,9.61,1700970
2015-06-09,9.54,9.61,9.39,9.47,239150
2015-06-10,9.47,9.61,9.4,9.47,156810
2015-06-11,9.47,9.54,9.4,9.47,971140
2015-06-12,9.47,9.47,9.33,9.4,410880
2015-06-15,9.33,9.47,9.33,9.47,830820
2015-06-16,9.47,9.54,9.4,9.4,588200
2015-06-17,9.4,9.47,9.4,9.4,390230
2015-06-18,9.4,9.62,9.4,9.47,554880
2015-06-19,9.47,9.54,9.4,9.47,489170
2015-06-22,9.47,9.47,9.4,9.47,128860
2015-06-23,9.4,9.4,9.33,9.33,194720
2015-06-24,9.33,9.4,9.26,9.33,385320
2015-06-25,9.33,9.33,9.26,9.26,728450
2015-06-26,9.26,9.33,9.19,9.18,464600
2015-06-29,9.18,9.32,9.18,9.33,211790
2015-06-30,9.19,9.4,9.19,9.33,810310
2015-07-01,9.33,9.33,9.26,9.33,267310
2015-07-02,9.33,9.47,9.33,9.47,490180
2015-07-03,9.4,9.47,9.4,9.47,415530
2015-07-06,9.4,9.47,9.4,9.4,415090
2015-07-07,9.4,9.76,9.33,9.47,1354390
2015-07-08,9.54,9.54,9.4,9.47,476340
2015-07-09,9.54,9.54,9.4,9.47,406640
2015-07-10,9.4,9.47,9.33,9.33,259290
2015-07-13,9.33,9.62,9.33,9.47,608440
2015-07-14,9.47,9.54,9.4,9.47,382180
2015-07-15,9.47,9.76,9.4,9.61,3658260
2015-07-16,9.61,9.61,9.47,9.54,352250
2015-07-17,9.47,9.61,9.47,9.61,341070
2015-07-20,9.47,9.47,9.32,9.33,1386220
2015-07-21,9.4,9.4,9.33,9.33,794360
2015-07-22,9.26,9.33,9.26,9.26,1037430
2015-07-23,9.33,9.4,9.33,9.33,333700
2015-07-24,9.33,9.33,9.26,9.26,425950
2015-07-27,9.33,9.4,9.33,9.4,347140
2015-07-28,9.4,9.4,9.26,9.26,469340
2015-07-29,9.33,9.4,9.26,9.26,368870
2015-07-30,9.26,9.33,9.26,9.33,367870
2015-07-31,9.33,9.4,9.26,9.26,328730
2015-08-03,9.26,9.26,9.19,9.26,353980
2015-08-04,9.26,9.26,9.19,9.18,232740
2015-08-05,9.25,9.4,9.25,9.4,568260
2015-08-06,9.4,9.4,9.26,9.26,169470
2015-08-07,9.33,9.33,9.26,9.26,185660
2015-08-10,9.33,9.33,9.26,9.33,261710
2015-08-11,9.26,9.33,9.26,9.33,144980
2015-08-12,9.33,9.33,9.19,9.26,333980
2015-08-13,9.26,9.26,9.12,9.26,685560
2015-08-14,9.26,9.26,9.19,9.18,231730
2015-08-17,9.18,9.25,9.11,9.26,561850
2015-08-18,9.26,9.4,9.26,9.4,680190
2015-08-19,9.4,9.4,9.33,9.33,350240
2015-08-20,9.26,9.33,9.26,9.33,297240
2015-08-21,9.26,9.33,9.11,9.18,997390
2015-08-24,9.11,9.11,8.61,8.61,1631450
2015-08-25,8.47,9.18,8.47,9.18,793330
2015-08-26,9.11,9.32,9.11,9.33,667450
2015-08-27,9.33,9.4,9.26,9.33,769820
2015-08-28,9.26,9.33,9.19,9.33,401670
2015-08-31,9.33,9.4,9.19,9.33,348480
2015-09-01,9.26,9.33,9.26,9.33,497960
2015-09-03,9.26,9.33,9.26,9.33,834490
2015-09-04,9.33,9.33,9.26,9.33,432180
2015-09-07,9.33,9.33,9.26,9.33,305180
2015-09-08,9.33,9.33,9.26,9.33,157060
2015-09-09,9.33,9.33,9.26,9.26,424820
2015-09-10,9.26,9.76,9.26,9.4,3402080
2015-09-11,9.4,9.4,9.26,9.26,764850
2015-09-14,9.33,9.33,9.19,9.26,276550
2015-09-15,9.26,9.26,9.12,9.18,386900
2015-09-16,9.25,9.4,9.18,9.18,948860
2015-09-17,9.25,9.25,9.18,9.18,269560
2015-09-18,9.25,9.25,9.18,9.18,779970
2015-09-21,9.18,9.25,9.18,9.18,195250
2015-09-22,9.25,9.25,9.18,9.26,385930
2015-09-23,9.26,9.26,9.12,9.26,320660
2015-09-24,9.26,9.26,9.19,9.18,311230
2015-09-25,9.18,9.25,9.18,9.26,185290
2015-09-28,9.26,9.26,9.19,9.18,484940
2015-09-29,9.18,9.25,9.11,9.26,512820
2015-09-30,9.26,9.33,9.19,9.33,611360
2015-10-01,9.33,9.4,9.26,9.26,975230
2015-10-02,9.26,9.26,9.19,9.26,629800
2015-10-05,9.26,9.26,9.19,9.26,216690
2015-10-06,9.26,9.26,9.19,9.18,344150
2015-10-07,9.18,9.25,9.11,9.18,476510
2015-10-08,9.18,9.25,9.18,9.18,234570
