date,open,high,low,close,volume
2004-04-14,5.35,5.35,5.35,5.35,11020
2004-04-15,5.35,5.35,5.32,5.32,28140
2004-04-16,5.32,5.32,5.31,5.31,10330
2004-04-19,5.14,5.14,5.05,5.04,18910
2004-04-20,4.79,4.82,4.79,4.82,33200
2004-04-21,4.83,5.06,4.83,5.06,3010
2004-04-22,5.06,5.06,5.06,5.06,8470
2004-04-23,5.07,5.07,5.05,5.04,3360
2004-04-26,4.96,4.96,4.94,4.95,14250
2004-04-27,4.95,4.95,4.94,4.93,16210
2004-04-28,4.93,4.93,4.93,4.93,14170
2004-04-29,4.93,5.0,4.93,5.0,810
2004-05-04,5.03,5.03,5.03,5.03,5320
2004-05-05,5.03,5.03,4.96,4.96,2440
2004-05-06,4.93,4.93,4.93,4.93,5110
2004-05-07,4.93,4.93,4.86,4.86,16210
2004-05-10,4.93,4.93,4.92,4.92,8020
2004-05-11,4.92,4.92,4.92,4.92,710
2004-05-12,4.92,4.93,4.92,4.93,8100
2004-05-13,4.93,4.93,4.93,4.93,2390
2004-05-14,4.93,4.93,4.89,4.89,3900
2004-05-17,4.89,4.89,4.89,4.89,6430
2004-05-18,4.88,4.88,4.86,4.86,7510
2004-05-19,4.86,4.86,4.86,4.86,8200
2004-05-20,4.87,4.87,4.87,4.88,3100
2004-05-21,4.89,4.89,4.89,4.89,3530
2004-05-24,4.89,4.89,4.86,4.86,11290
2004-05-25,4.86,4.86,4.86,4.86,4940
2004-05-26,4.86,4.86,4.86,4.86,1290
2004-05-27,4.86,4.86,4.86,4.86,800
2004-05-28,4.86,4.86,4.79,4.79,1000
2004-05-31,4.79,4.79,4.79,4.79,3350
2004-06-01,4.79,4.79,4.79,4.79,1610
2004-06-02,4.79,4.79,4.79,4.79,1690
2004-06-03,4.79,4.79,4.72,4.72,1100
2004-06-04,4.72,4.72,4.65,4.66,5170
2004-06-07,4.66,4.66,4.59,4.59,17630
2004-06-08,4.52,4.52,4.52,4.52,8340
2004-06-09,4.52,4.59,4.52,4.59,1220
2004-06-10,4.59,4.59,4.59,4.59,1710
2004-06-11,4.6,4.62,4.6,4.61,3500
2004-06-14,4.61,4.73,4.61,4.74,1100
2004-06-15,4.74,4.74,4.73,4.72,1120
2004-06-16,4.72,4.72,4.66,4.67,1500
2004-06-17,4.67,4.67,4.61,4.61,1390
2004-06-21,4.54,4.55,4.54,4.56,2000
2004-06-22,4.53,4.53,4.53,4.53,2170
2004-06-23,4.53,4.54,4.53,4.54,1320
2004-06-24,4.54,4.62,4.54,4.63,60
2004-06-25,4.55,4.59,4.55,4.59,1290
2004-06-28,4.52,4.55,4.52,4.54,5540
2004-06-29,4.54,4.54,4.54,4.54,300
2004-06-30,4.54,4.54,4.54,4.54,2090
2004-07-01,4.54,4.55,4.54,4.56,100
2004-07-02,4.59,4.59,4.55,4.54,1030
2004-07-05,4.53,4.53,4.53,4.53,5950
2004-07-06,4.53,4.53,4.47,4.47,2350
2004-07-07,4.47,4.47,4.44,4.45,1500
2004-07-08,4.45,4.45,4.42,4.42,2310
2004-07-09,4.42,4.42,4.41,4.4,2640
2004-07-12,4.57,4.57,4.48,4.49,120
2004-07-13,4.45,4.45,4.41,4.4,670
2004-07-14,4.4,4.4,4.37,4.38,2600
2004-07-15,4.25,4.31,4.25,4.31,4680
2004-07-16,4.31,4.31,4.27,4.27,3310
2004-07-19,4.27,4.46,4.27,4.46,10
2004-07-20,4.25,4.31,4.25,4.31,2000
2004-07-21,4.31,4.31,4.31,4.31,2110
2004-07-22,4.31,4.31,4.27,4.27,1350
2004-07-23,4.27,4.31,4.27,4.31,7020
2004-07-26,4.31,4.31,4.3,4.29,900
2004-07-27,4.29,4.29,4.23,4.24,610
2004-07-28,4.24,4.24,4.24,4.24,2020
2004-07-29,4.17,4.17,4.17,4.17,4110
2004-07-30,4.17,4.17,4.17,4.17,3010
2004-08-02,4.17,4.17,4.14,4.14,2660
2004-08-03,4.08,4.08,4.07,4.07,2070
2004-08-04,4.04,4.04,4.03,4.03,5940
2004-08-05,4.03,4.03,4.0,4.0,1000
2004-08-06,4.0,4.0,3.81,3.81,10890
2004-08-09,3.67,3.67,3.64,3.64,37280
2004-08-10,3.54,3.82,3.54,3.82,4970
2004-08-11,4.0,4.0,3.96,3.96,4450
2004-08-12,3.89,3.89,3.83,3.84,3290
2004-08-13,3.84,3.84,3.83,3.82,200
2004-08-16,3.82,3.82,3.69,3.7,1020
2004-08-17,3.63,3.67,3.63,3.67,3330
2004-08-18,3.68,3.73,3.68,3.72,1860
2004-08-19,3.75,3.87,3.75,3.88,5090
2004-08-20,3.89,3.96,3.89,3.96,26970
2004-08-23,4.06,4.1,4.06,4.1,10250
2004-08-24,4.13,4.13,3.99,3.99,10610
2004-08-25,4.03,4.03,3.99,3.99,1720
2004-08-26,4.05,4.05,4.05,4.04,2650
2004-08-27,4.04,4.04,4.03,4.03,10830
2004-08-30,4.03,4.03,3.96,3.96,1440
2004-08-31,3.96,4.03,3.96,4.03,18150
2004-09-01,4.03,4.03,4.03,4.03,830
2004-09-06,4.03,4.03,3.96,3.96,1700
2004-09-07,3.96,3.96,3.96,3.96,1440
2004-09-08,3.96,3.96,3.9,3.9,10860
2004-09-09,3.9,3.94,3.9,3.95,210
2004-09-10,3.95,3.95,3.95,3.95,700
2004-09-13,3.98,3.98,3.98,3.97,150
2004-09-14,3.89,4.03,3.89,4.03,25720
2004-09-15,4.06,4.09,4.06,4.09,4100
2004-09-16,4.09,4.09,4.03,4.03,11500
2004-09-20,3.97,4.06,3.97,4.06,20
2004-09-21,4.06,4.06,4.06,4.06,550
2004-09-22,4.03,4.03,4.03,4.03,2000
2004-09-23,4.03,4.03,4.03,4.03,5290
2004-09-27,4.03,4.09,4.03,4.09,800
2004-09-28,4.1,4.1,4.1,4.1,5280
2004-09-29,4.1,4.1,4.1,4.1,13000
2004-09-30,4.18,4.18,4.18,4.18,2120
2004-10-01,4.17,4.17,4.14,4.14,4650
2004-10-04,4.14,4.14,4.11,4.11,3350
2004-10-05,4.11,4.11,4.11,4.11,12600
2004-10-06,4.11,4.12,4.11,4.13,4980
2004-10-07,4.13,4.13,4.12,4.11,8550
2004-10-08,4.11,4.11,4.11,4.11,2820
2004-10-11,4.11,4.11,4.08,4.09,1150
2004-10-12,4.09,4.09,4.06,4.06,500
2004-10-13,4.06,4.1,4.06,4.1,2000
2004-10-14,4.1,4.11,4.1,4.11,2410
2004-10-15,4.11,4.11,4.11,4.11,2960
2004-10-18,4.11,4.17,4.11,4.17,6260
2004-10-19,4.17,4.24,4.17,4.24,12580
2004-10-20,4.24,4.25,4.24,4.25,3990
2004-10-21,4.25,4.25,4.24,4.24,1490
2004-10-22,4.23,4.24,4.23,4.24,4290
2004-10-25,4.24,4.25,4.24,4.25,1900
2004-10-26,4.25,4.25,4.25,4.25,6100
2004-10-27,4.25,4.31,4.25,4.31,17090
2004-10-28,4.31,4.31,4.31,4.31,4100
2004-10-29,4.31,4.31,4.3,4.29,12310
2004-11-01,4.3,4.3,4.3,4.31,1150
2004-11-02,4.31,4.31,4.31,4.31,3930
2004-11-03,4.31,4.31,4.31,4.31,110
2004-11-04,4.31,4.31,4.31,4.31,5600
2004-11-05,4.28,4.3,4.28,4.29,540
2004-11-08,4.29,4.29,4.26,4.27,2600
2004-11-09,4.24,4.24,4.24,4.24,2270
2004-11-10,4.24,4.24,4.24,4.24,450
2004-11-11,4.24,4.24,4.24,4.24,2000
2004-11-12,4.24,4.24,4.21,4.21,1200
2004-11-15,4.21,4.21,4.21,4.21,110
2004-11-16,4.21,4.21,4.21,4.21,1300
2004-11-17,4.2,4.28,4.2,4.28,2850
2004-11-18,4.28,4.28,4.28,4.28,5000
2004-11-19,4.31,4.31,4.29,4.29,15890
2004-11-22,4.3,4.3,4.23,4.24,700
2004-11-23,4.24,4.24,4.24,4.24,3110
2004-11-24,4.24,4.28,4.24,4.28,330
