date,open,high,low,close,volume
2006-12-29,4.33,4.33,4.33,4.33,45520
2007-01-02,4.12,4.47,4.12,4.13,76340
2007-01-03,4.11,4.11,3.92,4.1,117380
2007-01-04,4.3,4.3,4.3,4.31,46370
2007-01-05,4.52,4.52,4.52,4.51,143090
2007-01-08,4.53,4.53,4.46,4.47,96590
2007-01-09,4.47,4.47,4.42,4.42,69130
2007-01-10,4.42,4.42,4.31,4.31,57710
2007-01-11,4.1,4.1,4.1,4.1,68260
2007-01-12,4.1,4.1,4.1,4.1,118950
2007-01-15,4.28,4.3,4.28,4.31,103090
2007-01-16,4.47,4.47,4.33,4.33,118640
2007-01-17,4.54,4.54,4.42,4.51,250760
2007-01-18,4.69,4.69,4.69,4.7,128360
2007-01-19,4.93,4.93,4.93,4.92,20170
2007-01-22,5.15,5.15,4.97,4.97,210930
2007-01-23,5.2,5.2,5.2,5.2,93310
2007-01-24,5.43,5.43,5.43,5.43,69680
2007-01-25,5.66,5.66,5.66,5.65,183980
2007-01-26,5.92,5.92,5.65,5.65,223120
2007-01-29,5.92,5.92,5.92,5.93,84300
2007-01-30,6.2,6.2,6.2,6.2,29170
2007-01-31,6.47,6.47,6.47,6.47,61340
2007-02-01,6.79,6.79,6.79,6.79,224840
2007-02-02,6.84,6.84,6.84,6.84,164240
2007-02-05,7.16,7.16,7.16,7.16,119920
2007-02-06,7.48,7.48,7.25,7.48,89790
2007-02-07,7.84,7.84,7.84,7.84,69260
2007-02-08,8.2,8.2,8.2,8.21,48440
2007-02-09,7.8,8.21,7.8,7.8,87630
2007-02-12,8.16,8.16,8.16,8.16,40530
2007-02-13,8.43,8.52,8.43,8.44,72030
2007-02-14,8.85,8.85,8.76,8.85,63570
2007-02-15,9.26,9.26,9.26,9.26,23280
2007-02-26,9.72,9.72,9.58,9.71,5720
2007-02-27,10.17,10.17,10.17,10.17,2480
2007-02-28,10.53,10.67,9.81,10.53,121260
2007-03-01,10.71,11.03,10.53,10.72,86930
2007-03-02,10.72,10.72,10.49,10.49,88360
2007-03-05,10.49,10.99,10.49,10.49,145320
2007-03-06,10.03,10.49,10.03,10.03,82880
2007-03-07,9.57,9.57,9.57,9.58,107770
2007-03-08,10.04,10.04,10.04,10.03,38360
2007-03-09,10.53,10.53,10.35,10.35,108760
2007-03-12,10.85,10.85,10.35,10.35,119500
2007-03-13,10.49,10.49,9.85,10.49,96390
2007-03-14,9.99,10.4,9.99,9.99,24450
2007-03-15,9.58,9.58,9.58,9.58,98750
2007-03-16,10.04,10.04,10.04,10.03,55160
2007-03-19,10.49,10.49,10.03,10.03,73930
2007-03-20,9.98,10.03,9.57,10.03,80300
2007-03-21,9.8,10.03,9.8,9.94,35330
2007-03-22,9.48,9.48,9.48,9.48,34610
2007-03-23,9.12,9.12,9.12,9.12,86420
2007-03-26,9.12,9.12,9.12,9.12,89630
2007-03-27,9.12,9.12,8.89,8.89,102060
2007-03-28,8.48,8.66,8.48,8.66,51140
2007-03-29,9.02,9.07,9.02,9.07,23920
2007-03-30,9.48,9.48,9.48,9.48,88620
2007-04-02,9.48,9.48,9.07,9.39,52120
2007-04-03,9.07,9.07,8.93,9.07,36100
2007-04-04,9.07,9.12,9.07,9.12,26200
2007-04-05,8.89,9.12,8.89,9.12,49130
2007-04-06,8.85,8.85,8.76,8.75,28130
2007-04-09,8.84,9.16,8.84,9.16,45140
2007-04-10,9.11,9.11,9.07,9.07,23050
2007-04-11,8.93,8.93,8.89,8.89,23740
2007-04-12,8.84,8.84,8.66,8.66,32530
2007-04-13,8.66,8.66,8.57,8.57,26670
2007-04-16,8.66,8.66,8.43,8.44,67460
2007-04-17,8.26,8.35,8.26,8.34,31710
2007-04-18,8.48,8.75,8.48,8.75,58150
2007-04-19,9.16,9.16,8.89,8.89,164580
2007-04-20,8.89,8.89,8.89,8.89,65720
2007-04-23,8.89,8.89,8.66,8.66,53720
2007-04-24,8.25,8.25,8.25,8.25,52260
2007-04-25,8.43,8.57,8.43,8.57,41900
2007-05-02,8.66,8.66,8.66,8.66,97710
2007-05-03,8.74,8.8,8.61,8.81,68610
2007-05-04,8.81,8.81,8.49,8.49,18580
2007-05-07,8.36,8.49,8.36,8.49,42520
2007-05-08,8.68,8.88,8.68,8.87,78040
2007-05-09,9.0,9.0,8.68,8.68,70180
2007-05-10,8.68,8.68,8.49,8.49,23540
2007-05-11,8.49,8.68,8.49,8.68,22660
2007-05-14,8.87,8.87,8.81,8.87,46260
2007-05-15,8.87,8.87,8.68,8.68,24300
2007-05-16,8.62,8.62,8.55,8.55,14820
2007-05-17,8.55,8.55,8.49,8.55,24250
2007-05-18,8.55,8.55,8.55,8.55,26280
2007-05-21,8.55,8.55,8.55,8.55,23910
2007-05-22,8.68,8.68,8.68,8.68,39300
2007-05-23,9.07,9.0,8.87,8.87,77370
2007-05-24,8.87,8.87,8.87,8.87,29300
2007-05-25,8.81,8.81,8.48,8.81,18590
2007-05-28,8.75,8.81,8.68,8.68,26680
2007-05-29,8.62,8.62,8.55,8.55,17880
2007-05-30,8.55,8.68,8.55,8.68,29140
2007-05-31,8.68,8.68,8.62,8.61,24150
2007-06-01,8.61,8.61,8.55,8.55,23510
2007-06-04,8.55,8.55,8.55,8.55,16010
2007-06-05,8.49,8.49,8.49,8.49,21930
2007-06-06,8.1,8.36,8.1,8.36,22180
2007-06-07,8.36,8.75,8.36,8.68,72360
2007-06-08,8.68,8.68,8.55,8.55,43430
2007-06-11,8.36,8.55,8.36,8.55,30230
2007-06-12,8.42,8.42,8.42,8.42,19330
2007-06-13,8.42,8.42,8.42,8.42,22300
2007-06-14,8.48,8.48,8.42,8.42,28570
2007-06-15,8.48,8.48,8.36,8.36,14780
2007-06-18,8.42,8.42,8.42,8.42,25830
2007-06-19,8.48,8.55,8.48,8.49,76970
2007-06-20,8.43,8.68,8.43,8.61,75180
2007-06-21,8.61,8.61,8.48,8.49,37820
2007-06-22,8.36,8.36,8.3,8.36,13190
2007-06-25,8.49,8.49,8.36,8.42,28670
2007-06-26,8.68,8.68,8.61,8.61,62270
2007-06-27,8.61,8.61,8.48,8.49,22820
2007-06-28,8.49,8.49,8.43,8.42,9910
2007-06-29,8.36,8.36,8.36,8.36,19200
2007-07-02,8.36,8.36,8.1,8.1,19910
2007-07-03,7.78,7.91,7.78,7.91,18610
2007-07-04,7.91,8.3,7.91,8.29,44440
2007-07-05,8.29,8.29,8.03,8.04,9250
2007-07-06,7.98,8.04,7.98,8.04,27860
2007-07-09,8.04,8.04,8.04,8.04,34970
2007-07-10,8.1,8.23,8.1,8.23,14070
2007-07-11,8.23,8.23,8.1,8.1,26110
2007-07-12,8.1,8.1,8.04,8.04,15400
2007-07-13,8.04,8.04,7.98,8.04,16980
2007-07-16,7.98,7.98,7.72,7.71,30150
2007-07-17,7.84,7.97,7.84,7.97,19950
2007-07-18,7.97,7.97,7.97,7.97,11670
2007-07-19,7.84,7.91,7.84,7.91,22470
2007-07-20,7.91,7.91,7.85,7.84,30820
2007-07-23,7.9,7.97,7.9,7.97,20970
2007-07-24,7.91,7.91,7.91,7.91,19000
2007-07-25,7.91,7.91,7.91,7.91,26780
2007-07-26,7.91,7.91,7.85,7.84,19620
2007-07-27,7.78,7.78,7.71,7.71,18670
2007-07-30,7.65,7.65,7.52,7.65,9340
2007-07-31,7.46,7.59,7.33,7.59,39070
2007-08-01,7.59,7.78,7.59,7.65,16930
2007-08-02,7.71,7.97,7.71,7.97,77360
2007-08-03,8.16,8.16,7.97,8.16,114960
2007-08-06,8.16,8.16,8.1,8.16,57000
2007-08-07,8.03,8.16,8.03,8.16,15110
2007-08-08,8.03,8.16,8.03,8.16,32640
2007-08-09,8.35,8.55,8.22,8.55,98950
2007-08-10,8.68,8.68,8.36,8.68,125890
2007-08-13,8.49,8.49,8.36,8.42,15220
2007-08-14,8.48,8.55,8.36,8.42,16100
2007-08-15,8.23,8.36,8.23,8.29,13720
2007-08-16,8.29,8.29,8.23,8.23,10300
2007-08-17,8.04,8.1,8.04,8.1,11240
2007-08-20,8.23,8.23,8.1,8.16,12390
2007-08-21,8.16,8.35,8.16,8.29,32190
2007-08-22,8.23,8.23,8.1,8.1,6690
2007-08-23,8.16,8.16,8.16,8.16,11040
2007-08-24,8.16,8.55,8.16,8.55,89890
2007-08-27,8.36,8.36,8.36,8.36,6320
2007-08-28,8.42,8.62,8.36,8.61,95590
2007-08-29,8.35,8.48,8.35,8.49,10120
2007-08-30,8.49,8.55,8.49,8.49,5000
2007-08-31,8.49,8.49,8.36,8.36,46350
2007-09-04,8.49,8.55,8.49,8.49,7760
2007-09-05,8.55,8.55,8.43,8.42,26890
2007-09-06,8.36,8.48,8.36,8.49,6220
2007-09-07,8.49,8.49,8.36,8.49,8750
2007-09-10,8.36,8.43,8.36,8.42,6130
2007-09-11,8.36,8.36,8.29,8.29,9070
2007-09-12,8.23,8.35,8.23,8.29,5050
2007-09-13,8.29,8.29,8.23,8.23,5980
2007-09-14,8.36,8.36,8.29,8.29,5310
2007-09-17,8.23,8.23,8.23,8.23,4490
2007-09-18,8.23,8.29,8.23,8.23,15510
2007-09-19,8.17,8.23,8.17,8.23,17130
2007-09-20,8.23,8.29,8.23,8.23,21850
2007-09-21,8.23,8.29,8.23,8.23,15160
2007-09-24,8.17,8.23,8.17,8.23,16020
2007-09-25,8.55,8.62,8.36,8.55,41400
2007-09-26,8.87,8.87,8.68,8.68,48250
2007-09-27,8.68,8.68,8.49,8.55,17610
2007-09-28,8.68,8.68,8.55,8.61,32280
2007-10-01,8.87,9.0,8.8,9.0,82990
2007-10-02,9.26,9.26,9.0,9.19,50510
2007-10-03,9.19,9.19,8.93,9.13,37340
2007-10-04,9.13,9.13,8.87,8.87,28270
2007-10-05,8.61,8.81,8.61,8.81,26850
2007-10-08,8.94,8.94,8.81,8.81,20630
2007-10-09,8.81,8.81,8.75,8.74,19720
2007-10-10,8.68,8.74,8.68,8.68,25820
2007-10-11,8.74,8.81,8.68,8.68,43140
2007-10-12,8.68,8.68,8.62,8.61,60610
2007-10-15,8.61,8.67,8.55,8.55,64080
2007-10-16,8.55,8.81,8.55,8.68,141710
2007-10-17,9.0,9.07,8.94,9.06,141180
2007-10-18,9.38,9.38,9.0,9.0,117480
2007-10-19,8.87,8.87,8.68,8.87,68340
2007-10-22,8.87,8.87,8.74,8.74,31810
2007-10-23,8.74,8.74,8.68,8.68,36340
2007-10-24,8.62,8.81,8.62,8.74,61000
2007-10-25,8.93,8.93,8.74,8.74,77990
2007-10-26,8.74,8.8,8.68,8.68,52260
2007-10-29,8.62,8.68,8.55,8.55,34000
2007-10-30,8.68,8.87,8.68,8.87,74450
2007-10-31,8.87,8.87,8.74,8.87,102410
2007-11-01,8.87,8.87,8.74,8.81,79950
2007-11-02,8.62,8.75,8.62,8.68,19440
2007-11-05,8.62,8.62,8.55,8.55,18730
2007-11-06,8.68,8.68,8.49,8.49,39340
2007-11-07,8.49,8.49,8.36,8.49,22790
2007-11-08,8.49,8.55,8.43,8.42,10610
2007-11-09,8.29,8.42,8.29,8.29,16350
2007-11-12,8.23,8.29,8.16,8.23,27720
2007-11-13,8.1,8.17,7.84,7.91,43210
2007-11-14,8.3,8.3,8.23,8.29,26200
2007-11-15,8.1,8.35,8.1,8.23,28330
2007-11-16,8.23,8.29,8.1,8.23,27380
2007-11-19,8.23,8.23,8.04,8.1,6160
2007-11-20,8.04,8.04,8.04,8.04,27000
