date,open,high,low,close,volume
2010-07-26,15.11,15.11,13.8,14.34,527880
2010-07-27,14.49,14.49,13.65,14.5,215010
2010-07-28,13.96,14.96,13.96,14.96,204360
2010-07-29,14.96,14.96,14.35,14.34,218080
2010-07-30,14.26,14.72,13.65,14.73,186020
2010-08-02,14.73,14.73,14.58,14.73,138570
2010-08-03,14.73,14.73,14.04,14.04,47650
2010-08-04,14.42,14.58,13.35,13.35,64780
2010-08-05,13.66,13.66,13.35,13.35,87160
2010-08-06,13.73,13.81,13.12,13.5,123310
2010-08-09,13.73,13.73,12.89,13.04,78960
2010-08-10,12.73,13.04,12.43,12.43,183050
2010-08-11,12.43,13.04,12.43,13.04,224160
2010-08-12,13.04,13.5,12.5,13.5,391780
2010-08-13,13.58,13.96,13.04,13.96,208460
2010-08-16,14.27,14.42,13.81,14.42,176600
2010-08-17,14.42,14.73,13.81,14.5,144620
2010-08-18,14.5,14.58,13.81,13.81,132960
2010-08-19,13.96,13.96,13.2,13.73,68990
2010-08-20,13.81,13.81,13.12,13.81,100900
2010-08-23,13.81,13.81,13.12,13.12,54680
2010-08-24,13.27,13.43,12.51,13.19,113720
2010-08-25,13.19,13.19,12.58,12.96,160770
2010-08-26,13.57,13.57,12.65,13.04,133590
2010-08-27,13.04,13.04,12.58,12.89,49200
2010-08-30,13.04,13.27,12.66,12.81,144670
2010-08-31,12.89,12.89,12.73,12.73,70170
2010-09-01,12.58,12.73,12.27,12.27,53080
2010-09-06,12.73,12.88,12.58,12.89,75010
2010-09-07,12.89,13.2,12.89,13.12,47060
2010-09-08,12.66,13.12,12.51,13.12,61820
2010-09-09,13.12,13.12,12.66,12.66,49330
2010-09-10,12.58,12.89,12.2,12.2,98740
2010-09-13,11.97,12.74,11.97,12.43,189270
2010-09-14,12.81,12.81,12.2,12.5,153980
2010-09-15,12.58,12.58,12.19,12.35,232550
2010-09-16,12.5,12.5,12.2,12.43,44900
2010-09-17,12.28,12.66,12.28,12.58,26760
2010-09-20,12.66,12.96,12.35,12.58,70500
2010-09-21,12.58,12.58,12.27,12.5,94940
2010-09-22,12.5,12.65,12.42,12.58,121740
2010-09-23,12.66,12.66,12.27,12.35,103120
2010-09-24,12.27,12.96,12.27,12.96,1398630
2010-09-27,13.27,13.42,12.96,13.19,254700
2010-09-28,13.19,13.34,12.65,12.66,192580
2010-09-29,12.66,12.81,12.66,12.81,81210
2010-09-30,12.66,12.89,12.2,12.27,284370
2010-10-01,12.42,12.42,11.81,11.81,119750
2010-10-04,11.81,11.81,10.81,10.99,73620
2010-10-05,10.57,10.91,10.49,10.57,175890
2010-10-06,10.9,11.07,10.74,11.07,81050
2010-10-07,11.07,11.57,11.07,11.32,124200
2010-10-08,11.49,11.49,11.07,11.41,69110
2010-10-11,11.24,11.41,11.24,11.41,35770
2010-10-12,11.16,11.24,10.99,11.24,49890
2010-10-13,11.07,11.24,11.07,11.07,35740
2010-10-14,11.07,11.32,11.07,11.24,96410
2010-10-15,11.16,11.16,11.07,11.07,25010
2010-10-18,11.07,11.24,10.99,11.07,65330
2010-10-19,11.07,11.07,10.57,11.07,67210
2010-10-20,10.82,10.82,10.57,10.82,150760
2010-10-21,10.49,10.82,10.49,10.49,68500
2010-10-22,9.99,10.49,9.99,10.24,55760
2010-10-25,10.49,10.74,9.99,10.57,204560
2010-10-26,10.74,11.07,10.07,10.82,110830
2010-10-27,11.07,11.24,10.32,10.82,158410
2010-10-28,10.99,11.07,10.4,11.07,110150
2010-10-29,10.9,11.24,10.82,11.07,313400
2010-11-01,10.99,10.99,10.74,10.74,20610
2010-11-02,10.74,10.74,10.32,10.66,7310
2010-11-03,10.49,10.49,10.24,10.24,35420
2010-11-04,10.41,10.74,10.41,10.66,69080
2010-11-05,10.58,10.66,10.58,10.57,32860
2010-11-08,10.4,10.74,10.15,10.16,185430
2010-11-09,10.49,10.49,9.99,10.41,80710
2010-11-10,10.58,10.58,10.24,10.41,60950
2010-11-11,10.33,10.58,10.24,10.24,11240
2010-11-12,10.32,10.32,9.74,9.82,23440
2010-11-15,9.9,9.9,9.49,9.49,6850
2010-11-16,9.16,9.74,9.16,9.49,13820
2010-11-17,9.32,9.66,9.16,9.16,31090
2010-11-18,9.49,9.58,8.99,9.49,49370
2010-11-19,9.74,9.74,9.49,9.57,38000
2010-11-22,9.15,9.65,9.15,9.32,2660
2010-11-23,9.49,9.49,9.32,9.32,21800
2010-11-24,9.49,9.49,9.32,9.32,31040
2010-11-25,9.57,9.57,9.4,9.57,10650
2010-11-26,9.57,9.57,9.24,9.24,33200
2010-11-29,9.41,9.49,9.16,9.49,52400
2010-11-30,9.82,9.91,9.57,9.82,52640
2010-12-01,9.82,9.82,9.57,9.82,5550
2010-12-02,9.82,10.24,9.74,10.24,105590
2010-12-03,10.74,10.74,10.74,10.74,656430
2010-12-06,11.24,11.24,11.24,11.24,534050
2010-12-07,11.74,11.74,11.66,11.74,737220
2010-12-08,11.24,11.99,11.16,11.16,201790
2010-12-09,10.66,11.24,10.66,10.66,416880
2010-12-10,10.99,11.16,10.49,11.16,423110
2010-12-13,11.58,11.66,11.08,11.07,552920
2010-12-14,10.74,10.99,10.57,10.57,307740
2010-12-15,10.4,10.57,10.07,10.07,285400
2010-12-16,9.65,10.15,9.65,9.66,267250
2010-12-17,10.08,10.08,9.66,10.07,299590
2010-12-20,10.4,10.49,10.15,10.16,307670
2010-12-21,9.99,10.16,9.66,10.07,171440
2010-12-22,10.24,10.24,9.82,9.82,55440
2010-12-23,9.65,9.74,9.49,9.49,294140
2010-12-24,9.41,9.57,9.24,9.24,89100
2010-12-27,9.24,9.41,9.16,9.32,64690
2010-12-28,9.57,9.74,9.32,9.74,129580
2010-12-29,9.82,9.99,9.49,9.49,127970
2010-12-30,9.41,9.57,9.24,9.24,95150
2010-12-31,9.32,9.66,9.32,9.66,148900
2011-01-04,10.08,10.08,9.99,10.07,290230
2011-01-05,10.4,10.4,9.99,9.99,536260
2011-01-06,9.82,9.99,9.66,9.82,64120
2011-01-07,9.74,9.9,9.65,9.66,132530
2011-01-10,9.58,9.66,9.41,9.49,164860
2011-01-11,9.57,9.57,9.24,9.24,169370
2011-01-12,9.32,9.57,9.32,9.41,133160
2011-01-13,9.66,9.74,9.41,9.66,127430
2011-01-14,9.83,9.83,9.49,9.74,80350
2011-01-17,9.74,9.82,9.57,9.57,213100
2011-01-18,9.65,9.65,9.4,9.41,84570
2011-01-19,9.41,9.66,9.41,9.57,92340
2011-01-20,9.49,9.65,9.4,9.41,23330
2011-01-21,9.41,9.58,9.33,9.32,150280
2011-01-24,9.4,9.4,9.15,9.16,171310
2011-01-25,9.16,9.24,8.99,8.99,79230
2011-01-26,9.24,9.24,8.99,9.24,22280
2011-01-27,9.24,9.41,9.24,9.41,208120
2011-01-28,9.16,9.33,8.99,8.99,375400
2011-02-08,9.07,9.16,8.99,8.99,239870
2011-02-09,8.99,9.07,8.82,8.99,57270
2011-02-10,8.91,8.91,8.82,8.82,47820
2011-02-11,8.82,8.9,8.65,8.74,87950
2011-02-14,8.66,8.82,8.57,8.57,67510
2011-02-15,8.57,8.65,8.4,8.49,44190
2011-02-16,8.49,8.49,8.24,8.33,101020
2011-02-17,8.33,8.33,8.0,8.08,106450
2011-02-18,8.0,8.25,7.91,7.91,93490
2011-02-21,7.66,7.66,7.58,7.58,64570
2011-02-22,7.25,7.33,7.25,7.24,208310
2011-02-23,7.32,7.49,7.16,7.24,199640
2011-02-24,7.07,7.24,6.91,7.24,142950
2011-02-25,7.24,7.32,7.16,7.33,97150
2011-02-28,7.16,7.41,7.08,7.08,63180
2011-03-01,7.08,7.16,6.75,7.08,153750
2011-03-02,7.0,7.0,6.75,6.74,219950
2011-03-03,6.49,6.66,6.41,6.41,141830
2011-03-04,6.41,6.49,6.24,6.41,64470
2011-03-07,6.41,6.41,6.24,6.41,85980
2011-03-08,6.33,6.49,6.16,6.16,74860
2011-03-09,5.99,5.99,5.91,5.91,121890
2011-03-10,6.16,6.16,6.16,6.16,57960
2011-03-11,6.41,6.41,6.41,6.41,30880
2011-03-14,6.66,6.66,6.33,6.33,177710
2011-03-15,6.25,6.5,6.25,6.41,39820
2011-03-16,6.33,6.49,6.24,6.41,53630
2011-03-17,6.33,6.49,6.24,6.33,44640
2011-03-18,6.41,6.58,6.25,6.58,100400
2011-03-21,6.66,6.75,6.58,6.66,103660
2011-03-22,6.66,6.66,6.41,6.41,93580
2011-03-23,6.49,6.49,6.33,6.41,34400
2011-03-24,6.49,6.49,6.33,6.33,53970
2011-03-25,6.41,6.41,6.16,6.16,77350
2011-03-28,6.33,6.41,6.33,6.41,195490
2011-03-29,6.41,6.49,6.33,6.33,74770
2011-03-30,6.16,6.33,6.16,6.24,168230
2011-03-31,6.32,6.32,6.24,6.24,54180
2011-04-01,6.32,6.41,6.24,6.24,41350
2011-04-04,6.32,6.32,6.24,6.24,56800
2011-04-05,6.32,6.32,6.16,6.33,39670
2011-04-06,6.41,6.5,6.41,6.49,87850
2011-04-07,6.49,6.57,6.41,6.49,116810
2011-04-08,6.49,6.49,6.41,6.49,26680
2011-04-13,6.49,6.49,6.32,6.41,20970
