date,open,high,low,close,volume
2009-08-11,7.27,7.27,5.69,6.37,118500
2009-08-12,6.06,6.42,5.89,6.06,30600
2009-08-13,5.87,5.87,5.79,5.79,58100
2009-08-14,5.4,5.86,5.4,5.84,72400
2009-08-17,5.69,5.89,5.69,5.89,36800
2009-08-18,5.82,6.01,5.82,5.86,25500
2009-08-19,5.86,5.86,5.57,5.7,20500
2009-08-20,5.72,5.72,5.58,5.57,20600
2009-08-21,5.69,5.74,5.57,5.6,35200
2009-08-24,5.7,5.7,5.48,5.57,26700
2009-08-25,5.55,5.55,5.35,5.43,12500
2009-08-26,5.45,5.7,5.45,5.57,35100
2009-08-27,5.62,5.62,5.57,5.57,20900
2009-08-28,5.69,5.79,5.59,5.79,49000
2009-08-31,5.94,6.03,5.81,6.03,83200
2009-09-01,6.2,6.2,5.96,6.06,45900
2009-09-03,6.04,6.11,5.82,6.03,34800
2009-09-04,5.98,6.05,5.86,5.99,30300
2009-09-07,5.77,5.99,5.58,5.84,17800
2009-09-08,6.16,6.16,5.77,5.82,48200
2009-09-09,6.04,6.04,5.82,5.86,21400
2009-09-10,6.05,6.17,5.86,5.99,36600
2009-09-11,5.97,6.06,5.97,6.06,64700
2009-09-14,6.06,6.06,5.99,6.01,35100
2009-09-15,6.45,6.45,5.91,5.91,22400
2009-09-16,6.01,6.01,5.79,5.79,13500
2009-09-17,5.74,5.77,5.45,5.45,29300
2009-09-18,5.62,5.81,5.62,5.77,18400
2009-09-21,5.79,5.82,5.75,5.74,20900
2009-09-22,5.79,5.84,5.59,5.7,30700
2009-09-23,5.94,5.94,5.58,5.7,20400
2009-09-24,5.68,5.8,5.6,5.77,17200
2009-09-25,5.7,5.79,5.65,5.77,12200
2009-09-28,5.7,5.82,5.58,5.82,40400
2009-09-29,5.82,5.92,5.75,5.91,36300
2009-09-30,5.84,6.22,5.84,6.23,251900
2009-10-01,6.5,6.5,6.42,6.5,157100
2009-10-02,6.5,6.5,6.06,6.45,105500
2009-10-05,6.3,6.3,6.11,6.11,36200
2009-10-06,6.11,6.3,5.87,6.23,91000
2009-10-07,6.3,6.4,6.21,6.25,93000
2009-10-08,6.73,6.76,6.37,6.76,224100
2009-10-09,7.1,7.1,6.64,6.64,80300
2009-10-12,7.27,7.27,6.81,7.25,224300
2009-10-13,7.25,7.27,7.03,7.03,79300
2009-10-14,7.03,7.03,6.74,6.96,83000
2009-10-15,7.28,7.32,6.94,6.98,91900
2009-10-16,7.08,7.15,6.64,6.74,71500
2009-10-19,6.67,6.79,6.35,6.74,84700
2009-10-20,6.67,6.91,6.67,6.79,135800
2009-10-21,7.03,7.03,6.79,6.86,93700
2009-10-22,6.86,7.32,6.86,7.32,279700
2009-10-23,7.71,7.71,7.42,7.71,438300
2009-10-26,8.22,8.22,7.88,8.22,142800
2009-10-27,8.73,8.78,7.66,7.78,280600
2009-10-28,7.85,7.95,7.42,7.42,103200
2009-10-29,6.98,6.98,6.98,6.98,42700
2009-10-30,7.15,7.42,6.79,7.32,136800
2009-11-02,6.79,6.91,6.79,6.79,89800
2009-11-03,6.55,6.77,6.33,6.33,93400
2009-11-04,6.38,6.79,6.06,6.4,69100
2009-11-05,6.55,6.88,6.5,6.88,78700
2009-11-06,7.03,7.03,6.54,6.64,62300
2009-11-09,6.66,6.93,6.25,6.4,118900
2009-11-10,6.79,6.79,6.21,6.5,55400
2009-11-11,6.55,6.6,6.45,6.52,55300
2009-11-12,6.57,6.62,6.5,6.54,20500
2009-11-13,6.3,6.54,6.1,6.4,18800
2009-11-16,6.38,6.64,6.3,6.4,34900
2009-11-17,6.67,6.67,6.33,6.37,22000
2009-11-18,6.3,6.47,6.25,6.47,27600
2009-11-19,6.57,6.57,6.32,6.37,28500
2009-11-20,6.44,6.44,6.27,6.4,26600
2009-11-23,6.3,6.3,6.18,6.2,22000
2009-11-24,6.15,6.15,5.96,6.06,13300
2009-11-25,5.94,5.94,5.67,5.67,35200
2009-11-26,5.28,5.28,5.28,5.28,27400
2009-11-27,4.92,5.57,4.92,4.97,52300
2009-11-30,5.29,5.43,5.09,5.43,52600
2009-12-01,5.58,5.67,5.58,5.67,34100
2009-12-02,5.65,5.67,5.26,5.33,31100
2009-12-03,5.67,5.67,5.21,5.53,14700
2009-12-04,5.21,5.34,5.12,5.33,6000
2009-12-07,5.33,5.33,5.26,5.31,18400
2009-12-08,5.09,5.21,4.97,5.09,12400
2009-12-09,4.85,4.85,4.73,4.8,45000
2009-12-10,4.61,4.85,4.58,4.6,30800
2009-12-11,4.43,4.45,4.33,4.34,57400
2009-12-14,4.36,4.49,4.24,4.48,31800
2009-12-15,4.48,4.48,4.36,4.36,29200
2009-12-16,4.17,4.17,4.07,4.14,22600
2009-12-17,3.9,3.99,3.85,4.0,30500
2009-12-18,4.15,4.15,4.12,4.14,36100
2009-12-21,4.41,4.41,4.19,4.41,21600
2009-12-22,4.58,4.58,4.36,4.36,16800
2009-12-23,4.46,4.46,4.31,4.36,12500
2009-12-24,4.36,4.48,4.26,4.48,30500
2009-12-25,4.46,4.65,4.46,4.65,59100
2009-12-28,4.63,4.63,4.38,4.6,13800
2009-12-29,4.79,4.82,4.58,4.58,5100
2009-12-30,4.6,4.94,4.6,4.94,52300
2009-12-31,4.96,5.04,4.77,4.97,37300
2010-01-04,5.21,5.29,5.12,5.28,54300
2010-01-05,5.57,5.64,5.47,5.5,72700
2010-01-06,5.26,5.57,5.21,5.21,29100
2010-01-07,4.94,5.09,4.94,4.94,74400
2010-01-08,5.09,5.25,4.72,4.97,26600
2010-01-11,5.09,5.09,4.7,4.94,19200
2010-01-12,4.84,4.84,4.53,4.63,17300
2010-01-13,4.39,4.85,4.36,4.75,31500
2010-01-14,4.92,4.92,4.73,4.73,19900
2010-01-15,4.92,4.97,4.66,4.65,23300
2010-01-18,4.63,4.65,4.5,4.56,25600
2010-01-19,4.73,4.85,4.61,4.73,17400
2010-01-20,5.0,5.02,4.63,4.63,19400
2010-01-21,4.61,4.61,4.44,4.44,28300
2010-01-22,4.37,4.49,4.32,4.44,21900
2010-01-25,4.59,4.67,4.41,4.64,12400
2010-01-26,4.87,4.92,4.69,4.92,22700
2010-01-27,5.1,5.1,4.54,4.54,14700
2010-01-28,4.34,4.59,4.34,4.38,4200
2010-01-29,4.58,4.71,4.46,4.46,9700
2010-02-01,4.56,4.56,4.49,4.49,7500
2010-02-02,4.54,4.57,4.44,4.43,2100
2010-02-03,4.74,4.74,4.53,4.59,3100
2010-02-04,4.72,4.72,4.62,4.61,14800
2010-02-05,4.46,4.56,4.38,4.56,5200
2010-02-08,4.38,4.64,4.38,4.38,12100
2010-02-09,4.58,4.58,4.33,4.36,10000
2010-02-10,4.13,4.59,4.13,4.46,5400
2010-02-11,4.64,4.64,4.46,4.61,2900
2010-02-12,4.64,4.79,4.64,4.79,200
2010-02-22,4.84,4.84,4.59,4.69,2800
2010-02-23,4.61,4.61,4.46,4.49,17100
2010-02-24,4.52,4.54,4.46,4.51,12900
2010-02-25,4.56,4.56,4.43,4.56,2800
2010-02-26,4.51,4.53,4.51,4.51,4000
2010-03-01,4.54,4.56,4.51,4.51,6100
2010-03-02,4.46,4.59,4.46,4.59,3000
2010-03-03,4.56,4.56,4.49,4.56,10700
2010-03-04,4.66,4.66,4.51,4.51,14900
2010-03-05,4.56,4.61,4.56,4.59,16000
2010-03-08,4.62,4.84,4.62,4.72,26900
2010-03-09,4.75,4.75,4.67,4.72,14200
2010-03-10,4.77,4.77,4.67,4.66,17900
2010-03-11,4.79,4.97,4.63,4.97,43400
2010-03-12,4.89,5.2,4.84,5.2,135700
2010-03-15,5.33,5.35,5.1,5.2,34600
2010-03-16,5.2,5.23,4.84,4.97,25000
2010-03-17,5.07,5.07,4.74,4.77,16900
2010-03-18,4.87,4.9,4.69,4.84,39700
2010-03-19,4.89,4.89,4.66,4.66,26800
2010-03-22,4.76,4.76,4.61,4.72,18200
2010-03-23,4.75,4.8,4.67,4.69,27200
2010-03-24,4.79,4.82,4.72,4.79,18200
2010-03-25,4.84,4.84,4.46,4.64,24600
2010-03-26,4.64,4.64,4.59,4.59,6000
2010-03-29,4.67,4.67,4.59,4.59,11500
2010-03-30,4.72,4.72,4.49,4.61,31300
2010-03-31,4.61,4.61,4.46,4.46,8700
2010-04-01,4.56,4.59,4.33,4.54,39900
2010-04-02,4.49,4.51,4.46,4.51,12000
2010-04-05,4.54,4.54,4.33,4.46,51900
2010-04-06,4.46,4.54,4.33,4.33,114600
2010-04-07,4.46,4.53,4.36,4.54,94400
2010-04-08,4.57,4.77,4.57,4.77,107600
2010-04-09,4.97,5.08,4.97,5.05,180000
2010-04-12,4.85,5.08,4.74,4.77,83000
2010-04-13,4.77,4.77,4.57,4.59,34400
2010-04-14,4.77,4.77,4.59,4.64,160000
2010-04-15,4.79,4.92,4.67,4.77,43700
2010-04-16,4.97,5.08,4.92,5.05,205000
2010-04-19,5.38,5.38,5.1,5.38,314400
2010-04-20,5.38,5.74,5.23,5.73,196000
2010-04-21,6.06,6.06,6.06,6.07,106100
2010-04-22,6.48,6.48,5.66,5.84,352500
2010-04-26,5.87,5.99,5.74,5.73,48700
2010-04-27,5.4,5.7,5.37,5.61,217200
2010-04-28,5.58,5.87,5.58,5.86,289300
2010-04-29,6.19,6.19,5.76,5.99,143000
2010-05-04,6.19,6.32,6.19,6.32,143400
2010-05-05,6.65,6.75,5.99,6.14,196100
2010-05-06,6.22,6.32,5.91,6.24,227700
2010-05-07,6.04,6.09,5.68,5.86,179800
2010-05-10,5.81,5.81,5.5,5.63,186000
2010-05-11,5.91,5.99,5.73,5.81,180900
2010-05-12,5.56,5.66,5.5,5.51,152300
2010-05-13,5.61,5.74,5.31,5.35,36900
2010-05-14,5.6,5.71,5.6,5.71,90400
2010-05-17,5.71,5.71,5.48,5.56,20200
2010-05-18,5.28,5.56,5.25,5.38,61300
2010-05-19,5.35,5.35,5.07,5.1,160800
2010-05-20,5.1,5.33,4.77,5.3,62600
2010-05-21,5.1,5.1,4.76,4.77,116800
2010-05-24,4.87,5.09,4.87,5.09,59000
2010-05-25,5.06,5.25,4.93,5.06,16200
2010-05-26,5.22,5.32,5.06,5.12,107100
2010-05-27,5.25,5.28,5.18,5.28,47800
