date,open,high,low,close,volume
2018-10-18,9.0,9.0,9.0,9.0,1800
2018-10-19,9.62,9.62,9.62,9.62,2200
2018-10-22,10.28,10.28,10.28,10.28,2800
2018-10-23,11.0,11.0,11.0,11.0,3200
2018-10-24,11.75,11.75,11.75,11.75,3700
2018-10-25,12.56,12.56,12.56,12.56,800
2018-10-26,13.43,13.43,13.43,13.44,19500
2018-10-29,14.38,14.38,14.38,14.38,11200
2018-10-30,15.38,15.38,15.38,15.38,10200
2018-10-31,16.44,16.44,16.44,16.44,10500
2018-11-01,17.57,17.57,17.57,17.56,13610
2018-11-02,18.78,18.78,18.78,18.78,16600
2018-11-05,20.09,20.09,20.09,20.09,38600
2018-11-06,21.5,21.5,21.5,21.5,86870
2018-11-07,23.0,23.0,22.97,22.97,358700
2018-11-08,22.5,22.69,22.31,22.69,77250
2018-11-09,22.19,22.66,21.75,22.19,94040
2018-11-12,22.06,23.5,22.06,23.12,110590
2018-11-13,22.62,23.12,22.53,22.66,103310
2018-11-14,22.38,23.75,22.32,22.56,94280
2018-11-15,22.44,22.81,21.87,22.31,122210
2018-11-16,22.12,22.93,22.12,22.94,73460
2018-11-19,22.63,23.25,22.53,22.81,80460
2018-11-20,22.37,22.93,22.31,22.56,76790
2018-11-21,22.06,22.5,21.94,22.19,77530
2018-11-22,22.19,23.13,22.06,22.75,84560
2018-11-23,22.56,23.5,22.38,22.88,112660
2018-11-26,22.69,23.47,22.63,23.44,127760
2018-11-27,23.63,24.75,23.06,23.81,114620
2018-11-28,23.44,23.87,23.0,23.69,135880
2018-11-29,23.31,23.75,22.94,23.19,124920
2018-11-30,23.06,23.13,22.66,23.09,100060
2018-12-03,22.81,24.34,22.81,24.06,107730
2018-12-04,24.06,24.25,23.44,23.69,89790
2018-12-05,23.44,23.75,23.25,23.47,93080
2018-12-06,23.44,23.5,23.0,23.25,85200
2018-12-07,22.94,23.31,22.75,23.28,90240
2018-12-10,22.97,23.12,22.75,22.97,86510
2018-12-11,22.75,22.97,22.69,22.88,80490
2018-12-12,22.82,22.91,22.5,22.88,75340
2018-12-13,22.88,23.01,22.79,22.94,81630
2018-12-14,22.81,22.85,22.69,22.84,81190
2018-12-17,22.78,22.9,22.65,22.84,87800
2018-12-18,22.75,22.93,22.62,22.84,84140
2018-12-19,22.68,22.75,22.53,22.75,97400
2018-12-20,22.62,22.78,22.62,22.75,77710
2018-12-21,22.69,22.69,22.5,22.66,75730
2018-12-24,22.53,22.63,22.5,22.59,75900
2018-12-25,22.43,22.5,22.31,22.5,84100
2018-12-26,22.38,22.56,22.38,22.53,76440
2018-12-27,22.5,22.75,22.47,22.75,76750
2018-12-28,22.81,23.03,22.69,23.0,80510
2019-01-02,22.88,23.09,22.88,23.03,82010
2019-01-03,22.81,23.03,22.81,22.81,60760
2019-01-04,22.69,22.9,22.56,22.84,70050
2019-01-07,22.81,22.93,22.56,22.84,70500
2019-01-08,22.75,22.81,22.62,22.78,75200
2019-01-09,22.69,22.87,22.69,22.81,71590
2019-01-10,22.75,22.84,22.72,22.81,70860
2019-01-11,22.72,23.0,22.72,23.0,85050
2019-01-14,23.31,23.78,23.31,23.75,104820
2019-01-15,23.94,24.44,23.75,24.44,119310
2019-01-16,24.63,25.0,24.38,24.97,124630
2019-01-17,25.0,25.44,24.75,25.31,122790
2019-01-18,25.34,25.59,25.09,25.44,121470
2019-01-21,25.31,25.57,24.97,25.44,113860
2019-01-22,25.47,25.53,25.19,25.5,112650
2019-01-23,25.38,25.56,25.0,25.44,105780
2019-01-24,25.31,25.53,25.19,25.44,81490
2019-01-25,25.38,25.47,25.31,25.38,64780
2019-01-28,25.35,25.41,25.32,25.38,48050
2019-01-29,25.32,25.38,25.19,25.34,46870
2019-01-30,25.25,25.34,25.18,25.34,39500
2019-01-31,25.28,25.34,25.25,25.31,18760
2019-02-01,25.28,26.43,25.12,25.31,22570
2019-02-11,25.5,26.25,25.5,25.94,14780
2019-02-12,26.25,27.5,26.25,26.56,18270
2019-02-13,26.87,26.87,26.62,26.81,25380
2019-02-14,26.62,26.87,26.62,26.84,24060
2019-02-15,26.68,26.84,26.62,26.81,16440
2019-02-18,26.69,26.87,26.56,26.81,35190
2019-02-19,26.75,26.87,26.62,26.84,34340
2019-02-20,26.81,26.84,26.68,26.78,12120
2019-02-21,26.78,26.78,24.94,26.78,9250
2019-02-22,26.78,26.78,26.37,26.69,14400
2019-02-25,26.38,26.41,26.06,26.41,14590
2019-02-26,26.25,26.25,25.94,26.06,20080
2019-02-27,25.87,26.0,24.25,25.62,36100
2019-02-28,25.18,25.46,25.15,25.34,42140
2019-03-01,25.09,25.46,25.09,25.38,52860
2019-03-04,25.13,25.38,24.75,25.31,79300
2019-03-05,25.25,25.75,25.19,25.75,150770
2019-03-06,25.81,26.5,25.5,26.5,163380
2019-03-07,26.56,27.38,26.38,27.38,197560
2019-03-08,27.51,28.13,27.19,28.0,200670
2019-03-11,27.62,28.0,27.44,27.81,133490
2019-03-12,27.72,27.87,27.72,27.84,111290
2019-03-13,27.62,27.87,27.62,27.84,118630
2019-03-14,27.68,27.87,27.59,27.84,106830
2019-03-15,27.84,27.84,27.68,27.75,71850
2019-03-18,27.62,27.78,27.59,27.78,92200
2019-03-19,27.78,27.81,27.44,27.44,104580
2019-03-20,27.31,27.31,27.16,27.19,71980
2019-03-21,27.19,27.22,27.1,27.16,61100
2019-03-22,27.16,27.19,27.1,27.16,56650
2019-03-25,27.0,27.07,26.82,26.88,55670
2019-03-26,26.5,26.82,26.44,26.44,44890
2019-03-27,26.31,26.5,26.31,26.47,57350
2019-03-28,26.25,26.56,26.19,26.44,51630
2019-03-29,26.88,27.47,26.88,27.47,93560
2019-04-01,27.5,27.72,27.44,27.72,61150
2019-04-02,27.72,27.81,27.72,27.72,62180
2019-04-03,27.63,27.69,27.41,27.44,59160
2019-04-04,27.35,27.47,27.22,27.41,52800
2019-04-05,27.32,27.47,27.28,27.38,35780
2019-04-08,27.19,27.19,26.88,26.88,34140
2019-04-09,26.88,26.88,26.44,26.59,45380
2019-04-10,26.4,26.5,26.34,26.47,37680
2019-04-11,26.38,26.53,26.38,26.5,36720
2019-04-12,26.41,26.5,26.34,26.47,44210
