date,open,high,low,close,volume
2002-01-02,3.63,3.63,3.63,3.63,8400
2002-01-04,3.7,3.7,3.7,3.69,9500
2002-01-07,3.76,3.76,3.76,3.76,14000
2002-01-09,3.83,3.83,3.83,3.83,7900
2002-01-11,3.91,3.91,3.91,3.9,19800
2002-01-14,3.9,3.9,3.9,3.9,2000
2002-01-16,3.82,3.82,3.82,3.83,300
2002-01-18,3.75,3.75,3.75,3.75,100
2002-01-21,3.75,3.75,3.75,3.75,8000
2002-01-23,3.75,3.75,3.75,3.75,13400
2002-01-25,3.75,3.75,3.75,3.75,17600
2002-01-28,3.82,3.82,3.82,3.82,8000
2002-01-30,3.82,3.82,3.82,3.82,14700
2002-02-01,3.74,3.74,3.74,3.74,400
2002-02-04,3.74,3.74,3.74,3.74,100
2002-02-06,3.67,3.67,3.67,3.67,1500
2002-02-08,3.74,3.74,3.74,3.74,4100
2002-02-18,3.74,3.74,3.74,3.74,1100
2002-02-20,3.67,3.67,3.67,3.67,4200
2002-02-22,3.6,3.6,3.6,3.61,300
2002-02-25,3.61,3.61,3.61,3.61,700
2002-02-27,3.63,3.63,3.63,3.63,4500
2002-03-01,3.7,3.7,3.7,3.69,14500
2002-03-04,3.76,3.76,3.76,3.76,9100
2002-03-05,3.76,3.76,3.76,3.76,10600
2002-03-06,3.76,3.76,3.76,3.76,1000
2002-03-07,3.72,3.72,3.72,3.72,9300
2002-03-08,3.72,3.72,3.72,3.72,4400
2002-03-11,3.74,3.74,3.74,3.74,28700
2002-03-12,3.81,3.81,3.81,3.81,1400
2002-03-13,3.88,3.88,3.88,3.87,18400
2002-03-14,3.95,3.95,3.95,3.95,13000
2002-03-15,4.03,4.03,4.03,4.03,5200
2002-03-18,4.03,4.03,4.03,4.03,8300
2002-03-19,4.03,4.03,4.03,4.03,1400
2002-03-20,4.03,4.03,4.03,4.03,5900
2002-03-21,4.03,4.03,4.03,4.03,100
2002-03-22,4.03,4.03,4.03,4.03,300
2002-03-25,3.95,3.95,3.95,3.95,200
2002-03-26,3.93,3.93,3.93,3.93,16900
2002-03-27,4.01,4.01,4.01,4.01,2300
2002-03-28,4.09,4.09,4.09,4.08,5800
2002-03-29,4.16,4.16,4.16,4.16,1400
2002-04-01,4.08,4.08,4.08,4.08,1100
2002-04-02,4.0,4.0,4.0,4.01,3400
2002-04-03,3.93,3.93,3.93,3.93,300
2002-04-04,3.85,3.85,3.85,3.85,300
2002-04-05,3.78,3.78,3.78,3.79,1500
2002-04-08,3.79,3.79,3.79,3.79,2300
2002-04-09,3.79,3.79,3.79,3.79,3900
2002-04-10,3.79,3.79,3.79,3.79,2300
2002-04-11,3.79,3.79,3.79,3.79,2000
2002-04-12,3.75,3.75,3.75,3.75,2300
2002-04-15,3.77,3.77,3.77,3.77,3100
2002-04-16,3.72,3.72,3.72,3.72,3000
2002-04-17,3.78,3.78,3.78,3.78,4000
2002-04-18,3.79,3.79,3.79,3.79,2800
2002-04-19,3.8,3.8,3.8,3.8,5100
2002-04-22,3.8,3.8,3.8,3.8,1500
2002-04-23,3.82,3.82,3.82,3.82,11600
2002-04-24,3.84,3.84,3.84,3.83,6000
2002-04-25,3.91,3.91,3.91,3.91,8600
2002-04-26,3.99,3.99,3.99,3.99,8400
2002-05-02,4.07,4.07,4.07,4.06,6900
2002-05-03,4.14,4.14,4.14,4.14,20700
2002-05-06,4.21,4.21,4.21,4.21,7000
2002-05-07,4.13,4.13,4.13,4.13,8700
2002-05-08,4.05,4.05,4.05,4.05,1900
2002-05-09,4.13,4.13,4.13,4.13,7000
2002-05-10,4.21,4.21,4.21,4.21,18600
2002-05-13,4.21,4.21,4.21,4.21,2100
2002-05-14,4.21,4.21,4.21,4.21,3700
2002-05-15,4.24,4.24,4.24,4.24,7700
2002-05-16,4.24,4.24,4.24,4.24,2800
2002-05-17,4.24,4.24,4.24,4.24,4000
2002-05-20,4.24,4.24,4.24,4.24,4300
2002-05-21,4.24,4.24,4.24,4.24,3300
2002-05-22,4.24,4.24,4.24,4.24,2100
2002-05-23,4.19,4.19,4.19,4.19,1200
2002-05-24,4.2,4.2,4.2,4.2,900
2002-05-27,4.24,4.24,4.24,4.24,1500
2002-05-28,4.21,4.21,4.21,4.21,700
2002-05-29,4.21,4.21,4.21,4.21,13000
2002-05-30,4.21,4.21,4.21,4.21,6700
2002-05-31,4.28,4.28,4.28,4.27,800
2002-06-03,4.27,4.27,4.27,4.27,1900
2002-06-04,4.23,4.23,4.23,4.24,700
2002-06-05,4.23,4.23,4.23,4.23,2000
2002-06-06,4.25,4.25,4.25,4.25,900
2002-06-07,4.25,4.25,4.25,4.25,1600
2002-06-10,4.32,4.32,4.32,4.31,1800
2002-06-11,4.31,4.31,4.31,4.31,500
2002-06-12,4.31,4.31,4.31,4.31,600
2002-06-13,4.29,4.29,4.29,4.29,1000
2002-06-14,4.2,4.2,4.2,4.21,2600
2002-06-17,4.2,4.2,4.2,4.2,100
2002-06-18,4.2,4.2,4.2,4.2,500
2002-06-19,4.12,4.12,4.12,4.12,2200
2002-06-20,4.04,4.04,4.04,4.04,2300
2002-06-21,4.12,4.12,4.12,4.12,100
2002-06-24,4.2,4.2,4.2,4.2,300
2002-06-25,4.28,4.28,4.28,4.27,3600
2002-06-26,4.2,4.2,4.2,4.21,24300
2002-06-27,4.21,4.21,4.21,4.21,10100
2002-06-28,4.21,4.21,4.21,4.21,10000
2002-07-04,4.21,4.21,4.21,4.21,100
2002-07-05,4.18,4.18,4.18,4.18,200
2002-07-09,4.1,4.1,4.1,4.1,1900
2002-07-10,4.1,4.1,4.1,4.1,1700
2002-07-11,4.04,4.04,4.04,4.04,1500
2002-07-12,4.04,4.04,4.04,4.04,1300
2002-07-15,4.04,4.04,4.04,4.04,2200
2002-07-16,4.06,4.06,4.06,4.06,1600
2002-07-17,4.06,4.06,4.06,4.06,500
2002-07-18,3.98,3.98,3.98,3.99,700
2002-07-19,3.99,3.99,3.99,3.99,5000
2002-07-22,4.03,4.03,4.03,4.03,6000
2002-07-23,4.11,4.11,4.11,4.1,5600
2002-07-24,4.12,4.12,4.12,4.12,2100
2002-07-25,4.04,4.04,4.04,4.04,1800
2002-07-26,4.1,4.1,4.1,4.1,100
2002-07-29,4.1,4.1,4.1,4.1,4800
2002-07-30,4.17,4.17,4.17,4.17,4400
2002-07-31,4.15,4.15,4.15,4.15,10500
2002-08-01,4.12,4.12,4.12,4.12,9400
2002-08-02,4.01,4.01,4.01,4.01,6100
2002-08-05,4.12,4.12,4.12,4.12,2900
2002-08-06,4.12,4.12,4.12,4.12,3300
2002-08-07,4.12,4.12,4.12,4.12,5500
2002-08-08,4.17,4.17,4.17,4.17,5000
2002-08-09,4.17,4.17,4.17,4.17,5300
2002-08-12,4.15,4.15,4.15,4.15,1900
2002-08-13,4.15,4.15,4.15,4.15,2500
2002-08-14,4.17,4.17,4.17,4.17,16600
2002-08-15,4.18,4.18,4.18,4.18,2000
2002-08-16,4.2,4.2,4.2,4.2,5200
2002-08-19,4.32,4.32,4.32,4.32,3200
2002-08-20,4.44,4.44,4.44,4.45,12500
2002-08-21,4.47,4.47,4.47,4.46,6600
2002-08-22,4.46,4.46,4.46,4.46,6200
2002-08-23,4.46,4.46,4.46,4.46,3900
2002-08-26,4.46,4.46,4.46,4.46,4600
2002-08-27,4.46,4.46,4.46,4.46,10000
2002-08-28,4.48,4.48,4.48,4.48,6700
2002-08-29,4.48,4.48,4.48,4.48,2000
2002-08-30,4.53,4.53,4.53,4.53,3700
2002-09-03,4.54,4.54,4.54,4.54,3000
2002-09-04,4.53,4.53,4.53,4.53,7900
2002-09-05,4.51,4.51,4.51,4.51,100
2002-09-06,4.48,4.48,4.48,4.48,1100
2002-09-09,4.46,4.46,4.46,4.46,2200
2002-09-10,4.45,4.45,4.45,4.45,1000
2002-09-11,4.39,4.39,4.39,4.4,5500
2002-09-12,4.4,4.4,4.4,4.4,2600
2002-09-13,4.39,4.39,4.39,4.39,7000
2002-09-16,4.49,4.49,4.49,4.48,400
2002-09-18,4.43,4.43,4.43,4.44,800
2002-09-19,4.44,4.44,4.44,4.44,5000
2002-09-20,4.44,4.44,4.44,4.44,5400
2002-09-24,4.4,4.4,4.4,4.4,1600
2002-09-25,4.39,4.39,4.39,4.39,7600
2002-09-26,4.39,4.39,4.39,4.39,2400
2002-09-27,4.39,4.39,4.39,4.39,1700
2002-09-30,4.39,4.39,4.39,4.39,7000
2002-10-01,4.39,4.39,4.39,4.39,2000
2002-10-02,4.35,4.35,4.35,4.35,1400
2002-10-03,4.38,4.38,4.38,4.38,100
2002-10-04,4.38,4.38,4.38,4.38,100
2002-10-07,4.43,4.43,4.43,4.43,100
2002-10-08,4.33,4.33,4.33,4.33,2400
2002-10-09,4.3,4.3,4.3,4.3,1000
2002-10-10,4.3,4.3,4.3,4.3,1000
2002-10-11,4.3,4.3,4.3,4.3,300
2002-10-14,4.3,4.3,4.3,4.3,1600
2002-10-15,4.34,4.34,4.34,4.34,100
2002-10-16,4.34,4.34,4.34,4.34,3000
2002-10-17,4.35,4.35,4.35,4.35,1200
2002-10-18,4.34,4.34,4.34,4.34,1000
2002-10-21,4.34,4.34,4.34,4.34,200
2002-10-22,4.34,4.34,4.34,4.34,700
2002-10-23,4.44,4.44,4.44,4.45,1100
2002-10-25,4.39,4.39,4.39,4.39,1800
2002-10-28,4.32,4.32,4.32,4.32,1000
2002-10-29,4.39,4.39,4.39,4.39,100
2002-11-01,4.31,4.31,4.31,4.31,5000
2002-11-05,4.19,4.19,4.19,4.19,1100
2002-11-06,4.19,4.19,4.19,4.19,3000
2002-11-07,4.19,4.19,4.19,4.19,1300
2002-11-08,4.1,4.1,4.1,4.1,1200
2002-11-11,4.12,4.12,4.12,4.12,200
2002-11-12,4.13,4.13,4.13,4.13,800
2002-11-13,4.13,4.13,4.13,4.13,800
2002-11-14,4.15,4.15,4.15,4.15,200
2002-11-18,4.11,4.11,4.11,4.11,2200
2002-11-19,4.14,4.14,4.14,4.14,1000
2002-11-20,4.15,4.15,4.15,4.15,2200
2002-11-21,4.15,4.15,4.15,4.15,1500
2002-11-22,4.17,4.17,4.17,4.17,2200
2002-11-25,4.17,4.17,4.17,4.17,2000
2002-11-26,4.17,4.17,4.17,4.17,500
2002-11-27,4.17,4.17,4.17,4.17,2000
2002-11-28,4.18,4.18,4.18,4.18,700
2002-11-29,4.2,4.2,4.2,4.2,600
2002-12-02,4.21,4.21,4.21,4.21,100
2002-12-03,4.33,4.33,4.33,4.33,1500
2002-12-04,4.33,4.33,4.33,4.33,3100
2002-12-05,4.29,4.29,4.29,4.29,2400
2002-12-06,4.29,4.29,4.29,4.29,1000
2002-12-10,4.29,4.29,4.29,4.29,500
2002-12-11,4.29,4.29,4.29,4.29,3400
2002-12-12,4.27,4.27,4.27,4.27,600
2002-12-17,4.29,4.29,4.29,4.29,200
2002-12-18,4.28,4.28,4.28,4.28,500
2002-12-19,4.28,4.28,4.28,4.28,800
2002-12-20,4.24,4.24,4.24,4.25,100
2002-12-23,4.25,4.25,4.25,4.25,100
2002-12-24,4.25,4.25,4.25,4.25,500
2002-12-25,4.24,4.24,4.24,4.24,1200
2002-12-26,4.24,4.24,4.24,4.24,100
2002-12-27,4.2,4.2,4.2,4.2,700
2002-12-30,4.11,4.11,4.11,4.11,4500
2002-12-31,4.11,4.11,4.11,4.11,5500
2003-01-02,4.12,4.12,4.12,4.12,1600
2003-01-03,4.12,4.12,4.12,4.12,3500
2003-01-06,4.12,4.12,4.12,4.12,200
2003-01-07,4.15,4.15,4.15,4.15,1000
2003-01-08,4.28,4.28,4.28,4.28,200
2003-01-09,4.28,4.28,4.28,4.28,200
2003-01-10,4.24,4.24,4.24,4.25,1500
2003-01-13,4.24,4.24,4.24,4.24,1500
2003-01-14,4.24,4.24,4.24,4.24,1000
2003-01-15,4.25,4.25,4.25,4.25,100
2003-01-16,4.15,4.15,4.15,4.15,1200
2003-01-17,4.19,4.19,4.19,4.19,1600
2003-01-20,4.1,4.1,4.1,4.1,400
2003-01-21,4.1,4.1,4.1,4.1,1000
