date,open,high,low,close,volume
2019-03-06,24.0,24.5,24.0,24.5,7300
2019-03-05,23.8,24.5,23.8,23.9,6000
2019-03-04,23.8,23.8,23.8,23.8,1000
2019-03-01,23.8,23.8,23.8,23.8,400
2019-02-28,22.7,24.9,22.7,23.8,3200
2019-02-27,22.8,22.8,21.7,22.7,2800
2019-02-26,22.2,22.8,22.2,22.7,1000
2019-02-25,22.8,22.8,22.2,22.3,3400
2019-02-22,22.0,22.5,22.0,22.5,1800
2019-02-21,22.8,22.8,22.3,22.3,800
2019-02-20,22.7,22.8,22.7,22.8,2000
2019-02-19,22.6,22.7,22.6,22.7,407
2019-02-18,22.0,22.6,22.0,22.6,6200
2019-02-15,21.3,22.7,21.3,22.7,800
2019-02-14,22.8,22.8,22.8,22.8,200
2019-02-13,22.8,22.8,22.8,22.8,4400
2019-02-12,22.6,23.0,22.6,22.8,1800
2019-02-11,22.5,22.5,22.5,22.5,0
2019-02-01,22.5,22.5,22.5,22.5,100
2019-01-31,22.0,22.0,22.0,22.0,0
2019-01-30,22.0,22.0,22.0,22.0,0
2019-01-29,22.0,22.0,22.0,22.0,400
2019-01-28,22.0,22.0,22.0,22.0,1100
2019-01-25,22.0,22.5,22.0,22.5,3800
2019-01-24,22.0,22.0,22.0,22.0,1000
2019-01-23,22.0,22.0,21.5,22.0,1800
2019-01-22,22.1,22.1,22.0,22.1,3400
2019-01-21,22.5,22.7,22.5,22.5,2300
2019-01-18,23.0,23.0,23.0,23.0,1100
2019-01-17,22.0,23.0,22.0,23.0,5300
2019-01-16,22.5,22.5,22.0,22.0,1700
2019-01-15,22.0,22.0,22.0,22.0,300
2019-01-14,21.5,22.5,21.1,22.5,600
2019-01-11,22.4,22.4,22.0,22.3,1000
2019-01-10,22.4,22.4,22.4,22.4,200
2019-01-09,22.9,22.9,22.4,22.4,600
2019-01-08,22.8,22.8,22.0,22.1,0
2019-01-07,22.8,22.8,22.0,22.1,5610
2019-01-04,22.7,23.0,22.7,23.0,400
2019-01-03,23.0,23.0,23.0,23.0,7010
2019-01-02,23.8,23.8,22.7,23.0,8100
2018-12-28,25.1,25.1,24.0,24.1,700
2018-12-27,25.0,25.0,25.0,25.0,1800
2018-12-26,25.0,25.0,24.0,24.6,500
2018-12-25,25.0,25.0,24.3,24.8,2100
2018-12-24,25.0,25.1,25.0,25.0,1100
2018-12-21,25.8,25.8,25.8,25.8,400
2018-12-20,26.0,26.0,25.7,25.8,0
2018-12-19,26.0,26.0,25.7,25.8,3500
2018-12-18,25.8,26.8,25.8,26.0,6800
2018-12-17,26.1,26.1,26.1,26.1,500
2018-12-14,26.9,26.9,26.9,26.9,1100
2018-12-13,27.4,27.4,26.9,27.0,2700
2018-12-12,27.0,27.2,27.0,27.1,7400
2018-12-11,27.0,27.5,27.0,27.5,0
2018-12-10,27.0,27.5,27.0,27.5,1300
2018-12-07,27.0,27.1,27.0,27.0,5100
2018-12-06,27.1,27.1,27.0,27.1,1200
2018-12-05,27.5,27.5,27.2,27.4,700
2018-12-04,27.5,27.9,27.4,27.7,0
2018-12-03,27.5,27.9,27.4,27.7,3100
2018-11-30,27.0,28.0,27.0,27.9,2400
2018-11-29,27.0,27.9,27.0,27.9,615
2018-11-28,27.9,27.9,26.2,26.8,4600
2018-11-27,28.1,28.1,28.0,28.0,700
2018-11-26,28.1,28.1,28.1,28.1,125
2018-11-23,27.0,28.1,27.0,28.1,1000
2018-11-22,28.1,28.1,27.8,28.1,1660
2018-11-21,28.1,28.2,28.0,28.2,1100
2018-11-20,29.0,29.0,28.1,28.1,3700
2018-11-19,27.2,27.9,26.5,27.9,1600
2018-11-16,28.1,28.4,28.0,28.4,1000
2018-11-15,29.4,29.4,28.2,28.4,1300
2018-11-14,28.0,28.6,28.0,28.6,4200
2018-11-13,28.1,28.5,28.1,28.5,300
2018-11-12,28.4,28.4,28.4,28.4,400
2018-11-09,28.5,28.5,28.1,28.5,700
2018-11-08,29.5,29.5,28.5,28.5,14200
2018-11-07,29.1,29.1,28.5,28.7,2125
2018-11-06,30.0,30.1,29.0,29.0,425
2018-11-05,29.0,29.0,29.0,29.0,200
2018-11-02,29.5,29.5,28.6,28.6,4400
2018-11-01,29.0,29.5,29.0,29.5,10950
2018-10-31,29.5,29.5,29.4,29.5,1100
2018-10-30,29.5,29.5,28.6,28.6,900
2018-10-29,29.0,29.5,28.6,29.5,1800
2018-10-26,29.9,30.9,29.0,29.0,2900
2018-10-25,28.6,29.5,28.5,29.0,10650
2018-10-24,30.0,30.3,28.0,28.0,9100
2018-10-23,30.2,30.2,29.9,29.9,3242
2018-10-22,30.4,30.4,30.2,30.2,2600
2018-10-19,30.3,30.3,30.0,30.3,4100
2018-10-18,30.6,30.8,30.3,30.3,2542
2018-10-17,30.0,30.6,30.0,30.6,5445
2018-10-16,30.0,30.9,30.0,30.8,2900
2018-10-15,31.0,31.0,30.0,30.8,4200
2018-10-12,30.5,31.0,30.0,31.0,8100
2018-10-11,32.0,32.0,30.0,30.0,8900
2018-10-10,32.0,32.3,31.6,31.7,4600
2018-10-09,31.9,32.1,31.8,32.1,3800
2018-10-08,32.0,32.5,31.2,31.7,7600
2018-10-05,32.8,32.9,32.0,32.6,7910
2018-10-04,33.0,33.0,32.2,33.0,8700
2018-10-03,32.7,33.1,32.5,32.8,6700
2018-10-02,33.8,33.9,33.0,33.0,7017
2018-10-01,32.0,33.9,32.0,33.1,11650
2018-09-28,31.0,33.9,31.0,33.9,26653
2018-09-27,31.0,31.5,31.0,31.5,16517
2018-09-26,31.6,31.6,30.5,31.3,32600
2018-09-25,33.2,33.2,31.6,31.8,58400
2018-09-24,35.5,35.5,31.8,33.5,72400
2018-09-21,38.0,38.0,34.0,35.3,9890
2018-09-20,41.2,41.2,35.5,36.4,48720
2018-09-19,37.83,37.91,36.76,37.5,102630
2018-09-18,37.91,37.91,36.92,37.83,79750
2018-09-17,38.16,38.16,37.09,37.83,90500
2018-09-14,38.33,38.74,36.93,38.16,52900
2018-09-13,38.41,38.74,36.35,38.74,71800
2018-09-12,41.21,41.21,37.92,38.41,70400
2018-09-11,42.61,42.61,40.39,40.8,100707
2018-09-10,38.74,38.74,35.28,38.74,313700
2018-09-07,35.44,35.44,31.4,35.28,13500
2018-09-06,34.2,35.77,32.96,32.97,4000
2018-09-05,33.79,36.26,33.05,36.26,1200
2018-09-04,36.26,36.26,36.26,36.26,5800
2018-08-31,39.72,39.72,36.26,36.26,3300
2018-08-30,40.39,40.39,35.85,36.26,2100
2018-08-29,44.1,44.1,37.18,39.48,1700
2018-08-28,40.39,40.39,40.39,40.39,100
2018-08-27,37.01,37.01,37.01,37.01,1000
2018-08-24,37.09,37.09,37.09,37.09,0
2018-08-23,37.09,37.09,37.09,37.09,1900
2018-08-22,37.17,37.17,37.17,37.17,1000
2018-08-21,37.09,37.5,37.09,37.17,5300
2018-08-20,37.09,37.09,37.09,37.09,1200
2018-08-17,37.09,37.09,37.09,37.09,100
2018-08-16,36.27,37.92,36.27,37.91,0
2018-08-15,36.27,37.92,36.27,37.91,0
2018-08-14,36.27,37.92,36.27,37.91,200
2018-08-13,36.26,38.32,36.26,38.33,700
2018-08-10,38.24,38.24,36.18,36.18,600
2018-08-09,36.92,36.92,36.26,36.26,500
2018-08-08,36.26,37.5,36.26,37.5,0
2018-08-07,36.26,37.5,36.26,37.5,0
2018-08-06,36.26,37.5,36.26,37.5,500
2018-08-03,35.11,37.91,35.11,37.91,0
2018-08-02,35.11,37.91,35.11,37.91,600
2018-08-01,37.09,38.58,37.09,38.57,200
2018-07-31,37.91,38.74,37.91,38.74,700
2018-07-30,37.91,41.54,37.91,41.54,1700
2018-07-27,41.54,41.54,41.54,41.54,100
2018-07-26,37.92,40.8,37.92,39.97,600
2018-07-25,41.13,41.13,41.13,41.13,100
2018-07-24,41.54,41.54,41.54,41.54,0
2018-07-23,41.54,41.54,41.54,41.54,0
2018-07-20,41.54,41.54,41.54,41.54,0
2018-07-19,41.54,41.54,41.54,41.54,3000
2018-07-18,46.16,46.16,46.16,46.16,0
2018-07-17,46.16,46.16,46.16,46.16,0
2018-07-16,46.16,46.16,46.16,46.16,0
2018-07-13,46.16,46.16,46.16,46.16,0
2018-07-12,46.16,46.16,46.16,46.16,0
2018-07-11,46.16,46.16,46.16,46.16,10
2018-07-10,46.16,46.16,46.16,46.16,100
2018-07-09,44.51,44.51,44.51,44.51,0
2018-07-06,44.51,44.51,44.51,44.51,4
2018-07-05,44.51,44.51,44.51,44.51,0
2018-07-04,44.51,44.51,44.51,44.51,0
2018-07-03,44.51,44.51,44.51,44.51,0
2018-07-02,44.51,44.51,44.51,44.51,10
2018-06-29,44.51,44.51,44.51,44.51,110
2018-06-28,41.21,41.21,41.21,41.21,0
2018-06-27,41.21,41.21,41.21,41.21,0
2018-06-26,41.21,41.21,41.21,41.21,0
2018-06-25,41.21,41.21,41.21,41.21,0
2018-06-22,41.21,41.21,41.21,41.21,100
2018-06-21,39.97,39.97,39.97,39.97,100
2018-06-20,39.15,39.15,39.15,39.15,100
2018-06-19,37.83,40.71,37.83,37.91,1240
2018-06-18,37.83,37.83,37.83,37.83,200
2018-06-15,37.09,37.75,34.7,37.75,0
2018-06-14,37.09,37.75,34.7,37.75,0
2018-06-13,37.09,37.75,34.7,37.75,0
2018-06-12,37.09,37.75,34.7,37.75,0
2018-06-11,37.09,37.75,34.7,37.75,0
2018-06-08,37.09,37.75,34.7,37.75,0
2018-06-07,37.09,37.75,34.7,37.75,0
2018-06-06,37.09,37.75,34.7,37.75,0
2018-06-05,37.09,37.75,34.7,37.75,0
2018-06-04,37.09,37.75,34.7,37.75,0
2018-06-01,37.09,37.75,34.7,37.75,0
2018-05-31,37.09,37.75,34.7,37.75,0
2018-05-30,37.09,37.75,34.7,37.75,0
2018-05-29,37.09,37.75,34.7,37.75,0
2018-05-28,37.09,37.75,34.7,37.75,1200
2018-05-25,38.25,38.25,38.25,38.24,206
2018-05-24,35.44,38.33,35.44,38.33,0
2018-05-23,35.44,38.33,35.44,38.33,1000
2018-05-22,37.91,38.74,37.91,38.74,0
2018-05-21,37.91,38.74,37.91,38.74,0
2018-05-18,37.91,38.74,37.91,38.74,0
2018-05-17,37.91,38.74,37.91,38.74,200
2018-05-16,38.49,38.49,38.49,38.49,100
2018-05-15,37.52,38.57,37.11,38.57,300
2018-05-14,37.12,38.89,37.12,38.89,560
2018-05-11,37.12,38.49,37.12,38.49,200
2018-05-10,37.2,38.57,37.2,38.57,200
2018-05-09,37.11,38.65,37.11,38.65,300
2018-05-08,37.12,38.9,37.12,38.89,500
2018-05-07,37.52,39.05,37.52,39.06,500
2018-05-04,39.46,39.46,37.28,37.52,900
2018-05-03,37.92,37.92,37.52,37.52,500
2018-05-02,38.98,41.0,38.57,40.99,1400
2018-04-27,38.73,42.76,37.11,42.69,3600
2018-04-26,36.07,38.98,36.07,38.97,1200
2018-04-24,39.05,39.05,38.73,39.06,300
2018-04-23,37.93,38.66,35.75,38.65,900
2018-04-20,39.38,39.38,36.72,39.14,600
2018-04-19,39.54,39.54,36.47,39.3,1326
