date,open,high,low,close,volume
2006-12-29,6.05,6.05,6.05,6.05,2000
2007-01-02,6.35,6.35,6.35,6.35,1720
2007-01-03,6.65,6.65,6.65,6.66,4920
2007-01-04,6.98,6.98,6.98,6.98,6530
2007-01-05,7.32,7.32,7.32,7.32,7210
2007-01-08,7.46,7.46,7.46,7.46,3920
2007-01-09,7.36,7.36,7.36,7.36,750
2007-01-10,7.26,7.26,7.26,7.26,5600
2007-01-11,6.9,6.9,6.9,6.9,280
2007-01-12,6.56,6.56,6.56,6.56,10
2007-01-15,6.56,6.56,6.56,6.56,10
2007-01-16,6.24,6.24,6.24,6.23,500
2007-01-17,6.23,6.23,6.23,6.23,500
2007-01-18,6.23,6.23,6.23,6.23,500
2007-01-19,6.23,6.23,6.23,6.23,500
2007-01-23,5.93,5.93,5.93,5.93,210
2007-01-24,5.93,5.93,5.65,5.65,1100
2007-01-25,5.93,5.93,5.93,5.93,100
2007-01-26,5.93,5.93,5.93,5.93,100
2007-01-29,5.93,5.93,5.93,5.93,100
2007-01-30,5.93,5.93,5.93,5.93,100
2007-02-01,6.1,6.1,6.1,6.1,290
2007-02-02,6.08,6.08,6.08,6.08,290
2007-02-05,6.02,6.08,6.02,6.01,1390
2007-02-06,6.01,6.01,6.01,6.01,2100
2007-02-07,6.22,6.22,5.8,6.22,11970
2007-02-08,6.18,6.32,6.18,6.18,2900
2007-02-09,6.12,6.12,6.03,6.12,3300
2007-02-12,5.85,5.85,5.85,5.85,2000
2007-02-13,5.91,6.12,5.91,5.91,1300
2007-02-14,6.18,6.18,6.18,6.18,3350
2007-02-15,6.22,6.22,6.22,6.22,3100
2007-02-26,6.53,6.53,6.43,6.53,10250
2007-02-27,6.84,6.84,6.84,6.84,24820
2007-02-28,7.07,7.07,7.07,7.07,13670
2007-03-01,7.15,7.15,7.15,7.15,2980
2007-03-02,7.15,7.15,7.15,7.15,4840
2007-03-05,7.5,7.5,7.15,7.51,16120
2007-03-06,7.88,7.88,7.68,7.88,29620
2007-03-07,8.27,8.27,8.27,8.27,26200
2007-03-08,8.5,8.66,8.5,8.67,52990
2007-03-09,9.06,9.06,9.06,9.06,29980
2007-03-12,9.43,9.5,9.43,9.5,2800
2007-03-13,9.91,9.91,9.91,9.91,27820
2007-03-14,9.43,9.91,9.43,9.43,14140
2007-03-15,0.0,9.43,8.97,8.98,7360
2007-03-16,8.92,8.92,8.54,8.54,6020
2007-03-19,8.5,8.54,8.5,8.5,10060
2007-03-20,8.91,8.91,8.6,8.6,16820
2007-03-21,8.6,8.91,8.7,8.71,20730
2007-03-22,8.71,8.71,8.5,8.5,7790
2007-03-23,8.09,8.09,8.09,8.09,1440
2007-03-26,8.09,8.09,7.7,7.69,4450
2007-03-27,7.32,7.32,7.32,7.32,740
2007-03-28,7.05,7.05,7.05,7.05,700
2007-03-29,6.84,7.26,6.84,7.26,2550
2007-03-30,7.61,7.61,7.61,7.61,3030
2007-04-02,7.98,7.98,7.98,7.98,4430
2007-04-03,8.37,8.37,8.37,8.38,32350
2007-04-04,8.38,8.38,8.38,8.38,14050
2007-04-05,8.38,8.38,8.3,8.29,11190
2007-04-06,8.29,8.29,7.98,7.98,4720
2007-04-09,7.61,7.67,7.59,7.67,2970
2007-04-10,7.46,7.46,7.3,7.3,8200
2007-04-11,7.05,7.26,7.05,7.26,2790
2007-04-12,7.26,7.26,7.26,7.26,820
2007-04-13,7.26,7.26,7.26,7.26,3080
2007-04-16,7.26,7.26,7.05,7.05,750
2007-04-17,6.7,6.7,6.7,6.7,1940
2007-04-18,6.64,7.03,6.64,7.03,2380
2007-04-19,0.0,7.36,7.05,7.05,9890
2007-04-20,0.0,7.05,6.7,6.7,1320
2007-04-23,6.7,6.7,6.7,6.7,1100
2007-04-24,6.7,6.7,6.68,6.68,3370
2007-04-25,6.64,6.64,6.64,6.64,1060
2007-05-02,0.0,6.85,6.74,6.84,900
2007-05-03,6.84,6.84,6.63,6.66,2910
2007-05-04,6.54,6.54,6.37,6.37,920
2007-05-07,6.33,6.64,6.33,6.64,2110
2007-05-08,6.85,6.85,6.47,6.47,4630
2007-05-09,6.53,6.74,6.53,6.74,5080
2007-05-10,6.43,6.74,6.41,6.43,2600
2007-05-11,6.43,6.74,6.43,6.74,4230
2007-05-14,6.53,6.95,6.53,6.64,1370
2007-05-15,6.74,6.74,6.64,6.64,2950
2007-05-16,0.0,6.54,6.43,6.43,2650
2007-05-17,6.43,6.53,6.43,6.53,2550
2007-05-18,6.53,6.53,6.43,6.43,610
2007-05-21,6.43,6.74,6.43,6.74,8460
2007-05-22,7.07,7.07,7.07,7.07,2230
2007-05-23,7.42,7.42,7.42,7.42,8810
2007-05-24,7.77,7.77,7.77,7.78,32310
2007-05-25,7.88,7.99,7.88,7.88,30510
2007-05-28,8.23,8.23,7.88,7.88,18760
2007-05-29,7.88,7.88,7.57,7.67,1760
2007-05-30,7.57,7.57,7.3,7.3,2700
2007-05-31,7.3,7.65,7.3,7.65,5290
2007-06-01,7.98,8.02,7.98,8.02,36640
2007-06-04,8.29,8.41,8.29,8.42,97370
2007-06-05,8.81,8.83,8.81,8.83,94890
2007-06-06,9.27,9.27,9.27,9.27,87820
2007-06-07,9.73,9.73,9.27,9.27,86500
2007-06-08,8.81,8.81,8.81,8.81,12590
2007-06-11,8.71,8.71,8.37,8.38,3010
2007-06-12,7.97,7.97,7.97,7.96,19450
2007-06-13,7.96,8.35,7.96,8.36,62760
2007-06-14,8.36,8.36,8.13,8.13,24810
2007-06-15,7.98,8.36,7.98,8.36,17800
2007-06-18,8.36,8.36,8.13,8.13,9590
2007-06-19,7.92,8.13,7.92,8.09,12940
2007-06-20,8.09,8.09,8.09,8.09,19830
2007-06-21,7.99,7.99,7.9,7.9,9950
2007-06-22,7.57,7.78,7.57,7.57,19540
2007-06-25,7.36,7.88,7.36,7.88,16560
2007-06-26,7.88,7.88,7.88,7.88,11350
2007-06-27,7.88,7.88,7.88,7.88,4200
2007-06-28,7.88,7.88,7.67,7.67,14380
2007-06-29,7.48,7.67,7.48,7.57,5150
2007-07-02,7.67,7.67,7.2,7.26,3400
2007-07-03,7.2,7.2,6.91,6.9,17680
2007-07-04,6.9,7.23,6.9,7.24,5210
2007-07-05,7.24,7.24,6.93,6.93,8500
2007-07-06,6.93,6.97,6.93,6.97,10300
2007-07-09,7.05,7.05,7.05,7.05,8310
2007-07-10,7.15,7.36,7.15,7.36,7040
2007-07-11,7.57,7.57,7.57,7.57,13000
2007-07-12,7.57,7.57,7.26,7.26,6770
2007-07-13,0.0,7.47,7.36,7.36,10600
2007-07-16,7.36,7.36,7.05,7.05,3240
2007-07-17,7.05,7.36,7.05,7.36,6870
2007-07-18,7.26,7.34,7.26,7.26,6900
2007-07-19,7.57,7.61,7.57,7.61,31120
2007-07-20,7.98,7.98,7.98,7.98,19470
2007-07-23,7.98,7.98,7.61,7.61,15270
2007-07-24,7.32,7.55,7.3,7.55,8200
2007-07-25,0.0,7.55,7.43,7.42,9870
2007-07-26,7.25,7.25,7.11,7.11,12730
2007-07-27,7.07,7.26,7.07,7.26,13250
2007-07-30,6.91,7.05,6.91,6.95,28290
2007-07-31,7.2,7.2,6.97,6.97,2470
2007-08-01,6.95,7.16,6.95,7.15,5010
2007-08-02,7.19,7.23,7.05,7.05,7830
2007-08-03,7.05,7.05,6.95,6.95,10880
2007-08-06,6.95,6.95,6.87,6.86,14830
2007-08-07,6.86,7.11,6.86,7.11,4160
2007-08-08,7.21,7.21,6.94,6.97,5760
2007-08-09,6.97,6.99,6.95,6.95,18550
2007-08-10,6.62,6.66,6.62,6.64,4000
2007-08-13,6.7,6.74,6.64,6.64,13420
2007-08-14,6.68,6.85,6.68,6.68,6370
2007-08-15,6.68,6.74,6.68,6.74,1500
2007-08-16,6.74,6.84,6.64,6.64,3250
2007-08-17,6.64,6.74,6.64,6.74,5950
2007-08-20,6.68,6.7,6.47,6.47,11500
2007-08-21,6.47,6.64,6.47,6.49,10500
2007-08-22,6.64,6.72,6.57,6.64,3920
2007-08-23,6.43,6.6,6.43,6.59,1800
2007-08-24,6.59,6.63,6.53,6.53,18320
2007-08-27,6.53,6.63,6.53,6.53,5530
2007-08-28,6.47,6.61,6.43,6.47,3150
2007-08-29,6.43,6.53,6.43,6.53,2460
2007-08-30,6.63,6.84,6.55,6.64,16290
2007-08-31,6.85,6.89,6.76,6.88,28430
2007-09-04,6.76,7.05,6.76,7.05,13630
2007-09-05,7.05,7.05,6.76,6.76,7940
2007-09-06,6.76,6.8,6.76,6.8,4310
2007-09-07,6.8,6.86,6.8,6.86,9750
2007-09-10,6.86,7.05,6.86,7.05,20050
2007-09-11,6.7,7.4,6.7,7.4,52220
2007-09-12,7.42,7.42,7.05,7.15,28520
2007-09-13,7.05,7.09,7.05,7.05,10630
2007-09-14,6.88,7.05,6.88,7.05,7800
2007-09-17,7.05,7.07,7.05,7.05,9800
2007-09-18,7.05,7.05,6.97,6.97,23830
2007-09-19,7.18,7.18,6.97,7.05,21740
2007-09-20,7.05,7.15,7.05,7.09,27790
2007-09-21,7.15,7.15,7.09,7.09,32050
2007-09-24,7.19,7.44,7.09,7.44,28440
2007-09-25,7.79,7.79,7.67,7.8,88160
2007-09-26,8.17,8.17,7.8,8.09,110300
2007-09-27,7.88,7.9,7.78,7.88,61370
2007-09-28,7.88,8.07,7.78,7.98,33320
2007-10-01,8.23,8.29,8.08,8.17,39640
2007-10-02,8.09,8.09,7.88,7.88,34500
2007-10-03,7.88,7.88,7.78,7.78,23200
2007-10-04,7.78,7.78,7.68,7.75,30650
2007-10-05,7.77,8.08,7.77,7.88,22380
2007-10-08,7.96,7.98,7.88,7.88,27970
2007-10-09,8.27,8.27,8.09,8.19,79680
2007-10-10,8.29,8.58,8.29,8.58,100080
2007-10-11,8.99,8.99,8.81,9.0,120910
2007-10-12,9.33,9.33,9.27,9.29,125050
2007-10-15,9.29,9.44,9.29,9.43,118570
2007-10-16,9.64,9.89,9.64,9.89,124040
2007-10-17,10.37,10.37,10.37,10.37,63780
2007-10-18,10.89,10.89,10.89,10.89,84760
2007-10-19,10.35,10.37,10.35,10.35,161230
2007-10-22,9.85,9.85,9.85,9.85,54420
2007-10-23,9.54,10.33,9.54,10.33,134730
2007-10-24,10.33,10.37,10.16,10.37,77060
2007-10-25,10.16,10.58,10.16,10.57,98330
2007-10-26,10.26,10.36,10.16,10.16,39010
2007-10-29,10.37,10.37,9.75,9.75,33200
2007-10-30,9.75,9.96,9.75,9.75,12730
2007-10-31,9.75,9.83,9.54,9.75,13750
2007-11-01,9.38,9.85,9.38,9.75,32360
2007-11-02,9.65,9.85,9.65,9.75,38590
2007-11-05,9.96,9.96,9.75,9.95,20060
2007-11-06,9.74,9.85,9.74,9.85,11380
2007-11-07,9.37,9.95,9.37,9.85,7880
2007-11-08,9.64,9.85,9.64,9.64,10000
2007-11-09,9.54,9.54,9.43,9.43,12690
2007-11-12,9.02,9.08,8.97,8.98,22190
2007-11-13,8.54,8.54,8.54,8.54,18210
2007-11-14,8.39,8.91,8.39,8.92,19060
2007-11-15,8.92,8.92,8.71,8.71,6300
2007-11-16,8.3,8.71,8.3,8.71,16330
2007-11-19,9.12,9.12,9.12,9.12,110
2007-11-20,8.66,8.81,8.66,8.67,7810
2007-11-21,8.67,8.71,8.3,8.71,3150
2007-11-22,8.71,8.71,8.5,8.5,2540
2007-11-23,8.5,8.5,8.29,8.29,5500
2007-11-26,8.5,8.7,8.5,8.71,12040
2007-11-27,8.92,8.92,8.61,8.69,16900
2007-11-28,8.52,8.71,8.52,8.71,2410
2007-11-29,8.52,8.71,8.52,8.69,5570
2007-11-30,9.1,9.1,9.08,9.1,24650
2007-12-03,9.54,9.54,9.33,9.54,67710
2007-12-04,10.0,10.0,9.64,9.95,81230
2007-12-05,9.54,9.74,9.49,9.75,21180
2007-12-06,9.65,9.75,9.54,9.54,9650
2007-12-07,9.54,9.95,9.54,9.75,31130
2007-12-10,9.58,9.81,9.58,9.75,23660
2007-12-11,9.75,9.75,9.65,9.64,34890
2007-12-12,9.56,9.72,9.56,9.64,12350
2007-12-13,9.37,9.54,9.33,9.33,7250
2007-12-14,9.0,9.54,9.0,9.02,6010
2007-12-17,9.23,9.23,9.23,9.23,1010
2007-12-18,8.82,9.48,8.82,9.48,3120
2007-12-19,9.48,9.69,9.44,9.66,4460
2007-12-20,9.64,9.64,9.18,9.19,4850
2007-12-21,8.82,9.19,8.82,9.19,6450
2007-12-24,9.23,9.23,9.13,9.19,5540
