date,open,high,low,close,volume
2008-02-22,22.31,22.31,21.74,21.74,3000
2008-02-25,21.74,21.74,21.74,21.74,200
2008-02-26,22.31,22.31,22.31,22.31,100
2008-02-27,24.54,24.54,20.59,20.6,2100
2008-02-28,18.71,21.46,18.71,21.45,600
2008-02-29,19.62,20.59,17.73,17.74,700
2008-03-03,20.83,20.83,18.94,18.94,200
2008-03-04,17.97,17.97,17.97,17.96,100
2008-03-06,19.39,19.73,18.88,19.74,17300
2008-03-07,20.03,20.83,20.03,20.82,11100
2008-03-10,22.59,22.71,22.59,22.71,1100
2008-03-11,20.48,20.48,20.48,20.48,100
2008-03-12,20.42,20.42,19.62,19.62,2100
2008-03-13,17.79,17.79,17.79,17.79,400
2008-03-14,19.45,19.45,16.02,18.31,1700
2008-03-17,17.97,17.97,16.88,16.88,200
2008-03-19,15.74,17.17,15.74,16.02,6500
2008-03-20,17.74,17.74,17.74,17.74,100
2008-03-21,19.17,19.17,19.17,19.17,100
2008-03-25,17.28,17.28,17.28,17.28,100
2008-03-26,15.56,15.56,15.56,15.56,200
2008-03-27,15.73,15.85,15.56,15.85,20400
2008-03-28,16.14,16.14,16.14,16.13,28000
2008-03-31,16.13,16.42,16.13,16.42,51900
2008-04-01,16.65,16.65,16.65,16.65,14000
2008-04-02,16.94,16.94,16.94,16.93,4000
2008-04-03,17.22,17.22,17.22,17.22,200
2008-04-04,17.56,17.56,17.56,17.56,3700
2008-04-07,18.07,18.07,18.07,18.08,30100
2008-04-08,18.59,18.59,17.57,17.56,4500
2008-04-11,17.8,17.8,17.8,17.79,100
2008-04-16,17.28,17.28,17.28,17.28,100
2008-04-17,16.77,16.77,16.77,16.76,4800
2008-04-18,16.3,16.3,16.3,16.31,100
2008-04-21,15.85,15.85,15.85,15.85,100
2008-04-22,15.39,15.39,15.39,15.39,100
2008-04-23,14.93,14.93,14.93,14.93,100
2008-04-25,14.53,14.53,14.53,14.53,100
2008-04-28,14.13,14.13,14.13,14.13,1200
2008-04-29,13.73,13.73,13.73,13.73,100
2008-05-05,13.33,13.33,13.33,13.33,100
2008-05-12,12.99,12.99,12.99,12.99,100
2008-05-13,12.65,12.65,12.65,12.64,100
2008-05-28,12.3,12.3,12.3,12.3,100
2008-06-13,11.96,11.96,11.96,11.96,300
2008-06-16,11.62,11.62,11.62,11.61,600
2008-06-17,11.27,11.27,11.27,11.27,2100
2008-06-18,10.98,10.98,10.98,10.98,800
2008-07-04,10.58,10.58,10.58,10.58,2100
2008-07-07,10.18,10.18,10.18,10.18,100
2008-07-08,9.78,9.78,9.78,9.78,100
2008-07-09,9.44,9.44,9.44,9.44,100
2008-07-10,9.1,9.1,9.1,9.1,100
2008-07-11,8.76,8.76,8.76,8.75,700
2008-07-14,8.41,8.81,8.41,8.47,42000
2008-07-15,8.13,8.7,8.13,8.58,25000
2008-07-16,8.58,8.58,8.24,8.47,17000
2008-07-17,8.3,8.3,8.07,8.12,4900
2008-07-18,8.52,8.52,7.95,7.95,2800
2008-07-21,7.78,7.78,7.78,7.78,300
2008-07-22,7.49,7.49,7.49,7.49,100
2008-07-23,7.2,7.2,7.2,7.21,400
2008-07-24,6.92,6.92,6.92,6.92,400
2008-07-25,6.69,6.69,6.69,6.69,2200
2008-07-28,6.46,6.46,6.46,6.46,100
2008-07-29,6.23,6.23,6.23,6.24,6300
2008-07-30,6.01,6.01,6.01,6.01,100
2008-07-31,5.78,5.78,5.78,5.78,300
2008-08-01,5.55,5.55,5.55,5.55,200
2008-08-04,5.38,5.38,5.38,5.38,1100
2008-08-05,5.21,5.21,5.21,5.21,600
2008-08-06,5.04,5.04,5.04,5.03,500
2008-08-07,4.86,5.03,4.86,5.03,4400
2008-08-08,4.69,5.03,4.69,5.03,800
2008-08-11,5.09,5.09,5.09,5.09,2900
2008-08-12,5.26,5.26,5.26,5.26,3900
2008-08-13,5.43,5.43,5.26,5.44,9500
2008-08-14,5.61,5.61,5.44,5.61,4800
2008-08-15,5.78,5.78,5.78,5.78,2100
2008-08-18,6.18,6.18,6.18,6.18,1900
2008-08-19,6.58,6.58,6.41,6.46,9300
2008-08-20,6.29,6.86,6.12,6.41,1000
2008-08-21,6.24,6.7,6.24,6.69,5400
2008-08-22,6.29,6.69,6.29,6.69,12500
2008-08-25,6.75,6.75,6.58,6.75,5100
2008-08-26,7.21,7.21,7.21,7.21,100
2008-08-27,7.67,7.67,7.21,7.21,10100
2008-08-28,8.13,8.13,7.15,7.15,5500
2008-08-29,7.49,8.52,7.49,8.52,20700
2008-09-03,8.63,8.63,8.63,8.64,10900
2008-09-04,9.21,9.21,9.21,9.21,1600
2008-09-05,9.84,9.84,9.72,9.84,12300
2008-09-08,10.41,10.41,9.15,10.3,14500
2008-09-09,10.3,10.3,9.73,10.07,22600
2008-09-10,10.01,10.01,9.33,10.01,6400
2008-09-11,8.75,8.75,8.75,8.75,2100
2008-09-12,9.26,9.26,8.18,8.18,7100
2008-09-15,8.01,8.81,7.67,7.67,8400
2008-09-16,7.84,8.41,7.84,7.84,1200
2008-09-17,7.38,7.38,7.38,7.38,400
2008-09-18,6.87,6.87,6.87,6.87,800
2008-09-19,6.41,7.33,6.41,7.32,4900
2008-09-22,7.32,7.32,7.32,7.32,2500
2008-09-23,7.78,7.78,7.78,7.78,4100
2008-09-24,8.29,8.29,8.24,8.24,600
2008-09-25,8.58,8.58,8.3,8.3,1800
2008-09-26,8.47,8.93,8.47,8.92,3200
2008-09-29,9.26,9.32,9.26,9.33,700
2008-09-30,8.7,8.7,8.7,8.7,100
2008-10-01,8.13,9.22,8.13,9.21,300
2008-10-02,8.87,8.87,8.87,8.87,200
2008-10-03,9.27,9.27,8.3,8.3,1300
2008-10-06,8.76,8.76,8.47,8.47,400
2008-10-08,9.03,9.03,8.46,8.47,200
2008-10-09,9.1,9.1,8.36,8.35,5800
2008-10-10,8.58,8.58,7.89,7.9,400
2008-10-13,8.01,8.24,7.56,8.24,1600
2008-10-14,8.3,8.58,8.3,8.58,18600
2008-10-15,9.15,9.15,9.04,9.15,4100
2008-10-16,8.46,8.46,8.46,8.47,200
2008-10-17,8.87,8.87,8.87,8.87,200
2008-10-20,8.81,8.87,8.3,8.3,1200
2008-10-21,8.87,8.87,8.19,8.18,300
2008-10-22,7.84,7.84,7.84,7.84,100
2008-10-23,7.32,7.32,7.32,7.32,200
2008-10-24,6.86,6.86,6.86,6.87,200
2008-10-27,6.41,6.41,6.41,6.41,100
2008-10-28,6.01,6.01,6.01,6.01,800
2008-10-29,6.35,6.35,5.72,6.29,800
2008-10-30,5.78,5.78,5.78,5.78,1400
2008-10-31,5.38,5.38,5.38,5.38,2800
2008-11-03,5.04,5.15,5.04,5.03,10300
2008-11-04,4.8,5.37,4.8,5.38,1100
2008-11-05,5.44,5.49,5.44,5.49,4200
2008-11-06,5.72,5.72,5.2,5.21,200
2008-11-07,5.15,5.15,5.15,5.15,5400
2008-11-10,4.86,5.38,4.86,5.03,7800
2008-11-11,5.26,5.26,4.86,4.86,10200
2008-11-12,4.8,5.03,4.8,5.03,4400
2008-11-13,5.03,5.03,5.03,5.03,1500
2008-11-14,5.14,5.14,5.09,5.09,1700
2008-11-17,5.26,5.26,5.26,5.26,100
2008-11-18,4.92,4.92,4.92,4.92,3500
2008-11-19,5.15,5.15,5.15,5.15,1000
2008-11-20,4.86,4.86,4.81,4.81,1000
2008-11-21,4.58,4.58,4.58,4.58,2600
2008-11-24,4.87,4.87,4.87,4.86,4700
2008-11-25,4.97,5.15,4.97,5.03,2200
2008-11-26,5.09,5.09,5.09,5.09,100
2008-11-27,4.75,4.98,4.75,4.75,500
2008-11-28,4.98,5.04,4.92,4.92,1000
2008-12-01,5.03,5.03,4.63,4.63,300
2008-12-02,5.26,5.26,4.57,4.58,6500
2008-12-03,5.15,5.15,5.15,5.15,300
2008-12-04,4.81,5.09,4.81,5.09,1500
2008-12-05,5.09,5.09,4.58,4.58,1000
2008-12-09,4.98,4.98,4.46,4.46,600
2008-12-10,4.4,4.4,4.4,4.41,100
2008-12-11,4.12,4.3,4.12,4.29,3000
2008-12-12,4.06,4.29,4.06,4.29,300
2008-12-15,4.46,4.46,4.23,4.23,800
2008-12-16,4.46,4.46,4.0,4.0,800
2008-12-17,4.4,4.4,4.11,4.23,2600
2008-12-18,4.52,4.57,4.4,4.41,1300
2008-12-19,4.75,4.75,4.3,4.29,4600
2008-12-22,4.18,4.75,4.18,4.58,2300
2008-12-23,4.47,4.87,4.47,4.86,2700
2008-12-24,4.86,4.86,4.57,4.58,700
2008-12-25,5.04,5.04,4.75,4.86,2900
2008-12-26,5.09,5.09,4.86,4.86,1000
2008-12-29,5.26,5.26,4.86,4.86,2700
2008-12-30,5.26,5.26,5.03,5.03,600
2008-12-31,5.54,5.54,5.54,5.55,4900
2009-01-02,5.89,5.89,5.89,5.89,1800
2009-01-05,6.29,6.29,6.0,6.29,26400
2009-01-06,6.63,6.63,6.46,6.64,11700
2009-01-07,7.1,7.1,6.3,6.29,11300
2009-01-08,6.69,6.69,6.23,6.24,6300
2009-01-09,6.64,6.64,6.3,6.41,14900
2009-01-12,6.41,6.41,5.95,6.29,7800
2009-01-13,6.1,6.1,5.71,5.72,1800
2009-01-14,5.33,5.78,5.33,5.78,4300
2009-01-15,5.59,5.59,5.2,5.27,4100
2009-01-16,5.59,5.59,4.95,4.94,6200
2009-01-19,5.0,5.0,5.0,5.01,300
2009-01-20,5.33,5.33,4.82,4.82,2100
2009-01-21,5.27,5.27,5.27,5.27,200
2009-01-22,5.59,5.59,5.59,5.59,200
2009-01-23,5.98,5.98,5.91,5.91,300
2009-02-02,6.36,6.36,5.59,5.59,700
2009-02-03,6.17,6.17,5.4,5.39,2000
2009-02-04,5.2,5.2,5.13,5.14,900
2009-02-05,5.46,5.46,5.14,5.14,1700
2009-02-06,5.53,5.53,4.95,5.2,800
2009-02-09,5.65,5.65,5.01,5.65,900
2009-02-10,5.97,5.97,5.97,5.97,500
2009-02-11,5.97,5.97,5.58,5.97,7200
2009-02-12,5.97,5.97,5.78,5.78,800
2009-02-13,6.04,6.04,5.65,5.65,800
