date,open,high,low,close,volume
2014-05-26,0.7,0.7,0.7,0.7,19800
2014-05-08,0.9,1.0,0.9,0.9,0
2014-05-07,0.9,1.0,0.9,0.9,265200
2014-05-06,1.0,1.0,1.0,1.0,4200
2014-05-05,1.1,1.1,1.1,1.1,4000
2014-04-29,1.2,1.2,1.2,1.2,3600
2014-04-28,1.3,1.3,1.3,1.3,12000
2014-04-25,1.4,1.4,1.4,1.4,5200
2014-04-24,1.5,1.5,1.5,1.5,3700
2014-04-23,1.6,1.6,1.6,1.6,5800
2014-04-22,1.7,1.7,1.7,1.7,17200
2014-04-21,1.9,1.9,1.8,1.8,29500
2014-04-18,2.0,2.2,2.0,2.0,76900
2014-04-17,1.9,2.2,1.9,2.2,136800
2014-04-16,2.0,2.2,2.0,2.1,50300
2014-04-15,2.2,2.2,2.1,2.2,50500
2014-04-14,2.4,2.4,2.3,2.3,12600
2014-04-11,2.1,2.4,2.1,2.4,7700
2014-04-10,2.3,2.4,2.2,2.2,50500
2014-04-08,2.4,2.6,2.4,2.4,121210
2014-04-07,2.8,2.8,2.6,2.6,8900
2014-04-04,2.7,2.8,2.6,2.8,51900
2014-04-03,2.2,2.6,2.2,2.6,155500
2014-04-02,2.4,2.5,2.4,2.4,22100
2014-04-01,2.6,2.7,2.6,2.6,77180
2014-03-31,2.9,3.0,2.7,2.8,254949
2014-03-28,2.8,3.2,2.8,2.9,150800
2014-03-27,3.4,3.4,3.1,3.1,118000
2014-03-26,3.6,3.6,3.0,3.4,538649
2014-03-25,3.3,3.3,3.3,3.3,39500
2014-03-24,3.0,3.0,3.0,3.0,32600
2014-03-21,2.8,2.8,2.8,2.8,171900
2014-03-20,2.6,2.6,2.6,2.6,209100
2014-03-19,2.4,2.4,2.3,2.4,96900
2014-03-18,2.1,2.2,2.1,2.2,203000
2014-03-17,1.8,2.0,1.8,2.0,292200
2014-03-14,1.8,1.9,1.8,1.9,59900
2014-03-13,1.8,1.9,1.8,1.9,120400
2014-03-12,1.9,1.9,1.8,1.9,39500
2014-03-11,1.8,2.0,1.8,2.0,155100
2014-03-10,1.8,1.9,1.8,1.9,55400
2014-03-07,1.9,1.9,1.8,1.9,105600
2014-03-06,1.9,1.9,1.9,1.9,18500
2014-03-05,1.8,1.9,1.8,1.9,78100
2014-03-04,1.7,1.8,1.7,1.8,49700
2014-03-03,1.8,1.9,1.8,1.8,102600
2014-02-28,2.0,2.0,1.8,1.9,147300
2014-02-27,2.0,2.0,1.9,2.0,40800
2014-02-26,2.0,2.0,1.9,2.0,12000
2014-02-25,2.0,2.0,1.9,2.0,51200
2014-02-24,1.9,2.0,1.9,2.0,37300
2014-02-21,1.9,2.0,1.9,2.0,20400
2014-02-20,1.9,2.0,1.9,2.0,67500
2014-02-19,2.0,2.0,1.8,2.0,51800
2014-02-18,2.1,2.2,1.9,2.0,27400
2014-02-17,2.1,2.1,1.9,2.1,32100
2014-02-14,2.1,2.1,2.0,2.1,15500
2014-02-13,2.0,2.1,2.0,2.0,24300
2014-02-12,2.0,2.0,1.9,2.0,29800
2014-02-11,1.9,2.1,1.9,1.9,98400
2014-02-10,1.9,2.1,1.9,2.1,37400
2014-02-07,2.4,2.4,2.1,2.1,28400
2014-02-06,2.0,2.3,2.0,2.3,31800
2014-01-27,2.2,2.2,2.1,2.1,2100
2014-01-24,2.0,2.0,1.9,2.0,26600
2014-01-23,1.7,1.9,1.7,1.9,86000
2014-01-22,1.8,1.8,1.8,1.8,24400
2014-01-21,2.0,2.0,2.0,2.0,200
2014-01-20,2.2,2.2,2.2,2.2,5400
2014-01-17,2.4,2.4,2.4,2.4,16200
2014-01-16,2.6,2.6,2.4,2.6,176000
2014-01-15,2.5,2.6,2.5,2.6,32900
2014-01-14,2.4,2.5,2.4,2.5,26700
2014-01-13,2.4,2.5,2.4,2.4,88400
2014-01-10,2.8,2.8,2.4,2.6,212300
2014-01-09,2.6,2.6,2.6,2.6,109800
2014-01-08,2.4,2.4,2.4,2.4,89000
2014-01-07,2.2,2.2,2.1,2.2,164200
2014-01-06,2.0,2.0,2.0,2.0,52000
2014-01-03,1.9,1.9,1.8,1.9,50600
2014-01-02,1.7,1.8,1.7,1.8,65600
2013-12-31,1.7,1.8,1.7,1.7,45700
2013-12-30,1.8,1.8,1.7,1.8,113000
2013-12-27,2.0,2.0,1.8,1.8,126800
2013-12-26,1.9,1.9,1.9,1.9,1700
2013-12-25,1.8,1.8,1.8,1.8,23600
2013-12-24,1.7,1.7,1.7,1.7,100
2013-12-23,1.6,1.6,1.6,1.6,100
2013-12-20,1.5,1.5,1.4,1.5,101900
2013-12-19,1.4,1.4,1.4,1.4,48700
2013-12-18,1.3,1.3,1.2,1.3,57327
2013-12-17,1.1,1.2,1.1,1.2,59600
2013-12-16,1.2,1.3,1.1,1.1,20200
2013-12-13,1.1,1.2,1.1,1.2,17200
2013-12-12,1.2,1.2,1.2,1.2,23503
2013-12-11,1.4,1.4,1.3,1.3,9500
2013-12-10,1.3,1.4,1.3,1.4,46200
2013-12-09,1.3,1.3,1.3,1.3,82710
2013-12-06,1.2,1.2,1.1,1.2,90700
2013-12-05,1.2,1.2,1.1,1.1,53940
2013-12-04,1.2,1.2,1.1,1.1,36800
2013-12-03,1.1,1.2,1.1,1.1,30500
2013-12-02,1.1,1.1,1.0,1.1,1200
