date,open,high,low,close,volume
2019-02-25,15.3,15.4,15.2,15.3,61100
2019-02-22,15.4,15.5,15.2,15.3,86400
2019-02-21,15.4,15.6,15.3,15.5,77400
2019-02-20,15.7,15.8,15.5,15.5,33100
2019-02-19,15.7,15.8,15.5,15.8,63100
2019-02-18,15.5,16.0,15.4,15.7,200400
2019-02-15,15.5,15.7,15.5,15.5,46400
2019-02-14,15.3,15.5,15.3,15.5,66400
2019-02-13,15.1,15.3,15.1,15.3,61500
2019-02-12,15.1,15.3,15.1,15.1,63000
2019-02-11,15.2,15.3,15.0,15.2,87500
2019-02-01,15.3,15.4,15.3,15.3,46100
2019-01-31,15.3,15.4,15.2,15.3,80700
2019-01-30,15.4,15.5,15.2,15.3,93300
2019-01-29,15.3,15.5,15.3,15.4,115600
2019-01-28,15.5,15.6,15.5,15.5,56500
2019-01-25,15.6,15.8,15.4,15.6,27300
2019-01-24,15.6,15.7,15.6,15.6,42300
2019-01-23,15.4,15.6,15.4,15.6,67800
2019-01-22,15.5,15.5,15.4,15.4,23500
2019-01-21,15.0,15.4,15.0,15.4,44900
2019-01-18,15.0,15.3,15.0,15.2,40300
2019-01-17,15.5,15.6,15.4,15.4,39000
2019-01-16,15.3,15.5,15.3,15.5,28900
2019-01-15,15.2,15.4,15.2,15.4,24200
2019-01-14,15.4,15.5,15.3,15.4,36600
2019-01-11,15.2,15.5,15.2,15.4,50800
2019-01-10,15.2,15.4,15.1,15.4,54600
2019-01-09,15.3,15.3,15.1,15.2,24100
2019-01-08,15.0,15.2,15.0,15.1,46600
2019-01-07,15.1,15.2,15.1,15.1,75700
2019-01-04,15.1,15.1,15.1,15.1,17300
2019-01-03,15.2,15.2,15.0,15.0,40700
2019-01-02,15.2,15.2,15.0,15.1,46600
2018-12-28,15.2,15.2,15.1,15.1,31500
2018-12-27,15.1,15.3,15.1,15.2,118400
2018-12-26,15.5,15.5,15.0,15.1,43000
2018-12-25,15.2,15.2,15.0,15.0,33100
2018-12-24,15.7,15.8,15.4,15.4,57200
2018-12-21,16.0,16.3,15.8,15.9,217600
2018-12-20,15.8,16.3,15.8,16.2,243700
2018-12-19,15.2,16.1,15.0,16.0,380600
2018-12-18,15.3,15.3,15.0,15.1,51600
2018-12-17,15.2,15.5,15.2,15.2,23500
2018-12-14,15.1,15.3,15.1,15.2,23300
2018-12-13,15.3,15.3,15.2,15.2,45400
2018-12-12,15.1,15.4,15.1,15.2,29300
2018-12-11,15.1,15.4,15.1,15.2,35900
2018-12-10,15.2,15.3,14.9,15.3,61000
2018-12-07,15.2,15.3,15.1,15.3,69300
2018-12-06,15.3,15.4,15.1,15.3,25100
2018-12-05,15.2,15.4,15.1,15.4,48400
2018-12-04,15.0,15.3,15.0,15.2,46200
2018-12-03,15.1,15.3,15.1,15.2,37800
2018-11-30,15.0,15.2,15.0,15.1,61800
2018-11-29,15.3,15.4,15.1,15.1,56500
2018-11-28,15.1,15.2,15.0,15.1,48300
2018-11-27,15.0,15.3,15.0,15.0,34800
2018-11-26,15.3,15.3,15.0,15.3,39200
2018-11-23,15.3,15.4,15.0,15.2,34800
2018-11-22,15.0,15.2,14.9,15.0,106800
2018-11-21,15.3,15.4,14.9,14.9,124300
2018-11-20,15.1,15.1,15.1,15.1,24100
2018-11-19,15.2,15.5,15.0,15.2,97600
2018-11-16,15.4,15.4,15.1,15.2,47600
2018-11-15,15.3,15.5,15.1,15.2,34400
2018-11-14,15.0,15.5,15.0,15.5,95700
2018-11-13,15.2,15.4,15.1,15.2,152500
2018-11-12,15.3,15.4,14.9,15.2,47300
